Date,Open,High,Low,Close,Volume
2012-10-01,9.5,10.3,9.0,10.2,985000
2012-10-02,11.0,11.2,10.8,11.2,1391500
2012-10-03,12.3,12.3,11.4,11.9,3439000
2012-10-04,11.4,13.0,11.1,12.9,2934500
2012-10-07,13.0,13.5,11.7,11.7,1787000
2012-10-08,11.0,12.5,10.6,11.2,661500
2012-10-09,11.9,12.3,11.5,12.1,1776000
2012-10-10,12.4,12.4,11.0,11.1,632500
2012-10-11,11.6,11.6,10.5,10.7,387500
2012-10-14,11.5,11.5,10.2,10.3,516500
2012-10-15,10.5,11.3,9.7,11.2,952000
2012-10-16,11.1,11.8,10.7,10.8,647500
2012-10-17,11.0,11.2,10.5,10.7,416000
2012-10-18,10.9,11.1,10.8,10.8,601500
2012-10-21,10.7,10.9,10.4,10.4,288500
2012-10-22,10.4,10.5,10.0,10.1,370000
2012-10-23,10.3,10.8,10.3,10.4,354500
2012-10-30,10.7,10.7,10.3,10.5,278500
2012-10-31,10.4,11.0,10.4,10.7,343500
2012-11-01,10.7,11.0,10.5,10.5,266500
2012-11-04,10.7,10.7,10.2,10.2,183000
2012-11-05,10.4,10.4,9.9,10.1,280000
2012-11-06,10.4,10.7,10.2,10.6,547500
2012-11-07,11.0,11.0,10.5,10.6,729000
2012-11-08,10.6,10.7,10.2,10.2,261000
2012-11-11,10.5,10.5,9.6,9.6,488500
2012-11-12,9.8,10.0,9.0,9.1,240000
2012-11-13,9.7,9.7,8.9,9.2,230000
2012-11-14,9.5,9.5,9.1,9.2,189000
2012-11-15,9.4,10.1,9.2,10.0,709500
2012-11-18,10.5,10.6,9.6,9.8,464500
2012-11-19,9.7,10.1,9.5,9.5,329000
2012-11-20,9.7,9.8,9.2,9.2,375500
2012-11-21,9.5,9.5,9.2,9.3,218000
2012-11-22,9.6,9.8,9.4,9.5,165000
2012-11-26,9.5,9.5,9.1,9.1,141000
2012-11-27,9.3,9.3,9.1,9.1,181000
2012-11-28,9.2,9.3,8.9,8.9,205500
2012-11-29,9.3,9.6,9.3,9.4,231500
2012-12-02,9.6,9.6,9.1,9.1,107000
2012-12-03,9.2,9.2,8.9,8.9,120500
2012-12-04,9.0,9.1,8.9,8.9,106000
2012-12-05,9.0,9.1,8.9,8.9,234500
2012-12-06,8.8,9.0,8.8,8.8,223500
2012-12-09,8.8,8.8,8.3,8.4,69000
2012-12-10,8.3,8.4,7.8,7.8,170000
2012-12-11,7.9,8.5,7.9,8.5,307000
2012-12-12,8.0,9.1,8.0,8.4,254500
2012-12-13,8.4,8.8,8.4,8.5,207500
2012-12-17,8.4,8.7,8.4,8.4,207500
2012-12-18,8.5,8.6,8.4,8.4,80500
2012-12-19,8.4,8.5,8.3,8.3,157000
2012-12-20,8.2,8.3,8.1,8.1,197500
2012-12-23,8.1,8.2,7.9,7.9,171000
2012-12-24,8.0,8.3,7.9,8.1,158500
2012-12-26,8.2,8.3,8.0,8.0,124500
2012-12-27,7.9,8.4,7.9,8.2,162500
2012-12-30,8.3,8.4,8.1,8.1,170000
2013-01-01,8.2,8.2,8.0,8.0,75500
2013-01-02,8.0,8.0,7.9,7.9,118500
2013-01-03,8.3,8.6,8.3,8.5,641000
2013-01-06,9.0,9.0,8.6,8.7,337000
