Date,Open,High,Low,Close,Volume
2012-10-01,102.0,110.0,101.5,108.2,82000
2012-10-02,112.9,112.9,108.2,109.7,116600
2012-10-03,110.4,111.6,107.0,108.1,105800
2012-10-04,110.0,110.5,108.1,108.8,127800
2012-10-07,107.0,108.4,105.0,105.5,89000
2012-10-08,105.0,106.8,103.4,104.7,70400
2012-10-09,108.0,108.5,105.0,106.6,54800
2012-10-10,106.0,108.5,105.0,105.9,84000
2012-10-11,105.6,106.6,104.8,105.0,43600
2012-10-14,105.0,106.6,102.1,103.8,62400
2012-10-15,107.7,107.9,104.3,105.5,53400
2012-10-16,106.5,109.0,106.0,106.8,74000
2012-10-17,105.0,108.1,105.0,106.6,52400
2012-10-18,105.6,107.7,104.8,105.6,43600
2012-10-21,109.5,109.5,104.8,106.0,26800
2012-10-22,106.4,108.0,105.0,107.3,30200
2012-10-23,112.0,112.2,108.7,109.8,90400
2012-10-30,111.9,112.0,108.0,108.6,15600
2012-10-31,108.0,109.0,105.1,106.0,30400
2012-11-01,107.0,107.0,104.5,105.1,67800
2012-11-04,106.9,106.9,103.0,103.2,32600
2012-11-05,106.0,106.0,102.0,103.3,40800
2012-11-06,105.0,105.0,102.5,102.8,46600
2012-11-07,104.0,104.1,101.0,101.4,62000
2012-11-08,103.0,103.0,101.4,102.0,42200
2012-11-11,100.6,103.3,100.5,102.3,73200
2012-11-12,102.9,103.0,100.0,100.9,65200
2012-11-13,100.3,103.6,100.3,102.7,31600
2012-11-14,101.0,103.0,100.2,101.6,25400
2012-11-15,101.0,104.0,100.1,103.1,73000
2012-11-18,103.0,104.0,101.8,102.0,38000
2012-11-19,102.4,102.4,98.0,99.9,66000
2012-11-20,100.0,100.0,96.2,96.8,37400
2012-11-21,100.0,100.0,96.4,97.4,26600
2012-11-22,98.0,98.0,94.8,95.0,36000
2012-11-26,96.1,96.1,92.4,93.6,13600
2012-11-27,92.5,93.4,90.0,91.0,93600
2012-11-28,92.1,92.1,90.0,90.5,16400
2012-11-29,95.0,97.7,93.1,97.0,40000
2012-12-02,97.5,98.4,93.1,93.4,43000
2012-12-03,93.5,93.5,92.5,92.6,14600
2012-12-04,91.5,92.9,90.0,92.4,33800
2012-12-05,92.0,92.9,91.6,92.2,22800
2012-12-06,89.3,92.4,89.2,92.0,27200
2012-12-09,90.5,91.5,90.0,90.8,15200
2012-12-10,90.2,90.4,89.4,89.8,16400
2012-12-11,90.5,90.7,90.0,90.3,13000
2012-12-12,90.5,93.2,90.5,91.1,16200
2012-12-13,91.0,93.0,91.0,92.8,25800
2012-12-17,93.9,95.6,93.9,94.7,36000
2012-12-18,95.0,95.0,92.0,92.5,29600
2012-12-19,92.0,93.9,92.0,93.3,20400
2012-12-20,92.6,94.2,92.6,93.5,15400
2012-12-23,91.5,92.3,90.1,90.4,35200
2012-12-24,91.5,92.9,91.0,92.2,25000
2012-12-26,92.0,93.5,91.5,91.9,25200
2012-12-27,91.1,94.0,91.0,93.8,38600
2012-12-30,93.9,93.9,91.4,91.9,27000
2013-01-01,91.5,93.2,91.5,91.9,21000
2013-01-02,90.6,92.0,90.6,90.9,14800
