Date,Open,High,Low,Close,Volume
2021-04-07,75.0,75.0,75.0,75.0,19732
2021-04-08,85.0,85.0,71.0,72.4,1133963
2021-04-11,68.1,68.1,65.2,65.3,380300
2021-04-12,61.3,65.4,58.8,58.8,477992
2021-04-13,55.6,63.8,55.6,62.4,233997
2021-04-15,61.4,63.0,61.0,61.7,271524
2021-04-18,61.1,61.9,59.5,60.3,351261
2021-04-19,60.7,62.5,59.4,61.3,196520
2021-04-20,62.4,62.4,60.5,61.1,187928
2021-04-21,62.9,63.4,61.2,61.6,168754
2021-04-22,62.6,62.6,60.3,60.7,123383
2021-04-25,60.7,62.1,59.6,60.7,228401
2021-04-26,61.5,62.3,60.5,61.0,119610
2021-04-27,60.5,60.6,58.6,59.3,140883
2021-04-28,59.6,61.8,59.2,60.9,121048
2021-04-29,62.5,64.5,61.9,62.7,337379
2021-05-02,62.3,63.7,62.0,62.4,136089
2021-05-03,62.1,63.0,60.4,60.7,219610
2021-05-04,60.6,61.0,60.2,60.3,104761
2021-05-05,61.0,62.7,60.4,62.0,137660
2021-05-06,62.3,66.9,61.6,64.9,368380
2021-05-09,65.4,67.8,64.6,66.1,482374
2021-05-11,67.1,67.8,65.1,66.6,265228
2021-05-12,68.2,73.2,68.2,73.2,293612
2021-05-16,80.5,80.5,76.0,80.5,937434
2021-05-17,83.5,83.5,76.4,77.2,801362
2021-05-18,76.5,84.9,76.5,84.9,546565
2021-05-19,86.9,88.9,81.5,82.6,602221
2021-05-20,82.9,90.8,81.1,88.2,640473
2021-05-23,91.2,97.0,91.2,93.0,857638
2021-05-24,93.0,99.0,93.0,94.6,480346
2021-05-25,95.0,96.9,89.6,90.5,447827
2021-05-27,90.6,94.5,87.2,90.5,379642
2021-05-30,91.9,93.0,83.0,87.8,356760
2021-05-31,88.0,88.0,82.5,83.4,372681
2021-06-01,83.5,86.9,83.4,83.8,288617
2021-06-02,86.0,86.0,80.0,81.2,245971
2021-06-03,81.7,86.5,81.7,85.6,239568
2021-06-06,85.9,87.7,81.1,81.7,348135
2021-06-07,82.4,86.7,82.3,84.8,396315
2021-06-08,85.5,86.0,82.1,83.2,194288
2021-06-09,84.8,91.5,84.8,91.5,531105
2021-06-10,100.6,100.6,100.6,100.6,677241
2021-06-13,110.6,110.6,110.6,110.6,673749
2021-06-14,121.6,121.6,117.1,121.6,1846193
2021-06-15,133.7,133.7,117.6,131.9,1785738
2021-06-16,131.9,133.0,119.0,124.9,1339368
2021-06-17,124.9,124.9,112.5,113.6,1334219
2021-06-20,113.4,124.9,113.4,124.9,956785
2021-06-21,126.9,127.7,113.0,114.6,717904
2021-06-22,114.2,116.6,109.0,110.8,436121
2021-06-23,114.7,116.0,106.4,107.6,373816
2021-06-24,107.6,115.0,103.2,110.5,354716
2021-06-27,110.3,114.9,103.4,104.2,431434
2021-06-28,105.1,109.0,102.5,103.0,265654
2021-06-29,104.1,106.5,98.1,100.4,387448
2021-06-30,103.8,109.4,102.5,108.6,378191
2021-07-05,109.5,111.9,103.8,104.8,399185
2021-07-06,104.9,106.2,102.5,103.0,324316
2021-07-07,104.1,113.3,103.4,111.7,625521
2021-07-08,115.0,119.3,110.5,114.2,689747
2021-07-12,112.7,113.6,108.6,109.2,432415
2021-07-13,109.6,112.8,107.2,110.9,276468
2021-07-14,111.7,113.9,108.2,108.6,350550
2021-07-15,108.1,111.5,108.1,109.4,354483
2021-07-18,109.5,120.3,109.2,120.3,1037713
2021-07-19,123.5,124.4,116.5,117.7,432703
2021-07-25,117.1,127.1,117.1,124.1,687773
2021-07-26,125.5,126.0,113.0,118.0,541885
2021-07-27,119.0,120.4,115.3,119.1,303046
2021-07-28,122.5,125.0,119.8,122.6,451334
2021-07-29,124.9,132.0,124.4,128.8,1157596
2021-08-02,130.5,141.6,130.5,141.6,719276
2021-08-03,144.9,148.0,134.0,136.1,806681
2021-08-05,136.2,145.0,136.2,138.8,719585
2021-08-09,138.9,144.7,134.8,138.9,595461
2021-08-10,138.5,141.0,132.8,134.0,438860
2021-08-11,133.0,138.0,132.5,134.1,407710
2021-08-12,135.6,143.7,135.6,142.1,674753
2021-08-16,142.9,147.8,140.6,142.5,654279
2021-08-17,143.0,144.4,135.2,138.0,489146
2021-08-18,138.4,140.4,134.2,135.2,422359
2021-08-19,137.4,141.7,136.5,138.3,365271
2021-08-22,138.9,140.6,135.3,136.5,366158
2021-08-23,139.0,140.3,133.5,134.0,424226
2021-08-24,136.0,136.0,130.0,130.8,376199
2021-08-25,134.4,134.4,129.1,130.1,239426
2021-08-26,133.0,136.4,129.5,135.2,265399
2021-08-29,136.1,137.9,130.6,131.3,197510
2021-08-31,132.1,133.7,129.0,129.7,223111
2021-09-01,132.0,134.0,129.8,132.9,164199
2021-09-02,133.5,139.9,133.5,137.8,485134
2021-09-05,138.9,140.5,134.1,135.6,394288
2021-09-06,137.9,137.9,131.0,132.0,432679
2021-09-07,133.8,135.6,130.9,131.5,356192
2021-09-08,134.9,135.0,131.8,132.9,253826
2021-09-09,134.8,135.0,131.0,131.7,219194
2021-09-12,134.0,134.4,130.0,131.0,270866
2021-09-13,132.5,133.0,127.9,128.8,276429
2021-09-14,131.0,131.0,123.3,124.6,263300
2021-09-15,126.9,130.9,124.6,128.5,245521
2021-09-16,128.8,133.0,128.1,130.3,380836
2021-09-19,132.4,132.4,125.2,125.9,149421
2021-09-20,129.0,129.9,124.9,125.0,112712
2021-09-21,125.0,127.7,125.0,126.1,84241
2021-09-22,126.3,128.4,124.8,124.9,133264
2021-09-23,125.1,126.4,122.5,123.2,196800
2021-09-26,125.9,125.9,122.1,122.5,112850
2021-09-27,123.9,123.9,121.6,121.9,177097
2021-09-28,121.9,123.5,119.4,120.2,204659
2021-09-29,124.3,124.3,118.4,119.6,180464
2021-09-30,120.0,121.8,118.0,118.4,155779
2021-10-03,121.4,128.0,121.4,126.5,349611
2021-10-04,127.9,130.4,120.2,123.4,214811
2021-10-05,123.5,123.5,119.0,119.6,191708
2021-10-06,121.5,122.5,113.3,114.6,190353
2021-10-07,117.5,119.5,115.0,117.5,108398
2021-10-10,120.0,120.0,110.6,114.5,207056
2021-10-11,116.9,117.0,110.5,111.4,143802
2021-10-12,115.2,115.2,108.2,108.7,116289
2021-10-13,112.5,112.5,109.0,110.9,100573
2021-10-14,112.5,112.5,109.5,110.7,95671
2021-10-17,112.0,112.0,109.3,109.9,104816
2021-10-18,110.1,110.1,107.8,108.1,80822
2021-10-19,110.0,110.8,107.7,108.9,120325
2021-10-21,111.8,111.8,103.8,107.1,39177
2021-10-24,107.5,107.9,105.2,105.8,90972
2021-10-25,106.0,106.0,101.0,103.7,65855
2021-10-26,103.8,106.4,103.7,105.2,28445
2021-10-27,107.5,107.7,104.5,105.6,45288
2021-10-28,107.4,107.4,104.2,105.3,58277
2021-11-01,101.3,105.0,101.0,103.1,35274
2021-11-02,105.3,112.0,103.0,108.2,64421
2021-11-03,110.0,110.0,105.5,105.9,62403
2021-11-04,108.0,108.0,104.0,104.8,23991
2021-11-07,104.5,105.5,102.4,102.7,15226
2021-11-08,101.3,105.0,100.0,104.1,116704
2021-11-09,106.5,108.2,105.0,107.4,47549
2021-11-10,108.8,109.9,106.3,107.9,70093
2021-11-11,106.4,109.8,106.4,107.1,34700
2021-11-14,107.9,115.0,107.5,112.5,176250
2021-11-15,113.4,113.8,110.7,111.2,64041
2021-11-16,112.6,113.0,108.2,110.2,118615
2021-11-17,112.2,121.2,108.7,121.0,346146
2021-11-18,122.7,125.7,120.0,122.3,215661
2021-11-21,122.0,124.5,112.0,115.7,125724
2021-11-22,112.2,116.8,112.1,115.9,64127
2021-11-23,117.7,117.8,115.8,116.7,89881
2021-11-24,116.6,118.2,113.7,114.1,90821
2021-11-25,116.5,116.5,113.0,113.7,48073
2021-11-28,116.0,116.0,111.1,112.3,105098
2021-11-29,114.3,114.4,110.0,110.1,70026
2021-11-30,110.3,112.9,109.0,111.1,101865
2021-12-01,114.0,122.2,113.0,122.2,187282
2021-12-02,117.0,131.5,117.0,129.6,651334
2021-12-05,129.1,135.5,126.5,134.3,450323
2021-12-06,134.3,136.5,130.0,134.9,343365
2021-12-07,135.0,135.2,130.6,131.8,347627
2021-12-08,131.7,133.4,125.2,128.8,339824
2021-12-09,130.2,131.4,125.0,127.4,148610
2021-12-12,128.0,129.5,125.4,127.4,157631
2021-12-13,127.7,127.7,123.4,124.3,100486
2021-12-14,126.9,128.9,123.3,127.6,196970
2021-12-15,130.0,130.0,126.1,128.1,213933
2021-12-19,128.3,128.3,125.0,126.1,123885
2021-12-20,126.0,126.0,123.1,124.8,119324
2021-12-21,126.3,126.4,120.1,121.6,146119
2021-12-22,122.0,123.7,120.8,121.0,32262
2021-12-23,121.0,121.0,116.3,118.3,173637
2021-12-26,118.3,122.8,115.0,120.3,86829
2021-12-27,118.5,121.7,117.0,119.3,214083
2021-12-28,121.6,127.7,119.9,124.4,286760
2021-12-29,127.6,128.9,124.2,125.0,232548
2021-12-30,125.0,126.9,121.5,122.2,210856
2022-01-02,121.5,124.9,121.5,122.3,159053
2022-01-03,123.0,124.1,119.0,119.7,197720
2022-01-04,119.9,122.0,119.2,119.7,69594
2022-01-05,121.6,121.7,117.1,119.1,235798
2022-01-06,119.5,124.0,119.5,121.5,205824
2022-01-09,122.0,124.1,119.0,121.9,239399
2022-01-10,119.1,123.3,117.8,118.7,135669
2022-01-11,118.7,120.4,115.1,115.7,269014
2022-01-12,117.3,120.0,115.5,117.1,123163
2022-01-13,117.1,122.5,117.1,122.2,189613
2022-01-16,122.5,124.5,118.4,119.0,222505
2022-01-17,119.0,121.8,117.3,117.8,82847
2022-01-18,117.5,126.9,117.5,125.0,775772
2022-01-19,125.3,126.7,124.9,126.2,254250
2022-01-20,126.3,129.8,124.1,127.2,650693
2022-01-23,128.5,128.5,123.5,127.2,135464
2022-01-24,126.0,128.4,123.0,124.3,164119
2022-01-25,123.5,126.5,121.5,122.3,68665
2022-01-26,120.3,124.4,119.1,120.0,48839
2022-01-27,117.6,124.4,117.6,120.1,32305
2022-01-30,120.1,123.9,117.6,118.8,137423
2022-01-31,118.0,118.4,115.6,116.7,68031
2022-02-01,118.9,124.0,117.2,119.8,382907
2022-02-02,124.0,124.0,118.2,119.2,42892
2022-02-03,123.0,123.0,117.5,117.8,52102
2022-02-06,118.0,118.2,113.1,113.9,221064
2022-02-07,114.7,117.8,114.4,115.0,38393
2022-02-08,117.0,117.0,113.0,113.8,61479
2022-02-09,114.0,118.9,113.5,116.8,49420
2022-02-10,116.0,117.7,113.5,114.4,207309
2022-02-13,116.8,116.8,113.6,114.0,68033
2022-02-14,114.1,115.9,112.1,112.6,75484
2022-02-15,113.5,114.5,111.7,112.1,57699
2022-02-16,112.1,113.8,109.3,110.1,185303
2022-02-17,111.9,115.5,110.8,114.6,65349
2022-02-20,113.9,117.3,113.3,114.2,91887
2022-02-22,115.4,116.5,113.8,113.9,28442
2022-02-23,113.7,116.0,113.5,114.8,34409
2022-02-24,114.0,115.0,111.1,111.5,59571
2022-02-27,110.3,110.3,105.0,106.8,61025
2022-02-28,106.6,109.4,106.0,106.6,43322
2022-03-01,106.7,109.1,105.5,105.9,47797
2022-03-02,109.6,109.6,104.1,106.0,27121
2022-03-03,107.1,107.1,104.5,105.0,22961
2022-03-06,105.1,105.7,104.9,105.0,11395
2022-03-07,105.0,105.0,98.1,98.8,66905
2022-03-08,105.8,105.8,95.0,100.9,44433
2022-03-09,102.0,108.0,102.0,106.7,32864
2022-03-10,107.1,109.0,104.6,104.8,65385
2022-03-13,104.9,108.4,104.9,107.7,44495
2022-03-14,107.5,108.5,105.8,106.2,39570
2022-03-15,105.5,108.3,104.3,106.6,41103
2022-03-16,104.5,107.5,104.5,106.6,12265
2022-03-20,109.6,109.6,104.6,104.8,18412
2022-03-21,103.5,107.0,103.5,105.8,13622
2022-03-22,105.5,107.2,105.1,106.7,52891
2022-03-23,106.5,108.2,105.6,105.8,11323
2022-03-24,105.3,106.0,103.9,104.4,32456
2022-03-27,104.0,107.5,103.8,104.2,59017
2022-03-28,104.5,106.7,103.1,104.2,29804
2022-03-29,104.1,105.4,103.5,104.8,31493
2022-03-30,104.5,104.9,102.8,104.4,60784
2022-03-31,104.5,104.5,102.4,102.8,52995
2022-04-03,105.6,105.6,102.6,102.7,14612
2022-04-04,102.7,104.0,100.9,101.1,28177
2022-04-05,100.0,102.5,100.0,101.5,13169
2022-04-06,101.5,101.9,99.6,100.5,16464
2022-04-07,100.5,101.8,99.1,99.8,14192
2022-04-10,100.0,101.3,100.0,100.9,8650
2022-04-11,100.2,101.3,99.0,99.4,16898
2022-04-12,100.3,100.3,97.5,97.5,15423
2022-04-13,95.8,98.9,95.8,97.1,28154
2022-04-17,96.0,97.3,95.7,96.3,6971
2022-04-18,95.3,95.4,94.4,94.4,17569
2022-04-19,92.7,96.0,92.6,95.6,40438
2022-04-20,97.1,98.0,94.3,97.5,11287
2022-04-21,99.6,100.4,95.6,99.9,18575
2022-04-24,100.0,102.1,100.0,100.7,12194
2022-04-25,99.0,110.7,98.5,106.2,94922
2022-04-26,106.2,108.1,104.0,107.2,40734
2022-04-27,105.2,111.8,105.2,109.4,136970
2022-04-28,112.9,113.0,104.4,105.1,125209
2022-05-05,109.0,109.0,104.1,105.3,32961
2022-05-08,105.2,109.0,105.2,106.3,68441
2022-05-09,107.7,109.4,106.8,108.6,89947
2022-05-10,108.1,110.9,108.1,108.6,94630
2022-05-11,106.1,107.5,105.7,105.9,65673
2022-05-12,105.2,106.7,104.7,105.4,38729
