Date,Open,High,Low,Close,Volume
2018-05-17,66.0,66.0,43.1,43.6,9660473
2018-05-20,43.6,48.5,41.2,47.6,2997679
2018-05-21,47.6,50.7,45.1,45.7,5923262
2018-05-22,45.4,49.6,45.1,47.9,4004340
2018-05-23,47.9,52.6,47.9,52.4,5554866
2018-05-24,53.0,57.4,52.7,54.2,5309631
2018-05-27,54.2,56.4,53.1,53.8,5218193
2018-05-28,54.0,57.7,53.5,55.8,4639009
2018-05-29,56.3,58.6,54.1,54.6,5061284
2018-05-30,54.8,55.9,50.6,51.8,4055045
2018-05-31,52.0,54.0,51.2,52.0,2699267
2018-06-03,52.8,53.2,48.3,48.9,3567805
2018-06-04,49.1,49.8,46.1,46.7,2782368
2018-06-05,47.0,48.5,46.6,47.4,2111197
2018-06-06,47.8,48.4,43.7,44.4,2544761
2018-06-07,44.5,47.5,43.8,46.2,2453277
2018-06-10,46.8,48.4,45.6,47.6,2360969
2018-06-11,47.7,48.9,45.9,46.6,2167357
2018-06-12,46.9,47.2,45.4,45.6,1539984
2018-06-18,45.8,46.1,43.2,43.8,1523109
2018-06-19,43.8,46.4,43.8,45.1,1472064
2018-06-20,45.6,46.4,44.2,44.4,1777948
2018-06-21,44.0,46.8,44.0,45.9,2363894
2018-06-24,46.1,47.8,46.1,46.6,2126009
2018-06-25,46.9,48.9,46.1,47.8,3403639
2018-06-26,48.2,49.6,46.6,47.0,2912195
2018-06-27,47.0,47.6,45.3,45.7,2251361
2018-06-28,45.8,46.7,43.9,44.1,2357687
2018-07-02,44.4,44.9,42.0,42.9,1808831
2018-07-03,43.0,44.3,42.1,42.3,1180410
2018-07-04,42.8,43.7,42.6,43.0,1438782
2018-07-05,44.5,45.5,43.1,43.9,1942994
2018-07-08,44.0,45.4,43.8,43.9,1876126
2018-07-09,44.0,45.4,44.0,44.3,1331264
2018-07-10,45.3,46.6,44.7,45.5,2132266
2018-07-11,46.3,46.9,43.8,44.2,1631255
2018-07-12,44.8,45.2,43.4,43.6,1332348
2018-07-15,44.0,44.1,42.3,42.5,1243468
2018-07-16,43.0,43.5,41.8,41.9,1143801
2018-07-17,42.5,42.5,40.6,41.0,971990
2018-07-18,41.2,41.3,39.0,39.4,1356148
2018-07-19,40.2,41.2,39.5,40.4,1143679
2018-07-22,41.0,42.3,40.7,41.9,1239147
2018-07-23,42.1,42.7,40.3,40.6,830856
2018-07-24,40.4,41.0,39.8,40.0,665198
2018-07-25,40.4,40.8,39.6,39.7,656016
2018-07-26,39.8,40.5,39.2,39.6,629187
2018-07-29,39.4,39.6,36.2,36.4,1241353
2018-07-30,36.4,36.5,34.7,34.9,831492
2018-07-31,35.1,35.7,34.9,35.1,622323
2018-08-01,35.5,36.1,34.6,34.8,484094
2018-08-02,35.3,35.3,33.4,33.6,677051
2018-08-05,33.6,33.8,32.3,32.5,447913
2018-08-06,32.8,35.0,32.3,34.4,781177
2018-08-07,34.6,35.4,34.0,34.2,586422
2018-08-08,34.3,34.7,33.1,33.3,459141
2018-08-09,33.8,33.8,32.3,32.5,376951
2018-08-12,32.7,33.3,32.3,32.4,398196
2018-08-13,32.4,33.0,31.3,31.5,357868
2018-08-14,31.4,32.6,31.4,32.2,363382
2018-08-16,32.8,33.3,32.0,32.2,287311
2018-08-19,32.5,32.5,29.6,29.8,1013626
2018-08-20,29.6,29.8,29.1,29.4,457447
2018-08-26,29.5,29.9,29.0,29.6,444397
2018-08-27,29.7,32.5,29.7,32.2,1438100
2018-08-28,32.5,32.8,31.7,32.1,773576
2018-08-29,32.0,32.0,30.8,30.9,641557
2018-08-30,30.8,31.5,30.5,30.9,599527
2018-09-03,31.1,31.6,30.5,30.7,535080
2018-09-04,30.8,31.2,30.5,30.7,370181
2018-09-05,31.1,33.4,31.1,33.2,1943929
2018-09-06,33.5,34.1,31.7,31.9,894445
2018-09-09,32.0,32.6,31.1,31.3,854353
2018-09-10,31.5,32.4,31.4,31.6,622946
2018-09-11,31.3,32.2,30.9,31.0,479046
2018-09-12,31.5,31.9,31.0,31.2,502569
2018-09-13,31.2,31.9,31.0,31.2,828372
2018-09-16,31.2,31.6,30.3,30.6,522415
2018-09-17,30.6,30.6,29.2,29.5,442983
2018-09-18,29.6,30.1,28.8,28.9,463455
2018-09-19,29.3,29.7,28.9,29.0,319502
2018-09-20,29.6,29.9,29.1,29.2,454206
2018-09-23,29.2,29.3,27.8,28.1,405457
2018-09-24,28.5,28.5,26.7,26.9,392737
2018-09-25,26.9,27.5,26.1,26.3,301600
2018-09-26,26.3,27.7,26.3,26.9,530645
2018-09-27,27.4,28.4,26.7,27.8,694141
2018-09-30,28.0,30.5,28.0,30.5,1666177
2018-10-01,31.2,31.8,29.2,29.7,942561
2018-10-02,29.7,30.4,28.9,29.6,987248
2018-10-03,29.8,30.4,29.3,29.4,492206
2018-10-04,29.4,29.8,29.0,29.1,486947
2018-10-07,29.3,31.3,28.8,30.6,1033806
2018-10-08,30.6,31.2,29.2,29.4,595992
2018-10-09,29.2,29.8,28.8,29.0,650777
2018-10-10,29.4,29.6,28.1,28.3,363910
2018-10-11,28.8,28.8,28.3,28.4,269041
2018-10-14,29.0,29.1,28.4,28.5,279118
2018-10-15,28.5,28.6,27.5,27.7,405589
2018-10-16,27.8,29.1,27.4,28.8,572272
2018-10-17,29.1,29.2,27.9,28.0,211701
2018-10-18,28.3,28.3,27.3,27.4,244102
2018-10-21,27.3,27.7,26.1,26.3,367606
