Date,Open,High,Low,Close,Volume
2012-10-01,23.0,23.0,21.2,21.7,232500
2012-10-02,22.0,23.8,22.0,23.8,233000
2012-10-03,24.7,24.8,23.0,23.2,269000
2012-10-04,23.6,23.6,22.5,22.6,127500
2012-10-07,22.8,22.8,21.6,21.7,86000
2012-10-08,22.0,22.0,21.0,21.3,82000
2012-10-09,23.0,23.0,22.0,22.2,94500
2012-10-10,22.2,22.2,21.1,21.2,51500
2012-10-11,21.0,21.6,20.5,20.7,116000
2012-10-14,20.6,21.1,20.1,20.8,114500
2012-10-15,21.2,21.4,20.7,20.9,73000
2012-10-16,21.3,21.7,20.8,20.8,59000
2012-10-17,22.1,22.3,21.5,21.8,168500
2012-10-18,22.0,22.0,21.2,21.3,68500
2012-10-21,21.1,21.5,21.0,21.3,67500
2012-10-22,21.1,21.6,21.0,21.1,63500
2012-10-23,21.3,21.8,21.3,21.3,36500
2012-10-30,21.5,21.6,21.2,21.4,14000
2012-10-31,21.1,21.5,21.0,21.0,62000
2012-11-01,21.7,21.8,20.7,20.9,32000
2012-11-04,20.7,20.9,20.4,20.5,31000
2012-11-05,20.3,20.5,20.1,20.4,44500
2012-11-06,20.6,20.7,20.2,20.2,66000
2012-11-07,20.4,20.4,20.0,20.1,32500
2012-11-08,20.1,20.1,19.8,19.9,45000
2012-11-11,19.6,19.6,19.1,19.2,22000
2012-11-12,19.2,19.4,18.7,18.9,68000
2012-11-13,18.3,19.7,18.3,19.5,32000
2012-11-14,19.9,19.9,19.0,19.1,23000
2012-11-15,19.2,19.8,19.1,19.6,67000
2012-11-18,19.6,19.9,19.3,19.7,86500
2012-11-19,19.2,19.3,18.9,19.0,50500
2012-11-20,19.1,19.1,18.6,18.7,35500
2012-11-21,19.2,19.2,18.7,18.8,37000
2012-11-22,18.6,19.0,18.5,18.6,37500
2012-11-26,18.2,18.2,17.8,17.8,72500
2012-11-27,18.1,18.2,18.0,18.0,27000
2012-11-28,18.1,18.2,17.9,17.9,42000
2012-11-29,18.6,19.3,18.2,19.0,62500
2012-12-02,19.9,20.0,18.5,18.7,51000
2012-12-03,18.8,18.8,18.2,18.2,28500
2012-12-04,18.2,18.6,18.0,18.3,42000
2012-12-05,18.1,18.5,18.0,18.2,31500
2012-12-06,18.0,18.2,17.9,18.0,35000
2012-12-09,18.0,18.0,17.6,17.7,14000
2012-12-10,17.5,18.3,17.5,17.6,32500
2012-12-11,17.9,17.9,17.6,17.7,9500
2012-12-12,18.4,18.4,17.9,17.9,28500
2012-12-13,17.7,18.3,17.6,18.0,54000
2012-12-17,18.3,19.1,18.3,18.9,125000
2012-12-18,19.0,19.0,18.0,18.1,60500
2012-12-19,18.2,18.9,18.2,18.4,75000
2012-12-20,18.0,18.9,18.0,18.2,55500
2012-12-23,18.1,18.2,17.9,17.9,70000
2012-12-24,18.2,19.3,18.2,18.7,176000
2012-12-26,18.3,19.0,18.2,18.5,114000
2012-12-27,18.7,18.7,18.0,18.0,153500
2012-12-30,18.0,18.5,18.0,18.0,88000
2013-01-01,18.1,18.2,17.9,18.0,25000
2013-01-02,18.0,18.0,17.8,17.8,14500
2013-01-03,17.9,18.2,17.8,18.0,40500
2013-01-06,18.0,18.2,18.0,18.0,34000
2013-01-07,18.0,18.0,17.7,17.7,49500
2013-01-08,18.0,18.0,17.7,17.7,24000
2013-01-09,17.6,17.8,17.5,17.6,37500
2013-01-10,17.7,17.8,17.5,17.6,48000
2013-01-13,17.5,17.8,17.5,17.6,29500
2013-01-14,17.5,17.7,17.4,17.5,16500
2013-01-15,17.6,17.9,17.6,17.8,28500
2013-01-16,17.8,17.8,17.6,17.6,25500
2013-01-17,17.8,17.9,17.6,17.6,69000
2013-01-20,17.6,17.7,17.5,17.5,46500
2013-01-21,17.4,17.6,17.3,17.3,93500
2013-01-22,17.1,17.6,17.1,17.4,40000
2013-01-23,17.7,17.7,17.4,17.5,53000
2013-01-24,17.6,17.8,17.6,17.7,82000
2013-01-27,17.7,18.2,17.7,18.0,148500
2013-01-28,17.9,18.4,17.9,18.2,86000
2013-01-29,18.4,19.0,18.4,18.6,97500
2013-01-30,19.0,19.2,18.5,18.6,155500
2013-01-31,18.7,18.9,18.6,18.7,100000
2013-02-03,18.9,19.5,18.8,19.2,197000
2013-02-04,19.6,20.8,19.6,19.7,172000
2013-02-05,19.9,20.0,19.2,19.8,152000
2013-02-06,20.1,20.5,19.8,19.9,190500
2013-02-07,20.0,20.3,19.9,20.0,103000
2013-02-10,20.6,21.5,20.2,21.2,207000
2013-02-11,21.2,21.4,20.8,20.9,163000
2013-02-12,21.1,21.2,20.4,20.4,106000
2013-02-13,20.4,20.6,20.1,20.2,71000
2013-02-14,20.5,21.0,20.2,20.7,140500
2013-02-17,20.9,21.7,20.8,21.1,270500
2013-02-18,21.3,22.1,21.3,21.9,313000
2013-02-19,21.7,22.5,21.6,21.8,255500
2013-02-20,21.8,21.9,21.1,21.5,352500
2013-02-24,21.7,22.0,21.1,21.3,249500
2013-02-25,21.6,21.9,21.0,21.1,119000
2013-02-26,21.1,21.1,20.0,20.1,170500
2013-02-27,20.1,21.6,19.8,20.6,150500
2013-02-28,20.6,21.3,20.2,20.7,380000
2013-03-03,19.9,20.3,18.8,19.2,88500
2013-03-04,20.2,20.6,19.6,20.3,162500
2013-03-05,20.7,20.8,20.1,20.5,237500
2013-03-06,20.0,20.8,20.0,20.2,156500
2013-03-07,20.0,20.3,19.6,20.1,199500
2013-03-10,20.2,20.3,19.4,19.7,204000
2013-03-12,18.0,18.1,17.8,17.9,164500
2013-03-13,18.2,18.2,17.8,17.8,68500
2013-03-14,17.9,17.9,17.4,17.7,109000
2013-03-18,17.5,17.8,17.5,17.7,78000
2013-03-19,17.7,18.1,17.7,17.9,75000
2013-03-20,18.0,18.0,17.5,17.6,159500
2013-03-24,17.6,17.6,17.1,17.2,46500
2013-03-25,17.2,17.2,17.0,17.0,56500
2013-03-27,16.8,16.8,16.2,16.5,45500
2013-03-28,16.6,16.8,16.6,16.6,19500
2013-03-31,15.8,16.7,15.8,16.4,78500
2013-04-01,15.7,15.7,15.1,15.2,24500
2013-04-02,15.4,15.9,15.3,15.6,43500
2013-04-03,16.1,16.1,15.7,15.7,46000
2013-04-04,16.0,16.4,15.8,16.1,17000
2013-04-07,16.1,16.5,16.1,16.2,30000
2013-04-08,16.3,16.6,15.8,16.3,32500
2013-04-09,17.0,17.0,16.8,16.9,20500
2013-04-10,16.8,17.8,16.0,16.4,95000
2013-04-11,16.2,16.2,16.0,16.1,65500
2013-04-15,16.3,16.8,16.3,16.5,19500
2013-04-16,16.5,16.6,16.0,16.1,44000
2013-04-17,16.0,16.6,16.0,16.2,18500
2013-04-18,16.2,16.5,16.0,16.1,47000
2013-04-21,16.2,16.2,15.3,15.9,18000
2013-04-22,16.0,16.2,16.0,16.0,11000
2013-04-23,16.0,16.0,15.7,15.7,26500
2013-04-24,15.7,16.0,15.7,15.8,40500
2013-04-25,16.3,16.4,16.0,16.0,48000
2013-04-28,15.5,16.3,15.5,16.0,33000
2013-04-29,16.1,16.2,16.0,16.0,25500
2013-04-30,15.8,16.1,15.4,15.9,43000
2013-05-02,15.5,16.3,15.5,16.0,43000
2013-05-05,16.2,16.6,16.2,16.4,64000
2013-05-06,16.1,16.1,15.9,16.0,13500
2013-05-07,16.1,16.2,16.0,16.0,27500
2013-05-08,16.2,16.2,15.6,15.6,108500
2013-05-09,15.7,16.0,15.6,15.6,62500
2013-05-12,16.0,16.8,16.0,16.5,84000
