Date,Open,High,Low,Close,Volume
2012-10-01,21.9,23.4,21.1,23.0,113000
2012-10-02,23.2,24.9,23.1,24.5,209000
2012-10-03,24.5,24.6,23.1,23.6,111000
2012-10-04,23.9,23.9,22.4,22.6,43500
2012-10-07,22.7,23.4,21.0,21.2,51000
2012-10-08,22.3,22.3,21.0,21.2,49500
2012-10-09,22.7,23.0,22.5,22.8,27500
2012-10-10,22.2,22.5,21.3,21.6,18000
2012-10-11,21.5,21.6,20.7,20.9,22000
2012-10-14,21.5,22.8,21.0,21.3,55000
2012-10-15,21.2,21.9,21.2,21.3,19000
2012-10-16,19.8,21.8,19.8,21.1,15000
2012-10-17,21.0,21.0,19.6,19.7,100000
2012-10-18,19.8,20.4,19.8,20.1,20000
2012-10-21,20.1,20.2,19.9,20.0,16500
2012-10-22,19.9,20.2,19.6,19.8,13000
2012-10-23,20.2,20.2,19.9,20.0,18000
2012-10-30,19.4,20.1,19.2,19.5,25500
2012-10-31,20.3,20.5,19.3,19.6,19500
2012-11-01,19.9,20.2,19.8,19.9,18000
2012-11-04,19.5,19.8,19.5,19.6,13000
2012-11-05,19.3,19.3,18.9,19.1,29500
2012-11-06,18.7,19.1,18.5,18.6,17000
2012-11-07,18.3,18.9,18.3,18.3,11000
2012-11-08,18.1,18.1,17.8,17.8,16000
2012-11-11,17.6,17.6,17.1,17.4,9500
2012-11-12,16.7,17.0,16.6,16.7,11000
2012-11-13,16.4,17.4,16.3,16.9,10500
2012-11-14,17.3,17.6,17.2,17.3,16000
2012-11-15,17.2,17.6,17.1,17.4,12000
2012-11-18,18.0,18.0,17.2,17.4,8500
2012-11-19,17.2,17.2,16.9,17.1,21000
2012-11-20,16.7,17.1,16.6,16.7,5500
2012-11-21,16.5,16.7,16.4,16.5,7000
2012-11-22,16.7,17.0,16.7,16.8,8500
2012-11-26,16.4,16.5,16.3,16.3,10500
2012-11-27,16.3,16.8,16.3,16.5,12000
2012-11-28,15.7,16.8,15.7,16.0,7000
2012-11-29,17.2,17.5,17.2,17.3,11500
2012-12-02,17.4,17.4,17.0,17.2,9500
2012-12-03,16.6,16.9,16.5,16.5,18500
2012-12-04,16.3,16.6,16.3,16.4,3500
2012-12-05,16.5,16.8,16.4,16.6,4000
2012-12-06,16.3,16.6,16.3,16.4,7500
2012-12-09,16.2,16.5,16.1,16.3,3000
2012-12-10,16.0,16.0,16.0,16.0,5500
2012-12-11,15.5,16.2,15.5,15.9,10000
2012-12-12,16.0,16.0,15.9,15.9,6000
2012-12-13,16.0,16.0,16.0,16.0,500
2012-12-17,16.5,16.8,16.4,16.5,12500
2012-12-18,17.4,17.4,16.0,16.2,14500
2012-12-19,16.2,16.5,16.2,16.3,7000
2012-12-20,17.1,17.1,16.5,16.6,10500
2012-12-23,16.2,16.7,16.2,16.3,7000
2012-12-24,16.9,17.0,16.5,16.7,9500
2012-12-26,16.6,16.6,16.6,16.6,500
2012-12-27,16.5,16.6,16.5,16.5,3500
2012-12-30,16.4,16.6,16.3,16.4,6000
2013-01-01,16.5,16.5,16.3,16.3,4500
2013-01-02,16.4,16.5,16.3,16.3,5500
2013-01-03,16.5,16.5,16.3,16.4,11000
2013-01-06,16.3,16.6,16.3,16.4,4000
2013-01-07,16.3,16.3,16.3,16.3,1000
2013-01-08,16.3,16.3,16.3,16.3,5500
2013-01-09,16.3,16.5,16.3,16.3,10500
2013-01-10,16.4,16.4,16.3,16.3,3500
2013-01-13,16.4,16.4,16.4,16.4,1500
2013-01-14,16.4,16.8,16.4,16.5,8500
2013-01-15,16.5,16.6,16.5,16.5,5000
2013-01-16,16.6,16.6,16.4,16.5,35000
2013-01-17,16.6,16.7,16.5,16.5,7500
2013-01-20,16.5,16.5,16.4,16.4,1500
2013-01-21,16.3,16.5,16.3,16.4,10000
2013-01-22,16.4,16.7,16.3,16.4,6500
2013-01-23,16.8,16.8,16.8,16.8,500
2013-01-24,16.8,17.1,16.7,16.9,13000
2013-01-27,17.0,17.0,16.8,16.8,3500
2013-01-28,16.7,16.8,16.6,16.7,21000
2013-01-29,17.0,17.9,17.0,17.6,22500
2013-01-30,18.7,18.7,17.8,17.8,35500
2013-01-31,18.0,18.7,17.9,18.4,68500
2013-02-03,18.9,18.9,18.2,18.4,43000
2013-02-04,18.6,18.6,18.2,18.3,21500
2013-02-05,18.2,18.6,18.1,18.4,16000
2013-02-06,18.3,18.6,18.3,18.4,19000
2013-02-07,18.4,18.4,18.1,18.2,10000
2013-02-10,18.2,18.5,18.1,18.2,36500
2013-02-11,18.7,18.7,18.4,18.5,34500
2013-02-12,18.5,18.6,18.3,18.4,12000
2013-02-13,18.2,18.5,18.2,18.2,15000
2013-02-14,18.8,19.0,18.4,18.8,35500
2013-02-17,19.0,19.1,18.5,18.6,19000
2013-02-18,18.5,18.9,18.5,18.7,17500
2013-02-19,18.9,19.2,18.4,18.5,26000
2013-02-20,18.6,18.7,18.3,18.3,34000
2013-02-24,17.9,18.0,17.9,17.9,12000
2013-02-25,18.4,18.4,17.5,17.5,19000
2013-02-26,17.7,18.2,17.6,17.8,8500
2013-02-27,17.9,17.9,17.2,17.5,15500
2013-02-28,17.2,17.9,17.0,17.3,3500
2013-03-03,16.3,16.3,16.0,16.1,7000
2013-03-04,16.5,16.8,16.5,16.5,4000
2013-03-05,16.5,16.5,16.2,16.3,6500
2013-03-06,16.4,16.4,16.3,16.3,3500
2013-03-07,15.5,16.4,15.5,16.0,1500
2013-03-10,16.2,16.3,16.0,16.1,6500
2013-03-11,16.1,16.2,16.0,16.1,2500
2013-03-12,16.1,16.1,15.8,15.9,6000
2013-03-13,16.0,16.7,16.0,16.2,15500
2013-03-14,16.0,16.2,16.0,16.0,1500
2013-03-18,16.2,16.2,16.2,16.2,500
2013-03-19,16.2,16.5,16.2,16.3,6000
2013-03-20,16.2,16.2,16.1,16.1,2500
2013-03-24,16.5,16.5,16.5,16.5,500
2013-03-25,15.7,15.7,15.4,15.5,2000
2013-03-27,15.1,15.2,15.0,15.0,6000
2013-03-28,15.2,15.4,15.2,15.3,8000
2013-03-31,15.1,15.1,15.0,15.0,4500
2013-04-03,14.6,14.6,14.6,14.6,1500
2013-04-04,14.7,14.7,14.3,14.5,3000
2013-04-07,14.3,14.3,14.1,14.1,6500
2013-04-08,14.8,14.8,14.8,14.8,6000
2013-04-09,15.9,15.9,15.6,15.7,11000
2013-04-10,16.6,16.6,16.0,16.2,15500
2013-04-11,16.4,16.4,16.0,16.0,7000
2013-04-15,16.1,17.0,16.1,16.6,5000
2013-04-16,16.5,16.5,15.8,16.2,10500
2013-04-17,16.2,16.6,16.2,16.4,5500
2013-04-18,16.7,17.4,16.7,17.2,21500
2013-04-21,17.5,17.5,16.4,16.5,13500
2013-04-22,16.3,16.3,16.0,16.1,9500
2013-04-23,16.0,16.2,16.0,16.0,12000
2013-04-24,16.1,16.4,16.0,16.1,9500
2013-04-25,16.2,16.2,16.0,16.0,6500
2013-04-28,15.9,15.9,15.6,15.7,2000
2013-04-29,16.0,16.3,15.7,15.9,9000
