Date,Open,High,Low,Close,Volume
2012-10-01,270.1,275.0,268.0,270.2,320700
2012-10-02,274.0,278.1,272.6,277.1,636000
2012-10-03,279.9,295.0,278.0,291.9,2560600
2012-10-04,295.0,304.9,291.0,294.4,1372000
2012-10-07,295.2,309.0,290.0,297.5,1310300
2012-10-08,296.0,303.0,289.6,294.7,1192400
2012-10-09,299.0,303.0,293.0,296.6,1008300
2012-10-10,301.9,310.4,300.2,306.7,1853100
2012-10-11,310.0,313.0,304.1,305.6,1118700
2012-10-14,309.4,319.9,307.3,317.4,1330100
2012-10-15,320.0,324.3,315.0,316.5,1053100
2012-10-16,318.0,319.4,312.8,314.4,695700
2012-10-17,315.0,315.0,308.7,309.3,741200
2012-10-18,310.8,321.9,309.0,320.1,930300
2012-10-21,323.9,329.1,321.7,325.3,1130500
2012-10-22,332.0,332.0,319.0,321.0,797800
2012-10-23,325.0,327.2,320.3,326.3,916200
2012-10-30,326.1,329.9,322.3,323.0,512800
2012-10-31,324.8,324.8,318.1,319.6,811600
2012-11-01,319.5,320.7,315.0,316.1,628100
2012-11-04,317.0,317.0,309.2,310.2,593900
2012-11-05,310.1,312.9,308.0,311.7,632300
2012-11-06,313.0,319.0,312.1,314.8,564800
2012-11-07,318.5,319.0,310.7,312.3,328500
2012-11-08,312.5,314.8,307.6,308.7,423200
2012-11-11,307.5,309.9,292.3,296.8,824800
2012-11-12,300.2,303.6,293.9,297.7,349700
2012-11-13,300.0,303.0,295.1,299.9,320800
2012-11-14,306.9,306.9,297.0,298.6,520500
2012-11-15,299.5,302.0,297.1,298.3,519900
2012-11-18,303.7,303.7,292.2,293.2,540800
2012-11-19,293.3,293.3,281.6,282.2,412300
2012-11-20,282.2,286.7,277.2,280.5,283000
2012-11-21,290.0,290.0,279.0,282.5,324900
2012-11-22,282.0,282.0,269.0,270.3,975300
2012-11-26,270.1,274.0,251.5,254.0,593700
2012-11-27,253.1,265.0,249.5,262.2,336100
2012-11-28,264.0,265.0,256.2,258.6,306500
2012-11-29,263.0,275.0,262.1,273.0,407500
2012-12-02,276.0,277.4,262.8,264.1,410600
2012-12-03,263.0,263.1,252.7,256.0,259200
2012-12-04,259.5,260.0,254.2,256.0,170500
2012-12-05,256.0,257.7,252.3,254.3,373000
2012-12-09,190.0,190.9,181.5,184.0,421500
2012-12-10,181.5,185.9,181.5,182.0,251200
2012-12-11,180.3,183.5,180.2,182.9,150900
2012-12-12,184.5,184.7,180.1,181.7,162300
2012-12-13,180.9,182.0,178.9,179.3,297000
2012-12-17,180.9,181.5,177.5,180.6,379800
2012-12-18,180.9,181.5,179.1,179.9,123700
2012-12-19,180.1,183.7,180.0,180.8,171400
2012-12-20,181.0,182.1,178.0,178.7,132400
2012-12-23,178.2,181.0,178.2,179.2,130800
2012-12-24,179.9,179.9,176.8,177.3,172400
2012-12-26,178.0,179.5,176.8,177.2,109100
2012-12-27,178.1,178.1,175.9,177.0,161500
2012-12-30,178.0,179.0,177.0,178.5,172300
2013-01-01,178.0,182.9,178.0,179.4,182400
2013-01-02,178.1,178.9,176.5,177.1,70400
2013-01-03,176.6,178.3,176.6,177.5,55100
2013-01-06,181.0,185.0,181.0,182.4,265300
2013-01-07,181.0,181.0,179.5,180.4,93300
2013-01-08,181.0,181.0,178.2,178.5,43800
2013-01-09,179.0,179.8,177.7,178.5,82200
2013-01-10,178.1,179.3,177.5,178.1,113300
2013-01-13,178.2,178.2,175.0,175.7,135100
2013-01-14,175.5,176.9,174.0,174.6,93200
2013-01-15,174.5,174.9,172.9,173.8,81600
2013-01-16,174.1,174.9,171.8,173.0,132400
2013-01-17,173.3,174.5,172.0,172.7,161700
2013-01-20,172.4,173.4,172.0,172.1,54900
2013-01-21,172.0,172.4,170.7,171.1,48900
2013-01-22,171.0,172.0,168.8,169.2,89700
2013-01-23,168.5,168.5,164.0,164.4,330600
2013-01-24,165.0,167.7,164.0,166.0,146900
2013-01-27,167.2,168.5,164.7,165.4,113700
2013-01-28,165.8,167.5,164.8,166.6,118600
2013-01-29,167.9,169.0,166.7,167.1,310900
2013-01-30,167.1,168.8,165.5,165.7,152100
2013-01-31,164.6,166.9,164.5,165.8,160200
2013-02-03,165.3,168.8,165.3,167.7,194800
2013-02-04,168.0,169.7,167.1,167.4,154100
2013-02-05,167.0,176.0,167.0,175.3,371400
2013-02-06,177.0,181.0,175.0,179.6,353900
2013-02-07,180.1,184.8,178.5,181.5,264400
2013-02-10,182.8,183.8,181.3,182.2,180500
2013-02-11,181.2,182.5,179.5,179.8,215900
2013-02-12,179.0,180.5,178.5,179.4,192100
2013-02-13,179.1,182.0,177.3,179.0,224400
2013-02-14,180.0,181.1,179.1,180.9,304800
2013-02-17,182.8,183.5,179.8,179.9,173900
2013-02-18,182.8,182.8,178.1,179.2,188900
2013-02-19,179.5,179.7,176.7,178.3,214400
2013-02-20,176.6,178.5,172.0,173.8,259400
2013-02-24,172.0,173.9,168.2,169.6,288900
2013-02-25,168.1,171.0,165.5,167.0,187800
2013-02-26,170.0,170.2,167.4,167.9,149800
2013-02-27,167.6,169.9,164.2,165.1,127300
2013-02-28,166.8,166.8,163.6,165.5,42200
2013-03-03,163.5,164.2,158.1,162.0,158800
2013-03-04,164.6,164.8,162.5,164.2,95800
2013-03-05,164.5,165.0,162.1,164.0,62900
2013-03-06,164.2,166.0,163.3,164.2,130000
2013-03-07,164.0,165.7,162.7,164.7,62400
2013-03-10,166.8,166.9,164.7,164.8,77100
2013-03-11,165.0,166.1,162.6,165.5,119900
2013-03-12,165.5,170.0,164.4,168.2,88000
2013-03-13,171.4,176.0,171.0,173.9,163900
2013-03-14,174.3,175.0,171.0,174.6,88600
2013-03-18,172.0,175.7,172.0,175.3,64700
2013-03-19,176.0,181.0,175.9,177.7,110400
2013-03-20,175.2,178.0,175.2,176.5,66500
2013-03-24,176.5,176.8,174.0,174.7,82100
2013-03-25,175.0,175.0,172.2,172.7,74400
2013-03-27,171.1,173.0,170.0,171.5,101400
2013-03-28,171.9,174.9,171.7,174.4,69700
2013-03-31,176.0,176.1,172.2,175.0,92600
2013-04-01,171.0,173.0,171.0,172.0,103500
2013-04-02,172.1,174.5,172.1,174.3,113200
2013-04-03,174.9,176.8,174.6,175.0,113700
2013-04-04,176.0,176.0,174.0,175.2,72900
2013-04-07,175.3,177.0,175.3,176.5,49000
2013-04-08,175.3,178.5,175.3,177.8,50800
2013-04-09,178.3,180.6,178.0,180.0,112400
2013-04-10,179.1,180.8,176.4,177.5,103900
2013-04-11,177.0,177.1,174.6,175.3,64500
2013-04-15,176.0,178.4,176.0,176.9,43300
2013-04-16,175.5,177.5,174.1,174.7,74000
2013-04-17,174.5,175.3,174.1,174.9,112100
2013-04-18,175.1,175.9,174.8,175.0,78200
2013-04-21,175.0,176.0,173.8,174.2,57400
2013-04-22,174.0,174.0,171.8,172.4,59200
2013-04-23,172.0,173.0,171.6,171.8,48700
2013-04-24,172.0,172.4,171.6,171.8,66100
2013-04-25,172.2,172.4,171.8,171.8,41300
2013-04-28,170.9,172.5,169.8,172.0,54400
2013-04-29,170.2,173.2,170.1,172.3,62100
2013-04-30,173.5,174.0,171.6,172.3,32900
2013-05-02,172.5,173.4,172.0,173.0,126000
2013-05-05,173.4,173.9,172.7,173.0,30300
2013-05-06,172.1,173.0,170.0,171.6,63100
2013-05-07,173.0,173.0,171.7,172.0,68500
2013-05-08,175.0,175.0,172.0,172.9,24600
2013-05-09,172.0,175.4,171.6,174.7,52900
2013-05-12,172.3,178.0,172.3,176.3,60000
2013-05-13,175.9,178.7,175.6,178.0,62500
2013-05-14,178.0,182.5,178.0,182.0,199300
2013-05-15,182.1,182.8,178.7,180.3,148200
2013-05-16,179.0,188.0,179.0,186.6,173100
2013-05-19,188.8,196.8,186.7,194.8,255300
2013-05-20,194.1,195.9,189.9,190.4,200300
2013-05-21,187.1,191.0,187.1,187.7,106500
2013-05-22,185.0,188.0,184.0,184.8,140100
2013-05-26,184.0,184.1,182.5,182.9,82800
2013-05-27,183.0,186.9,182.1,185.0,79900
2013-05-28,187.6,187.9,185.2,186.4,126300
2013-05-29,187.0,191.9,185.7,190.8,126400
2013-05-30,194.5,195.0,189.6,190.5,123800
2013-06-02,191.0,192.9,189.6,192.1,159300
2013-06-03,194.5,202.6,193.1,200.2,220000
2013-06-04,204.9,208.0,201.0,205.0,525300
2013-06-05,204.0,211.0,202.5,210.5,841700
2013-06-06,212.2,216.8,208.0,212.1,604800
2013-06-09,212.0,212.1,206.5,206.8,310500
2013-06-10,208.0,215.9,208.0,214.7,420900
2013-06-11,218.7,220.0,209.0,210.8,757300
2013-06-12,212.1,214.0,205.0,206.4,462100
2013-06-13,207.8,207.9,204.5,206.1,455700
2013-06-16,209.5,214.4,206.1,211.7,457700
2013-06-17,214.9,216.0,209.1,210.2,550900
2013-06-18,214.6,214.8,209.6,211.4,386200
2013-06-19,215.0,227.7,214.0,224.7,1237100
2013-06-20,224.0,225.5,215.5,216.7,528000
2013-06-23,217.1,225.9,215.5,218.8,871700
2013-06-24,221.0,221.6,215.5,218.8,609200
2013-06-26,220.5,235.0,220.0,229.7,1325900
2013-06-27,234.0,235.0,227.6,228.2,1000100
2013-06-30,226.1,238.0,226.0,229.1,1078900
2013-07-02,233.8,239.0,230.9,236.0,1409000
2013-07-03,239.9,240.0,233.5,234.0,811100
2013-07-04,235.5,235.5,229.5,231.1,890600
2013-07-07,233.5,238.0,231.0,232.1,942600
2013-07-08,235.9,244.4,232.7,240.3,1450200
2013-07-09,244.0,261.3,244.0,261.2,2275300
2013-07-10,265.0,265.0,251.0,259.3,1593000
2013-07-11,260.0,269.8,254.7,255.6,1140300
2013-07-14,258.0,263.0,248.5,255.4,1058400
2013-07-15,253.0,277.7,253.0,277.4,1844900
2013-07-16,282.0,290.0,278.0,280.4,2078000
2013-07-17,281.0,287.5,278.0,280.4,1660100
2013-07-18,280.0,280.0,256.0,263.5,1694300
2013-07-21,269.0,277.0,240.5,240.6,1129200
2013-07-22,249.0,250.0,230.0,235.1,725900
2013-07-23,238.5,239.0,215.2,217.8,986100
2013-07-24,224.0,236.8,215.1,236.8,557400
2013-07-25,242.9,244.8,220.5,226.4,594900
2013-07-28,225.0,229.5,212.2,220.5,274000
2013-07-29,223.9,239.7,221.7,237.9,638200
2013-07-30,242.0,248.1,235.0,238.0,561500
2013-07-31,242.0,245.0,236.1,241.0,612000
2013-08-01,243.0,243.0,232.2,235.1,358900
2013-08-04,230.0,234.0,223.2,224.8,261100
2013-08-05,222.1,228.4,222.1,227.0,281800
2013-08-12,225.1,230.4,221.0,228.2,238400
2013-08-13,232.0,240.4,231.0,239.2,475100
2013-08-14,240.0,242.4,236.2,238.5,386600
2013-08-18,238.1,243.6,237.3,241.1,468200
