Date,Open,High,Low,Close,Volume
2012-10-01,33.4,37.0,33.2,35.5,88000
2012-10-02,37.0,38.8,35.3,36.6,77500
2012-10-03,35.1,36.7,33.7,34.3,78000
2012-10-04,36.8,36.8,33.6,33.9,60000
2012-10-07,34.0,34.1,32.1,32.3,34000
2012-10-08,32.7,32.9,31.0,32.0,38000
2012-10-09,32.3,34.0,32.0,32.5,33500
2012-10-10,33.5,33.5,31.5,32.0,24500
2012-10-11,33.1,33.1,31.0,31.4,56500
2012-10-14,31.4,31.9,29.0,29.7,53500
2012-10-15,31.3,31.3,29.6,29.9,34000
2012-10-16,31.0,31.4,30.0,30.1,44000
2012-10-17,31.0,31.0,29.6,30.0,15500
2012-10-18,30.0,30.5,29.6,29.7,19500
2012-10-21,30.0,30.5,29.7,30.0,25000
2012-10-22,29.4,30.2,29.3,29.9,20000
2012-10-23,29.9,30.6,29.8,30.1,30500
2012-10-30,30.0,30.0,29.6,29.9,3500
2012-10-31,29.4,29.8,28.1,28.2,42000
2012-11-01,28.1,28.3,27.9,28.1,15500
2012-11-04,27.2,28.2,27.2,27.8,15000
2012-11-05,27.8,28.0,27.0,27.3,23500
2012-11-06,27.6,27.9,27.5,27.6,6500
2012-11-07,27.0,27.3,27.0,27.1,15500
2012-11-08,26.5,27.1,26.0,26.9,22500
2012-11-11,26.1,26.3,26.0,26.0,33500
2012-11-12,26.1,26.8,26.1,26.2,12500
2012-11-13,26.8,27.8,26.5,27.2,9000
2012-11-14,27.4,27.4,27.1,27.2,5500
2012-11-15,25.1,28.3,25.1,27.6,19000
2012-11-18,27.7,27.7,26.7,27.1,8000
2012-11-19,26.5,26.7,26.0,26.2,11000
2012-11-20,28.8,28.8,26.2,26.7,15500
2012-11-21,26.1,26.5,25.5,25.9,24500
2012-11-22,25.4,25.8,25.0,25.1,45000
2012-11-26,25.0,25.0,24.5,24.7,16000
2012-11-27,25.0,25.6,24.8,25.0,5500
2012-11-28,26.0,26.0,25.0,25.6,1500
2012-11-29,25.6,27.7,25.0,27.0,30000
2012-12-02,27.0,27.0,24.4,25.3,19500
2012-12-03,25.5,25.5,23.5,23.8,45500
2012-12-04,24.2,24.5,23.9,24.1,14000
2012-12-05,23.6,24.3,23.6,24.0,4000
2012-12-06,24.2,24.2,23.6,23.9,4500
2012-12-09,23.5,24.0,23.5,23.6,8000
2012-12-10,25.4,25.4,23.3,23.7,13500
2012-12-11,24.0,24.2,23.9,24.0,11000
2012-12-12,24.0,24.0,23.8,23.9,2500
2012-12-13,23.8,23.8,23.1,23.2,28000
2012-12-17,23.6,24.5,23.6,24.2,15000
2012-12-18,24.6,24.6,23.7,23.8,6500
2012-12-19,24.1,24.4,23.9,24.1,19500
2012-12-20,24.3,24.4,23.7,24.0,15000
2012-12-23,25.6,25.6,23.4,24.0,11500
2012-12-24,23.8,23.9,23.6,23.7,19000
2012-12-26,25.2,25.2,23.6,24.5,16000
2012-12-27,24.1,24.8,24.0,24.2,20000
2012-12-30,24.8,24.8,23.9,24.0,12000
2013-01-01,23.9,24.5,23.8,24.1,11000
2013-01-02,24.1,24.2,23.8,24.0,7500
2013-01-03,23.0,24.1,23.0,23.8,21000
2013-01-06,23.5,23.7,23.3,23.4,14500
2013-01-07,23.4,23.4,23.0,23.1,8500
2013-01-08,24.0,24.0,23.1,23.2,8000
2013-01-09,23.1,23.1,22.8,22.8,16000
