Date,Open,High,Low,Close,Volume
2024-01-28,20.3,20.3,18.2,18.7,154286
2024-01-29,19.0,19.9,18.6,18.9,74105
2024-01-30,19.6,19.6,18.5,18.8,38707
2024-01-31,18.9,19.9,18.6,18.7,59904
2024-02-01,19.3,19.3,18.5,18.6,161303
2024-02-04,20.0,20.0,18.6,18.6,37746
2024-02-05,19.4,19.4,18.0,18.0,201127
2024-02-06,18.9,18.9,18.4,18.4,64125
2024-02-07,18.5,19.0,18.2,18.3,89523
2024-02-08,18.4,19.1,17.9,18.0,304421
2024-02-11,17.8,18.8,17.3,17.4,183554
2024-02-12,17.6,18.2,17.5,17.8,317998
2024-02-13,18.1,18.5,18.0,18.2,141489
2024-02-14,18.3,18.5,18.1,18.2,162151
2024-02-15,18.5,18.5,17.3,17.4,249120
2024-02-18,18.6,18.6,17.4,17.5,35625
2024-02-19,17.6,18.2,17.0,17.3,218419
2024-02-20,17.9,17.9,17.4,17.5,52093
2024-02-22,17.4,18.9,17.4,18.2,234125
2024-02-25,19.1,20.0,19.0,20.0,484935
2024-02-27,20.7,21.8,20.6,21.4,826399
2024-02-28,21.4,21.9,20.4,20.8,365266
2024-02-29,21.3,22.5,21.0,21.4,1055979
2024-03-03,21.5,22.6,21.3,21.7,1372835
2024-03-04,22.6,23.5,21.8,23.4,1863265
2024-03-05,23.9,24.5,22.7,23.3,2064663
2024-03-06,24.9,24.9,22.8,23.3,450366
2024-03-07,24.0,24.2,22.7,23.1,755612
2024-03-10,23.9,23.9,22.4,22.7,315131
2024-03-11,23.7,23.7,21.8,22.0,261664
2024-03-12,22.4,22.5,20.7,21.2,261642
2024-03-13,22.8,22.8,20.6,21.2,176889
2024-03-14,22.3,22.3,21.3,22.1,415573
2024-03-18,23.8,23.8,21.1,21.4,177533
2024-03-19,20.7,22.0,20.5,20.9,94632
2024-03-20,21.4,21.8,21.0,21.1,98458
2024-03-21,20.7,21.9,20.6,20.7,132619
2024-03-24,21.8,21.8,20.5,20.6,317256
2024-03-25,21.5,21.7,20.8,21.3,158899
2024-03-27,22.0,22.3,21.2,21.5,279935
