Date,Open,High,Low,Close,Volume
2015-10-15,75.0,93.5,64.0,85.8,5368200
2015-10-18,80.0,83.0,70.3,71.3,1441490
2015-10-19,70.9,73.8,65.2,66.8,2191670
2015-10-20,66.0,73.4,66.0,73.4,948945
2015-10-21,75.6,79.8,74.5,76.4,1900630
2015-10-25,75.0,77.9,70.2,72.4,1806810
2015-10-26,72.4,72.9,67.9,68.6,1372860
2015-10-27,69.0,73.0,68.7,72.5,1230550
2015-10-28,72.7,74.6,71.1,71.4,1270140
2015-10-29,69.2,71.9,68.7,69.2,700296
2015-11-01,70.0,70.0,64.0,65.0,1155570
2015-11-02,65.4,66.5,61.9,62.8,1069440
2015-11-03,63.5,64.7,61.9,63.1,856419
2015-11-04,63.3,67.0,63.2,66.7,1345660
2015-11-05,66.7,68.5,66.4,68.1,1090650
2015-11-08,68.4,74.8,68.1,71.6,1700860
2015-11-09,71.9,74.6,70.4,73.3,1235670
2015-11-10,73.4,74.6,69.9,70.4,885550
2015-11-11,72.0,72.0,67.0,68.6,939861
2015-11-12,69.1,71.5,68.2,68.9,937814
2015-11-15,69.5,72.9,68.9,72.3,924134
2015-11-16,72.9,76.0,72.5,73.9,1581800
2015-11-17,73.9,75.4,72.1,72.4,1205580
2015-11-18,73.2,74.7,72.4,73.3,983555
2015-11-19,74.1,77.6,74.1,77.1,1641970
2015-11-22,79.2,80.0,77.6,78.2,1097400
2015-11-23,78.2,79.0,74.4,75.0,1343610
2015-11-24,75.9,77.5,75.0,76.7,826241
2015-11-25,77.5,82.7,77.5,81.9,1704870
2015-11-26,83.5,84.0,80.4,80.9,1121080
2015-11-29,80.9,85.7,80.6,84.1,1589090
2015-11-30,85.0,87.2,84.0,85.9,1357240
2015-12-01,86.2,89.8,84.4,89.0,1764730
2015-12-02,90.8,91.5,88.0,89.6,1184800
2015-12-03,89.5,92.1,86.1,87.3,1908580
2015-12-06,89.0,91.5,87.2,89.0,1719840
2015-12-07,89.9,90.1,83.3,84.0,1544670
2015-12-08,84.8,88.0,83.6,87.1,1069410
2015-12-09,87.8,88.8,83.5,84.2,1041410
2015-12-10,84.1,86.7,82.8,85.5,1199110
2015-12-13,86.0,86.7,83.8,84.1,561463
2015-12-14,83.9,85.3,81.4,82.3,647340
2015-12-15,82.3,83.7,80.6,81.8,759678
2015-12-17,82.4,84.2,80.7,81.3,609770
2015-12-20,81.5,83.9,80.7,82.3,1077170
2015-12-21,84.7,88.3,84.7,87.8,1569110
2015-12-22,88.0,89.9,85.0,85.9,1748910
2015-12-23,86.1,87.5,84.2,85.0,1141640
2015-12-24,85.8,86.1,83.1,83.6,912668
2015-12-27,84.6,85.3,83.0,83.4,955019
2015-12-28,84.0,86.0,83.0,85.3,809941
2015-12-29,85.5,86.7,83.7,84.1,901079
2015-12-30,84.4,85.2,83.1,83.6,467576
2015-12-31,83.2,85.8,83.2,85.0,748259
2016-01-03,85.8,87.5,85.6,86.3,1221070
2016-01-04,86.8,89.0,86.8,88.5,1283400
2016-01-05,88.8,91.5,88.8,91.0,1951000
2016-01-06,91.0,93.4,88.4,90.6,1726890
2016-01-07,90.1,91.4,87.0,87.6,1508660
2016-01-10,89.4,89.4,86.1,86.5,1107620
2016-01-11,87.0,87.9,86.1,87.0,625520
2016-01-12,88.0,89.9,86.9,87.7,1028980
2016-01-13,87.6,88.9,83.5,84.8,1322750
2016-01-14,84.5,85.8,81.3,82.4,1154910
2016-01-17,82.8,84.7,81.6,82.6,780640
2016-01-18,83.5,83.8,79.8,80.3,972167
2016-01-19,80.7,82.7,76.5,77.0,1236330
