Date,Open,High,Low,Close,Volume
2012-10-01,56.5,56.5,54.4,55.0,422900
2012-10-02,56.0,57.2,55.1,55.4,675100
2012-10-03,55.6,57.8,55.6,56.4,940600
2012-10-04,57.9,58.2,56.0,56.1,762400
2012-10-07,56.0,56.3,54.1,54.3,558800
2012-10-08,53.8,54.9,52.5,53.1,364100
2012-10-09,54.8,55.0,53.0,53.3,533800
2012-10-10,54.5,54.5,52.0,52.2,401800
2012-10-11,53.0,53.0,51.0,51.2,380700
2012-10-14,51.0,52.0,50.7,51.0,509400
2012-10-15,52.0,52.5,51.0,52.1,432300
2012-10-16,52.0,53.0,51.8,52.2,422900
2012-10-17,52.5,52.7,51.5,51.6,252600
2012-10-18,52.0,52.0,51.1,51.6,248400
2012-10-21,50.7,52.0,50.7,50.8,174900
2012-10-22,51.0,51.3,50.5,50.9,233400
2012-10-23,51.7,54.6,51.5,53.9,684100
2012-10-30,53.8,54.1,53.1,53.2,211000
2012-10-31,53.1,55.0,52.9,54.2,715100
2012-11-01,54.5,55.6,54.0,54.6,489500
2012-11-04,54.5,55.4,54.0,54.1,556600
2012-11-05,54.7,54.7,53.2,53.6,294200
2012-11-06,54.0,54.0,52.6,52.9,297900
2012-11-07,53.0,53.4,51.3,51.5,270800
2012-11-08,51.3,51.9,50.5,50.6,404400
2012-11-11,50.6,51.0,48.5,49.2,304000
2012-11-12,49.2,50.3,48.5,49.2,194900
2012-11-13,49.9,51.1,49.3,50.8,222900
2012-11-14,50.8,51.6,50.0,51.3,423600
2012-11-15,51.9,51.9,51.0,51.5,228400
2012-11-18,50.8,51.7,50.0,50.9,356900
2012-11-19,50.1,50.8,49.7,49.8,204700
2012-11-20,49.9,49.9,48.8,48.9,170000
2012-11-21,50.5,50.5,47.8,48.1,237900
2012-11-22,49.3,49.3,48.0,48.1,183700
2012-11-26,48.3,48.9,47.2,47.4,140700
2012-11-27,48.0,48.0,46.8,46.9,126000
2012-11-28,47.5,47.6,46.5,46.6,74100
2012-11-29,47.9,50.3,47.3,49.9,229800
2012-12-02,50.4,50.4,48.0,48.7,119800
2012-12-03,48.0,48.3,47.2,47.3,104100
2012-12-04,47.1,47.6,46.7,47.2,91000
2012-12-05,47.7,47.7,47.1,47.2,123100
2012-12-06,46.8,47.4,46.6,47.2,233200
2012-12-09,46.4,47.3,46.2,46.5,160000
2012-12-10,46.7,47.0,45.8,46.1,184100
2012-12-11,45.3,46.8,45.3,46.3,116400
2012-12-12,46.8,47.2,46.4,46.4,88300
2012-12-13,46.2,47.0,46.2,46.8,94900
2012-12-17,47.0,48.3,47.0,47.8,176800
2012-12-18,47.4,48.3,46.8,46.9,90000
2012-12-19,46.7,50.1,46.7,49.5,258500
2012-12-20,50.4,50.5,48.8,48.9,270700
2012-12-23,48.6,49.8,47.2,47.5,769800
2012-12-24,47.4,48.1,47.4,47.7,105000
2012-12-26,47.7,49.4,47.7,48.8,127800
2012-12-27,49.0,50.7,48.9,50.5,613400
2012-12-30,50.8,51.3,49.6,49.8,291900
2013-01-01,50.4,50.4,49.0,49.1,188200
2013-01-02,49.0,49.0,48.2,48.4,111300
2013-01-03,49.9,49.9,48.3,49.1,185900
2013-01-06,47.1,49.7,47.1,49.0,365900
2013-01-07,49.0,49.1,47.9,48.2,163600
2013-01-08,48.1,48.9,47.9,48.0,164900
2013-01-09,48.2,48.6,47.8,47.9,120700
2013-01-10,47.9,48.0,47.5,47.6,169400
2013-01-13,48.0,48.2,47.5,47.5,87000
2013-01-14,47.5,48.0,47.1,47.2,114800
2013-01-15,47.2,47.5,47.0,47.3,70600
2013-01-16,47.3,47.9,47.0,47.7,88000
2013-01-17,48.0,48.3,47.8,48.1,109100
2013-01-20,48.0,48.0,47.4,47.5,119000
2013-01-21,47.4,47.5,47.2,47.3,44200
2013-01-22,47.2,47.9,47.2,47.4,168500
2013-01-23,47.4,48.3,47.4,47.6,157400
2013-01-24,47.5,48.5,47.5,48.1,160700
2013-01-27,48.8,48.9,48.1,48.3,249700
2013-01-28,48.4,50.0,47.9,49.5,311500
2013-01-29,50.0,50.8,49.5,50.0,447900
2013-01-30,50.4,50.4,49.1,49.3,403300
2013-01-31,49.5,49.9,49.1,49.5,194900
2013-02-03,49.2,50.5,49.2,50.1,327100
2013-02-04,50.6,50.6,49.5,49.7,368600
2013-02-05,49.7,50.8,49.7,50.3,407900
2013-02-06,50.2,51.6,50.2,51.0,446100
2013-02-07,51.0,51.6,51.0,51.3,510300
2013-02-10,51.8,53.5,51.6,53.0,826400
2013-02-11,53.9,54.0,52.6,52.9,501500
2013-02-12,53.0,54.0,52.8,53.2,912300
2013-02-13,53.0,55.9,52.7,55.7,1345500
2013-02-14,56.8,58.4,56.0,57.5,1965100
2013-02-17,57.4,57.6,55.5,55.7,1496300
2013-02-18,56.0,59.3,55.8,58.8,2907400
2013-02-19,59.7,60.7,58.5,58.9,2458500
2013-02-20,59.8,61.0,58.2,59.7,2456000
2013-02-24,59.9,60.2,56.3,57.0,1852900
2013-02-25,57.9,59.0,55.5,56.0,1100100
2013-02-26,57.8,58.5,56.0,58.1,1226200
2013-02-27,59.0,59.2,56.3,56.8,1392500
2013-02-28,57.0,57.6,55.4,56.8,576000
2013-03-03,56.0,56.9,51.6,52.0,1004200
2013-03-04,53.0,54.6,52.5,53.8,759100
2013-03-05,54.4,54.7,52.4,52.8,542800
2013-03-06,53.7,54.3,52.2,52.7,711300
2013-03-07,53.0,53.0,51.6,52.1,608800
2013-03-10,53.0,53.2,50.6,51.2,483100
2013-03-11,51.4,52.0,49.0,51.4,631000
2013-03-12,50.3,52.1,49.7,51.4,394100
2013-03-13,51.9,53.6,51.9,52.8,475800
2013-03-14,53.5,53.5,51.8,52.8,532800
2013-03-18,52.2,53.1,51.8,52.7,241700
2013-03-19,52.8,53.1,51.8,51.9,338900
2013-03-20,52.0,52.0,50.2,51.0,528800
2013-03-24,51.0,51.0,49.0,49.2,311500
2013-03-25,49.8,49.9,48.0,48.4,225600
2013-03-27,47.7,47.7,46.2,46.7,232900
2013-03-28,46.8,48.2,46.7,48.0,129000
2013-03-31,47.5,48.2,46.1,47.0,225700
2013-04-01,46.8,47.0,44.9,45.0,269900
2013-04-02,46.2,46.8,44.7,45.7,106900
2013-04-03,46.4,47.0,45.8,45.9,144200
2013-04-04,45.0,46.4,45.0,46.1,442600
2013-04-07,46.3,46.5,46.1,46.2,138100
2013-04-08,45.6,46.4,45.1,46.1,163100
2013-04-09,46.7,48.1,46.5,47.6,240100
2013-04-10,48.0,49.4,47.6,47.8,231300
2013-04-11,47.9,47.9,47.1,47.3,103200
2013-04-15,48.0,49.0,48.0,48.8,143500
2013-04-16,49.0,49.0,46.7,47.0,200600
2013-04-17,47.8,48.0,46.9,47.2,157200
2013-04-18,47.1,48.1,46.4,46.6,310800
2013-04-21,47.0,47.0,45.8,46.0,139000
2013-04-22,45.3,46.5,45.3,45.4,110000
2013-04-23,45.8,45.9,45.4,45.6,72400
2013-04-24,46.0,46.0,45.2,45.2,75900
2013-04-25,46.2,46.2,45.2,45.3,51300
2013-04-28,45.1,45.5,44.1,44.6,130100
2013-04-29,44.5,44.9,44.0,44.6,183200
2013-04-30,45.0,45.4,43.8,45.2,506800
2013-05-02,44.9,47.0,44.5,46.6,277500
2013-05-05,46.8,47.5,46.2,46.5,189500
2013-05-06,46.0,46.2,45.2,45.6,143600
2013-05-07,46.3,46.5,46.2,46.3,170500
2013-05-08,46.5,47.1,45.9,46.0,228100
2013-05-09,45.6,46.3,45.0,46.0,250400
2013-05-12,46.5,49.9,46.5,49.1,845600
2013-05-13,49.9,51.0,48.3,50.6,1226000
2013-05-15,46.5,49.2,46.5,48.2,1531100
2013-05-16,49.9,53.0,49.9,52.8,3066200
2013-05-19,53.0,55.2,52.3,54.2,1809700
2013-05-20,53.9,54.2,52.2,52.4,1360800
2013-05-21,52.5,54.1,52.2,53.6,1714200
2013-05-22,53.7,54.0,51.1,51.5,1114700
2013-05-26,51.6,52.6,49.6,49.7,386700
2013-05-27,50.0,51.9,49.9,51.0,418300
2013-05-28,51.8,52.0,49.9,50.1,476100
2013-05-29,51.1,52.7,50.7,52.0,1300000
2013-05-30,53.0,53.4,51.5,51.7,787700
2013-06-02,52.7,52.7,51.2,51.7,1161800
2013-06-03,52.2,52.9,51.8,52.0,941500
2013-06-04,53.0,53.3,51.9,52.2,1053000
2013-06-05,53.1,53.1,51.5,52.1,1166400
2013-06-06,52.9,52.9,50.7,50.9,893500
2013-06-09,50.2,51.0,48.8,49.1,732300
2013-06-10,50.0,51.5,49.3,50.7,548800
2013-06-11,51.4,52.0,50.1,50.4,689700
2013-06-12,51.0,54.1,50.7,53.4,2009000
2013-06-13,54.2,55.3,53.7,54.1,2004400
2013-06-16,54.5,57.5,53.9,56.9,1932000
2013-06-17,57.5,57.5,54.5,54.7,818600
2013-06-18,55.2,57.2,53.8,56.8,1328400
2013-06-19,57.5,57.9,54.5,54.9,1525900
2013-06-20,55.0,55.9,53.0,53.9,980800
2013-06-23,54.9,55.4,52.7,53.1,822100
2013-06-24,53.1,54.3,52.4,53.5,619400
2013-06-26,54.0,55.2,53.1,53.6,897800
2013-06-27,54.0,54.0,51.9,52.7,751900
2013-06-30,52.0,53.0,51.3,51.7,994800
2013-07-02,53.0,54.0,52.2,53.1,971500
2013-07-03,53.2,57.1,53.2,56.4,2935200
2013-07-04,56.7,58.7,56.5,56.7,2337400
2013-07-07,57.9,58.4,56.1,56.5,1811100
2013-07-08,56.2,57.0,55.6,56.0,2321900
2013-07-09,57.0,57.5,55.7,56.8,2111200
2013-07-10,55.8,57.2,55.2,55.6,1296200
2013-07-11,55.7,56.0,54.0,54.0,876200
2013-07-14,54.2,54.3,52.6,53.6,607000
2013-07-15,53.8,54.2,52.9,53.5,854500
2013-07-16,54.0,54.5,53.4,53.6,530600
2013-07-17,53.5,54.2,53.2,53.4,411900
2013-07-18,53.0,55.9,53.0,54.4,558600
2013-07-21,54.1,54.8,51.5,52.1,495600
2013-07-22,52.2,53.5,51.7,52.3,433000
2013-07-23,52.1,52.8,51.0,51.4,346900
2013-07-24,51.6,53.9,51.6,53.4,303800
2013-07-25,53.5,53.7,51.8,52.4,368600
2013-07-28,51.1,53.4,51.0,52.7,131100
2013-07-29,52.0,53.7,52.0,53.0,231000
2013-07-30,54.0,55.1,53.1,53.7,655400
2013-07-31,54.0,54.1,52.0,52.3,416700
2013-08-01,52.1,52.5,51.7,52.0,258000
2013-08-04,52.4,52.4,51.2,51.3,249300
2013-08-05,51.7,51.9,51.0,51.3,423000
