Date,Open,High,Low,Close,Volume
2012-10-01,523.0,523.0,520.5,520.8,1100
2012-10-02,539.0,550.0,530.0,540.0,2550
2012-10-03,550.0,560.0,540.4,552.9,3850
2012-10-04,552.0,552.0,551.5,551.8,150
2012-10-08,533.1,533.5,516.0,530.6,900
2012-10-09,530.2,530.2,530.0,530.1,300
2012-10-10,530.0,534.0,530.0,531.3,550
2012-10-11,528.0,531.4,524.1,527.0,500
2012-10-14,515.1,529.8,515.0,519.9,150
2012-10-15,519.0,524.9,516.0,517.9,3500
2012-10-16,516.0,524.9,516.0,520.8,450
2012-10-17,518.5,523.0,518.5,519.5,300
2012-10-18,522.0,522.0,521.1,521.7,450
2012-10-21,515.0,516.1,515.0,515.7,1700
2012-10-22,515.0,516.4,510.0,512.1,400
2012-10-23,520.0,520.0,520.0,520.0,350
2012-10-30,520.1,520.1,520.0,520.0,600
2012-10-31,520.0,520.0,515.3,519.8,1750
2012-11-01,515.3,515.3,515.3,515.3,50
2012-11-04,524.0,524.0,516.0,519.2,250
2012-11-05,518.3,518.3,518.0,518.1,350
2012-11-06,518.5,520.0,518.5,519.5,300
2012-11-07,519.5,520.0,510.0,517.5,1650
2012-11-08,520.0,555.0,520.0,543.0,11850
2012-11-11,531.0,531.0,522.6,529.4,450
2012-11-12,550.0,550.0,530.1,541.6,10200
2012-11-13,542.5,550.0,542.0,546.9,15300
2012-11-14,543.0,585.0,543.0,578.4,27400
2012-11-15,595.0,610.0,595.0,600.0,27450
2012-11-18,595.0,600.0,595.0,596.2,7050
2012-11-19,579.9,581.0,573.0,573.7,22450
2012-11-20,561.0,578.0,561.0,573.7,16700
2012-11-21,574.0,578.0,573.2,575.4,9900
2012-11-22,575.0,575.2,573.0,573.9,9900
2012-11-26,563.0,570.0,563.0,569.7,3050
2012-11-27,565.0,570.0,565.0,565.8,1300
2012-11-28,565.5,570.0,562.0,565.0,6500
2012-11-29,565.0,572.0,565.0,567.3,2200
2012-12-02,567.5,567.5,560.0,563.5,600
2012-12-05,573.9,573.9,553.2,567.2,3500
2012-12-09,560.0,561.0,550.0,554.3,400
2012-12-10,552.1,552.1,552.0,552.0,450
2012-12-11,559.0,560.0,550.0,554.7,500
2012-12-12,550.0,555.0,550.0,553.5,700
2012-12-17,553.5,554.0,550.0,552.8,400
2012-12-18,552.0,555.0,552.0,553.3,650
2012-12-19,555.0,555.0,555.0,555.0,150
2012-12-20,555.0,555.0,551.0,554.7,2250
2012-12-23,551.1,551.1,551.0,551.0,100
2012-12-24,551.0,560.0,551.0,558.0,5750
2012-12-26,557.5,558.0,557.5,557.9,550
2012-12-27,545.0,550.0,545.0,549.7,1500
2012-12-30,550.0,550.0,545.0,549.1,1250
2013-01-01,544.4,550.0,544.4,548.8,250
2013-01-02,546.0,546.0,546.0,546.0,50
2013-01-09,515.5,516.0,515.2,515.5,300
2013-01-13,548.0,548.0,548.0,548.0,100
2013-01-15,524.1,524.1,524.0,524.0,400
2013-01-16,515.1,536.0,515.1,527.2,600
2013-01-17,540.0,545.5,540.0,543.7,550
2013-01-20,547.0,547.0,539.0,541.5,950
2013-01-21,539.9,539.9,539.9,539.9,50
2013-01-22,539.9,539.9,536.0,537.8,800
2013-01-23,538.3,543.9,538.3,542.0,200
2013-01-27,531.0,531.0,531.0,531.0,100
2013-01-28,528.0,528.0,528.0,528.0,300
2013-01-29,535.0,536.0,535.0,535.5,300
2013-01-30,535.0,535.5,535.0,535.3,1200
2013-02-03,540.0,540.0,535.6,539.1,1000
2013-02-04,535.0,535.0,532.0,533.0,150
2013-02-05,532.0,544.0,532.0,539.0,250
2013-02-06,547.0,547.0,542.0,542.6,650
2013-02-07,540.0,540.0,535.0,539.0,250
2013-02-10,540.0,540.0,540.0,540.0,250
2013-02-11,526.2,526.2,526.2,526.2,100
2013-02-12,529.2,529.2,529.0,529.1,250
2013-02-13,530.0,530.0,521.0,523.2,200
2013-02-14,520.0,530.0,520.0,526.3,550
2013-02-17,524.0,525.0,523.0,523.8,450
2013-02-18,520.1,522.2,519.0,520.2,1350
2013-02-19,518.0,518.0,518.0,518.0,50
2013-02-20,515.0,520.0,515.0,517.4,600
2013-02-24,517.2,517.2,516.1,516.8,150
2013-02-25,505.0,512.1,505.0,508.5,100
2013-02-26,531.0,531.0,531.0,531.0,150
2013-02-27,510.0,512.0,507.5,509.6,1100
2013-02-28,509.4,511.3,509.4,510.5,1100
2013-03-03,510.0,510.0,510.0,510.0,250
2013-03-04,509.0,510.0,502.0,504.2,700
2013-03-05,506.6,507.0,506.4,506.5,1050
2013-03-06,510.0,529.9,505.9,517.8,650
2013-03-07,514.0,515.0,514.0,514.5,100
2013-03-10,510.0,510.0,509.0,509.6,150
2013-03-12,512.0,529.0,512.0,514.1,400
2013-03-13,524.2,524.2,523.5,523.8,200
2013-03-14,518.0,538.6,518.0,528.5,1650
2013-03-18,540.0,540.0,520.0,524.2,2000
2013-03-19,520.0,520.0,516.0,518.3,550
2013-03-20,515.2,515.2,515.0,515.0,300
2013-03-24,510.0,510.0,492.0,500.9,1600
2013-03-25,490.0,498.0,490.0,492.7,1400
2013-03-27,490.0,499.0,490.0,491.1,2750
2013-03-31,482.0,482.0,482.0,482.0,150
2013-04-03,481.0,483.0,480.0,480.8,500
2013-04-04,480.2,480.5,480.1,480.2,350
2013-04-07,470.0,478.0,465.1,468.2,350
2013-04-08,480.0,480.0,480.0,480.0,200
2013-04-09,480.0,481.1,480.0,480.7,350
2013-04-10,482.0,487.0,482.0,484.5,100
2013-04-11,490.0,490.0,490.0,490.0,50
2013-04-16,495.0,495.0,495.0,495.0,50
2013-04-18,476.0,490.0,475.1,481.6,650
2013-04-22,497.0,497.0,492.3,495.5,400
2013-04-23,494.0,495.0,494.0,494.7,400
2013-04-24,494.0,495.0,494.0,494.7,200
2013-04-25,515.0,515.0,499.0,504.6,300
2013-04-29,500.0,500.0,500.0,500.0,100
2013-04-30,500.0,500.0,500.0,500.0,100
2013-05-02,497.0,497.0,497.0,497.0,50
2013-05-05,481.1,481.1,481.0,481.0,150
2013-05-07,500.0,510.0,500.0,502.7,2500
2013-05-08,500.0,500.0,500.0,500.0,450
2013-05-09,500.0,500.0,500.0,500.0,350
2013-05-12,502.2,518.5,502.2,511.5,1600
2013-05-13,510.0,525.0,510.0,514.1,1150
2013-05-14,524.9,524.9,516.0,518.2,1150
2013-05-15,523.0,525.0,520.0,523.0,850
2013-05-16,529.0,555.0,529.0,547.9,2150
2013-05-19,550.0,563.0,550.0,554.4,2100
2013-05-20,565.0,565.0,540.0,542.3,4000
2013-05-21,564.0,564.0,544.0,547.7,750
2013-05-22,565.0,565.0,540.0,552.5,100
2013-05-26,548.0,548.0,530.0,532.3,650
2013-05-27,526.0,540.0,526.0,533.0,100
2013-05-28,531.1,547.0,531.1,540.7,400
2013-05-29,550.0,550.0,544.0,548.7,1850
2013-05-30,557.0,559.0,551.7,555.8,3200
2013-06-02,569.9,572.0,565.0,566.8,2900
2013-06-03,585.0,589.8,575.0,579.6,5000
2013-06-04,585.1,585.1,570.0,574.0,4300
2013-06-05,577.1,577.1,571.0,572.8,1600
2013-06-06,588.0,593.0,579.0,590.1,2900
2013-06-09,595.0,595.0,560.0,570.8,2600
2013-06-10,570.0,577.0,566.1,569.8,200
2013-06-11,572.0,572.0,561.0,568.1,1500
2013-06-12,571.0,571.0,570.1,570.8,1050
2013-06-13,570.0,570.0,569.0,569.8,650
2013-06-16,561.0,570.0,561.0,565.4,500
2013-06-17,568.0,568.0,565.1,566.4,2550
2013-06-18,570.0,570.0,560.0,566.3,900
2013-06-19,574.8,586.0,574.8,576.6,4250
2013-06-20,576.0,577.0,571.0,571.9,9550
2013-06-23,574.0,578.0,570.0,574.4,750
2013-06-26,580.0,585.9,580.0,582.3,4050
2013-06-27,586.9,586.9,579.0,583.5,1500
2013-06-30,579.0,584.0,578.0,581.4,1550
2013-07-02,575.1,580.0,575.1,576.2,1250
2013-07-03,571.0,579.0,568.0,570.1,1400
2013-07-04,566.0,566.0,565.1,565.4,600
2013-07-07,568.0,568.0,565.6,566.7,2050
2013-07-08,561.0,573.0,560.5,565.7,4250
2013-07-09,570.0,574.0,568.0,570.8,7600
2013-07-10,577.0,580.0,573.2,576.5,5800
2013-07-11,570.0,577.0,565.1,569.9,4300
2013-07-14,571.0,571.0,560.6,565.0,1600
2013-07-15,570.0,570.0,562.0,565.6,1000
2013-07-16,571.0,574.9,566.1,570.8,4850
2013-07-17,574.8,613.0,574.8,593.8,4350
2013-07-18,609.0,611.0,580.0,588.1,6850
2013-07-21,608.9,608.9,582.1,585.2,4800
2013-07-22,587.2,587.2,562.2,570.0,3650
2013-07-23,585.0,585.0,560.0,572.0,7050
2013-07-24,575.0,594.9,575.0,589.1,12800
2013-07-25,590.0,591.0,575.0,580.5,2300
2013-07-28,586.0,588.9,580.5,585.5,5050
2013-07-29,581.0,608.0,581.0,604.0,33350
2013-07-31,585.1,648.9,585.1,621.6,40150
2013-08-01,633.0,637.0,604.0,610.2,16850
2013-08-04,610.0,610.0,590.0,598.2,1300
2013-08-05,597.0,600.0,580.0,591.7,2800
2013-08-12,599.0,602.0,590.0,598.7,9700
2013-08-13,600.0,610.0,597.2,600.1,6200
2013-08-14,595.1,602.6,595.0,596.8,3700
2013-08-18,596.5,604.0,596.5,599.5,14800
2013-08-19,596.0,605.0,595.0,599.0,5450
2013-08-20,605.0,609.0,601.1,604.5,7050
2013-08-21,614.9,635.0,610.1,622.8,17900
2013-08-22,613.1,669.5,613.1,663.4,26000
2013-08-25,698.0,713.1,689.0,713.1,54000
2013-08-26,721.0,732.0,700.5,720.4,39300
2013-08-27,768.0,768.0,726.0,738.6,58200
2013-08-29,755.0,779.0,742.1,748.7,44700
2013-09-01,712.0,755.0,711.1,714.9,28750
2013-09-02,712.1,720.0,692.2,697.4,10850
2013-09-03,698.0,698.0,682.0,694.9,7000
2013-09-04,705.0,719.9,702.2,704.7,14950
2013-09-05,715.0,720.0,697.6,699.2,7900
2013-09-08,740.0,740.0,691.0,704.2,18950
2013-09-09,710.0,745.0,709.0,738.7,72850
2013-09-10,755.0,758.0,746.0,748.6,41000
2013-09-11,758.0,785.0,751.0,778.8,120100
2013-09-12,798.0,800.0,775.2,779.1,96700
2013-09-15,781.9,790.0,756.5,759.7,61250
2013-09-16,763.5,764.0,730.1,734.1,39500
2013-09-17,738.0,738.0,712.1,718.2,39500
2013-09-18,730.0,745.0,721.0,725.1,28300
2013-09-19,748.0,749.9,719.5,727.7,21850
2013-09-22,726.0,726.0,710.7,715.4,12450
2013-09-23,714.0,719.0,695.0,701.0,13300
2013-09-24,704.9,723.0,702.2,704.4,14400
2013-09-25,723.6,723.6,692.0,694.2,8200
2013-09-26,719.0,723.0,690.1,700.1,11800
2013-09-29,700.0,700.0,681.0,688.2,9850
2013-09-30,668.0,678.0,666.1,668.8,10200
2013-10-01,674.0,680.0,663.0,667.9,7300
2013-10-02,673.9,689.0,672.0,677.9,3400
2013-10-03,680.5,681.0,656.1,662.0,6450
2013-10-06,650.0,650.0,638.1,642.0,3200
2013-10-07,640.0,644.0,635.0,642.9,5250
2013-10-08,631.1,631.1,613.0,616.5,4850
2013-10-09,611.0,620.0,610.0,615.9,2450
2013-10-10,611.0,625.0,610.0,612.2,4700
2013-10-20,585.0,599.0,585.0,586.7,2950
2013-10-21,586.0,609.0,585.0,598.6,4600
2013-10-22,605.0,611.9,605.0,606.9,13550
2013-10-23,612.0,644.8,611.2,624.5,10000
2013-10-24,612.6,626.9,601.0,601.9,3750
2013-10-27,606.0,618.0,606.0,614.1,4200
2013-10-28,620.0,632.0,612.5,614.6,4800
2013-10-29,624.0,634.0,620.0,625.1,16950
2013-10-30,630.0,630.0,616.0,625.4,17450
2013-10-31,636.4,640.0,615.5,625.4,11250
2013-11-03,634.9,658.0,634.0,654.9,15650
2013-11-04,646.9,664.9,646.9,652.0,11800
2013-11-05,657.0,657.0,621.9,625.3,13500
2013-11-06,627.0,640.0,625.0,628.7,14500
2013-11-07,639.0,639.8,622.0,624.5,9500
2013-11-10,631.0,633.9,615.2,618.3,7700
2013-11-11,609.0,630.0,609.0,619.4,6750
2013-11-12,625.0,625.0,616.0,617.3,11250
2013-11-13,650.0,650.0,608.0,611.4,27550
2013-11-14,614.0,621.5,608.0,608.9,19750
2013-11-17,611.0,625.0,611.0,615.5,3400
2013-11-18,622.9,625.0,615.2,622.2,10800
2013-11-19,622.0,652.0,622.0,642.3,25400
2013-11-20,649.0,659.0,633.0,638.7,14250
2013-11-21,640.0,642.5,633.6,634.8,11400
2013-11-24,629.2,629.9,609.0,617.6,11800
2013-11-25,622.5,628.9,621.0,623.6,15400
2013-11-26,618.6,634.9,617.3,624.2,30750
2013-11-27,628.0,628.0,620.3,625.5,20150
2013-11-28,617.3,623.0,617.3,621.6,4600
2013-12-01,620.0,620.0,614.0,617.4,3650
2013-12-02,619.4,628.7,619.4,627.2,5700
2013-12-03,621.6,635.0,621.6,632.7,10300
2013-12-04,630.0,635.0,626.1,631.3,6050
2013-12-05,618.3,635.0,618.3,632.9,11550
2013-12-08,623.0,643.9,623.0,637.9,7900
2013-12-09,640.0,640.0,630.0,636.3,14250
2013-12-10,637.0,644.9,635.5,638.1,10350
2013-12-11,635.0,645.0,626.0,629.8,18850
2013-12-12,630.0,630.0,623.0,623.8,3900
2013-12-15,626.0,633.0,617.0,618.7,2900
2013-12-17,631.0,631.0,618.0,618.6,11000
2013-12-18,619.1,619.1,613.0,615.3,8600
2013-12-19,615.5,620.0,615.0,617.3,3800
2013-12-22,617.5,618.0,612.2,614.2,7000
2013-12-23,618.0,618.0,612.6,612.7,4400
2013-12-24,615.0,624.0,613.5,623.7,2100
2013-12-26,622.0,624.1,620.0,622.9,2950
2013-12-29,616.1,621.0,616.1,617.8,1100
2013-12-30,620.0,631.4,620.0,629.3,6250
2014-01-01,624.0,625.0,619.0,623.7,1100
2014-01-02,627.7,636.9,627.7,635.9,5150
2014-01-06,630.1,635.0,630.1,631.8,900
2014-01-07,630.0,637.9,630.0,636.7,4350
2014-01-08,640.0,655.0,637.0,651.1,9750
2014-01-09,650.1,659.0,650.0,657.0,9450
2014-01-12,664.0,664.0,641.3,651.3,4800
2014-01-13,657.0,668.0,651.2,663.3,16750
2014-01-15,670.0,673.0,665.0,671.9,10700
2014-01-16,681.0,698.0,676.0,695.9,20000
2014-01-19,699.0,700.0,686.5,690.3,6050
2014-01-20,702.5,702.5,681.5,685.8,10300
2014-01-21,678.0,687.0,677.0,680.5,5050
2014-01-22,684.0,700.0,684.0,695.8,7450
2014-01-23,690.6,708.4,690.6,700.0,7100
2014-01-26,712.0,712.0,700.0,705.4,4600
2014-01-27,700.0,700.0,690.0,700.0,5800
2014-01-28,700.0,700.0,685.1,698.9,3850
2014-01-29,704.9,706.0,700.0,703.5,6100
2014-01-30,700.1,720.1,695.0,706.1,9450
2014-02-02,710.0,736.8,710.0,724.2,14550
2014-02-03,721.6,721.6,710.5,712.1,9350
2014-02-04,712.0,712.0,710.0,710.2,5200
2014-02-05,710.5,762.9,710.0,752.8,19650
2014-02-06,770.0,797.0,767.9,792.0,59500
2014-02-09,799.0,830.0,799.0,813.2,38750
2014-02-10,815.0,824.9,807.0,816.2,39550
2014-02-11,798.5,825.0,798.5,820.9,18550
2014-02-12,826.7,876.4,825.0,871.5,55800
2014-02-13,888.0,888.0,830.0,833.3,16500
2014-02-16,835.0,850.0,825.1,828.7,11100
2014-02-17,830.0,836.0,816.0,818.2,21050
2014-02-18,819.0,819.0,809.0,816.2,15000
2014-02-19,820.0,847.0,812.5,831.4,8150
2014-02-20,845.0,845.0,825.0,834.0,4550
2014-02-23,837.0,854.9,835.0,845.1,12750
2014-02-24,849.0,853.0,838.0,839.1,9550
2014-02-25,840.1,877.0,840.1,870.6,22150
2014-02-26,880.0,880.0,852.3,867.7,10500
2014-02-27,860.0,909.0,858.0,892.0,23000
2014-03-02,920.0,945.0,915.1,939.5,28600
2014-03-03,930.0,960.0,914.9,934.0,23300
2014-03-04,930.0,936.8,896.0,902.1,24550
2014-03-05,901.1,927.0,882.0,923.1,19900
2014-03-06,928.0,955.0,901.1,952.1,32750
2014-03-09,980.0,989.9,950.0,956.0,17300
2014-03-10,978.0,978.0,920.0,924.8,19650
2014-03-11,970.0,970.0,920.2,923.6,35900
2014-03-12,958.0,958.0,905.0,908.6,36750
2014-03-13,912.1,955.0,908.0,947.2,28300
2014-03-16,122.0,940.0,122.0,912.9,19950
2014-03-18,917.0,938.0,901.5,921.6,21150
2014-03-19,930.0,938.8,912.3,916.6,17300
2014-03-20,915.0,920.0,908.0,910.6,9650
2014-03-23,904.0,906.0,901.0,901.0,12750
2014-03-24,901.0,902.0,893.0,896.4,5900
2014-03-27,917.0,917.0,875.0,876.3,9650
2014-03-30,860.5,863.0,855.7,857.4,3800
2014-03-31,860.0,898.0,855.1,896.1,10700
2014-04-01,919.2,925.0,900.0,914.5,20100
2014-04-02,920.0,969.0,920.0,960.6,31150
2014-04-03,965.0,965.0,926.0,942.9,17050
2014-04-06,938.0,946.0,931.2,933.9,14550
2014-04-07,935.2,996.3,935.2,995.8,68850
2014-04-08,1020.0,1058.3,1016.0,1038.8,70550
2014-04-09,1025.0,1048.5,1000.0,1006.9,12450
2014-04-10,1002.0,1006.0,980.0,998.1,11850
2014-04-13,1015.0,1060.5,1011.0,1051.0,19550
2014-04-15,1040.0,1077.9,1035.1,1046.5,30550
2014-04-16,1059.0,1072.0,1043.2,1061.3,38700
2014-04-17,1059.0,1060.0,1025.0,1037.4,10800
2014-04-20,1031.0,1031.0,1010.3,1011.0,7200
2014-04-21,1010.3,1010.3,972.0,997.4,20200
2014-04-22,976.1,1010.0,976.0,998.4,5450
2014-04-23,975.0,1035.0,973.0,1014.5,11350
2014-04-24,1043.0,1077.9,1020.0,1069.0,75800
2014-04-27,1068.0,1068.0,1046.0,1051.6,10000
2014-04-28,1047.0,1087.0,1047.0,1059.2,38200
2014-04-29,1080.0,1124.8,1073.0,1101.9,54350
2014-04-30,1120.0,1164.9,1120.0,1133.7,69050
2014-05-04,1140.0,1145.0,1105.0,1124.4,36500
2014-05-05,1120.0,1120.0,1070.0,1082.6,21600
2014-05-06,1107.0,1107.0,1051.0,1059.8,15150
2014-05-07,1099.0,1099.0,1060.0,1064.5,8900
2014-05-08,1064.0,1073.0,1041.0,1053.6,7900
2014-05-11,987.8,1018.0,987.8,990.6,29950
2014-05-12,995.0,1035.0,989.0,997.3,18350
2014-05-14,970.0,981.0,956.0,961.8,4900
2014-05-15,960.0,964.0,925.5,934.2,6750
2014-05-18,930.0,942.0,922.0,934.7,2800
2014-05-19,931.0,933.0,906.0,908.9,8000
2014-05-20,920.0,920.0,885.0,904.4,2000
2014-05-21,915.0,930.0,910.0,927.4,2550
2014-05-22,925.0,925.0,886.0,891.5,2750
2014-05-25,908.5,910.0,898.0,902.2,2700
2014-05-26,914.0,914.0,901.0,909.6,5450
2014-05-27,910.0,929.9,910.0,925.1,6050
2014-05-28,925.0,928.0,910.1,924.6,2700
2014-05-29,910.0,910.0,900.0,905.4,6800
2014-06-01,908.0,949.9,907.3,937.3,8850
2014-06-02,920.6,977.0,920.6,964.4,7200
2014-06-03,952.0,964.0,920.3,932.3,21200
2014-06-04,940.0,940.0,917.0,922.9,4700
2014-06-05,912.0,937.0,910.0,925.5,4050
2014-06-08,902.0,929.0,902.0,924.9,4400
2014-06-09,948.0,948.0,920.0,932.1,5850
2014-06-10,932.0,932.0,901.0,906.1,6150
2014-06-11,901.0,907.5,895.0,895.7,5450
2014-06-12,891.0,900.0,891.0,893.4,1950
2014-06-15,880.0,885.0,880.0,883.0,800
2014-06-16,880.5,895.9,879.1,881.5,2800
2014-06-17,885.0,898.9,880.0,889.4,2200
2014-06-18,897.9,897.9,886.0,889.2,200
2014-06-19,880.0,887.0,880.0,883.0,1650
2014-06-22,840.0,870.0,840.0,869.2,4900
2014-06-23,842.0,865.0,842.0,845.3,2300
2014-06-24,858.0,858.0,845.0,847.6,4500
2014-06-25,850.0,852.0,842.5,847.2,1600
2014-06-26,848.0,848.0,830.0,834.9,4000
2014-06-29,835.0,858.0,830.0,850.3,4750
2014-06-30,855.0,890.0,855.0,882.7,2150
2014-07-02,878.0,903.9,875.0,896.2,4000
2014-07-03,878.2,894.8,852.5,886.0,1600
2014-07-06,883.0,885.0,883.0,883.3,1450
2014-07-07,865.1,890.0,861.0,888.2,1800
2014-07-08,887.9,888.0,887.9,887.9,550
2014-07-09,870.0,870.0,865.0,868.0,1450
2014-07-10,870.0,872.0,863.2,869.1,3700
2014-07-13,848.0,869.8,847.1,851.3,850
2014-07-14,852.0,852.1,840.0,846.4,4800
2014-07-15,868.5,868.5,842.0,853.2,500
2014-07-16,841.2,844.9,832.5,838.8,4150
2014-07-17,841.0,847.5,835.0,841.9,2500
2014-07-20,842.1,893.0,836.0,884.6,5800
2014-07-21,874.5,886.9,872.0,873.0,3500
2014-07-22,873.9,873.9,853.1,858.9,6550
2014-07-23,865.0,874.0,863.0,867.5,4500
2014-07-24,875.0,890.0,859.9,879.8,5200
2014-08-04,840.5,860.0,839.0,847.1,2050
2014-08-05,842.0,843.1,838.0,841.6,1950
2014-08-06,841.0,850.0,830.1,832.8,9200
2014-08-07,833.0,854.8,825.0,841.0,4800
2014-08-10,850.0,850.0,831.0,833.1,3100
2014-08-11,834.9,835.0,817.0,822.3,6700
2014-08-12,825.1,825.1,821.0,821.2,4500
2014-08-13,822.0,835.9,821.6,823.5,1550
2014-08-14,823.0,830.0,822.0,822.9,1550
2014-08-18,820.0,820.0,805.0,809.8,4600
2014-08-19,809.0,814.0,796.0,797.9,7500
2014-08-20,792.1,798.0,792.0,794.0,4650
2014-08-21,779.0,820.0,779.0,805.6,4000
2014-08-24,820.0,830.0,810.0,822.5,2650
2014-08-25,821.0,821.0,802.1,813.2,2600
2014-08-26,810.0,810.0,785.0,794.2,4150
2014-08-27,795.1,819.0,795.0,803.6,3850
2014-08-28,805.0,820.0,801.0,808.3,1850
2014-08-31,815.0,865.7,815.0,837.6,8250
2014-09-01,843.0,863.5,831.1,843.6,6750
2014-09-02,827.0,860.0,825.1,839.3,3200
2014-09-03,840.0,845.0,821.0,831.4,3450
2014-09-04,837.0,840.0,821.0,827.2,1400
2014-09-07,848.0,848.0,825.0,828.1,2000
2014-09-08,830.0,849.9,826.0,846.8,4350
2014-09-09,867.0,909.0,863.0,871.2,11150
2014-09-10,905.0,906.0,865.0,898.2,13500
2014-09-11,900.0,910.0,882.1,893.2,5500
2014-09-14,909.0,955.7,896.0,954.3,41400
2014-09-15,975.0,975.0,942.0,955.1,18450
2014-09-16,968.0,968.0,935.0,938.4,9800
2014-09-17,959.0,960.0,912.0,922.4,10250
2014-09-18,935.0,935.0,893.0,902.3,11550
2014-09-21,910.0,910.0,882.1,883.7,16700
2014-09-22,889.9,900.0,867.0,872.3,5700
2014-09-23,870.0,884.0,840.0,848.6,15650
2014-09-24,882.0,884.0,843.5,851.4,8100
2014-09-25,907.0,907.0,845.0,846.1,13100
2014-09-28,847.0,865.0,845.0,850.3,7900
2014-09-29,864.0,869.9,848.0,858.6,4650
2014-09-30,859.0,873.5,859.0,864.7,2600
2014-10-01,860.0,878.0,860.0,871.7,2500
2014-10-02,874.5,874.5,863.0,866.3,1800
2014-10-12,884.0,884.0,873.0,879.1,1850
2014-10-13,879.0,941.0,878.0,933.0,7400
2014-10-14,949.0,950.0,905.1,935.4,12200
2014-10-15,939.0,940.0,903.0,919.6,33400
2014-10-16,920.0,931.0,915.0,919.6,2350
2014-10-19,929.9,930.0,900.0,908.8,4900
2014-10-20,917.0,917.0,900.0,903.5,950
2014-10-21,925.0,925.0,905.0,912.5,4000
2014-10-22,912.5,920.0,902.0,914.6,2000
2014-10-23,902.0,916.0,902.0,906.7,2150
2014-10-26,929.0,929.0,906.0,913.2,1900
2014-10-27,914.0,915.0,900.0,901.4,6650
2014-10-28,890.0,908.0,885.0,904.1,3750
2014-10-29,881.0,932.5,881.0,902.7,2000
2014-10-30,915.0,915.0,900.1,901.7,2800
2014-11-02,901.0,921.0,901.0,908.1,3650
2014-11-03,908.1,916.3,900.0,908.4,10350
2014-11-05,930.0,930.0,899.0,906.3,3650
2014-11-06,910.0,928.9,900.0,921.4,8750
2014-11-09,929.0,939.9,910.0,916.7,4300
2014-11-10,915.0,925.8,912.0,913.1,10300
