Date,Open,High,Low,Close,Volume
2012-10-01,9.6,10.0,9.6,9.8,12500
2012-10-02,9.7,10.0,9.7,10.0,106500
2012-10-03,10.0,10.6,9.9,10.0,628000
2012-10-04,10.0,10.3,9.6,10.0,34500
2012-10-07,10.0,10.3,9.8,10.1,31500
2012-10-08,9.9,9.9,9.9,9.9,4000
2012-10-09,9.8,9.8,9.7,9.7,8000
2012-10-10,10.0,10.1,8.8,9.3,32500
2012-10-11,9.6,9.6,8.9,9.0,72000
2012-10-14,9.2,9.8,9.2,9.6,3500
2012-10-15,8.7,10.1,8.7,10.0,153500
2012-10-16,9.8,9.9,9.0,9.0,66500
2012-10-17,8.7,9.0,8.7,8.8,28500
2012-10-18,8.0,9.5,8.0,9.0,51500
2012-10-21,9.4,9.4,8.9,8.9,22000
2012-10-22,8.9,8.9,8.9,8.9,15500
2012-10-23,9.0,9.0,9.0,9.0,1000
2012-10-30,8.9,8.9,8.8,8.8,18000
2012-10-31,9.0,9.1,9.0,9.0,6000
2012-11-01,8.7,9.1,8.7,8.8,3500
2012-11-04,9.0,9.0,8.9,8.9,45000
2012-11-05,9.0,9.2,8.9,9.1,86000
2012-11-06,9.1,9.3,9.0,9.2,67500
2012-11-07,9.2,9.2,9.0,9.1,153500
2012-11-08,9.4,9.4,9.0,9.0,150500
2012-11-11,9.0,9.0,8.8,8.9,83000
2012-11-12,8.9,9.0,8.8,8.8,113000
2012-11-13,9.0,9.0,8.7,8.8,18000
2012-11-14,8.9,8.9,8.5,8.7,12500
2012-11-15,8.8,9.0,8.7,8.8,20000
2012-11-18,9.0,9.0,8.9,8.9,13000
2012-11-19,8.8,8.9,8.7,8.7,96500
2012-11-20,8.5,8.8,8.5,8.5,6000
2012-11-21,8.8,9.0,8.2,8.3,55000
2012-11-22,8.6,9.1,8.6,9.0,82500
2012-11-27,8.3,8.3,8.1,8.1,26000
2012-11-28,8.2,8.8,7.4,7.8,39000
2012-11-29,8.3,8.3,8.1,8.2,7500
2012-12-02,8.4,8.4,7.9,8.2,7000
2012-12-03,8.2,8.2,7.6,7.6,11000
2012-12-04,8.1,8.1,7.5,7.7,2500
2012-12-05,7.7,8.0,7.6,7.7,6500
2012-12-06,7.9,8.1,7.6,8.0,19000
2012-12-09,8.0,8.1,8.0,8.0,1500
2012-12-10,7.4,8.0,7.4,7.7,1000
2012-12-11,8.1,8.1,7.8,7.9,25500
2012-12-12,7.7,8.2,7.7,8.0,4000
2012-12-13,8.0,8.2,8.0,8.1,4500
2012-12-18,8.7,8.7,8.0,8.3,1000
2012-12-19,8.2,8.2,8.0,8.0,5000
2012-12-20,8.0,8.4,7.6,8.1,61000
2012-12-23,8.0,8.1,8.0,8.0,3000
2012-12-24,8.1,8.6,8.1,8.3,15000
2012-12-26,8.1,9.0,8.1,8.7,27000
2012-12-27,9.2,9.5,9.1,9.4,463000
2012-12-30,9.5,10.3,9.5,10.0,440500
2013-01-01,10.0,10.0,10.0,10.0,82500
