Date,Open,High,Low,Close,Volume
2012-10-01,7.8,8.4,7.8,8.1,472000
2012-10-02,8.9,8.9,8.3,8.5,11826000
2012-10-03,9.3,9.3,8.2,8.8,12887000
2012-10-04,9.2,9.6,8.8,9.5,1255000
2012-10-07,9.8,9.8,8.6,8.6,1902000
2012-10-08,8.0,8.5,7.8,7.9,1978000
2012-10-09,8.2,8.5,8.1,8.3,1448500
2012-10-10,8.2,8.4,7.7,7.7,928000
2012-10-11,7.8,8.0,7.3,7.4,909000
2012-10-14,8.1,8.1,7.0,7.1,1389500
2012-10-15,7.2,7.8,7.0,7.8,1141000
2012-10-16,8.0,8.3,7.6,7.7,1249000
2012-10-17,7.9,8.1,7.5,8.0,1247500
2012-10-18,8.0,8.4,8.0,8.1,1040000
2012-10-21,8.1,8.3,7.8,7.9,387000
2012-10-22,8.0,8.1,7.8,7.9,435500
2012-10-23,8.0,8.2,7.7,7.8,852000
2012-10-30,7.9,8.0,7.7,7.7,240500
2012-10-31,8.0,8.2,7.8,7.9,641000
2012-11-01,8.1,8.1,7.6,7.7,784500
2012-11-04,7.8,7.9,7.4,7.5,601500
2012-11-05,7.6,7.8,7.5,7.6,505500
2012-11-06,7.8,8.0,7.7,7.9,988500
2012-11-07,8.0,8.1,7.7,7.8,902500
2012-11-08,7.6,7.8,7.6,7.6,439500
2012-11-11,7.6,7.8,7.3,7.3,454500
2012-11-12,7.4,7.5,7.2,7.2,314000
2012-11-13,7.1,7.5,7.1,7.3,782000
2012-11-14,7.4,7.4,7.1,7.2,276000
2012-11-15,7.1,7.6,7.1,7.5,1395000
2012-11-18,7.8,7.8,7.4,7.4,888000
2012-11-19,7.4,7.5,7.2,7.2,333500
2012-11-20,7.2,7.4,7.1,7.1,415500
2012-11-21,7.4,7.4,7.2,7.2,234500
2012-11-22,7.3,7.4,7.2,7.2,589000
2012-11-26,7.2,7.2,7.0,7.0,262000
2012-11-27,7.0,7.1,6.9,6.9,129000
2012-11-28,7.0,7.1,6.8,6.9,233500
2012-11-29,7.1,7.4,7.1,7.3,570000
2012-12-02,7.3,7.4,7.0,7.0,311500
2012-12-03,7.0,7.1,6.9,7.0,236000
2012-12-04,6.4,7.1,6.4,7.0,159500
2012-12-05,6.5,7.4,6.5,6.9,145500
2012-12-06,6.9,7.0,6.8,6.8,216500
2012-12-09,6.8,6.9,6.6,6.7,147000
2012-12-10,6.6,6.6,6.5,6.5,51000
2012-12-11,6.6,7.0,6.5,6.8,328000
2012-12-12,6.9,7.0,6.7,6.7,157000
2012-12-13,6.8,6.8,6.6,6.6,137000
2012-12-17,6.9,7.0,6.8,6.8,273000
2012-12-18,6.9,6.9,6.7,6.7,145500
2012-12-19,6.8,6.9,6.7,6.7,122000
2012-12-20,6.7,6.8,6.6,6.6,384500
2012-12-23,6.6,6.7,6.5,6.6,119000
2012-12-24,6.7,6.9,6.7,6.8,295000
2012-12-26,6.8,6.8,6.6,6.6,224500
2012-12-27,6.8,7.0,6.6,6.9,513000
2012-12-30,7.0,7.0,6.9,6.9,489500
2013-01-01,6.9,7.0,6.8,6.8,248000
2013-01-02,6.8,6.8,6.7,6.7,250500
2013-01-03,6.9,7.3,6.9,7.2,1331500
2013-01-06,7.5,7.5,7.1,7.1,628500
2013-01-07,6.9,7.1,6.9,7.0,310000
2013-01-08,7.1,7.2,6.9,6.9,318000
2013-01-09,7.5,7.5,7.1,7.1,1083500
2013-01-10,7.1,7.1,6.9,6.9,226500
2013-01-13,6.8,6.9,6.7,6.8,134500
2013-01-14,6.8,6.8,6.7,6.7,60000
2013-01-15,6.7,6.9,6.7,6.8,124000
2013-01-16,6.8,6.8,6.7,6.7,128000
