Date,Open,High,Low,Close,Volume
2012-10-01,124.0,130.8,122.1,125.4,54300
2012-10-02,130.9,131.5,126.3,127.0,83400
2012-10-03,125.5,129.5,125.1,126.0,63800
2012-10-04,129.5,130.0,126.0,126.0,44400
2012-10-07,126.9,127.5,120.1,121.5,62500
2012-10-08,124.9,124.9,118.5,120.0,32500
2012-10-09,122.5,124.9,119.0,121.0,46900
2012-10-10,122.0,122.0,117.0,117.4,35600
2012-10-11,115.6,118.8,115.3,117.9,23200
2012-10-14,118.0,126.5,117.6,122.3,40600
2012-10-15,124.9,125.0,118.1,118.9,29800
2012-10-16,117.1,120.1,117.1,117.7,21600
2012-10-17,120.8,120.8,117.0,117.7,19400
2012-10-18,118.1,119.5,117.7,118.0,12600
2012-10-21,117.8,117.8,116.8,117.3,5900
2012-10-22,117.0,118.3,117.0,117.7,13700
2012-10-23,117.5,120.5,117.5,119.8,18400
2012-10-30,124.0,124.5,122.4,123.2,27800
2012-10-31,120.4,123.9,118.0,118.5,19200
2012-11-01,119.5,120.6,119.0,119.2,5400
2012-11-04,119.5,119.5,118.0,118.6,9300
2012-11-05,117.1,119.9,117.1,118.2,7600
2012-11-06,117.8,118.1,116.0,116.6,8300
2012-11-07,116.7,116.7,115.0,115.5,19600
2012-11-08,114.1,116.0,114.0,115.1,6200
2012-11-11,112.7,114.4,111.0,112.2,20000
2012-11-12,112.2,113.0,111.8,112.1,16900
2012-11-13,113.0,118.2,112.2,117.9,13000
2012-11-14,117.5,117.5,115.8,116.2,18800
2012-11-15,117.5,118.9,116.5,117.1,13000
2012-11-18,116.2,117.0,115.0,115.2,11000
2012-11-19,112.3,112.4,108.0,108.9,39600
2012-11-20,109.0,111.0,107.0,107.0,22500
2012-11-21,111.0,112.0,107.6,108.1,9000
2012-11-22,108.0,110.0,106.2,107.3,18300
2012-11-26,107.1,107.1,103.6,104.4,5900
2012-11-27,105.0,107.8,104.0,106.1,10300
2012-11-28,105.3,106.4,102.0,105.4,10000
2012-11-29,113.0,115.0,109.0,113.7,29400
2012-12-02,115.0,115.0,108.5,109.8,12700
2012-12-03,110.1,110.1,107.0,108.3,9700
2012-12-04,107.2,111.7,107.0,109.6,9500
2012-12-05,113.9,113.9,108.1,109.5,5200
2012-12-06,106.0,107.9,106.0,106.9,12500
2012-12-09,105.6,106.4,105.0,105.2,10400
2012-12-10,105.2,105.5,103.1,104.0,16000
2012-12-11,102.6,105.0,102.6,104.4,5200
2012-12-12,105.0,106.5,102.0,102.4,15200
2012-12-13,104.3,104.9,102.1,104.4,8300
2012-12-17,105.5,108.0,104.5,107.7,15700
2012-12-18,104.5,106.9,104.5,105.0,11300
2012-12-19,102.0,109.5,102.0,107.2,12200
2012-12-20,107.8,107.8,104.2,105.4,17500
2012-12-23,104.3,105.0,103.5,104.1,27200
2012-12-24,103.2,105.0,103.2,103.7,6500
2012-12-26,105.5,105.5,103.5,103.8,18900
2012-12-27,104.8,106.5,104.7,105.6,15300
2012-12-30,106.8,107.7,104.5,104.8,21100
2013-01-01,106.0,106.4,104.8,105.8,4100
2013-01-02,103.8,107.0,103.3,104.0,15000
2013-01-03,103.7,104.2,103.0,103.2,25400
2013-01-06,103.5,105.0,103.5,104.4,4700
2013-01-07,104.5,104.8,102.2,102.5,12100
2013-01-08,104.4,104.5,101.6,101.8,15600
2013-01-09,103.8,103.8,102.4,102.5,7900
2013-01-10,102.5,103.6,102.2,102.5,13700
2013-01-13,102.7,103.7,102.5,102.7,11800
2013-01-14,101.3,103.4,101.3,101.8,2000
2013-01-15,101.1,101.8,100.5,101.2,4700
2013-01-16,101.0,102.5,101.0,101.6,3400
2013-01-17,102.8,102.8,101.4,101.8,7200
2013-01-20,102.2,105.8,102.2,105.3,36500
2013-01-21,104.0,104.5,102.9,103.6,12100
2013-01-22,101.6,106.9,101.6,106.1,53600
2013-01-23,108.4,110.6,106.6,109.2,40400
2013-01-24,109.1,110.0,105.9,106.6,27500
2013-01-27,107.1,109.5,106.9,107.8,47300
2013-01-28,109.9,113.9,109.0,113.0,62300
2013-01-29,113.4,114.8,112.0,113.7,33300
2013-01-30,112.8,112.8,110.1,110.9,31900
2013-01-31,111.0,112.0,110.0,110.2,27700
