Date,Open,High,Low,Close,Volume
2022-06-08,11.0,11.0,11.0,11.0,594
2022-06-09,12.1,12.1,12.1,12.1,483
2022-06-12,13.3,13.3,13.3,13.3,823
2022-06-13,14.6,14.6,14.6,14.6,1563
2022-06-14,16.0,16.0,16.0,16.0,1174
2022-06-15,17.6,17.6,17.6,17.6,2426
2022-06-16,19.3,19.3,19.3,19.3,1548
2022-06-19,21.2,21.2,21.2,21.2,2675
2022-06-20,23.3,23.3,23.3,23.3,2847
2022-06-21,25.6,25.6,25.6,25.6,3038
2022-06-22,28.1,28.1,28.1,28.1,3286
2022-06-23,30.9,30.9,30.9,30.9,6362
2022-06-26,33.9,33.9,33.9,33.9,6382
2022-06-27,37.2,37.2,37.2,37.2,12762
2022-06-28,40.9,40.9,40.9,40.9,33970
2022-06-29,44.9,44.9,44.9,44.9,55310
2022-06-30,49.3,49.3,49.3,49.3,224940
2022-07-03,54.2,54.2,54.2,54.2,706180
2022-07-04,59.6,59.6,55.0,57.3,4152643
2022-07-05,57.0,57.6,56.2,56.2,235706
2022-07-06,55.1,55.1,55.1,55.1,35867
2022-07-07,54.0,54.0,54.0,54.0,12491
2022-07-12,53.0,53.0,53.0,53.0,8051
2022-07-13,52.0,52.0,52.0,52.0,155853
2022-07-14,51.0,51.0,51.0,51.0,9021
2022-07-17,50.0,50.0,50.0,50.0,13237
2022-07-18,49.0,49.0,49.0,49.0,13317
2022-07-19,48.1,48.1,48.1,48.1,1091
2022-07-20,47.2,47.2,47.2,47.2,7888
2022-07-21,46.3,46.3,46.3,46.3,23884
2022-07-24,45.4,45.4,45.4,45.4,1898
2022-07-25,44.5,44.5,44.5,44.5,11027
2022-07-26,43.7,48.9,43.7,45.6,1928681
2022-07-27,45.0,46.5,44.7,44.7,429395
2022-07-28,43.9,43.9,43.9,43.9,6267
2022-07-31,44.8,47.6,44.8,46.8,1579372
2022-08-01,46.8,48.9,44.9,45.2,880007
2022-08-02,44.8,47.0,44.8,45.7,1018511
2022-08-03,45.7,46.8,44.8,45.0,964222
2022-08-04,44.9,45.3,44.8,44.8,674609
2022-08-07,44.8,44.9,44.8,44.8,83332
2022-08-08,44.8,44.8,44.8,44.8,33715
2022-08-10,44.8,44.8,44.8,44.8,8525
2022-08-11,44.8,44.8,44.8,44.8,549
2022-08-14,44.8,44.8,44.8,44.8,6713
2022-08-16,44.8,44.8,44.8,44.8,33961
2022-08-17,44.8,45.5,44.8,44.8,810825
2022-08-21,44.8,44.8,44.8,44.8,18549
2022-08-22,44.8,44.8,44.8,44.8,10017
2022-08-23,44.8,44.8,44.8,44.8,26895
2022-08-24,44.8,44.8,44.8,44.8,2529
2022-08-25,44.8,44.8,44.8,44.8,7352
2022-08-28,44.8,44.8,44.8,44.8,161751
2022-08-29,44.8,44.8,44.8,44.8,82620
2022-08-30,44.8,44.8,44.8,44.8,8644
2022-08-31,44.8,44.8,44.8,44.8,16900
2022-09-01,44.8,44.8,44.8,44.8,45508
2022-09-04,44.8,44.8,44.8,44.8,20733
2022-09-05,44.8,44.8,44.8,44.8,5461
2022-09-06,44.8,44.8,44.8,44.8,8062
2022-09-07,44.8,44.8,44.8,44.8,10726
2022-09-08,44.8,44.8,44.8,44.8,510
2022-09-11,44.8,44.8,44.8,44.8,6269
2022-09-12,44.8,44.8,44.8,44.8,3353
2022-09-13,44.8,44.8,44.8,44.8,1738
2022-09-14,44.8,44.8,44.8,44.8,6669
2022-09-15,44.8,44.8,44.8,44.8,1785
2022-09-18,44.8,44.8,44.8,44.8,2833
2022-09-19,44.8,44.8,44.8,44.8,399
2022-09-20,44.8,44.8,44.8,44.8,860
2022-09-21,44.8,44.8,44.8,44.8,33
2022-09-22,44.8,44.8,44.8,44.8,283
2022-09-25,44.8,44.8,44.8,44.8,2584
2022-09-26,44.8,44.8,44.8,44.8,237
2022-09-27,44.8,44.8,44.8,44.8,1635
2022-09-28,44.8,44.8,44.8,44.8,145
2022-09-29,44.8,44.8,44.8,44.8,266
2022-10-02,44.8,44.8,44.8,44.8,16513
2022-10-03,44.8,44.8,44.8,44.8,1677
2022-10-04,44.8,44.8,44.8,44.8,269
2022-10-06,44.8,44.8,44.8,44.8,1694
2022-10-10,44.8,44.8,44.8,44.8,1233
2022-10-11,44.8,44.8,44.8,44.8,836
2022-10-12,44.8,44.8,44.8,44.8,230
2022-10-13,44.8,44.8,44.8,44.8,42348
2022-10-16,44.8,44.8,44.8,44.8,112
2022-10-17,44.8,44.8,44.8,44.8,5584
2022-10-18,44.8,44.8,44.8,44.8,244
2022-10-19,44.8,44.8,44.8,44.8,364
2022-10-20,44.8,44.8,44.8,44.8,530
2022-10-23,44.8,44.8,44.8,44.8,40
2022-10-25,44.8,44.8,44.8,44.8,205
2022-10-26,44.8,44.8,44.8,44.8,915
2022-10-27,44.8,44.8,44.8,44.8,55
2022-10-30,44.8,44.8,44.8,44.8,932
2022-10-31,44.8,44.8,44.8,44.8,783
2022-11-01,44.8,44.8,44.8,44.8,325
2022-11-02,44.8,44.8,44.8,44.8,24646
2022-11-03,44.8,44.8,44.8,44.8,4443
2022-11-06,44.8,44.8,44.8,44.8,645
2022-11-07,44.8,44.8,44.8,44.8,947
2022-11-08,44.8,44.8,44.8,44.8,1625
2022-11-09,44.8,44.8,44.8,44.8,367
2022-11-10,44.8,44.8,44.8,44.8,80
2022-11-13,44.8,44.8,44.8,44.8,80
2022-11-14,44.8,44.8,44.8,44.8,551
2022-11-15,44.8,44.8,44.8,44.8,485
2022-11-16,44.8,44.8,44.8,44.8,100
2022-11-17,44.8,44.8,44.8,44.8,34
2022-11-20,44.8,44.8,44.8,44.8,1771
2022-11-21,44.8,44.8,44.8,44.8,211
2022-11-22,44.8,44.8,44.8,44.8,110
2022-11-23,44.8,44.8,44.8,44.8,18
2022-11-24,44.8,44.8,44.8,44.8,10
2022-11-27,44.8,44.8,44.8,44.8,11
2022-11-28,44.8,44.8,44.8,44.8,1119
2022-11-29,44.8,44.8,44.8,44.8,3
2022-11-30,44.8,44.8,44.8,44.8,581
2022-12-01,44.8,44.8,44.8,44.8,223
2022-12-04,44.8,44.8,44.8,44.8,1
2022-12-05,44.8,44.8,44.8,44.8,10390
2022-12-06,44.8,44.8,44.8,44.8,192
2022-12-07,44.8,44.8,44.8,44.8,81
2022-12-11,44.8,44.8,44.8,44.8,74
2022-12-12,44.8,44.8,44.8,44.8,41
2022-12-13,44.8,44.8,44.8,44.8,235
2022-12-14,44.8,44.8,44.8,44.8,370
2022-12-15,44.8,44.8,44.8,44.8,1018
2022-12-19,44.8,44.8,44.8,44.8,310
2022-12-20,44.8,44.8,44.8,44.8,1
2022-12-21,44.8,44.8,44.8,44.8,120
2022-12-22,44.4,44.4,44.4,44.4,31
2022-12-26,44.0,44.0,44.0,44.0,530
2022-12-27,43.6,43.6,43.6,43.6,218
2022-12-28,43.2,43.2,43.2,43.2,20
2022-12-29,42.8,42.8,42.8,42.8,484
2023-01-01,42.4,42.4,42.4,42.4,81
2023-01-02,42.0,42.0,42.0,42.0,12
2023-01-03,41.6,41.6,41.6,41.6,987
2023-01-04,41.2,41.2,41.2,41.2,636
2023-01-05,40.8,40.8,40.8,40.8,36
2023-01-08,40.4,40.4,40.4,40.4,245
2023-01-09,40.0,40.0,40.0,40.0,447
2023-01-10,39.6,39.6,39.6,39.6,277
2023-01-11,39.3,39.3,39.3,39.3,945
2023-01-12,39.0,39.0,39.0,39.0,282
2023-01-15,38.7,38.7,38.7,38.7,53740
2023-01-16,38.4,38.4,38.4,38.4,10952
2023-01-17,38.1,38.1,38.1,38.1,3366
2023-01-18,37.8,37.8,37.8,37.8,19759
2023-01-19,37.5,39.0,37.5,37.7,559783
2023-01-22,37.4,40.3,37.4,37.6,1240689
2023-01-23,37.3,37.8,37.3,37.3,338423
2023-01-24,37.0,37.0,37.0,37.0,71606
2023-01-25,36.7,37.2,36.7,36.7,878575
2023-01-26,36.4,36.7,36.4,36.4,38005
2023-01-29,36.1,36.1,36.1,36.1,7236
2023-01-30,35.8,35.8,35.8,35.8,8590
2023-01-31,35.5,35.5,35.5,35.5,4285
2023-02-01,35.2,35.2,35.2,35.2,11462
2023-02-02,34.9,34.9,34.9,34.9,24832
