Date,Open,High,Low,Close,Volume
2012-10-01,8.6,9.9,8.4,9.2,15000
2012-10-02,9.6,9.6,9.5,9.5,9500
2012-10-03,9.5,9.9,9.4,9.5,5500
2012-10-04,9.7,9.9,9.7,9.8,4500
2012-10-07,9.3,9.3,9.3,9.3,1000
2012-10-08,9.3,9.4,9.3,9.3,1000
2012-10-09,9.2,9.5,9.1,9.2,4000
2012-10-10,9.3,9.3,9.3,9.3,3500
2012-10-11,9.4,9.4,9.4,9.4,500
2012-10-14,9.5,9.5,8.6,9.0,1000
2012-10-15,9.4,9.4,8.6,8.9,5000
2012-10-16,8.6,9.0,8.4,8.6,16000
2012-10-17,8.5,8.5,8.3,8.3,4500
2012-10-18,8.9,8.9,8.9,8.9,500
2012-10-23,8.6,9.2,8.6,8.9,11000
2012-10-30,8.8,8.8,8.8,8.8,1000
2012-10-31,8.7,8.7,8.7,8.7,2000
2012-11-01,8.7,8.7,8.4,8.5,5500
2012-11-04,7.7,7.8,7.7,7.7,8500
2012-11-06,8.0,8.0,7.9,7.9,4000
2012-11-07,7.5,7.6,7.4,7.5,11000
2012-11-08,8.0,8.0,7.3,7.7,2500
2012-11-11,7.6,7.6,7.2,7.3,19000
2012-11-12,7.5,7.5,7.1,7.2,17500
2012-11-13,7.0,7.6,7.0,7.3,2500
2012-11-14,7.3,7.9,7.3,7.4,6000
2012-11-15,7.9,7.9,7.4,7.5,18500
2012-11-18,7.5,7.5,7.5,7.5,1500
2012-11-19,7.4,7.4,7.3,7.3,1500
2012-11-20,7.1,7.5,7.1,7.2,10000
2012-11-21,7.4,7.5,7.4,7.4,3000
2012-11-22,7.2,7.2,7.2,7.2,13000
2012-11-26,7.1,7.1,7.1,7.1,1000
2012-11-28,7.2,7.2,6.9,6.9,4500
2012-11-29,7.3,7.5,7.2,7.4,18000
2012-12-02,7.4,7.4,7.3,7.3,6000
2012-12-03,7.2,7.3,7.1,7.1,13500
2012-12-04,7.2,7.2,7.2,7.2,1000
2012-12-05,7.0,7.0,6.9,6.9,5000
2012-12-10,6.5,6.5,6.3,6.4,16500
2012-12-13,6.2,6.2,6.2,6.2,1000
2012-12-17,6.7,6.8,6.7,6.7,4500
2012-12-18,6.1,6.5,6.1,6.3,1000
2012-12-19,6.6,6.6,6.6,6.6,15500
2012-12-23,6.2,6.8,6.1,6.3,6000
2012-12-24,6.5,6.5,6.5,6.5,2000
2012-12-27,6.6,6.6,6.6,6.6,1000
2012-12-30,6.6,6.6,6.6,6.6,2000
2013-01-01,6.8,6.8,6.5,6.6,11000
2013-01-02,6.6,6.6,6.3,6.3,10000
2013-01-06,6.3,6.3,6.3,6.3,5000
2013-01-07,6.4,6.5,6.4,6.4,3500
2013-01-08,6.4,6.4,6.4,6.4,2000
2013-01-09,6.4,6.6,6.4,6.4,5000
2013-01-10,6.5,6.6,6.5,6.5,3000
2013-01-13,6.3,6.3,6.3,6.3,1000
2013-01-14,6.6,6.6,6.6,6.6,1000
2013-01-15,6.4,6.4,6.4,6.4,500
2013-01-16,6.2,6.3,6.2,6.2,7500
2013-01-17,6.5,6.5,6.5,6.5,3000
2013-01-20,6.6,6.6,6.6,6.6,1500
2013-01-21,6.6,6.6,6.5,6.5,2500
2013-01-22,6.7,6.7,6.6,6.6,3000
2013-01-23,6.3,6.5,6.3,6.4,1500
2013-01-24,6.6,6.8,6.6,6.6,3000
2013-01-27,6.7,6.8,6.7,6.7,1000
2013-01-28,6.7,6.9,6.7,6.8,9000
2013-01-29,6.9,6.9,6.9,6.9,500
2013-01-30,7.1,7.4,6.9,7.1,10000
2013-01-31,7.8,7.8,6.8,6.9,11500
2013-02-03,6.8,7.0,6.8,6.8,3500
2013-02-05,7.1,7.1,7.1,7.1,2000
2013-02-07,6.5,6.5,6.5,6.5,500
2013-02-10,7.1,7.1,7.1,7.1,1500
2013-02-11,7.2,7.2,7.2,7.2,500
2013-02-12,7.3,7.3,7.0,7.1,2000
2013-02-13,7.0,7.2,6.9,6.9,4000
2013-02-14,7.0,7.2,6.7,6.8,3500
2013-02-17,7.2,7.2,7.2,7.2,500
2013-02-18,6.5,6.9,6.5,6.7,1500
2013-02-19,7.2,7.2,7.2,7.2,500
2013-02-20,7.2,7.2,6.6,7.0,3000
2013-02-24,6.5,6.6,6.5,6.5,14500
2013-02-27,6.5,6.5,6.5,6.5,500
2013-03-07,6.0,6.3,6.0,6.2,6500
2013-03-10,6.0,6.0,5.9,5.9,6500
2013-03-19,6.4,6.4,6.4,6.4,500
2013-03-28,6.4,6.4,6.4,6.4,500
2013-04-01,6.0,6.1,6.0,6.0,3000
2013-04-03,6.2,6.2,6.1,6.1,1500
2013-04-04,6.2,6.2,6.1,6.1,2000
