Date,Open,High,Low,Close,Volume
2021-02-02,81.0,81.0,81.0,81.0,730
2021-02-03,117.0,117.0,95.0,100.2,4984891
2021-02-04,100.0,100.0,90.2,90.2,1021287
2021-02-07,81.2,87.5,81.2,81.7,2387823
2021-02-08,82.0,86.0,81.3,83.0,1933175
2021-02-09,85.0,91.3,84.4,91.3,1464209
2021-02-10,95.0,97.8,92.6,94.1,2317946
2021-02-11,94.5,94.7,87.3,88.5,2042115
2021-02-14,88.0,88.8,81.5,82.7,1561923
2021-02-15,82.0,87.7,82.0,86.3,1310084
2021-02-16,84.6,88.3,82.5,82.8,1543636
2021-02-17,84.0,85.7,81.7,84.1,1196480
2021-02-18,85.7,85.7,81.4,81.7,996344
2021-02-22,82.1,82.4,75.2,76.5,887823
2021-02-23,76.0,78.3,73.6,74.3,763220
2021-02-24,75.7,79.7,75.7,78.0,876043
2021-02-25,78.2,79.8,76.3,77.3,980756
2021-02-28,78.3,81.2,77.2,77.6,888047
2021-03-01,78.0,80.5,77.5,80.1,716983
2021-03-02,80.6,83.3,80.0,80.6,1188607
2021-03-03,80.7,82.6,79.5,80.3,1012246
2021-03-04,80.6,82.9,80.0,81.3,886667
2021-03-07,81.6,82.3,80.0,80.4,700797
2021-03-08,81.0,82.2,80.5,81.2,811856
2021-03-09,81.7,86.4,81.7,83.8,2179996
2021-03-10,84.0,84.7,82.1,82.7,746167
2021-03-11,83.4,85.2,81.6,82.3,1294060
2021-03-14,82.9,83.2,77.5,78.2,677885
2021-03-15,78.1,79.4,77.0,78.8,623266
2021-03-16,79.6,80.8,77.3,77.6,623675
2021-03-18,77.8,78.4,76.4,76.8,876699
2021-03-21,77.2,77.2,69.8,72.4,683245
2021-03-22,72.7,73.5,69.4,71.9,615558
2021-03-23,72.9,73.8,70.3,71.2,280190
2021-03-24,71.2,71.3,65.7,67.3,602347
2021-03-25,67.4,70.4,66.4,68.3,291216
2021-03-28,68.3,68.5,66.8,67.9,294106
2021-03-29,68.5,71.8,68.5,69.7,423221
2021-03-31,69.2,69.2,66.7,66.9,304140
2021-04-01,66.9,68.0,65.6,66.9,192191
2021-04-04,65.1,65.1,60.3,60.4,341442
2021-04-05,61.3,63.0,61.3,62.4,88064
2021-04-06,61.5,64.9,61.5,64.4,393510
2021-04-07,66.0,67.5,64.5,65.2,246354
2021-04-08,62.2,63.8,61.1,61.8,247783
2021-04-11,61.2,61.2,58.5,58.7,216882
2021-04-12,59.8,61.0,58.0,58.3,200042
2021-04-13,59.5,61.8,56.0,61.4,141955
2021-04-15,61.5,64.0,61.5,63.5,216301
2021-04-18,63.0,63.7,60.6,61.7,243306
2021-04-19,62.9,62.9,61.5,61.9,203778
2021-04-20,61.5,64.7,61.5,64.2,303152
2021-04-21,65.3,66.8,64.0,64.6,253484
2021-04-22,65.0,65.0,63.0,63.3,218001
2021-04-25,63.7,65.4,63.1,63.9,434255
2021-04-26,64.5,65.4,63.6,63.7,253342
2021-04-27,63.8,63.8,61.8,62.2,278150
2021-04-28,61.7,64.8,61.7,63.8,277741
2021-04-29,64.8,64.9,63.0,63.5,437801
2021-05-02,63.0,64.3,62.3,62.7,273148
2021-05-03,63.0,63.5,61.4,61.7,256981
2021-05-04,62.3,62.6,60.3,60.6,241041
2021-05-05,61.0,61.9,60.6,60.9,266613
2021-05-06,61.5,65.8,60.9,65.3,781125
2021-05-09,65.7,70.4,64.5,68.8,1146119
2021-05-11,69.3,69.3,66.8,66.9,490290
2021-05-12,68.0,73.5,68.0,73.2,1587781
2021-05-16,74.2,76.7,72.8,76.1,858042
2021-05-17,75.8,75.8,69.5,70.0,1039221
2021-05-18,70.6,73.9,68.2,71.3,830991
2021-05-19,70.6,72.9,68.9,69.9,427362
2021-05-20,69.5,71.3,68.1,68.4,471540
2021-05-23,69.0,72.6,68.0,71.6,735577
2021-05-24,72.7,75.0,72.5,73.3,866585
2021-05-25,73.6,74.1,70.7,71.2,649206
