Date,Open,High,Low,Close,Volume
2012-10-01,106.0,113.7,98.1,107.3,144800
2012-10-02,113.0,114.9,107.2,110.2,121600
2012-10-03,115.8,120.5,113.0,116.0,306800
2012-10-04,119.8,124.9,118.2,123.8,294800
2012-10-07,129.8,136.1,124.9,131.8,232400
2012-10-08,132.0,132.5,123.1,126.8,116200
2012-10-09,135.0,135.0,126.0,127.6,118000
2012-10-10,128.2,130.0,120.2,123.0,107000
2012-10-11,124.0,124.0,115.3,118.0,84800
2012-10-14,123.0,124.0,114.3,115.4,79400
2012-10-15,119.9,119.9,112.2,114.2,37200
2012-10-16,117.7,122.0,114.4,115.4,36400
2012-10-17,119.0,121.0,114.7,115.6,35000
2012-10-18,118.0,118.0,114.2,115.2,29600
2012-10-21,118.0,118.5,112.2,113.6,36800
2012-10-22,116.8,124.9,115.0,124.9,108000
2012-10-23,129.0,133.9,126.5,127.2,78400
2012-10-30,129.0,129.0,123.2,124.0,25000
2012-10-31,126.9,134.0,123.0,129.4,98600
2012-11-01,133.4,141.0,132.7,138.8,295600
2012-11-04,144.0,147.9,139.0,140.5,222200
2012-11-05,143.2,143.2,135.1,138.2,133800
2012-11-06,139.9,140.0,125.0,127.4,135600
2012-11-07,129.9,130.7,121.0,122.6,76000
2012-11-08,124.0,134.0,122.0,124.6,172600
2012-11-11,130.0,132.5,120.0,122.6,150200
2012-11-12,125.5,125.5,114.2,115.8,67000
2012-11-13,114.2,119.8,112.3,115.6,85400
2012-11-14,119.7,121.5,108.1,111.8,103800
2012-11-15,114.4,114.4,109.0,111.6,105000
2012-11-18,112.2,122.6,112.2,117.5,144400
2012-11-19,115.2,117.2,110.0,112.1,64200
2012-11-20,108.2,114.4,105.4,107.2,52000
2012-11-21,114.0,114.0,107.1,112.1,84600
2012-11-22,111.8,117.2,110.0,115.4,151000
2012-11-27,91.2,93.6,89.6,90.6,52000
2012-11-28,94.0,94.6,88.0,91.2,52600
2012-11-29,95.8,98.3,93.3,95.8,92400
2012-12-02,98.9,98.9,89.3,91.4,70200
2012-12-03,89.2,93.4,89.2,90.6,43400
2012-12-04,91.8,92.1,89.6,90.6,97000
2012-12-05,92.9,92.9,89.2,91.4,64400
2012-12-06,90.0,92.9,89.1,89.9,60000
2012-12-09,90.2,90.2,85.5,86.8,28000
2012-12-10,88.9,88.9,82.6,83.5,33200
2012-12-11,83.8,84.6,82.0,82.6,41800
2012-12-12,84.8,84.8,80.1,80.5,25400
2012-12-13,82.0,82.7,79.0,79.3,35400
2012-12-17,79.6,81.8,78.1,78.5,31400
2012-12-18,79.5,79.6,77.5,77.9,20200
2012-12-19,79.7,79.8,77.5,77.9,33400
2012-12-20,78.3,78.3,76.0,76.4,17600
2012-12-23,76.1,76.6,74.9,75.1,22000
2012-12-24,73.6,75.9,73.6,74.8,18000
2012-12-26,75.0,75.5,73.6,74.4,9200
2012-12-27,75.0,75.7,73.2,73.3,17000
2012-12-30,73.4,74.3,72.8,73.4,26000
2013-01-01,74.0,75.0,73.1,73.8,17600
2013-01-02,74.2,74.2,73.5,73.8,15400
2013-01-03,73.3,76.7,73.3,74.2,33400
2013-01-06,74.1,75.5,73.9,74.7,24200
2013-01-07,74.2,74.2,73.2,73.3,11400
2013-01-08,74.0,74.0,72.3,72.6,16800
2013-01-09,73.8,73.8,72.0,72.4,11000
2013-01-10,73.0,75.0,72.7,74.1,17600
2013-01-13,75.4,77.9,74.0,74.8,44200
2013-01-14,75.5,75.5,73.2,73.8,9200
2013-01-15,73.3,75.0,73.3,74.5,8400
2013-01-16,75.0,76.5,74.8,75.5,30400
2013-01-17,76.7,80.0,76.3,79.0,71000
2013-01-20,79.8,81.9,77.2,78.3,46200
2013-01-21,77.3,78.4,76.2,76.8,150200
2013-01-22,76.1,78.9,75.8,76.4,126600
2013-01-23,78.0,78.0,75.7,76.1,82000
2013-01-24,77.0,79.0,76.2,76.4,145200
2013-01-27,78.0,78.7,76.4,76.5,111600
2013-01-28,77.6,82.7,76.5,80.3,86200
2013-01-29,81.5,83.9,78.0,80.6,165600
2013-01-30,81.0,81.9,77.6,78.9,120200
2013-01-31,80.5,80.8,74.8,75.6,229000
2013-02-03,76.4,77.5,75.4,75.9,80200
2013-02-04,76.2,76.2,74.1,74.5,77600
2013-02-05,74.6,75.2,73.9,74.2,59000
2013-02-06,74.2,74.9,73.8,73.9,69400
2013-02-07,74.3,74.5,73.5,73.6,66800
2013-02-10,74.0,75.3,73.5,74.1,109000
2013-02-11,74.5,75.4,73.6,73.9,88600
2013-02-12,74.7,75.5,73.6,73.7,106200
2013-02-13,73.9,75.0,73.5,74.6,62800
2013-02-14,75.0,78.5,74.6,77.5,223000
2013-02-17,78.9,78.9,76.0,76.5,120800
2013-02-18,76.3,77.5,75.7,76.3,158200
2013-02-19,76.2,76.9,74.0,74.2,75200
2013-02-20,75.0,75.8,73.0,73.5,101400
2013-02-24,72.6,72.8,70.2,70.5,65400
2013-02-25,71.0,72.0,67.1,68.1,46600
2013-02-26,70.0,71.8,68.6,70.5,48800
2013-02-27,69.9,70.9,67.1,67.4,47600
2013-02-28,67.0,68.7,67.0,68.0,14400
2013-03-03,63.2,63.8,61.6,61.8,38600
2013-03-04,64.2,64.2,62.7,63.3,20800
2013-03-05,63.6,63.9,61.1,62.3,28600
2013-03-06,62.7,62.7,60.9,61.2,27800
2013-03-07,60.2,61.1,58.5,59.3,35600
2013-03-10,58.3,59.6,57.0,57.3,35800
2013-03-11,56.3,59.0,53.3,57.7,37400
2013-03-12,57.2,58.1,57.0,57.1,19800
2013-03-13,59.8,60.0,58.3,58.9,22200
2013-03-14,58.0,59.4,57.0,58.3,33800
2013-03-18,57.3,58.5,57.3,58.2,10000
2013-03-19,59.0,59.5,58.6,58.9,29000
2013-03-20,58.9,58.9,57.0,57.0,20400
2013-03-24,55.7,57.0,54.5,54.9,30200
2013-03-25,54.0,55.0,53.9,54.3,12600
2013-03-27,53.0,54.8,52.4,53.7,12400
2013-03-28,53.9,54.8,53.5,54.4,10600
2013-03-31,54.4,55.3,54.0,54.1,36400
2013-04-01,53.0,53.4,51.1,51.5,21600
2013-04-02,50.7,53.0,50.6,52.5,17600
2013-04-03,53.5,53.8,51.0,51.5,29200
2013-04-04,50.6,52.2,50.6,50.9,12200
2013-04-07,48.9,52.1,48.9,51.8,20400
2013-04-08,51.5,56.9,50.9,55.6,65200
2013-04-09,57.0,60.9,57.0,60.4,138000
2013-04-10,61.9,63.7,59.5,60.6,76000
2013-04-11,57.2,64.9,57.2,63.8,140400
2013-04-15,64.4,67.5,64.3,66.6,92400
2013-04-16,68.0,69.0,63.0,63.0,103800
2013-04-17,63.2,68.0,62.7,67.1,180000
2013-04-18,68.5,73.8,68.5,73.7,411600
