Date,Open,High,Low,Close,Volume
2012-10-01,177.0,177.0,170.0,173.5,100
2012-10-02,170.0,170.0,169.0,169.4,250
2012-10-03,178.0,178.0,178.0,178.0,50
2012-10-07,172.0,172.0,172.0,172.0,150
2012-10-08,160.5,160.5,160.0,160.1,300
2012-10-09,161.0,161.0,160.1,160.3,200
2012-10-10,160.0,165.0,155.1,158.1,350
2012-10-14,171.0,171.0,171.0,171.0,100
2012-10-16,168.0,168.0,160.0,166.8,350
2012-10-17,158.0,165.0,158.0,161.5,200
2012-10-18,160.0,160.0,160.0,160.0,100
2012-10-21,158.0,168.5,158.0,162.4,400
2012-10-22,163.0,163.0,163.0,163.0,50
2012-10-23,161.0,171.0,161.0,166.0,100
2012-10-30,167.0,175.0,167.0,171.4,1050
2012-10-31,167.0,174.0,167.0,172.2,250
2012-11-01,170.0,189.0,170.0,180.9,1900
2012-11-04,195.0,198.3,188.0,196.8,1400
2012-11-05,214.0,214.2,200.1,213.6,2100
2012-11-06,222.0,232.2,215.2,231.6,2850
2012-11-07,240.0,240.0,229.0,233.1,1700
2012-11-08,220.0,225.0,220.0,221.2,650
2012-11-11,206.0,221.0,206.0,214.4,2250
2012-11-12,202.0,220.0,202.0,207.7,850
2012-11-13,210.0,225.8,210.0,224.2,1850
2012-11-14,241.1,243.8,240.0,241.9,800
2012-11-15,254.9,254.9,227.1,237.5,900
2012-11-18,227.0,238.0,227.0,231.0,250
2012-11-19,220.0,221.0,220.0,220.2,1650
2012-11-20,237.0,237.0,222.1,229.5,850
2012-11-21,222.0,222.0,221.2,221.3,300
2012-11-22,225.0,225.9,221.6,222.1,750
2012-11-26,232.5,232.5,232.5,232.5,50
2012-11-27,221.0,221.0,216.2,216.6,600
2012-11-29,225.0,225.0,220.0,221.6,150
2012-12-02,215.0,216.0,211.1,214.2,350
2012-12-03,211.0,211.0,201.0,205.6,250
2012-12-05,205.7,205.7,196.0,200.7,350
2012-12-06,200.1,201.0,200.1,200.5,100
2012-12-09,191.1,191.1,191.1,191.1,100
2012-12-10,191.0,191.0,190.0,190.5,100
2012-12-11,182.0,184.0,182.0,182.4,1200
2012-12-12,182.0,182.0,182.0,182.0,50
2012-12-13,184.0,184.0,184.0,184.0,100
2012-12-17,181.0,181.0,181.0,181.0,50
2012-12-18,184.1,184.3,181.0,182.9,800
2012-12-19,183.5,183.5,180.5,182.0,300
2012-12-23,180.0,192.4,180.0,185.3,400
2012-12-24,185.0,186.0,184.0,184.7,400
2012-12-26,183.5,183.5,183.5,183.5,50
2012-12-27,183.0,183.0,182.0,182.5,900
2013-01-02,173.2,173.2,172.0,172.8,700
2013-01-08,171.0,171.0,171.0,171.0,50
2013-01-09,174.1,174.1,172.1,173.4,150
2013-01-14,182.9,182.9,182.9,182.9,50
2013-01-15,180.9,180.9,180.9,180.9,100
2013-01-17,184.1,184.2,181.5,183.2,400
2013-01-21,182.4,182.4,182.4,182.4,100
2013-01-23,183.0,183.0,182.5,182.7,100
