Date,Open,High,Low,Close,Volume
2021-06-13,11.0,11.0,11.0,11.0,1501
2021-06-14,12.1,12.1,12.1,12.1,62100
2021-06-15,13.3,13.3,13.3,13.3,4260
2021-06-16,14.6,14.6,14.6,14.6,1735
2021-06-17,16.0,16.0,16.0,16.0,14300
2021-06-20,17.6,17.6,17.6,17.6,8208
2021-06-21,19.3,19.3,19.3,19.3,1356235
2021-06-22,21.2,21.2,20.9,21.2,2184231
2021-06-23,23.3,23.3,23.2,23.3,2614521
2021-06-24,25.5,25.6,25.1,25.6,1767117
2021-06-27,28.1,28.1,27.5,28.1,663230
2021-06-28,30.9,30.9,30.9,30.9,122030
2021-06-29,33.9,33.9,33.9,33.9,306564
2021-06-30,37.2,37.2,30.6,30.6,2787446
2021-07-05,27.6,28.1,27.6,27.6,696868
2021-07-06,24.9,30.0,24.9,26.5,2431602
2021-07-07,27.7,27.9,25.5,25.9,793865
2021-07-08,26.6,26.6,25.3,25.5,1002609
2021-07-12,25.6,25.6,23.6,23.9,1252398
2021-07-13,24.0,24.7,23.3,23.5,1024661
2021-07-14,23.9,25.8,23.6,25.8,1436323
2021-07-15,26.6,27.7,25.8,26.1,1064448
2021-07-18,26.2,26.3,24.4,24.9,815559
2021-07-19,25.0,25.4,24.5,24.8,487224
2021-07-25,25.3,25.3,23.5,23.7,537153
2021-07-26,23.9,24.4,23.6,23.8,321171
2021-07-27,24.3,24.8,23.8,24.1,356115
2021-07-28,24.3,24.6,23.7,23.9,456007
2021-07-29,24.3,24.3,23.5,23.7,303271
2021-08-02,24.1,24.4,23.8,23.9,609281
2021-08-03,24.3,25.8,24.2,25.7,1231916
2021-08-05,26.2,26.7,25.7,26.0,986288
2021-08-09,26.5,26.5,25.5,26.1,1169823
2021-08-10,26.3,26.6,25.7,25.8,785651
2021-08-11,25.8,25.9,25.1,25.6,436647
2021-08-12,25.5,26.0,25.4,25.7,609629
2021-08-16,26.0,26.0,25.2,25.5,518184
2021-08-17,25.8,25.8,24.0,24.5,593485
2021-08-18,24.9,25.9,24.3,25.4,505361
2021-08-19,26.0,26.0,24.7,24.8,288127
2021-08-22,25.1,26.0,24.8,25.0,876476
2021-08-23,25.6,25.6,24.7,24.8,403966
2021-08-24,24.8,25.3,24.6,24.7,397767
2021-08-25,25.0,25.7,24.8,25.2,1080006
