Date,Open,High,Low,Close,Volume
2021-06-13,55.0,55.0,55.0,55.0,2
2021-06-14,60.5,60.5,60.5,60.5,1
2021-06-15,66.5,66.5,66.5,66.5,2
2021-06-16,73.1,73.1,73.1,73.1,13
2021-06-17,80.4,80.4,80.4,80.4,10
2021-06-20,88.4,88.4,88.4,88.4,24038
2021-06-21,97.2,97.2,97.2,97.2,50
2021-06-22,106.9,106.9,106.9,106.9,75
2021-06-23,117.5,117.5,117.5,117.5,1026
2021-06-24,129.2,129.2,129.2,129.2,2809
2021-06-27,142.1,142.1,142.1,142.1,25195
2021-06-28,156.3,156.3,156.3,156.3,228617
2021-06-29,171.9,171.9,171.9,171.9,118955
2021-06-30,189.0,189.0,156.0,160.3,100532
2021-07-05,157.7,158.0,149.8,150.5,43702
2021-07-06,143.1,160.0,143.1,152.0,36670
2021-07-07,152.1,157.0,150.1,153.6,31035
2021-07-08,158.0,168.9,157.9,168.7,80158
2021-07-12,179.0,179.0,170.0,176.7,57118
2021-07-13,182.9,182.9,172.0,175.6,23785
2021-07-14,171.6,175.1,165.6,166.9,39353
2021-07-15,166.3,168.0,161.0,163.8,40032
2021-07-18,160.1,170.0,160.1,164.1,20998
2021-07-19,164.5,176.0,164.5,169.1,35101
2021-07-25,173.0,173.0,166.2,169.3,20405
2021-07-26,169.5,170.0,166.1,167.5,23714
2021-07-27,165.2,168.2,162.0,164.4,19414
2021-07-28,168.0,168.0,160.5,160.9,21147
2021-07-29,158.1,165.0,155.0,156.6,29066
2021-08-02,156.0,163.8,156.0,162.1,39686
2021-08-03,165.5,178.0,163.9,167.0,46109
2021-08-05,176.9,176.9,169.0,171.9,81795
2021-08-09,175.0,182.0,175.0,175.9,110739
2021-08-10,182.5,183.0,168.0,168.9,58756
2021-08-11,165.2,175.0,164.8,174.3,68375
2021-08-12,179.0,179.0,166.8,167.1,38839
2021-08-16,168.0,173.8,164.1,164.9,53544
2021-08-17,171.5,171.5,163.1,163.5,43318
2021-08-18,165.0,169.9,164.5,165.5,16207
2021-08-19,169.8,169.8,166.0,167.3,26698
2021-08-22,172.8,172.9,168.3,168.5,35149
2021-08-23,168.9,172.4,167.1,168.1,51949
2021-08-24,167.3,172.6,167.3,169.3,44229
2021-08-25,174.2,185.7,170.7,181.8,106540
2021-08-26,188.0,193.8,182.0,186.0,99399
2021-08-29,187.0,189.8,176.8,178.8,55172
2021-08-31,185.0,188.9,181.5,182.5,51399
2021-09-01,183.1,187.0,179.0,181.1,41562
2021-09-02,189.9,197.7,186.6,188.0,61114
2021-09-05,194.9,206.8,191.0,206.8,122076
2021-09-06,217.0,224.8,212.4,215.5,122092
2021-09-07,217.0,234.3,217.0,234.0,119522
2021-09-08,244.0,249.8,228.1,229.9,103976
2021-09-09,229.9,229.9,220.0,225.0,121205
2021-09-12,235.0,238.0,208.1,219.8,65361
2021-09-13,227.5,227.5,212.0,223.9,36089
2021-09-14,220.0,220.0,205.0,208.1,76683
2021-09-15,219.8,226.3,201.0,225.6,44570
2021-09-16,234.0,237.6,226.4,229.5,70614
2021-09-19,223.0,223.0,209.5,209.5,20802
2021-09-20,191.2,199.9,191.2,191.2,135236
2021-09-21,183.0,200.0,182.1,185.9,86969
2021-09-22,185.9,185.9,172.1,175.2,54151
