Date,Open,High,Low,Close,Volume
2024-01-28,16.6,16.6,16.0,16.1,12924
2024-01-29,16.3,16.3,15.8,15.9,20319
2024-01-30,15.9,16.8,15.7,16.0,425390
2024-01-31,16.2,16.5,14.4,15.9,272114
2024-02-01,16.3,16.3,15.8,15.9,339530
2024-02-04,15.5,16.0,15.5,15.8,345917
2024-02-05,16.8,16.8,15.4,15.9,372232
2024-02-06,15.9,15.9,15.4,15.5,547753
2024-02-07,15.7,15.7,14.6,15.0,872895
2024-02-08,15.2,15.4,14.5,14.7,727063
2024-02-11,14.8,15.2,13.6,13.7,996556
2024-02-12,14.4,14.8,14.2,14.2,262804
2024-02-13,15.1,15.1,14.2,14.3,66435
2024-02-14,15.5,15.5,14.4,14.5,271015
2024-02-15,15.2,15.2,13.4,13.9,194867
2024-02-18,14.3,14.3,13.4,13.5,146932
2024-02-19,13.7,14.8,13.5,14.5,345776
2024-02-20,15.0,15.0,13.8,13.9,162468
2024-02-22,14.7,14.9,14.1,14.7,911150
2024-02-25,15.1,16.1,14.7,16.1,1807513
2024-02-27,17.2,17.7,16.3,17.0,2935475
2024-02-28,17.1,17.4,16.8,16.9,1127707
2024-02-29,16.7,18.5,16.7,18.4,2196510
2024-03-03,18.7,19.4,17.4,18.1,1338030
2024-03-04,18.4,19.7,17.6,19.0,2713397
2024-03-05,18.5,20.3,18.5,19.4,1387821
2024-03-06,19.6,20.0,18.8,19.0,1661024
2024-03-07,18.6,19.7,18.5,18.8,1448882
2024-03-10,18.5,19.5,18.5,19.3,1110395
2024-03-11,19.9,19.9,19.0,19.2,1221596
2024-03-12,19.6,19.6,17.6,18.3,384680
2024-03-13,17.6,18.9,17.6,18.3,383230
2024-03-14,18.8,19.2,18.5,19.1,1007200
2024-03-18,17.7,19.6,17.7,18.3,385749
2024-03-19,18.0,18.8,17.8,17.9,861236
2024-03-20,18.4,18.8,18.3,18.6,458683
2024-03-21,19.1,19.1,18.5,18.6,852037
2024-03-24,19.1,19.6,18.7,19.2,1367046
2024-03-25,19.5,19.5,18.8,19.0,746271
2024-03-27,19.4,20.5,19.3,20.2,2618696
2024-03-28,20.8,22.2,20.3,22.1,2602393
2024-03-31,22.0,23.7,21.8,23.4,1942814
2024-04-01,23.9,23.9,21.9,22.1,1296009
2024-04-02,21.6,22.7,21.1,22.0,923537
2024-04-03,23.3,24.2,22.0,23.7,1999914
2024-04-04,23.5,24.5,23.0,23.2,1257071
2024-04-08,23.7,23.7,22.2,22.5,424182
2024-04-09,20.5,23.3,20.5,21.8,584234
2024-04-15,21.4,22.2,20.8,21.1,413616
2024-04-16,21.1,21.4,20.5,20.7,951500
2024-04-17,21.0,21.2,20.3,20.5,646013
2024-04-18,20.9,20.9,19.6,20.2,486766
2024-04-21,19.9,21.7,19.9,21.3,686469
2024-04-22,21.7,22.2,21.5,21.8,1173196
2024-04-23,21.5,21.7,20.6,21.0,631099
2024-04-24,20.5,21.2,20.0,20.1,454556
2024-04-25,19.6,19.7,18.5,19.5,303453
2024-04-28,19.2,20.5,19.1,19.9,521172
2024-04-29,20.2,20.3,18.7,18.8,939973
2024-04-30,18.1,18.7,18.1,18.6,355306
2024-05-02,19.1,19.4,19.0,19.0,368240
2024-05-05,19.7,19.7,18.8,18.9,133077
2024-05-06,19.2,19.2,18.3,18.7,506643
2024-05-07,18.7,19.0,18.0,18.1,604228
2024-05-08,19.0,19.5,18.0,18.4,615978
2024-05-09,18.3,18.7,18.0,18.1,500795
