Date,Open,High,Low,Close,Volume
2012-10-01,234.0,234.3,227.5,230.8,397500
2012-10-02,234.0,237.9,234.0,236.3,342600
2012-10-03,239.9,248.6,238.2,241.9,1183500
2012-10-04,245.0,252.5,242.1,243.8,961900
2012-10-07,244.5,249.9,241.0,242.1,662300
2012-10-08,243.6,246.5,237.0,239.3,486200
2012-10-09,242.9,244.6,239.2,240.2,651500
2012-10-10,243.0,247.8,242.0,242.7,962100
2012-10-11,246.9,248.3,244.5,245.5,981100
2012-10-14,248.0,256.5,246.2,252.8,1293800
2012-10-15,255.0,258.4,251.5,253.6,1196800
2012-10-16,254.5,255.0,247.5,248.8,778800
2012-10-17,248.0,249.0,243.6,244.5,421800
2012-10-18,245.0,250.5,244.1,249.8,468100
2012-10-21,252.8,254.9,248.9,251.5,565100
2012-10-22,253.0,253.0,246.4,247.6,356000
2012-10-23,247.5,252.3,245.5,247.4,334400
2012-10-30,247.0,250.3,246.7,247.7,248700
2012-10-31,247.0,248.5,245.6,246.1,203700
2012-11-01,247.0,247.6,242.3,242.9,189400
2012-11-04,243.6,244.0,238.0,239.8,158200
2012-11-05,240.0,241.4,237.2,240.4,231100
2012-11-06,240.4,245.9,240.4,243.3,343800
2012-11-07,243.9,244.7,239.0,240.3,202100
2012-11-08,241.0,241.1,238.0,238.8,163200
2012-11-11,237.0,238.5,226.5,233.8,521500
2012-11-12,235.0,236.0,227.7,233.2,237000
2012-11-13,230.1,238.0,230.1,236.6,142300
2012-11-14,237.7,239.0,234.3,236.6,532800
2012-11-15,237.5,239.5,235.5,237.1,181400
2012-11-18,238.0,239.9,232.0,235.2,252600
2012-11-19,232.2,235.0,231.1,232.5,190500
2012-11-20,230.5,235.6,230.0,232.6,225700
2012-11-21,235.9,235.9,230.5,231.9,163300
2012-11-22,230.0,231.7,224.1,225.2,349700
2012-11-26,234.9,240.0,218.3,220.8,389000
2012-11-27,220.0,225.7,218.1,223.3,229200
2012-11-28,225.0,226.0,219.3,221.2,203900
2012-11-29,225.0,233.9,223.2,231.6,213900
2012-12-02,232.0,234.0,224.5,225.5,166000
2012-12-03,225.4,225.7,221.2,222.0,74400
2012-12-04,223.5,225.7,220.4,224.5,53300
2012-12-05,226.9,226.9,221.0,221.4,91100
2012-12-06,218.3,222.2,218.0,220.1,113900
2012-12-09,217.0,218.8,216.1,216.3,81800
2012-12-10,216.5,216.5,212.0,213.2,111600
2012-12-11,213.5,215.0,212.3,213.6,59900
2012-12-12,216.0,216.0,212.1,212.2,73300
2012-12-13,214.2,214.2,210.8,211.0,71200
2012-12-17,210.5,213.5,210.4,212.3,139500
2012-12-18,213.0,213.0,211.0,211.5,149600
2012-12-19,213.0,213.7,211.5,212.4,181600
2012-12-20,213.8,213.8,210.3,210.8,155600
2012-12-23,211.8,211.8,207.4,208.1,296200
2012-12-26,157.0,157.0,153.0,155.1,141800
2012-12-27,155.3,156.5,154.2,154.9,113300
2012-12-30,155.1,161.0,154.6,158.5,160600
2013-01-01,159.6,164.5,158.7,158.9,133500
2013-01-02,158.0,158.2,156.5,156.6,58600
2013-01-03,157.0,159.5,156.3,157.9,51700
2013-01-06,164.8,167.0,163.0,163.6,287000
2013-01-07,163.2,163.2,160.5,161.1,137000
2013-01-08,161.9,162.3,159.1,159.5,53700
2013-01-09,160.0,160.0,157.8,158.3,100700
2013-01-10,158.3,159.0,156.9,158.3,111900
2013-01-13,157.9,158.0,157.1,157.1,32800
2013-01-14,157.0,157.5,155.5,156.9,43400
2013-01-15,155.5,157.0,155.5,156.5,36600
2013-01-16,156.0,157.4,155.8,156.7,58000
2013-01-17,158.4,158.5,156.5,157.3,49200
2013-01-20,157.0,158.4,156.9,157.2,47900
2013-01-21,156.7,157.4,156.0,156.0,47100
2013-01-22,156.6,157.6,155.7,156.3,34000
2013-01-23,157.0,157.4,155.5,155.9,56200
2013-01-24,156.0,158.3,156.0,156.2,45900
2013-01-27,155.7,159.0,155.7,156.9,41300
2013-01-28,157.5,161.0,156.3,159.0,72100
2013-01-29,161.0,164.8,161.0,162.8,141800
2013-01-30,162.9,163.3,160.9,162.4,118200
2013-01-31,162.8,164.7,161.0,163.1,138100
2013-02-03,155.0,166.4,155.0,165.6,325000
2013-02-04,165.1,168.5,165.1,166.8,132900
2013-02-05,165.5,175.2,164.8,173.7,348500
2013-02-06,173.0,178.9,172.6,176.5,327200
2013-02-07,177.7,180.5,175.0,176.9,268600
2013-02-10,177.7,179.0,174.6,175.8,247500
2013-02-11,175.2,176.9,173.6,173.9,262700
2013-02-12,173.3,178.0,173.3,175.1,127600
2013-02-13,175.0,176.8,173.7,174.0,138000
2013-02-14,175.0,178.0,174.5,177.2,171800
2013-02-17,176.0,179.0,176.0,176.5,180700
2013-02-18,176.0,176.9,174.6,176.2,133400
2013-02-19,175.1,176.4,174.0,175.1,155900
2013-02-20,174.0,175.4,172.5,173.6,193400
2013-02-24,173.0,173.0,168.0,168.4,170300
2013-02-25,165.3,169.0,162.0,162.3,189100
2013-02-26,163.8,166.8,163.5,165.7,68300
2013-02-27,165.5,165.9,162.6,162.9,82000
2013-02-28,162.5,164.9,162.0,162.8,25300
2013-03-03,158.3,163.7,156.1,162.0,139600
2013-03-04,157.2,166.0,157.2,164.5,84200
2013-03-05,166.4,166.4,163.0,164.1,52100
2013-03-06,164.1,166.8,162.0,163.8,64000
2013-03-07,161.8,165.6,161.6,164.2,74800
2013-03-10,165.0,167.4,163.3,163.5,187000
2013-03-11,163.0,165.0,161.0,164.9,130200
2013-03-12,164.5,167.9,163.5,166.7,132000
2013-03-13,169.0,171.0,167.0,168.9,170600
2013-03-14,168.5,170.5,168.0,168.9,57500
2013-03-18,166.0,170.5,166.0,170.3,72300
2013-03-19,172.1,173.5,172.0,172.4,77700
2013-03-20,174.4,174.4,170.3,172.1,35800
2013-03-24,170.0,170.0,166.0,168.1,82200
2013-03-25,167.8,168.9,166.0,166.9,67000
2013-03-27,166.0,166.6,164.6,166.0,35800
2013-03-28,168.2,168.2,166.1,167.2,91300
2013-03-31,166.9,168.5,165.5,167.2,31900
2013-04-01,166.0,166.0,161.1,162.4,77700
2013-04-02,165.0,165.4,163.6,165.0,66200
2013-04-03,165.2,167.0,165.2,166.3,92700
2013-04-04,165.0,166.8,164.5,166.4,113900
2013-04-07,165.7,167.5,165.5,166.5,88500
2013-04-08,165.5,168.3,165.5,167.8,90500
2013-04-09,168.4,170.0,168.0,169.0,72400
2013-04-10,170.0,172.5,169.0,169.5,136900
2013-04-11,170.0,170.8,168.1,169.6,74400
2013-04-15,171.0,171.0,168.3,170.3,79700
2013-04-16,170.3,170.3,167.3,167.5,45000
2013-04-17,166.1,168.0,166.1,167.5,54300
2013-04-18,167.5,168.1,167.3,167.5,48500
2013-04-21,168.1,168.5,166.6,167.0,51000
2013-04-22,166.3,167.0,165.8,166.2,37900
2013-04-23,166.0,167.9,166.0,166.2,21800
2013-04-24,165.8,166.5,165.5,165.7,31000
2013-04-25,165.5,167.0,165.5,166.4,35500
2013-04-28,166.0,167.2,165.0,165.9,92000
2013-04-29,166.5,166.9,165.0,165.5,75800
2013-04-30,166.0,169.1,166.0,166.4,63600
2013-05-02,168.0,168.9,165.8,167.9,56700
2013-05-05,168.0,168.3,166.0,166.1,54000
2013-05-06,165.4,166.1,165.3,165.4,27700
2013-05-07,165.1,170.0,165.1,169.2,71000
2013-05-08,170.0,170.9,167.1,169.1,58800
2013-05-09,168.3,171.0,168.0,170.0,42400
2013-05-12,172.0,174.5,170.9,173.7,156800
2013-05-13,174.0,174.4,171.3,173.8,137600
2013-05-14,176.5,178.8,175.0,177.0,327900
2013-05-15,177.0,178.0,174.2,174.8,182000
2013-05-16,175.0,179.7,175.0,178.3,467100
2013-05-19,179.6,184.1,179.6,183.9,539300
2013-05-20,188.9,188.9,180.5,181.4,484600
2013-05-21,181.2,183.3,177.0,178.5,264400
2013-05-22,178.4,178.8,175.8,176.0,220400
2013-05-26,178.9,178.9,172.4,173.2,159000
2013-05-27,173.6,176.5,173.6,176.1,73800
2013-05-28,178.5,178.7,176.2,177.2,146600
2013-05-29,178.0,181.3,178.0,180.8,369900
2013-05-30,184.0,185.0,180.4,180.9,263800
2013-06-02,182.9,183.8,180.5,183.2,285300
2013-06-03,183.5,189.0,182.8,187.3,630300
2013-06-04,188.8,193.9,188.8,191.4,725500
2013-06-05,191.0,195.7,189.3,194.9,1172600
2013-06-06,197.4,198.9,190.5,193.7,1334500
2013-06-09,193.7,193.8,188.5,191.3,565600
2013-06-10,192.9,202.7,192.5,201.3,895300
2013-06-11,202.5,210.0,202.5,206.6,1326700
2013-06-12,208.0,210.0,203.0,203.7,813700
2013-06-13,203.0,205.0,201.0,202.1,617700
2013-06-16,205.0,207.0,203.2,206.1,791200
2013-06-17,210.0,211.0,204.1,204.9,995100
2013-06-18,205.0,208.1,204.0,206.8,854600
2013-06-19,210.0,223.0,210.0,220.2,1584500
2013-06-20,225.0,225.0,213.1,214.5,887900
2013-06-23,217.5,222.9,214.3,216.8,1723000
2013-06-24,218.8,221.0,214.9,218.6,1140200
2013-06-26,222.5,236.8,220.1,231.7,2231200
2013-06-27,235.9,238.0,231.2,232.2,1752900
2013-06-30,232.1,244.5,230.8,237.8,1678600
2013-07-02,242.0,247.8,240.7,246.5,1813700
2013-07-03,249.0,250.8,245.0,248.0,1118900
2013-07-04,249.0,249.0,241.1,242.9,1305300
2013-07-07,247.0,251.2,243.6,246.9,1384600
2013-07-08,247.8,265.9,247.1,262.5,1579000
2013-07-09,266.0,285.4,263.0,281.4,1901000
2013-07-10,282.0,282.0,268.7,277.3,1685800
2013-07-11,277.0,290.3,271.6,273.2,1629500
2013-07-14,280.0,281.0,266.4,275.6,1299300
2013-07-15,280.0,299.7,278.0,299.6,2213000
2013-07-16,301.0,320.0,299.6,307.3,2478000
2013-07-17,309.0,320.0,306.1,316.4,2340500
2013-07-18,314.5,314.5,288.8,304.4,2709100
2013-07-21,310.0,319.9,277.8,277.8,2192700
2013-07-22,285.0,288.9,261.6,264.2,1199500
2013-07-23,264.2,268.0,241.1,242.3,1422300
2013-07-24,248.0,263.5,235.0,263.5,752100
2013-07-25,272.0,274.0,249.1,252.1,1135600
2013-07-28,250.0,252.0,233.1,243.0,595800
2013-07-29,243.0,264.2,241.1,263.9,829600
2013-07-30,272.0,275.9,263.1,268.5,1025600
2013-07-31,273.9,285.0,267.0,280.3,1168100
2013-08-01,283.0,285.0,270.5,277.0,676700
2013-08-04,270.0,275.0,260.0,261.8,516400
2013-08-05,266.8,270.9,258.0,269.0,531600
2013-08-12,264.5,274.9,264.5,272.4,312200
2013-08-13,273.5,283.0,273.5,279.2,818400
2013-08-14,278.6,283.4,276.0,277.7,591200
2013-08-18,279.9,288.5,276.0,286.5,823800
2013-08-19,287.9,291.9,282.0,290.3,818900
2013-08-20,294.0,302.0,285.1,290.1,1384600
2013-08-21,290.0,296.7,283.2,284.2,756400
2013-08-22,289.2,291.5,282.2,289.6,697900
