Date,Open,High,Low,Close,Volume
2017-12-24,100.0,120.0,80.0,81.6,4942230
2017-12-26,81.6,85.0,76.1,81.5,1064767
2017-12-27,82.5,84.5,76.4,77.4,1571605
2017-12-28,78.0,78.2,72.9,73.4,1388061
2018-01-01,73.1,76.4,72.8,73.1,818631
2018-01-02,73.3,74.7,73.3,73.6,185330
2018-01-03,71.8,73.9,71.6,73.4,764357
2018-01-04,73.6,74.9,72.6,73.0,896749
2018-01-07,73.4,74.0,71.2,71.5,608557
2018-01-08,72.0,72.0,68.6,69.1,849647
2018-01-09,69.5,70.4,67.6,67.9,660439
2018-01-10,68.0,68.7,65.7,65.9,719334
2018-01-11,66.2,67.4,65.4,65.9,759291
2018-01-14,66.0,66.3,63.6,63.9,732858
2018-01-15,63.9,66.5,63.9,64.9,833330
2018-01-16,65.2,66.2,64.1,64.5,521819
2018-01-17,64.5,64.8,62.0,62.5,555851
2018-01-18,62.6,62.7,59.2,60.0,730957
2018-01-21,60.2,61.8,59.6,60.0,393792
2018-01-22,60.0,63.5,60.0,62.9,1077730
2018-01-23,63.4,63.7,60.9,61.3,914420
2018-01-24,61.4,62.2,60.4,60.5,460184
2018-01-25,60.6,61.7,60.0,60.4,520989
2018-01-28,60.4,60.9,58.1,58.5,385297
2018-01-29,58.5,64.3,58.5,64.3,1744012
2018-01-30,65.2,65.2,61.1,61.7,1360653
2018-01-31,61.5,61.7,59.1,59.6,582268
2018-02-01,60.0,61.8,59.7,60.0,412818
2018-02-04,60.4,60.5,57.7,58.0,327374
2018-02-05,58.4,59.6,57.3,58.0,423807
2018-02-06,58.8,59.5,58.0,58.6,254846
2018-02-07,58.6,58.7,56.4,56.7,395566
2018-02-08,56.7,57.3,54.3,54.6,404076
2018-02-11,55.3,57.1,54.9,56.2,451965
2018-02-12,56.7,57.7,55.7,56.2,449490
2018-02-13,56.2,56.7,54.8,55.1,500773
2018-02-14,55.2,56.3,54.9,55.2,453501
2018-02-15,55.9,56.2,54.8,55.0,338297
2018-02-18,55.2,55.3,52.5,52.9,374473
2018-02-19,53.5,53.9,51.2,51.5,296553
2018-02-20,52.1,53.0,50.1,50.5,306298
2018-02-22,51.0,51.7,50.1,50.2,257205
2018-02-25,50.5,50.7,48.7,48.8,242796
2018-02-26,49.1,49.2,47.4,47.7,410407
2018-02-27,48.6,48.7,47.5,47.9,293382
2018-02-28,47.9,51.5,46.5,49.6,1541731
2018-03-01,49.6,50.8,49.0,49.8,589722
2018-03-04,50.0,52.0,49.8,50.9,1148857
2018-03-05,51.7,53.7,51.2,52.3,1303452
2018-03-06,52.3,56.7,51.2,55.6,1610363
2018-03-07,55.6,57.1,54.8,55.9,1454231
2018-03-08,55.6,55.9,54.3,54.6,913663
2018-03-11,54.8,55.3,52.1,52.6,663471
2018-03-12,52.4,53.0,50.4,50.8,602560
2018-03-13,51.1,51.5,49.2,49.9,551768
2018-03-14,48.1,51.6,48.1,51.1,869876
2018-03-15,51.6,52.9,51.0,52.0,976204
2018-03-18,52.1,52.8,51.2,51.7,696308
2018-03-19,51.5,52.3,50.5,50.7,573546
2018-03-20,50.7,51.6,49.1,49.9,587542
2018-03-21,49.8,50.3,48.0,48.2,670047
2018-03-22,48.9,49.3,47.1,48.4,534752
2018-03-25,49.4,49.6,48.0,48.4,579591
2018-03-27,48.7,48.7,46.3,46.6,560199
2018-03-28,46.9,47.5,46.2,46.9,403566
2018-03-29,47.1,48.0,47.0,47.6,398040
2018-04-01,48.0,49.5,48.0,48.6,624831
2018-04-02,48.9,50.7,48.4,50.2,1188971
2018-04-03,50.8,51.7,49.7,50.3,903988
2018-04-04,50.4,51.3,49.3,49.4,794703
2018-04-05,49.4,50.0,48.4,49.4,665104
2018-04-08,50.0,52.2,49.9,51.9,1552732
2018-04-09,52.0,53.9,51.8,52.6,1259132
2018-04-10,52.6,53.3,50.5,50.8,971231
2018-04-11,51.2,51.4,49.5,49.6,515677
2018-04-12,49.5,50.8,49.0,49.2,368733
2018-04-15,49.7,50.0,48.2,48.4,304756
2018-04-16,48.6,50.3,48.0,49.3,618475
2018-04-17,49.7,50.7,48.5,48.8,448205
2018-04-18,49.0,49.8,48.4,48.6,325811
2018-04-19,48.6,48.9,47.5,47.7,247302
2018-04-22,48.4,48.6,47.3,47.5,212768
2018-04-23,47.5,48.0,46.8,46.9,194467
2018-04-24,47.0,47.2,46.5,46.9,290334
