Date,Open,High,Low,Close,Volume
2012-10-01,306.0,306.0,293.1,295.5,6750
2012-10-02,300.0,304.0,295.0,300.7,13950
2012-10-03,301.2,303.8,300.4,300.9,10650
2012-10-04,300.0,304.0,296.4,303.7,11050
2012-10-07,303.0,303.0,295.5,296.3,6150
2012-10-08,293.6,296.0,293.0,293.5,5400
2012-10-09,293.0,295.5,290.5,291.8,8800
2012-10-10,303.8,303.8,290.7,292.3,3100
2012-10-11,292.0,292.0,281.0,282.2,4350
2012-10-14,282.3,294.0,280.0,281.4,5300
2012-10-15,281.0,292.0,281.0,286.1,2350
2012-10-16,284.0,285.0,283.0,283.6,4050
2012-10-17,286.0,290.0,284.0,287.0,1600
2012-10-18,283.0,291.3,283.0,289.7,3750
2012-10-21,285.0,290.0,285.0,288.2,4000
2012-10-22,288.0,288.0,283.0,284.9,2200
2012-10-23,289.0,293.2,289.0,292.1,1100
2012-10-30,295.0,295.0,287.0,290.2,1900
2012-10-31,283.6,290.0,283.5,287.5,3950
2012-11-01,288.5,288.5,284.2,284.7,9950
2012-11-04,276.0,283.0,276.0,282.4,3500
2012-11-05,283.0,283.0,282.3,282.7,3350
2012-11-06,282.0,283.7,281.6,282.5,3000
2012-11-07,280.1,280.9,280.1,280.4,2350
2012-11-08,275.0,282.0,275.0,279.8,2350
2012-11-11,276.1,279.0,276.1,276.2,5150
2012-11-12,274.0,282.6,273.5,282.0,5400
2012-11-13,282.7,300.0,282.7,291.1,42500
2012-11-14,295.0,297.0,291.1,295.3,9300
2012-11-15,295.8,306.5,295.8,306.0,22400
2012-11-18,306.0,310.0,304.6,304.6,34800
2012-11-19,300.0,300.0,294.3,294.9,6450
2012-11-20,293.0,299.0,293.0,293.1,1600
2012-11-21,288.0,293.0,287.5,290.8,2300
2012-11-22,297.8,305.0,290.0,298.3,11600
2012-11-26,290.0,290.5,286.5,289.5,2400
2012-11-27,290.0,290.0,287.5,288.8,1050
2012-11-28,284.1,289.9,282.0,287.8,7950
2012-11-29,288.1,299.0,287.4,296.8,9100
2012-12-02,295.2,296.1,287.2,292.9,6850
2012-12-03,290.0,290.0,285.4,287.3,200
2012-12-04,286.0,287.5,286.0,287.0,800
2012-12-05,281.1,286.0,281.1,283.7,1950
2012-12-06,284.5,286.0,284.0,284.3,6850
2012-12-09,283.5,284.0,280.6,282.7,450
2012-12-10,283.7,283.8,280.7,282.7,800
2012-12-11,288.0,300.0,283.1,286.1,76200
2012-12-12,286.1,288.0,285.6,286.4,6500
2012-12-13,282.0,282.0,282.0,282.0,150
2012-12-17,290.0,292.0,285.1,285.5,4400
2012-12-18,287.2,292.0,287.2,290.6,3350
2012-12-19,294.0,294.5,290.1,290.9,5050
2012-12-20,290.0,290.0,286.5,286.7,2550
2012-12-23,288.0,298.0,288.0,295.7,3400
2012-12-24,295.1,297.0,295.0,295.5,1400
2012-12-26,295.0,297.6,295.0,297.2,7250
2012-12-27,296.5,303.0,296.4,300.1,13650
2012-12-30,303.5,310.0,298.5,302.7,21650
2013-01-01,302.0,302.5,299.3,299.7,2650
2013-01-02,295.1,300.9,291.0,298.0,1800
2013-01-03,297.5,298.0,294.0,295.3,1500
2013-01-06,296.0,299.8,295.0,295.2,2100
2013-01-07,296.0,297.0,296.0,296.3,1600
2013-01-08,297.5,297.5,294.8,295.3,1000
2013-01-09,295.1,297.9,295.1,296.4,3050
2013-01-10,295.0,297.0,294.5,295.5,350
2013-01-13,298.8,299.0,295.5,298.2,2950
2013-01-14,299.5,300.0,299.0,299.5,5400
2013-01-15,299.8,301.0,299.8,300.3,3150
2013-01-16,301.5,309.5,301.5,304.7,2050
2013-01-17,305.0,305.0,301.5,302.1,4150
2013-01-20,300.0,300.0,298.7,299.0,1100
2013-01-21,297.1,297.1,296.0,296.4,400
2013-01-22,298.0,299.9,296.3,297.2,3900
2013-01-23,300.0,305.1,298.5,304.8,8200
2013-01-24,306.5,306.5,301.0,302.4,4550
2013-01-27,307.8,307.9,302.8,304.3,550
2013-01-28,304.0,305.0,302.1,304.3,5450
2013-01-29,306.0,307.5,302.1,304.5,1700
2013-01-30,303.0,303.7,303.0,303.2,500
2013-01-31,303.0,303.0,301.0,302.3,350
2013-02-03,300.5,301.9,298.7,299.2,2550
2013-02-04,300.1,300.1,298.1,298.8,7550
2013-02-05,303.0,303.0,298.7,299.3,1900
2013-02-06,295.7,300.0,295.6,296.7,1200
2013-02-07,296.6,302.6,296.1,296.1,7800
2013-02-10,298.0,300.0,298.0,298.9,2300
2013-02-11,299.0,300.9,297.0,298.2,6200
2013-02-12,300.1,300.1,297.6,298.1,5250
2013-02-13,299.0,304.0,298.8,303.6,2650
2013-02-14,302.0,304.8,299.0,302.2,13350
2013-02-17,301.0,301.0,299.0,299.2,2850
2013-02-18,300.0,302.0,300.0,300.0,4450
2013-02-19,300.0,304.8,300.0,300.8,2750
2013-02-20,298.0,298.0,298.0,298.0,550
2013-02-24,286.2,286.2,286.2,286.2,50
2013-02-25,289.0,297.0,289.0,292.0,200
