Date,Open,High,Low,Close,Volume
2019-05-27,30.0,30.0,18.4,19.8,8444413
2019-05-28,20.0,23.8,19.7,23.1,2097157
2019-05-29,23.0,24.5,22.3,23.9,6176244
2019-05-30,24.0,24.3,22.7,23.1,3035706
2019-06-09,23.2,23.4,21.9,22.1,3042834
2019-06-10,22.1,22.9,22.0,22.3,1739600
2019-06-11,22.5,24.3,22.3,24.1,4002450
2019-06-12,24.0,24.3,23.0,23.2,2564905
2019-06-13,23.2,23.4,22.7,23.0,2705350
2019-06-16,23.2,24.9,23.2,24.6,4300060
2019-06-17,24.8,26.6,24.0,25.2,5588487
2019-06-18,25.2,26.5,24.8,25.2,3771080
2019-06-19,25.5,25.5,23.9,24.2,2565133
2019-06-20,24.5,25.0,24.0,24.2,2236384
2019-06-23,24.3,24.7,23.0,23.2,1559199
2019-06-24,23.6,24.0,23.1,23.8,1080834
2019-06-25,24.0,24.2,23.3,23.4,1660697
2019-06-26,23.4,24.4,23.4,23.7,1298008
2019-06-27,23.8,24.8,23.8,24.2,2026000
2019-06-30,24.3,24.6,23.8,24.0,1529250
2019-07-02,24.1,26.2,24.1,25.8,3453606
2019-07-03,25.8,26.4,25.1,25.5,2666382
2019-07-04,25.5,26.3,25.3,25.5,2839647
2019-07-07,25.7,25.7,24.3,24.5,1876229
2019-07-08,24.3,24.9,24.2,24.5,1666725
2019-07-09,24.4,24.8,23.7,23.9,1680464
2019-07-10,23.9,24.1,23.0,23.2,1062568
2019-07-11,23.4,23.6,22.7,23.1,986806
2019-07-14,23.1,23.4,22.5,22.6,471476
2019-07-15,22.7,22.7,21.0,21.3,913197
2019-07-16,21.5,22.0,21.2,21.8,764264
2019-07-17,22.2,23.3,21.6,23.0,1258910
2019-07-18,23.0,23.5,22.4,22.6,1519730
2019-07-21,22.6,22.8,20.9,21.1,1223785
2019-07-22,21.2,21.5,20.5,21.0,945574
2019-07-23,21.1,21.8,21.1,21.6,667796
2019-07-24,21.6,21.7,21.1,21.4,1063044
2019-07-25,21.5,21.8,21.4,21.6,743618
2019-07-28,21.6,21.8,21.1,21.2,679506
2019-07-29,21.4,22.2,21.1,22.0,1171445
2019-07-30,22.0,22.4,21.4,21.5,954224
2019-07-31,21.5,21.6,21.1,21.2,663514
2019-08-01,21.5,22.0,21.1,21.9,1432108
2019-08-04,22.1,22.9,21.9,22.7,1844284
2019-08-05,22.7,22.8,22.1,22.3,1057623
2019-08-06,22.5,22.7,22.0,22.2,1008018
2019-08-07,22.2,22.2,21.3,21.4,904406
2019-08-08,21.4,22.0,21.4,21.7,475518
2019-08-18,21.7,22.0,21.5,21.7,370534
2019-08-19,21.9,22.3,21.6,21.9,902592
2019-08-20,22.0,22.4,21.9,22.1,842504
2019-08-21,22.2,22.5,21.8,22.0,691378
2019-08-22,22.0,22.3,21.6,21.7,679003
2019-08-25,21.7,22.1,21.2,21.4,1145950
2019-08-26,21.3,21.7,20.9,21.0,590652
2019-08-27,21.2,21.9,21.0,21.6,1290643
2019-08-28,21.6,21.8,21.1,21.2,541940
2019-08-29,21.2,21.2,20.7,20.8,588690
2019-09-01,20.7,20.8,19.9,20.1,588912
2019-09-02,20.0,20.3,19.4,19.5,557470
2019-09-03,19.5,20.3,19.3,20.1,545068
2019-09-04,20.3,20.6,19.9,20.0,640620
2019-09-05,20.2,20.7,20.0,20.4,489183
2019-09-08,20.5,20.6,19.7,19.8,708966
2019-09-09,19.8,19.9,19.4,19.4,752411
2019-09-11,19.8,19.8,18.3,18.4,699366
2019-09-12,18.9,18.9,17.8,18.7,402928
2019-09-15,18.9,19.3,18.8,19.1,501110
2019-09-16,19.1,19.4,18.5,18.8,257702
2019-09-17,19.0,19.3,18.1,18.2,850307
2019-09-18,18.2,18.6,18.0,18.2,416350
2019-09-19,18.5,18.6,17.5,17.7,412291
2019-09-22,18.0,18.0,16.9,17.5,258551
2019-09-23,17.9,18.2,17.7,18.0,402025
2019-09-24,18.1,18.4,17.5,17.7,348037
2019-09-25,17.7,17.9,17.4,17.7,166999
2019-09-26,17.8,18.1,16.9,17.2,373292
2019-09-29,17.7,17.7,16.7,16.8,221294
2019-09-30,16.9,17.0,16.1,16.2,431375
2019-10-01,16.2,17.2,16.2,16.7,347483
2019-10-02,16.7,16.9,16.3,16.5,343032
2019-10-03,16.7,17.8,16.5,17.4,967747
2019-10-06,17.6,17.7,16.9,17.1,284283
2019-10-07,17.0,17.0,16.3,16.3,339927
2019-10-09,16.3,16.6,15.8,15.9,423532
2019-10-10,16.1,16.3,15.5,15.7,412853
2019-10-13,16.1,16.1,14.6,14.7,559337
2019-10-14,14.6,16.0,14.5,15.4,365432
2019-10-15,15.6,16.4,15.6,16.3,462671
2019-10-16,16.5,16.5,15.3,15.7,218354
2019-10-17,15.5,15.8,15.2,15.5,169823
2019-10-20,15.7,15.9,15.2,15.6,197457
2019-10-21,15.4,15.7,14.7,15.0,177427
2019-10-22,14.6,14.7,13.9,14.2,155196
2019-10-23,14.0,15.0,14.0,14.7,212843
2019-10-24,15.0,15.4,14.2,15.3,410907
2019-10-27,15.3,15.5,14.3,14.5,577497
2019-10-28,14.5,14.6,13.1,13.2,704141
2019-10-29,13.6,14.5,13.5,13.7,327087
2019-10-30,14.0,14.7,13.6,14.6,663793
2019-10-31,14.1,15.9,14.1,15.8,856049
2019-11-03,15.9,16.4,15.6,15.9,991227
2019-11-04,15.7,15.8,14.9,15.0,655297
2019-11-05,15.0,15.7,15.0,15.5,435630
2019-11-06,15.7,16.2,15.2,15.5,722281
2019-11-07,15.6,16.0,15.4,15.6,306423
2019-11-11,15.4,15.7,15.3,15.4,244155
2019-11-12,15.4,15.6,14.9,15.0,453208
2019-11-13,15.2,15.2,14.7,14.7,231066
2019-11-14,14.9,15.2,14.4,14.9,250902
2019-11-17,15.2,15.5,14.8,15.0,396265
2019-11-18,15.0,15.0,14.3,14.5,620076
2019-11-19,14.4,14.4,13.8,13.9,384829
2019-11-20,13.9,14.3,13.6,13.9,467690
2019-11-24,13.5,14.3,13.2,14.2,996571
2019-11-25,14.3,14.6,13.9,14.2,503492
2019-11-26,14.5,15.3,14.0,14.9,1260151
2019-11-27,15.0,15.6,14.7,14.8,2199570
2019-11-28,14.9,16.1,14.8,16.0,2153797
2019-12-01,16.3,16.5,15.6,15.7,1788548
2019-12-02,15.8,15.8,14.8,15.0,1085918
2019-12-03,14.8,15.6,14.6,15.1,1467529
2019-12-04,15.3,16.6,15.2,16.6,3039346
2019-12-05,17.0,17.7,16.4,16.8,3067637
2019-12-08,16.6,16.7,15.5,15.7,1638313
2019-12-09,15.8,17.2,15.7,17.1,2682397
2019-12-10,17.3,17.6,16.6,16.8,2684685
2019-12-11,16.9,18.3,16.4,17.5,3664745
2019-12-12,17.3,18.2,17.1,17.4,2802091
2019-12-15,17.4,17.5,16.1,16.6,2094618
2019-12-17,16.6,16.7,15.1,15.3,1598359
2019-12-18,15.3000001907349,16.2999992370605,15.1000003814697,16.0,1629939
2019-12-19,16.0,16.3999996185303,15.3000001907349,15.5,1603684
2019-12-22,15.5,15.8,15.1,15.3,1072277
2019-12-23,15.3,15.6,14.6,14.7,1126508
2019-12-24,14.7,15.4,14.6,15.0,1253174
2019-12-26,15.2,15.5,14.9,15.1,906831
2019-12-29,15.1,15.4,14.8,14.9,907591
2019-12-30,15.0,15.2,14.7,14.8,676163
2020-01-01,15.0,15.1,14.8,15.0,854039
2020-01-02,15.1,15.6,15.1,15.3,1249032
2020-01-05,15.3,15.5,14.9,15.0,478602
2020-01-06,15.0,15.1,14.4,14.6,1127943
2020-01-07,14.7,14.8,14.1,14.3,566772
2020-01-08,14.4,14.7,14.2,14.2,655267
2020-01-09,14.5,15.0,14.5,14.8,1002867
2020-01-12,14.8,15.2,14.5,14.6,449369
2020-01-13,14.6,14.6,13.9,14.0,320675
2020-01-14,14.1,14.5,13.6,14.4,861076
2020-01-15,14.5,14.7,14.1,14.2,255656
2020-01-16,14.5,14.5,14.1,14.2,194615
2020-01-19,14.7,14.9,14.5,14.8,739788
2020-01-20,14.8,14.9,14.4,14.6,506328
2020-01-21,14.7,15.3,14.7,15.0,1623944
2020-01-22,15.1,15.4,14.9,15.0,1018578
2020-01-23,15.1,15.6,15.0,15.4,1257113
2020-01-26,15.6,16.4,15.5,16.1,2185867
2020-01-27,16.0,16.6,16.0,16.3,3939251
2020-01-28,16.2,17.0,15.9,16.8,1938918
2020-01-29,17.0,17.2,16.6,16.8,2483194
2020-01-30,16.9,16.9,16.2,16.4,1453059
2020-02-02,16.5,17.7,16.2,17.2,4145093
2020-02-03,17.2,17.3,16.8,16.8,1030447
2020-02-04,17.0,17.2,16.7,16.8,1915586
2020-02-05,16.7,17.0,16.3,16.4,1638604
2020-02-06,16.5,16.7,16.3,16.4,1277222
2020-02-09,16.4,16.7,16.0,16.1,1073991
2020-02-10,16.1,16.4,15.6,15.7,645046
2020-02-11,16.0,16.4,16.0,16.2,861326
2020-02-12,16.3,16.5,15.8,15.9,927297
2020-02-13,15.9,16.6,15.9,16.5,991408
2020-02-16,16.5,16.9,16.3,16.4,1325529
2020-02-17,16.4,16.6,16.1,16.4,997558
2020-02-18,16.3,16.8,15.9,16.0,1750348
2020-02-19,15.9,16.2,15.3,15.6,947744
2020-02-20,15.7,15.8,15.3,15.5,535569
2020-02-23,15.7,15.7,15.1,15.2,460967
2020-02-24,15.3,15.6,15.2,15.4,340038
2020-02-25,15.5,16.4,15.5,16.0,1281395
2020-02-26,16.2,16.6,16.0,16.2,1016843
2020-02-27,16.3,16.3,15.8,15.9,1159582
2020-03-01,15.9,15.9,14.9,15.2,910538
2020-03-02,15.3,15.7,15.1,15.3,804905
2020-03-03,15.5,16.3,15.4,15.9,1370921
2020-03-04,16.0,16.9,15.8,16.2,2352429
2020-03-05,16.2,16.3,15.7,15.8,1163829
2020-03-08,15.8,15.8,15.0,15.1,792825
