Date,Open,High,Low,Close,Volume
2012-10-01,46.5,47.0,45.1,45.9,38500
2012-10-02,48.0,48.0,46.0,46.1,48500
2012-10-03,47.6,47.6,45.1,45.3,36000
2012-10-04,47.0,47.0,45.1,45.3,30500
2012-10-07,46.5,46.9,43.6,44.0,53500
2012-10-08,44.0,44.2,42.6,43.2,32500
2012-10-09,45.9,45.9,43.3,43.5,48500
2012-10-10,43.5,43.6,42.4,42.7,30500
2012-10-11,43.0,43.0,42.0,42.5,26500
2012-10-14,41.0,42.8,40.3,40.4,81000
2012-10-15,40.4,42.0,40.1,41.5,27500
2012-10-16,42.0,42.0,41.3,41.4,12000
2012-10-17,42.0,42.0,41.2,41.3,13000
2012-10-18,41.8,41.8,40.5,41.1,12000
2012-10-21,40.5,40.8,40.5,40.5,6500
2012-10-22,40.6,41.6,40.5,40.8,11500
2012-10-23,41.6,41.9,40.9,41.4,14000
2012-10-30,41.2,41.6,40.7,41.1,12500
2012-10-31,41.5,41.5,38.5,38.8,49000
2012-11-01,38.4,39.5,37.9,38.0,39000
2012-11-04,37.4,38.3,37.4,37.9,27000
2012-11-05,37.6,39.0,36.8,38.4,19500
2012-11-06,38.3,38.3,37.0,37.1,17500
2012-11-07,37.0,37.0,36.3,36.6,9500
2012-11-08,38.2,38.2,36.0,36.5,9500
2012-11-11,36.2,36.5,35.4,35.9,14000
2012-11-12,35.5,35.5,33.5,33.7,24500
2012-11-13,34.7,35.9,34.7,35.2,12000
2012-11-14,35.5,35.6,35.4,35.4,4500
2012-11-15,34.3,36.4,34.3,36.1,13500
2012-11-18,36.6,37.7,36.3,37.3,18500
2012-11-19,35.1,36.8,35.1,35.9,6000
2012-11-20,36.0,36.3,35.0,35.4,8500
2012-11-22,35.0,36.0,34.8,35.3,7500
2012-11-26,34.6,34.6,34.0,34.2,4500
2012-11-27,34.0,34.2,33.1,33.5,13500
2012-11-28,33.8,34.0,32.9,33.3,4000
2012-11-29,35.0,36.5,34.7,36.2,18500
2012-12-02,37.4,37.4,35.8,36.4,31500
2012-12-03,37.0,37.2,35.4,35.9,16000
2012-12-04,36.1,36.1,36.1,36.1,1500
2012-12-05,35.6,37.5,35.6,36.5,10000
2012-12-06,36.8,37.0,35.0,35.9,18000
2012-12-09,35.0,35.0,34.6,34.6,5000
2012-12-10,35.0,35.0,34.2,34.8,6500
2012-12-11,34.0,35.0,34.0,34.4,4500
2012-12-12,35.0,35.1,34.3,34.9,14000
2012-12-13,36.0,36.1,36.0,36.0,4500
2012-12-17,37.6,38.0,37.0,37.5,18000
2012-12-18,36.9,36.9,36.1,36.5,11500
2012-12-19,36.8,37.0,36.1,36.5,13500
2012-12-20,36.6,36.7,36.3,36.5,4500
2012-12-23,35.5,35.6,35.4,35.4,4000
2012-12-24,37.2,38.8,36.6,38.4,37000
2012-12-26,39.6,41.7,39.6,40.4,42000
2012-12-27,40.1,40.1,38.6,38.8,15000
2012-12-30,37.3,38.2,37.3,37.5,4500
2013-01-01,38.6,38.7,37.9,38.2,6500
2013-01-02,37.2,37.2,36.8,37.0,10500
2013-01-03,38.8,38.8,37.0,37.6,6000
2013-01-06,41.0,41.0,38.0,38.7,8000
2013-01-07,40.9,40.9,37.6,38.2,10000
2013-01-08,37.8,37.8,36.7,37.2,7000
2013-01-09,37.6,37.6,37.1,37.3,2500
2013-01-10,37.3,37.3,37.3,37.3,1500
2013-01-13,36.8,36.8,36.7,36.7,3000
2013-01-14,36.5,36.5,36.4,36.4,5500
2013-01-15,36.2,36.2,36.1,36.1,5000
2013-01-16,38.0,38.3,37.1,37.6,37500
2013-01-17,38.0,38.0,36.9,37.6,12500
2013-01-20,36.6,36.8,36.6,36.7,1000
2013-01-21,40.0,40.0,37.0,38.2,8000
2013-01-22,37.2,37.8,36.8,37.2,13000
2013-01-23,37.2,37.8,37.0,37.2,13000
2013-01-24,37.3,38.5,37.3,38.0,18500
2013-01-27,38.7,40.9,38.7,40.5,88500
2013-01-28,41.0,42.9,40.4,42.3,174500
2013-01-29,42.2,43.0,41.9,42.1,90500
2013-01-30,42.0,42.5,41.1,42.0,34500
2013-01-31,41.6,43.9,41.5,43.3,53000
2013-02-03,43.0,44.8,43.0,44.5,154500
2013-02-04,45.5,45.5,43.9,44.2,90500
2013-02-05,44.9,45.3,43.5,45.1,67500
2013-02-06,45.2,46.3,45.0,45.9,102500
2013-02-07,45.5,46.0,45.3,45.5,95500
2013-02-10,46.7,46.7,45.9,46.5,136000
2013-02-11,46.7,47.4,45.9,46.6,146000
2013-02-12,47.0,48.8,47.0,47.2,289000
2013-02-13,48.4,51.9,48.4,51.8,445000
2013-02-14,52.0,54.6,51.0,52.6,222000
2013-02-17,54.5,55.0,51.8,51.8,296500
2013-02-18,52.1,52.7,50.2,51.4,244000
2013-02-19,53.0,54.5,51.3,53.6,467500
2013-02-20,54.1,54.9,52.8,53.4,356000
2013-02-24,53.2,53.6,50.9,51.2,130500
2013-02-25,52.2,53.0,47.3,48.2,164500
2013-02-26,51.8,53.0,48.3,52.7,212500
2013-02-27,53.2,54.5,50.1,51.0,272500
2013-02-28,50.4,52.5,48.5,51.4,130500
2013-03-03,48.6,49.9,46.3,46.8,91500
2013-03-04,47.5,50.0,47.5,49.0,44000
2013-03-05,50.7,50.7,46.4,47.0,46500
2013-03-06,47.7,48.8,47.0,47.8,98500
2013-03-07,47.2,48.4,46.8,47.3,72500
2013-03-10,48.8,48.8,42.8,43.9,51000
2013-03-11,42.5,43.9,40.9,43.2,43500
2013-03-12,42.6,43.9,42.1,42.6,19000
2013-03-13,43.0,44.5,42.1,42.4,47000
2013-03-14,42.2,43.4,41.9,42.2,7500
2013-03-18,41.9,42.9,41.0,42.2,26500
2013-03-19,42.8,43.2,41.9,42.3,33000
2013-03-20,42.0,43.2,41.3,42.3,74000
2013-03-24,41.7,42.0,41.2,41.6,38500
2013-03-25,43.7,43.7,41.1,41.6,68500
2013-03-27,41.1,41.1,40.0,40.1,17500
2013-03-28,41.4,41.4,37.6,37.9,103500
2013-03-31,38.0,38.3,35.1,35.4,34500
2013-04-01,33.1,33.7,31.9,31.9,41000
