Date,Open,High,Low,Close,Volume
2024-01-28,48.6,49.6,47.7,48.0,87954
2024-01-29,48.0,48.5,47.6,48.3,19820
2024-01-30,49.4,49.4,47.6,47.9,38245
2024-01-31,48.0,49.4,45.7,46.8,48544
2024-02-01,47.5,48.5,45.4,46.8,102934
2024-02-04,46.7,47.7,45.2,45.5,67322
2024-02-05,45.6,48.0,44.8,45.0,82174
2024-02-06,45.5,47.9,45.5,47.2,94399
2024-02-07,47.0,49.0,46.0,46.3,173333
2024-02-08,46.4,49.0,45.1,45.6,56454
2024-02-11,46.0,47.3,44.9,45.5,112038
2024-02-12,48.1,48.1,46.1,46.4,123401
2024-02-13,46.9,48.7,45.1,48.1,194194
2024-02-14,48.9,49.9,48.2,48.7,296622
2024-02-15,50.9,51.0,47.4,48.0,80445
2024-02-18,46.5,49.9,46.3,46.5,48620
2024-02-19,47.0,47.9,45.0,45.3,21342
2024-02-20,45.1,47.9,45.0,45.1,239029
2024-02-22,45.2,49.6,45.2,48.7,144652
2024-02-25,49.7,50.8,47.5,48.4,134718
2024-02-27,49.5,51.0,48.8,49.1,121612
2024-02-28,49.8,53.9,49.8,52.3,494052
2024-02-29,52.7,53.4,50.8,52.0,81691
2024-03-03,54.0,54.2,51.2,53.0,363468
2024-03-04,53.4,54.8,52.2,54.1,425442
2024-03-05,54.5,56.8,52.2,53.7,338436
2024-03-06,54.6,54.6,52.9,53.5,221542
2024-03-07,54.4,54.4,51.9,52.4,160157
2024-03-10,53.8,53.8,51.8,52.2,68503
2024-03-11,53.5,53.5,51.1,51.6,67500
2024-03-12,52.7,52.8,47.1,49.9,107088
2024-03-13,49.0,51.0,48.0,49.9,68572
2024-03-14,52.9,52.9,49.4,49.9,37309
2024-03-18,53.2,53.2,47.6,48.4,22065
2024-03-19,51.9,51.9,47.8,48.8,126210
2024-03-20,49.4,51.2,48.4,48.8,65725
2024-03-21,52.6,52.6,49.1,50.2,72314
2024-03-24,53.2,53.2,49.8,51.0,57148
2024-03-25,52.9,52.9,48.4,50.5,71502
2024-03-27,47.1,51.0,47.1,49.7,138806
2024-03-28,49.7,50.7,48.7,49.7,62790
2024-03-31,51.9,52.8,50.8,51.8,125064
2024-04-01,51.7,52.3,50.0,50.3,80097
2024-04-02,50.5,51.4,48.4,48.9,80002
2024-04-03,52.7,52.7,49.0,52.1,106379
2024-04-04,52.5,54.7,51.6,52.1,143216
2024-04-08,52.7,52.7,50.0,50.0,11349
2024-04-09,51.5,51.5,49.5,49.7,18829
2024-04-15,49.2,51.0,48.6,50.6,208258
2024-04-16,50.3,51.2,49.2,50.1,232428
2024-04-17,49.9,50.8,49.6,49.6,45231
2024-04-18,52.0,52.0,48.8,49.0,24823
2024-04-21,48.4,50.6,48.0,49.5,48178
2024-04-22,49.9,50.4,48.4,48.7,109537
2024-04-23,48.0,48.5,47.5,47.7,30954
2024-04-24,47.7,49.6,47.1,48.4,102563
