Date,Open,High,Low,Close,Volume
2012-10-01,47.5,48.4,45.3,46.8,45500
2012-10-02,49.9,51.0,48.0,49.8,304500
2012-10-03,50.0,54.0,50.0,52.0,233500
2012-10-04,51.7,53.6,50.6,51.7,105500
2012-10-07,49.1,50.9,49.0,49.2,33500
2012-10-08,50.0,50.0,47.7,48.1,67000
2012-10-09,50.8,51.0,49.1,49.4,58500
2012-10-10,49.9,50.0,46.2,48.6,13500
2012-10-11,51.0,51.0,46.3,46.8,71500
2012-10-14,47.2,47.2,44.8,45.0,70000
2012-10-15,46.5,46.5,45.4,46.2,21000
2012-10-16,48.5,50.0,47.6,48.2,41000
2012-10-17,48.5,49.6,48.1,48.9,53500
2012-10-18,47.8,49.2,47.8,48.8,21500
2012-10-21,47.1,48.8,46.0,47.2,16000
2012-10-22,47.2,47.7,45.7,46.1,19500
2012-10-23,46.1,47.8,46.1,46.6,7000
2012-10-30,46.0,47.0,45.0,45.7,8500
2012-10-31,46.0,48.4,46.0,47.1,28000
2012-11-01,46.5,46.9,46.2,46.3,6000
2012-11-04,45.1,46.0,45.0,45.3,10500
2012-11-05,47.9,47.9,45.0,45.9,32500
2012-11-06,45.0,45.0,44.5,44.7,9500
2012-11-07,44.2,44.3,44.0,44.1,3500
2012-11-08,43.6,43.6,43.3,43.4,6000
2012-11-11,42.1,42.2,41.0,41.8,10000
2012-11-12,42.0,42.0,40.7,41.0,5500
2012-11-13,43.2,43.7,43.0,43.3,6500
2012-11-14,43.8,43.8,42.9,43.0,25000
2012-11-15,43.5,44.1,43.0,43.6,47000
2012-11-18,42.8,42.8,42.7,42.7,4000
2012-11-19,41.4,41.5,41.0,41.1,9000
2012-11-20,41.0,41.0,40.0,40.6,2000
2012-11-21,40.7,41.6,40.6,40.8,7000
2012-11-22,41.0,41.9,40.5,40.7,25000
2012-11-26,42.0,42.0,42.0,42.0,2000
2012-11-28,40.0,40.0,38.5,38.5,39500
2012-11-29,39.0,41.8,39.0,40.9,21500
2012-12-02,40.6,40.6,40.5,40.5,11000
2012-12-03,39.0,39.0,38.9,38.9,13000
2012-12-04,38.9,39.0,38.9,38.9,4000
2012-12-05,39.6,39.7,38.4,39.3,2500
2012-12-06,38.2,38.2,37.5,37.8,21500
2012-12-09,37.8,37.8,37.0,37.2,3000
2012-12-10,38.5,38.5,36.2,37.7,6500
2012-12-11,38.3,38.3,38.0,38.1,8500
2012-12-12,39.0,39.0,36.3,38.3,29500
2012-12-17,40.2,40.2,38.6,39.6,25000
2012-12-18,38.3,38.5,38.2,38.3,6000
2012-12-19,40.4,40.5,39.2,39.4,34000
2012-12-20,42.2,42.2,39.1,40.2,2500
2012-12-23,40.0,40.0,40.0,40.0,1000
2012-12-24,38.1,39.9,38.1,38.7,4000
2012-12-26,38.8,38.8,38.0,38.4,15000
2012-12-27,38.4,40.5,38.4,40.0,31500
2012-12-30,39.1,40.1,39.0,39.7,15000
2013-01-01,41.9,41.9,38.2,38.5,21500
2013-01-03,41.5,41.5,37.7,38.1,22000
2013-01-06,38.0,38.4,38.0,38.2,3000
2013-01-07,37.5,37.5,36.2,36.9,8000
2013-01-08,37.1,37.1,36.6,36.9,4500
2013-01-09,36.9,38.0,36.9,37.7,9500
2013-01-10,37.0,37.5,36.9,37.0,3500
2013-01-13,37.4,37.5,37.1,37.3,1500
2013-01-14,37.3,37.3,37.3,37.3,1000
2013-01-15,37.0,37.4,37.0,37.1,2000
2013-01-16,37.4,37.9,37.3,37.4,6500
2013-01-17,37.8,38.6,37.8,38.1,8500
2013-01-20,38.7,39.0,38.6,38.8,26000
2013-01-21,39.9,39.9,37.8,38.9,4500
2013-01-22,39.0,39.2,38.2,38.6,4500
2013-01-23,39.3,40.4,39.2,39.6,72500
2013-01-24,40.0,40.7,39.3,39.4,47000
2013-01-27,39.5,39.5,38.9,39.2,16500
2013-01-28,39.0,40.1,39.0,39.1,17500
2013-01-29,40.1,41.8,40.1,41.5,71000
2013-01-30,41.9,41.9,40.0,40.3,15500
2013-01-31,40.2,41.3,40.2,40.8,13500
2013-02-03,41.5,42.6,41.4,42.4,72000
2013-02-04,43.4,43.9,42.1,42.3,196000
2013-02-05,43.0,43.0,42.3,42.9,27000
2013-02-06,42.9,43.2,42.0,42.7,33500
2013-02-07,43.0,43.0,42.5,42.7,20000
2013-02-10,43.0,43.1,42.4,42.7,7500
2013-02-11,43.0,43.2,42.6,42.8,23500
2013-02-12,42.9,43.5,42.5,42.7,69500
2013-02-13,43.4,43.5,42.4,42.7,25000
2013-02-14,43.0,44.4,42.8,44.0,47000
2013-02-17,44.1,44.1,42.8,42.9,43500
2013-02-18,42.6,43.7,41.7,41.8,65500
2013-02-19,41.8,41.8,40.6,40.9,30000
2013-02-20,40.9,41.7,40.8,41.1,13500
2013-02-24,41.5,41.5,38.5,39.3,39000
2013-02-25,41.0,41.0,39.1,40.2,12500
2013-02-26,40.5,41.0,40.4,40.8,26500
2013-02-27,40.5,41.2,39.0,40.3,29500
2013-02-28,39.2,40.0,38.7,39.0,21000
2013-03-03,38.0,38.0,36.0,36.6,18000
2013-03-04,39.4,39.4,38.0,39.0,12000
2013-03-05,38.1,38.1,38.0,38.0,13500
2013-03-06,37.6,37.6,36.6,36.7,31000
2013-03-07,37.5,37.5,37.0,37.1,6000
2013-03-11,36.4,37.7,36.4,37.0,1000
2013-03-12,36.2,37.6,36.2,36.4,2500
2013-03-13,40.0,40.0,36.6,36.9,12000
2013-03-14,37.5,37.5,36.3,37.2,8500
2013-03-18,36.6,37.9,36.6,37.0,1500
2013-03-19,36.9,36.9,36.7,36.7,4500
2013-03-20,36.9,36.9,36.9,36.9,500
2013-03-24,36.0,36.0,36.0,36.0,5000
2013-03-25,34.0,34.0,33.5,33.6,3000
2013-03-31,32.0,32.0,31.0,31.4,16500
2013-04-02,32.7,32.7,31.9,32.0,5000
2013-04-03,35.2,35.2,32.0,32.5,4500
2013-04-04,35.0,35.0,31.7,32.1,9000
2013-04-07,33.5,33.5,32.0,32.3,8500
2013-04-08,32.8,33.0,32.8,32.9,43500
2013-04-09,33.3,33.3,31.5,32.6,9500
2013-04-10,33.9,34.0,32.7,33.5,11500
2013-04-11,31.1,33.0,31.1,32.5,24500
2013-04-15,35.7,35.7,33.2,34.1,9000
2013-04-16,33.0,33.0,31.4,32.0,4500
2013-04-18,32.9,32.9,30.4,32.2,4000
2013-04-21,32.0,33.6,31.3,31.9,40500
2013-04-22,35.0,35.0,31.5,31.6,35000
2013-04-23,31.7,32.5,31.6,31.9,10000
2013-04-24,32.8,32.9,32.0,32.5,22500
2013-04-25,30.1,32.0,30.1,31.5,4500
2013-04-28,31.9,32.0,31.5,31.9,7500
2013-04-29,33.5,33.5,31.6,32.2,21000
2013-05-02,32.9,32.9,29.1,29.9,26000
2013-05-05,29.0,29.5,29.0,29.2,6000
2013-05-06,29.3,29.3,28.2,28.4,10500
2013-05-07,28.5,30.0,28.4,29.0,15000
2013-05-08,29.0,29.0,28.8,28.9,3500
2013-05-09,29.0,30.4,29.0,29.7,13000
2013-05-12,31.1,31.7,30.3,31.0,22000
2013-05-13,32.0,32.6,31.7,32.1,25000
2013-05-14,33.3,35.0,33.2,34.6,91500
2013-05-15,35.9,35.9,33.6,34.1,33500
2013-05-16,34.2,35.7,34.0,35.2,30000
2013-05-19,35.0,38.0,34.0,36.3,50000
2013-05-20,38.3,38.3,35.2,35.8,27000
2013-05-21,39.3,39.3,34.8,35.5,43000
2013-05-22,35.0,35.5,34.0,34.4,22500
2013-05-26,33.7,33.7,32.5,33.2,6500
2013-05-27,35.5,35.5,34.0,34.1,15000
2013-05-28,35.9,35.9,33.5,34.2,8500
2013-05-29,35.9,37.3,34.3,37.2,121500
2013-05-30,39.7,39.7,36.6,38.0,91000
2013-06-02,39.5,39.5,37.7,38.1,68000
2013-06-03,38.1,38.4,37.0,37.7,43000
2013-06-04,38.0,40.0,38.0,39.7,41500
2013-06-05,38.6,39.8,38.3,39.5,99500
2013-06-06,38.8,40.0,37.6,38.6,62500
2013-06-09,37.3,38.2,37.0,37.6,17000
2013-06-10,37.6,37.8,37.0,37.5,60000
2013-06-11,37.0,38.7,37.0,38.3,34000
2013-06-12,38.4,41.9,38.2,40.4,46500
2013-06-13,42.0,42.0,39.1,39.1,36500
2013-06-16,40.0,41.2,40.0,40.5,14500
2013-06-17,40.1,41.0,39.3,39.8,65000
2013-06-18,39.0,40.8,39.0,39.6,10000
2013-06-19,40.1,40.7,40.0,40.0,28000
2013-06-20,38.2,39.8,38.2,38.4,41000
2013-06-23,36.5,37.0,36.5,36.8,2000
2013-06-24,39.0,39.0,36.8,37.6,31500
2013-06-26,36.8,37.9,36.3,36.6,8000
2013-06-27,35.0,36.9,34.3,35.3,35500
2013-06-30,36.0,36.0,35.0,35.6,24000
2013-07-02,36.0,37.0,36.0,36.4,5500
2013-07-03,35.8,37.9,35.8,36.1,5500
2013-07-04,36.2,37.8,36.2,37.1,29500
2013-07-07,37.1,38.3,37.1,38.0,34000
2013-07-08,38.0,38.0,36.5,37.0,8000
2013-07-09,36.3,39.0,36.3,37.7,28500
2013-07-10,38.3,39.4,37.6,38.6,28000
2013-07-11,37.0,38.7,36.8,37.1,18000
2013-07-14,36.1,37.6,36.1,36.1,37000
2013-07-15,38.0,38.0,35.9,36.6,3500
2013-07-16,38.5,38.8,36.5,36.7,38000
2013-07-17,38.5,39.1,37.6,38.5,40000
