Date,Open,High,Low,Close,Volume
2012-10-01,54.7,59.5,54.7,56.7,132500
2012-10-02,57.1,59.9,57.1,58.5,270500
2012-10-03,61.5,62.3,58.0,58.6,463000
2012-10-04,60.8,61.0,58.1,58.7,216500
2012-10-07,58.9,59.7,55.6,56.0,140500
2012-10-08,58.0,58.0,55.3,56.2,85000
2012-10-09,57.3,58.7,56.5,58.0,93000
2012-10-10,58.1,58.1,55.0,55.5,90500
2012-10-11,57.9,57.9,54.5,54.8,32500
2012-10-14,56.0,56.7,55.0,55.3,99000
2012-10-15,56.0,58.9,55.0,55.3,222500
2012-10-16,55.9,57.5,55.0,55.3,62000
2012-10-17,56.0,57.2,55.1,56.4,159500
2012-10-18,55.8,56.5,55.5,55.6,15500
2012-10-21,55.0,55.0,52.6,53.4,38500
2012-10-22,53.0,55.0,51.6,52.5,74500
2012-10-23,53.6,53.7,52.0,52.9,152500
2012-10-30,52.7,53.9,52.7,53.3,34500
2012-10-31,53.0,55.0,53.0,54.2,218500
2012-11-01,54.1,55.0,53.1,53.6,88500
2012-11-04,53.4,53.4,51.5,52.6,51500
2012-11-05,51.0,52.8,50.8,51.6,43500
2012-11-06,52.0,52.0,49.5,51.0,65500
2012-11-07,48.9,50.5,48.9,49.3,41500
2012-11-08,48.1,49.5,47.8,48.0,54000
2012-11-11,46.9,49.0,46.7,48.3,81000
2012-11-12,49.0,49.0,46.6,48.1,48000
2012-11-13,48.2,49.6,48.1,48.8,60500
2012-11-14,50.0,50.5,48.9,48.9,40500
2012-11-15,50.0,50.2,49.3,49.8,40500
2012-11-18,50.1,50.1,48.3,49.1,43000
2012-11-19,47.2,47.4,46.1,46.9,26500
2012-11-20,46.8,47.0,45.5,45.8,30500
2012-11-21,45.4,46.0,45.0,45.8,29500
2012-11-22,47.0,47.7,45.9,46.4,8000
2012-11-26,45.2,45.2,43.8,44.4,8000
2012-11-27,44.3,45.5,44.3,44.4,14000
2012-11-28,44.4,45.0,44.4,44.6,11000
2012-11-29,46.0,48.0,46.0,47.3,31000
2012-12-02,48.4,48.4,45.0,46.9,27000
2012-12-03,45.0,45.5,44.6,44.8,4500
2012-12-04,43.2,47.0,43.1,45.2,15000
2012-12-05,45.3,46.0,44.0,44.9,13000
2012-12-06,44.1,45.1,43.4,44.9,124500
2012-12-09,44.2,45.0,44.0,44.9,12000
2012-12-10,44.2,44.2,42.8,42.8,20500
2012-12-11,43.0,43.0,43.0,43.0,500
2012-12-12,44.0,44.0,43.3,43.8,7000
2012-12-13,44.0,44.0,43.9,43.9,17000
2012-12-17,45.0,46.5,45.0,45.7,28500
2012-12-18,45.3,45.7,44.4,45.3,17000
2012-12-19,45.5,45.5,45.0,45.2,6500
2012-12-20,45.5,46.0,45.3,45.7,10000
2012-12-23,46.0,46.0,44.2,44.8,4000
2012-12-24,45.0,45.0,44.4,44.4,5500
2012-12-26,44.6,45.2,44.1,44.6,16000
2012-12-27,44.9,45.5,44.9,45.1,24500
2012-12-30,46.0,46.0,45.3,45.5,14000
2013-01-01,44.6,44.8,44.6,44.6,3500
2013-01-02,44.0,44.5,43.6,43.9,6000
2013-01-03,43.5,44.2,43.5,43.8,8500
2013-01-06,43.8,44.0,43.5,43.7,10000
2013-01-07,42.7,43.0,42.7,42.9,2000
2013-01-08,43.9,43.9,43.0,43.1,18500
2013-01-09,42.9,43.2,42.9,43.0,6500
2013-01-10,43.1,43.1,43.0,43.0,9500
2013-01-13,43.4,43.4,43.2,43.3,2000
2013-01-14,43.3,43.5,43.0,43.3,4500
2013-01-15,43.5,43.8,43.4,43.6,7500
2013-01-16,44.0,44.0,43.9,43.9,3000
2013-01-17,44.2,45.0,44.1,44.9,38500
2013-01-20,44.9,44.9,43.5,44.2,26500
2013-01-21,43.4,45.0,43.4,44.0,11000
2013-01-22,44.0,44.2,44.0,44.1,1000
2013-01-23,45.5,47.7,45.5,46.8,86000
2013-01-24,46.9,47.0,45.6,46.7,84000
2013-01-27,46.7,47.0,46.0,46.4,60500
2013-01-28,46.2,47.5,46.2,47.1,25000
2013-01-29,48.0,48.5,47.5,47.7,45000
2013-01-30,46.4,48.0,46.3,46.9,52500
2013-01-31,45.3,48.5,45.3,48.1,40000
2013-02-03,48.9,50.5,47.2,50.1,65500
2013-02-04,50.1,50.6,48.6,49.1,45500
2013-02-05,49.4,50.3,49.0,49.9,26500
2013-02-06,49.5,49.9,48.6,49.2,33000
2013-02-07,49.3,49.6,48.5,48.7,30000
2013-02-10,49.2,49.5,48.5,49.1,68000
2013-02-11,50.9,50.9,49.6,49.7,35000
2013-02-12,50.5,50.8,48.0,48.0,58000
2013-02-13,49.0,49.0,48.0,48.7,42500
2013-02-14,49.9,50.8,49.3,50.5,72500
2013-02-17,50.5,50.5,48.8,48.9,79000
2013-02-18,50.0,50.0,48.1,48.2,62000
2013-02-19,49.0,49.0,47.5,47.5,35500
2013-02-20,47.5,48.5,46.2,47.4,13000
2013-02-24,46.2,46.5,45.7,45.8,67000
2013-02-25,46.0,46.5,43.1,44.2,48000
2013-02-26,44.9,45.9,44.8,45.0,19000
2013-02-27,45.5,45.5,43.6,44.4,34000
2013-02-28,44.0,44.8,43.7,43.9,34500
2013-03-03,43.5,43.5,40.1,40.5,34000
2013-03-04,42.0,43.0,41.1,42.7,46000
2013-03-05,42.7,43.0,42.6,42.8,45000
2013-03-06,42.0,44.4,42.0,42.9,38000
2013-03-07,43.1,44.0,43.1,43.9,15500
2013-03-10,42.0,42.0,38.0,38.8,79000
2013-03-11,38.8,39.0,36.5,37.4,29000
2013-03-12,37.3,37.5,37.3,37.3,3500
2013-03-13,39.0,39.0,37.7,38.4,16500
2013-03-14,39.0,39.0,37.7,38.1,41500
2013-03-18,38.0,38.1,37.8,37.9,8500
2013-03-19,37.9,38.4,37.9,38.1,24500
2013-03-20,38.0,38.0,37.5,37.8,15000
2013-03-24,37.7,38.4,36.6,37.5,57000
2013-03-25,37.1,37.1,35.0,35.8,38500
2013-03-27,35.6,35.6,33.2,33.3,43000
2013-03-31,29.1,29.4,28.5,28.9,64000
2013-04-01,28.0,29.0,27.8,28.1,8500
2013-04-02,28.5,29.3,28.3,28.6,13000
2013-04-03,30.0,31.4,28.6,29.5,18500
2013-04-04,29.0,30.8,28.5,29.5,65000
2013-04-07,30.0,30.0,29.3,29.6,26000
2013-04-08,29.4,30.9,29.4,29.8,8500
2013-04-09,31.9,32.0,30.1,31.6,25000
2013-04-10,32.3,32.4,30.5,31.4,35000
2013-04-11,31.9,32.0,30.3,30.4,34000
2013-04-15,30.9,31.9,30.9,31.7,27000
2013-04-16,31.2,32.0,30.2,30.5,20000
2013-04-17,31.1,31.2,30.1,30.5,23500
2013-04-18,31.2,31.3,30.5,30.6,9500
2013-04-21,30.6,30.6,29.7,30.0,14000
2013-04-22,30.0,30.8,29.2,30.1,16000
2013-04-23,30.5,30.8,29.3,29.6,45500
2013-04-24,29.5,31.0,29.5,30.7,14500
2013-04-25,30.5,31.3,30.2,30.4,22000
2013-04-28,30.0,31.4,30.0,30.9,26500
2013-04-29,31.0,31.5,30.6,31.4,37500
2013-04-30,31.9,32.7,31.9,32.6,64000
2013-05-02,32.3,34.0,32.2,33.8,76500
2013-05-05,33.7,34.2,32.8,33.4,22000
2013-05-06,33.1,33.1,31.8,32.0,24500
2013-05-07,32.2,32.4,31.6,32.2,38500
2013-05-08,32.5,32.7,32.1,32.3,21500
