Date,Open,High,Low,Close,Volume
2021-03-22,15.0,15.0,11.9,13.2,32293705
2021-03-23,13.3,13.6,12.2,12.4,8886695
2021-03-24,12.0,12.0,11.4,11.6,11611855
2021-03-25,11.4,12.7,11.4,12.5,9399129
2021-03-28,12.4,13.1,12.1,12.8,7585796
2021-03-29,12.7,13.2,12.5,12.6,7263052
2021-03-31,12.5,12.5,11.8,12.0,5679274
2021-04-01,12.0,12.1,11.6,11.9,3142818
2021-04-04,11.3,11.7,11.1,11.2,4990015
2021-04-05,11.4,11.8,11.3,11.7,1532585
2021-04-06,11.7,12.1,11.7,12.0,3276082
2021-04-07,12.0,12.3,11.9,12.2,3192564
2021-04-08,12.0,12.2,11.7,11.8,2623486
2021-04-11,11.8,11.8,11.5,11.6,1470261
2021-04-12,11.6,11.8,11.4,11.4,1643711
2021-04-13,11.0,11.9,11.0,11.8,1490741
2021-04-15,11.4,12.0,11.4,11.7,1789013
2021-04-18,11.9,11.9,11.5,11.6,1957249
2021-04-19,11.5,11.7,11.4,11.5,2134089
2021-04-20,11.5,11.7,11.4,11.6,2618539
2021-04-21,11.6,11.8,11.4,11.5,3254751
2021-04-22,11.4,11.6,11.3,11.4,3103616
2021-04-25,11.5,11.7,11.4,11.6,2045141
2021-04-26,11.7,11.7,11.5,11.7,2323713
2021-04-27,11.6,11.7,11.5,11.6,2151801
2021-04-28,11.7,12.0,11.6,11.9,2096705
2021-04-29,12.0,12.0,11.9,11.9,2616113
2021-05-02,12.2,12.3,11.9,12.0,5492322
2021-05-03,12.0,12.3,12.0,12.2,3388360
2021-05-04,12.1,12.7,12.1,12.4,3972711
2021-05-05,12.6,13.6,12.6,13.6,12101283
2021-05-06,14.9,14.9,14.9,14.9,10363922
2021-05-09,16.3,16.3,15.4,16.3,24409624
2021-05-11,16.5,17.9,16.1,17.9,13767011
2021-05-12,18.2,19.6,18.2,19.6,12025291
2021-05-16,20.5,21.5,20.5,21.5,10467579
2021-05-17,23.6,23.6,23.6,23.6,2646757
2021-05-18,25.9,25.9,25.9,25.9,3810502
2021-05-19,28.4,28.4,24.0,28.1,15626714
2021-05-20,28.5,30.3,27.5,28.0,12862151
2021-05-23,29.5,30.8,28.7,30.8,11079293
2021-05-24,33.8,33.8,32.8,33.8,16001530
2021-05-25,33.7,37.1,32.5,36.9,12637437
2021-05-27,37.2,40.0,33.9,36.3,8413444
2021-05-30,36.7,38.3,35.0,37.3,8380727
2021-06-01,36.7,39.0,35.8,38.9,14167329
2021-06-02,39.0,40.0,36.1,37.2,7823064
2021-06-03,37.3,37.9,35.4,36.3,13040987
2021-06-06,36.8,39.0,33.4,34.9,7004229
2021-06-07,35.5,37.0,34.5,35.2,6495494
2021-06-08,35.6,38.7,35.2,38.4,10841723
2021-06-09,39.2,40.4,37.0,37.9,10235487
2021-06-10,38.0,38.0,35.6,36.0,8671446
2021-06-13,36.4,37.1,35.5,36.0,5890046
2021-06-14,36.5,38.3,36.2,37.8,14659255
2021-06-15,38.6,39.2,36.0,36.2,8161701
2021-06-16,36.3,36.7,34.9,35.2,5433141
2021-06-17,35.2,35.5,33.2,33.7,6312671
2021-06-20,34.0,37.0,32.9,36.3,5808014
2021-06-21,36.7,37.4,34.3,35.0,10654122
2021-06-22,35.4,36.0,34.5,34.8,4953904
2021-06-23,34.6,35.2,32.7,33.2,5720967
2021-06-24,33.4,35.0,33.1,33.9,5387815
2021-06-27,34.6,34.6,30.9,31.8,3779881
2021-06-28,32.5,33.3,31.3,32.0,2743751
2021-06-29,32.0,32.9,31.0,31.5,1884840
2021-06-30,31.9,32.8,30.9,32.1,4332602
2021-07-05,32.8,33.5,31.3,31.5,3740533
2021-07-06,31.7,31.9,29.8,30.0,4005643
2021-07-07,30.3,30.5,28.3,28.8,3114197
2021-07-08,28.9,29.0,27.6,28.1,4191657
2021-07-12,28.1,28.5,26.4,26.9,2159261
2021-07-13,26.9,29.5,26.9,29.5,2291229
2021-07-14,32.2,32.2,29.7,30.4,6257246
2021-07-15,30.2,30.5,28.6,28.9,4280097
2021-07-18,29.4,29.5,27.4,27.5,3574681
2021-07-19,27.9,28.7,27.6,28.4,3487838
2021-07-25,28.5,30.0,28.0,28.5,2513550
2021-07-26,28.6,29.8,28.0,29.5,5849072
2021-07-27,29.6,31.2,29.5,30.1,10892186
2021-07-28,30.6,30.7,29.8,30.0,5034156
2021-07-29,30.0,30.2,28.4,28.7,4391133
2021-08-02,28.9,28.9,28.1,28.6,3353304
2021-08-03,28.9,30.0,28.5,29.2,4880684
2021-08-05,28.5,29.2,28.5,28.5,4749875
2021-08-09,28.9,28.9,27.7,28.0,3784850
2021-08-10,28.1,29.1,27.8,28.2,3175225
2021-08-11,28.7,29.1,27.8,27.9,2846909
2021-08-12,28.3,28.5,27.4,27.8,3182067
2021-08-16,28.0,28.0,27.0,27.2,2874941
2021-08-17,27.3,28.3,27.3,27.9,3447729
2021-08-18,28.2,28.2,27.3,27.4,2436300
2021-08-19,27.5,27.5,27.0,27.1,2190420
2021-08-22,27.5,28.0,27.2,27.8,2339382
2021-08-23,27.8,28.0,27.2,27.3,2375468
2021-08-24,27.4,27.5,26.9,27.1,3871351
2021-08-25,27.3,29.3,26.9,29.0,8171419
2021-08-26,29.2,29.6,28.0,28.2,3158621
2021-08-29,28.2,28.3,27.1,27.3,1990646
2021-08-31,27.4,28.9,27.3,28.4,2840465
2021-09-01,28.6,28.9,27.8,28.0,2784072
2021-09-02,28.0,28.3,27.5,28.1,2565590
2021-09-05,28.4,28.8,27.8,28.1,2872957
2021-09-06,28.1,28.1,27.4,27.5,3632456
2021-09-07,27.4,27.9,27.1,27.7,2442744
2021-09-08,27.7,27.9,27.4,27.7,2181812
2021-09-09,27.8,28.7,27.6,28.0,3478749
2021-09-12,28.2,29.7,28.2,29.0,8417361
2021-09-13,29.2,31.4,29.2,30.6,15920519
2021-09-14,30.9,30.9,29.0,29.3,5995144
2021-09-15,29.5,30.7,28.8,30.3,5730525
2021-09-16,30.6,30.9,29.7,30.0,4949508
2021-09-19,30.1,30.1,27.2,28.2,5308370
2021-09-20,28.3,28.7,27.7,27.8,3766876
2021-09-21,28.1,28.8,27.8,28.1,2414204
2021-09-22,28.4,28.4,27.7,27.8,3646517
2021-09-23,27.7,28.1,27.7,28.0,1727277
2021-09-26,28.1,28.1,27.2,27.3,3564523
2021-09-27,27.7,27.8,27.3,27.4,1291357
2021-09-28,27.5,28.3,27.3,27.8,2257482
2021-09-29,27.7,28.0,27.1,27.2,2988833
2021-09-30,27.4,27.5,26.6,26.8,4078433
2021-10-03,27.2,27.2,25.9,26.1,3617111
2021-10-04,26.2,26.2,25.0,25.5,4944297
2021-10-05,25.7,25.8,25.0,25.2,1881222
2021-10-06,25.3,25.4,23.1,23.8,5272787
2021-10-07,24.2,24.9,23.4,24.4,2511412
2021-10-10,24.7,25.5,24.0,24.7,3435023
2021-10-11,25.1,25.2,24.6,24.7,1859147
2021-10-12,24.7,27.1,24.5,27.1,5752006
2021-10-13,29.8,29.8,29.8,29.8,12271875
2021-10-14,30.3,32.3,29.8,31.6,23590892
2021-10-17,31.6,34.7,31.6,34.2,23641354
2021-10-18,34.4,36.4,32.3,34.8,13190640
2021-10-19,36.1,36.4,31.4,31.5,31669560
2021-10-21,31.9,34.6,30.3,34.6,17868211
2021-10-24,34.3,37.5,32.5,36.0,20811126
2021-10-25,35.9,36.9,34.2,35.0,9115247
2021-10-26,35.0,37.3,34.0,36.2,21179492
2021-10-27,37.0,38.9,36.4,38.3,16326135
2021-10-28,38.4,38.6,36.0,36.5,10701684
2021-10-31,36.5,37.5,34.2,35.3,7804799
2021-11-01,35.5,36.4,34.6,34.9,5380147
2021-11-02,35.0,36.0,33.6,34.1,6929532
2021-11-03,34.2,35.2,33.5,34.0,4660656
2021-11-04,34.5,37.2,33.9,36.5,17548499
2021-11-07,36.7,40.1,36.6,39.9,21446177
2021-11-08,40.1,40.8,38.4,38.7,15224992
2021-11-09,38.9,39.8,38.3,38.6,6644087
