Date,Open,High,Low,Close,Volume
2012-10-01,160.5,167.9,157.0,166.0,778500
2012-10-02,168.0,174.9,167.5,168.4,1171500
2012-10-03,172.0,175.0,164.5,165.1,957000
2012-10-04,168.7,171.0,164.3,166.2,607000
2012-10-07,167.1,171.5,161.0,162.9,550500
2012-10-08,166.0,169.5,159.2,163.0,482500
2012-10-09,170.0,170.0,165.6,169.3,667500
2012-10-10,173.0,178.9,172.8,174.8,1679000
2012-10-11,178.0,178.0,173.0,174.8,787000
2012-10-14,177.0,183.0,174.2,176.1,1007500
2012-10-15,177.8,179.0,168.5,170.6,746500
2012-10-16,170.1,175.0,170.1,172.3,585000
2012-10-17,173.9,173.9,167.2,168.0,362500
2012-10-18,169.0,171.5,166.8,167.8,301500
2012-10-21,170.8,170.8,162.1,163.4,166000
2012-10-22,165.4,167.0,162.2,166.1,135500
2012-10-23,168.9,171.5,166.0,166.5,253000
2012-10-30,175.0,177.8,169.9,177.3,923500
2012-10-31,180.0,182.4,175.0,176.6,845000
2012-11-01,175.2,178.9,173.3,173.9,433500
2012-11-04,174.9,175.7,167.4,168.5,569500
2012-11-05,169.9,173.7,167.3,172.0,543000
2012-11-06,174.0,174.0,169.1,170.9,298500
2012-11-07,171.2,173.0,168.1,169.2,261000
2012-11-08,169.9,170.8,164.8,165.5,174000
2012-11-11,165.0,165.8,155.0,157.1,268500
2012-11-12,160.0,162.6,156.4,159.6,174500
2012-11-13,162.0,170.9,158.5,168.3,206500
2012-11-14,170.0,170.0,162.7,164.0,242500
2012-11-15,170.5,170.5,164.0,164.7,312000
2012-11-18,167.9,167.9,162.8,163.8,372000
2012-11-19,160.3,160.3,154.5,156.1,293500
2012-11-20,159.0,159.5,153.5,155.0,242500
2012-11-21,156.0,158.6,154.4,155.9,475000
2012-11-26,101.1,108.0,95.4,96.6,350000
2012-11-27,95.0,95.4,92.1,92.6,195500
2012-11-28,94.9,95.6,89.5,90.3,194000
2012-11-29,94.9,99.3,93.5,99.3,344500
2012-12-02,103.9,104.8,96.5,98.0,411000
2012-12-03,95.5,97.5,95.3,96.1,156000
2012-12-04,94.4,96.9,93.1,96.0,146000
2012-12-05,97.0,97.1,94.6,95.4,109500
2012-12-06,94.0,96.1,93.5,93.9,145000
2012-12-09,92.7,93.2,90.9,91.1,130500
2012-12-10,90.0,91.2,89.2,89.9,111500
2012-12-11,90.4,91.0,88.6,89.1,121500
2012-12-12,91.6,91.6,87.6,88.5,103000
2012-12-13,89.5,90.4,88.8,89.8,73500
2012-12-17,89.6,91.5,89.0,90.2,90500
2012-12-18,90.5,92.0,90.2,91.3,136500
2012-12-19,92.0,95.6,91.8,93.9,137000
2012-12-20,94.5,95.0,92.6,93.6,111000
2012-12-23,92.3,92.4,90.5,91.2,65000
2012-12-24,91.9,92.0,90.1,90.6,83000
2012-12-26,91.0,92.0,90.6,91.2,95500
2012-12-27,93.4,93.4,91.3,92.3,87500
2012-12-30,92.5,99.1,92.5,98.4,565000
2013-01-01,101.0,101.0,95.0,95.2,135500
2013-01-02,94.6,95.0,93.0,93.3,95500
2013-01-03,93.1,94.3,92.7,93.5,90500
2013-01-06,94.0,94.4,92.4,92.7,87000
2013-01-07,91.8,92.3,90.8,91.4,95000
2013-01-08,91.1,92.1,89.8,90.1,213000
2013-01-09,93.9,93.9,89.5,89.8,205000
2013-01-10,90.0,92.0,89.1,90.7,97000
2013-01-13,91.2,91.4,90.6,90.9,87000
2013-01-14,90.2,91.0,90.1,90.2,66000
2013-01-15,90.3,90.7,89.9,90.0,68500
2013-01-16,90.0,90.7,89.6,89.8,97000
2013-01-17,90.4,91.3,90.0,90.6,121000
2013-01-20,91.6,91.6,89.9,90.0,107000
2013-01-21,89.6,90.0,88.7,89.0,68500
2013-01-22,89.6,89.9,88.8,89.2,99500
2013-01-23,89.9,90.7,89.5,89.8,92000
2013-01-24,89.8,93.3,89.6,92.0,235500
2013-01-27,92.6,94.1,92.3,92.6,249000
2013-01-28,93.2,93.2,92.0,92.4,169500
2013-01-29,93.6,96.0,93.6,94.9,389000
2013-01-30,95.7,95.7,92.3,92.9,315000
2013-01-31,92.9,95.7,92.9,94.3,312500
