Date,Open,High,Low,Close,Volume
2012-10-01,67.8,67.8,65.1,66.3,65000
2012-10-02,69.4,69.5,66.2,67.4,56500
2012-10-03,68.0,68.7,66.1,66.8,54000
2012-10-04,67.3,68.0,66.1,66.5,72500
2012-10-07,66.0,69.5,66.0,66.6,48500
2012-10-08,67.1,67.6,65.3,65.6,75500
2012-10-09,66.1,66.9,65.5,65.7,49000
2012-10-10,68.0,68.0,65.0,65.2,48500
2012-10-11,64.9,65.3,64.1,64.8,56000
2012-10-14,64.0,65.9,63.8,64.2,43500
2012-10-15,63.5,64.5,63.5,63.8,29500
2012-10-16,63.5,65.5,63.5,63.8,30000
2012-10-17,62.4,64.5,62.4,63.7,19000
2012-10-18,63.8,64.9,63.8,64.2,35000
2012-10-21,64.1,65.4,64.1,64.5,36000
2012-10-22,65.4,67.1,64.0,65.2,30000
2012-10-23,65.2,70.4,65.2,69.6,130000
2012-10-30,70.0,70.0,66.7,67.9,34000
2012-10-31,68.1,68.2,67.5,67.8,56000
2012-11-01,68.0,68.0,66.7,67.0,38500
2012-11-04,66.1,67.0,66.0,66.1,26500
2012-11-05,65.5,66.3,64.5,65.8,27500
2012-11-06,65.0,65.9,64.8,65.0,29500
2012-11-07,64.5,64.9,64.0,64.4,26000
2012-11-08,65.9,65.9,64.0,64.3,18500
2012-11-11,63.3,63.3,60.9,61.3,46000
2012-11-12,63.0,63.9,62.0,62.4,18000
2012-11-13,62.0,64.5,62.0,64.1,29000
2012-11-14,64.0,64.0,63.0,63.2,20000
2012-11-15,63.2,64.6,63.1,64.2,17500
2012-11-18,63.7,65.0,63.5,64.5,31500
2012-11-19,63.4,64.2,62.1,62.5,43000
2012-11-20,62.3,63.4,61.8,62.0,21000
2012-11-21,63.4,63.4,61.5,61.8,22500
2012-11-22,61.6,63.5,61.6,62.3,5000
2012-11-26,59.1,61.7,59.1,60.6,22500
2012-11-27,60.0,62.0,60.0,61.2,16000
2012-11-28,61.1,62.0,60.3,61.0,12000
2012-11-29,62.0,63.7,61.7,62.5,30000
2012-12-02,63.1,63.9,61.6,62.3,28500
2012-12-03,58.6,62.0,58.6,60.4,12500
2012-12-04,60.0,61.0,59.2,60.2,7000
2012-12-05,59.9,60.6,59.9,60.3,23500
2012-12-06,60.0,61.0,60.0,60.3,41000
2012-12-09,60.0,61.7,59.3,60.0,27000
2012-12-10,59.0,59.3,59.0,59.1,8500
2012-12-11,60.1,60.5,59.5,60.1,35000
2012-12-12,59.8,60.5,59.8,60.0,18000
2012-12-13,60.0,60.0,59.0,59.2,29000
2012-12-17,59.2,61.0,59.2,60.4,24500
2012-12-18,59.2,61.1,59.1,59.3,34500
2012-12-19,60.3,61.0,60.0,60.6,19500
2012-12-20,60.7,62.0,60.2,60.4,33500
2012-12-23,60.5,60.5,60.1,60.3,18500
2012-12-24,60.1,60.5,59.7,60.0,22000
2012-12-26,60.4,63.0,60.4,61.9,50500
2012-12-27,64.0,64.3,63.0,64.0,54000
