Date,Open,High,Low,Close,Volume
2012-10-01,284.2,294.8,284.2,288.8,99200
2012-10-02,299.4,302.0,293.9,298.1,114400
2012-10-03,301.9,314.0,299.2,306.8,283100
2012-10-04,310.0,318.0,304.1,306.1,223200
2012-10-07,306.1,313.8,303.0,304.9,140400
2012-10-08,304.2,309.5,296.0,298.7,102000
2012-10-09,305.0,305.0,295.3,296.0,139700
2012-10-10,302.5,307.0,296.2,297.6,109800
2012-10-11,303.0,305.9,291.2,294.9,120400
2012-10-14,299.3,304.9,296.9,300.9,149100
2012-10-15,301.0,305.0,294.8,295.9,101600
2012-10-16,301.5,301.5,295.0,295.2,99100
2012-10-17,299.0,299.0,292.5,293.7,52300
2012-10-18,295.0,300.0,293.0,297.3,70900
2012-10-21,301.0,303.8,297.0,300.4,62900
2012-10-22,302.9,302.9,296.7,298.0,78800
2012-10-23,298.9,300.0,298.0,299.0,56200
2012-10-30,297.2,300.0,297.2,297.5,34600
2012-10-31,298.0,298.0,295.3,295.8,45300
2012-11-01,295.0,297.9,292.5,293.0,54000
2012-11-04,293.6,293.6,287.5,287.8,30100
2012-11-05,291.6,291.6,286.1,287.9,31600
2012-11-06,294.7,308.9,293.7,305.4,303200
2012-11-07,309.4,311.0,301.0,301.9,185600
2012-11-08,304.0,305.0,288.1,291.6,89300
2012-11-11,290.0,291.0,278.0,279.1,131600
2012-11-12,290.0,294.9,286.0,287.5,186500
2012-11-13,291.9,299.5,282.2,293.2,156200
2012-11-14,296.2,297.9,290.8,293.1,74300
2012-11-15,296.4,296.4,289.0,290.2,110300
2012-11-18,291.9,292.0,285.0,286.5,115200
2012-11-19,284.3,286.0,280.0,280.4,111500
2012-11-20,281.1,283.5,277.1,277.6,63900
2012-11-21,282.9,283.0,276.5,277.5,64400
2012-11-22,275.0,281.0,275.0,276.8,46500
2012-11-26,277.2,279.9,266.2,268.4,59700
2012-11-27,268.5,268.5,262.6,263.6,79600
2012-11-28,268.0,268.0,263.0,263.9,30800
2012-11-29,269.0,274.5,267.7,273.9,53000
2012-12-02,277.0,278.4,267.0,268.3,63500
2012-12-03,269.0,270.5,268.0,268.5,25600
2012-12-04,269.0,269.8,267.2,268.6,32000
2012-12-05,274.5,274.5,267.3,269.2,17200
2012-12-06,268.0,269.6,267.0,268.5,51300
2012-12-09,268.6,268.8,266.2,268.2,44400
2012-12-10,269.5,269.5,264.7,266.3,32200
2012-12-11,263.3,267.8,263.3,266.7,20400
2012-12-12,267.0,269.0,265.2,265.6,25100
2012-12-13,266.8,267.9,265.1,266.4,28300
2012-12-17,267.0,270.0,265.1,269.8,33200
2012-12-18,270.0,270.0,267.0,268.1,20300
2012-12-19,268.5,273.7,268.1,272.4,56700
2012-12-20,272.0,272.0,270.1,271.0,26000
2012-12-23,268.2,271.4,268.2,269.0,41100
2012-12-24,269.9,279.0,268.7,271.6,96900
2012-12-27,200.0,200.0,188.2,188.7,128000
2012-12-30,189.0,190.0,186.5,187.5,57100
2013-01-01,187.5,195.5,187.0,188.4,38800
2013-01-02,188.1,189.5,186.2,186.5,32400
2013-01-03,187.0,187.0,185.0,186.6,32600
2013-01-06,190.0,194.8,187.0,187.5,35400
2013-01-07,186.5,187.4,185.5,185.8,19400
2013-01-08,185.5,186.1,185.2,185.2,20400
2013-01-09,185.2,186.4,184.5,184.8,30400
2013-01-10,186.8,186.8,184.5,186.2,7100
2013-01-13,186.7,186.8,183.8,183.9,20800
2013-01-14,184.0,184.0,183.0,183.3,9000
2013-01-15,181.2,182.1,181.1,181.5,15100
2013-01-16,182.0,182.7,180.3,181.3,18600
2013-01-17,180.6,182.0,180.4,181.1,19900
2013-01-20,179.8,180.9,179.3,179.6,25100
2013-01-21,178.6,179.4,176.6,178.0,20500
2013-01-22,178.0,178.0,176.0,176.3,30800
2013-01-23,177.6,177.6,175.9,176.1,11100
2013-01-24,177.0,178.3,175.8,176.0,26200
2013-01-27,175.2,177.0,175.1,175.5,30600
2013-01-28,175.4,185.0,175.3,184.0,76700
2013-01-29,185.0,188.1,185.0,185.7,62600
2013-01-30,185.0,186.5,183.5,183.7,39400
2013-01-31,182.0,185.0,182.0,183.4,37400
2013-02-03,184.9,188.0,183.4,187.4,67500
2013-02-04,188.0,188.0,185.1,186.5,49400
