Date,Open,High,Low,Close,Volume
2014-06-15,38.0,45.0,36.5,36.7,8485600
2014-06-16,35.6,37.5,34.9,35.0,2671600
2014-06-17,34.8,35.9,34.2,34.8,2118800
2014-06-18,35.0,35.2,34.1,34.2,1176800
2014-06-19,34.4,34.8,34.2,34.3,996200
2014-06-22,34.8,35.9,34.4,35.1,1652800
2014-06-23,35.0,35.7,34.3,34.4,1097600
2014-06-24,34.0,34.6,33.6,34.1,1013200
2014-06-25,34.4,34.8,34.1,34.2,1168000
2014-06-26,34.3,34.6,34.0,34.0,971200
2014-06-29,34.2,34.7,34.1,34.2,1220400
2014-06-30,34.4,34.5,33.9,33.9,865000
2014-07-02,34.0,34.1,33.5,33.5,835600
2014-07-03,33.5,35.7,33.5,35.4,2918000
2014-07-06,35.8,36.3,34.9,35.1,2074600
2014-07-07,35.0,35.1,34.1,34.1,1389400
2014-07-08,34.4,34.4,33.8,33.9,1421600
2014-07-09,34.0,34.4,33.6,33.6,774400
2014-07-10,33.6,33.8,33.3,33.4,697800
2014-07-13,33.2,33.5,32.7,32.8,673400
2014-07-14,33.2,35.0,33.2,33.5,881000
2014-07-15,33.2,33.5,32.8,32.9,777600
2014-07-16,32.9,33.7,32.9,33.0,684000
2014-07-17,33.0,35.0,33.0,34.3,2701200
2014-07-20,34.5,35.2,34.3,34.8,1945200
2014-07-21,35.0,35.4,34.0,34.2,2447800
2014-07-22,34.4,34.8,33.9,34.2,1663400
2014-07-23,34.8,34.9,33.8,34.0,1355600
2014-07-24,33.6,34.6,33.6,34.3,1348000
2014-08-03,34.2,36.8,34.2,36.4,4527800
2014-08-04,36.7,38.7,36.3,37.9,5455400
2014-08-05,38.3,38.3,36.4,36.6,3082600
2014-08-06,36.8,37.4,35.0,35.4,3613600
2014-08-07,35.6,36.4,35.2,35.3,2287000
2014-08-10,35.8,35.9,35.0,35.1,2358400
2014-08-11,35.7,35.9,35.2,35.3,2162400
2014-08-12,35.5,36.0,35.1,35.2,1706600
2014-08-13,35.4,35.6,35.0,35.0,1263000
2014-08-14,35.5,35.5,35.1,35.2,1445200
2014-08-18,35.3,36.1,35.2,35.2,1951000
2014-08-19,35.4,36.9,35.4,36.0,3437400
2014-08-20,35.9,36.6,35.1,35.2,1982000
2014-08-21,35.2,35.8,34.7,34.8,2092200
2014-08-24,35.3,35.4,34.2,34.2,1834400
2014-08-25,34.3,34.7,33.8,33.9,1324200
2014-08-26,34.0,35.8,34.0,34.5,1943000
2014-08-27,35.0,35.0,34.0,34.0,1127200
2014-08-28,34.0,34.5,33.8,34.0,2007000
2014-08-31,34.6,34.6,33.8,33.8,838600
2014-09-01,34.0,34.1,33.4,33.5,1026800
2014-09-02,33.7,34.1,33.3,33.7,1206000
2014-09-03,34.0,34.3,33.9,34.0,1180600
2014-09-04,34.2,34.2,33.6,33.7,1016800
2014-09-07,33.7,34.0,33.2,33.2,1063200
2014-09-08,33.2,33.6,33.0,33.1,844400
2014-09-09,33.1,34.9,33.1,34.1,1580800
2014-09-10,34.2,34.4,33.2,33.4,1104400
2014-09-11,34.2,34.2,33.0,33.1,1162600
2014-09-14,33.1,33.4,32.5,32.5,1225800
2014-09-15,32.9,33.0,32.0,32.0,702400
2014-09-16,32.1,32.5,31.6,31.6,1059000
2014-09-17,31.7,32.5,31.3,31.3,1057400
2014-09-18,31.3,31.9,31.2,31.2,929400
2014-09-21,31.2,31.9,31.2,31.4,957000
2014-09-22,32.3,32.6,31.5,31.6,1269600
2014-09-23,32.0,32.2,30.8,31.0,1242600
2014-09-24,31.0,31.9,30.6,31.0,1218600
2014-09-25,30.9,31.4,30.3,30.4,1200400
2014-09-28,30.6,31.7,30.4,30.6,1573800
2014-09-29,30.5,31.1,30.0,30.2,1036600
2014-09-30,30.3,30.6,29.9,30.0,1133800
2014-10-01,30.0,30.4,30.0,30.1,854400
2014-10-02,30.1,30.9,30.1,30.7,827200
2014-10-12,30.9,32.5,30.9,32.3,2000600
2014-10-13,32.1,32.2,31.4,31.8,1165200
2014-10-14,32.0,32.2,31.8,31.9,2271800
2014-10-16,31.5,33.5,31.2,33.0,5363000
2014-10-19,33.2,34.5,32.8,33.1,2422600
2014-10-20,32.8,33.3,30.9,31.2,1961400
2014-10-21,31.9,33.0,31.5,32.7,1467600
2014-10-22,33.3,33.5,32.2,32.8,2382600
2014-10-23,33.0,33.5,32.7,32.8,1937800
2014-10-26,33.0,33.0,31.5,31.6,1124200
2014-10-27,31.9,32.1,31.3,31.6,831400
2014-10-28,31.6,32.0,31.2,31.3,634600
2014-10-29,31.3,32.2,31.3,31.6,659600
2014-10-30,31.7,32.7,31.7,32.0,1321200
2014-11-02,32.0,32.6,30.8,30.9,1319800
2014-11-03,30.2,31.4,30.0,30.3,1979400
2014-11-05,30.9,32.3,30.7,31.8,1826000
2014-11-06,32.5,32.5,31.4,31.5,1376200
2014-11-09,31.5,34.6,31.4,34.6,4987400
2014-11-10,34.9,35.2,32.9,33.1,3845200
2014-11-11,33.0,36.1,32.2,35.7,7422600
2014-11-12,36.4,36.7,33.9,34.0,3730600
2014-11-13,34.4,35.4,33.4,33.5,2367600
2014-11-16,33.3,34.0,32.0,32.4,1862200
2014-11-17,32.5,32.8,31.4,31.5,1459200
2014-11-18,31.9,31.9,31.0,31.2,1144600
2014-11-19,31.2,32.2,31.1,31.2,1087000
2014-11-20,31.3,31.6,30.9,31.0,797600
2014-11-23,31.2,31.6,30.4,30.5,703800
2014-11-24,30.5,30.8,30.0,30.1,743800
2014-11-25,30.7,31.0,30.0,30.1,588600
2014-11-26,30.1,30.6,29.3,29.5,523400
2014-11-27,29.5,30.0,29.1,29.5,640200
2014-11-30,29.5,29.7,28.9,29.0,684400
2014-12-01,29.2,29.6,29.1,29.3,299400
2014-12-02,29.4,29.5,29.1,29.1,551200
2014-12-03,29.4,29.5,29.1,29.2,770800
2014-12-04,29.2,29.3,28.8,28.9,728800
2014-12-07,29.5,31.0,28.6,28.6,617200
2014-12-08,28.8,29.0,27.9,27.9,1249800
2014-12-09,27.5,28.4,27.5,27.8,673200
2014-12-10,27.9,28.4,27.5,27.7,584800
2014-12-11,27.7,28.0,27.5,27.7,153480
2014-12-14,27.4,28.0,27.4,27.8,145887
2014-12-15,27.9,28.4,27.9,28.1,253913
2014-12-17,28.1,28.2,27.6,27.7,352065
2014-12-18,28.0,28.1,27.7,27.7,183694
2014-12-21,27.6,28.0,27.1,27.4,281582
2014-12-22,27.3,27.8,26.9,27.1,259798
2014-12-23,27.1,27.3,26.6,26.8,228741
