Date,Open,High,Low,Close,Volume
2012-10-01,9.3,10.0,8.7,10.0,2644500
2012-10-02,10.8,11.0,10.8,11.0,903000
2012-10-03,12.1,12.1,10.1,10.7,3087500
2012-10-04,10.6,11.6,9.7,11.3,2579000
2012-10-07,12.1,12.4,10.2,10.2,1303000
2012-10-08,9.4,10.6,9.2,9.5,1170500
2012-10-09,10.0,10.4,9.9,10.4,910500
2012-10-10,10.7,10.7,9.4,9.4,1085500
2012-10-11,10.1,10.1,9.0,9.2,848500
2012-10-14,9.6,9.9,8.9,9.0,469000
2012-10-15,9.4,9.9,9.0,9.8,761500
2012-10-16,9.6,10.3,9.2,9.4,490000
2012-10-17,9.6,9.8,9.1,9.3,481500
2012-10-18,9.6,9.9,9.3,9.4,573500
2012-10-21,9.6,9.6,8.9,9.0,348500
2012-10-22,9.6,9.6,8.7,9.0,280000
2012-10-23,9.3,9.5,8.8,8.9,766000
2012-10-30,8.8,9.2,8.8,8.9,69500
2012-10-31,9.1,9.5,9.0,9.1,359500
2012-11-01,9.3,9.4,9.0,9.0,400500
2012-11-04,8.9,9.0,8.7,8.7,337500
2012-11-05,8.8,8.8,8.5,8.6,295500
2012-11-06,8.7,9.2,8.7,9.0,248500
2012-11-07,9.2,9.2,8.8,8.8,468000
2012-11-08,8.7,8.9,8.6,8.6,314000
2012-11-11,8.7,8.7,7.9,8.0,321500
2012-11-12,8.3,8.3,7.9,8.0,221500
2012-11-13,8.0,8.2,7.8,8.0,283000
2012-11-14,8.0,8.1,7.8,7.8,355500
2012-11-15,7.9,8.5,7.9,8.5,532000
2012-11-18,9.0,9.2,8.8,8.8,736500
2012-11-19,8.5,8.8,8.3,8.3,185000
2012-11-20,8.4,8.5,8.0,8.0,291000
2012-11-21,8.3,8.4,8.0,8.2,239500
2012-11-22,8.3,8.6,8.3,8.3,202000
2012-11-26,8.3,8.4,8.1,8.1,92000
2012-11-27,8.0,8.2,8.0,8.0,134000
2012-11-28,8.2,8.4,7.8,8.1,215500
2012-11-29,8.4,8.6,8.3,8.5,359500
2012-12-02,8.5,8.6,8.0,8.0,197000
2012-12-03,8.1,8.1,7.8,7.8,203500
2012-12-04,7.9,8.0,7.8,7.9,82500
2012-12-05,8.0,8.1,7.8,7.8,195500
2012-12-06,7.8,7.9,7.7,7.7,228500
2012-12-09,7.7,7.7,7.3,7.4,340000
2012-12-10,7.4,7.5,7.1,7.1,153000
2012-12-11,7.2,7.7,7.1,7.6,408500
2012-12-12,7.8,8.0,7.5,7.5,175500
2012-12-13,7.6,7.6,7.4,7.4,127500
2012-12-17,7.4,7.6,7.4,7.5,134000
2012-12-18,7.5,7.6,7.4,7.4,151500
2012-12-19,7.4,7.5,7.3,7.3,107500
2012-12-20,7.4,7.5,7.3,7.3,107500
2012-12-23,7.3,7.3,7.1,7.1,147000
2012-12-24,7.2,7.6,7.1,7.4,213000
2012-12-26,7.4,7.5,7.3,7.3,254500
2012-12-27,7.4,7.6,7.3,7.5,187000
2012-12-30,7.7,7.7,7.3,7.3,97500
2013-01-01,7.2,7.5,7.2,7.2,136500
2013-01-02,7.2,7.3,7.2,7.2,52000
2013-01-03,7.9,7.9,7.6,7.9,519500
2013-01-06,7.9,8.0,7.7,7.7,229500
2013-01-07,7.8,7.8,7.6,7.7,75500
2013-01-08,7.8,7.9,7.4,7.4,212500
2013-01-09,8.1,8.1,7.5,7.5,696500
