Date,Open,High,Low,Close,Volume
2012-10-01,208.0,224.0,201.0,220.0,67750
2012-10-02,237.0,238.0,223.0,225.4,113000
2012-10-03,233.9,234.0,206.0,207.4,92100
2012-10-04,202.1,210.8,193.0,198.6,97500
2012-10-07,205.0,205.0,190.0,191.4,48350
2012-10-08,175.0,180.0,167.4,170.0,73650
2012-10-09,179.0,181.9,171.6,173.1,43600
2012-10-10,175.1,176.0,157.0,160.9,65500
2012-10-11,165.5,167.0,158.3,162.8,41200
2012-10-14,165.0,177.0,163.0,174.1,50700
2012-10-15,175.1,177.5,164.0,167.6,41200
2012-10-16,168.0,170.0,164.2,166.0,35800
2012-10-17,169.0,169.0,162.7,163.6,28350
2012-10-18,163.5,166.0,163.4,164.4,28200
2012-10-21,163.4,167.1,163.3,165.7,42850
2012-10-23,164.3,170.0,161.6,162.8,61200
2012-10-30,159.0,168.5,159.0,163.8,29350
2012-10-31,162.0,165.0,161.6,162.1,12050
2012-11-01,160.3,162.6,160.2,161.4,15800
2012-11-04,160.5,164.7,159.5,160.4,31300
2012-11-05,162.9,163.5,160.0,161.8,17450
2012-11-06,164.0,164.0,160.0,160.2,19950
2012-11-07,159.0,162.2,156.1,157.8,11850
2012-11-08,157.0,160.0,153.3,154.7,11050
2012-11-11,154.1,155.0,145.5,147.0,16650
2012-11-12,151.0,151.0,143.0,143.8,11750
2012-11-13,145.0,151.0,143.2,149.6,9300
2012-11-14,146.1,151.5,146.1,148.7,12750
2012-11-15,150.0,153.0,150.0,151.9,12850
2012-11-18,148.8,151.6,147.0,147.3,26800
2012-11-19,144.0,148.3,144.0,144.3,20950
2012-11-20,142.3,145.0,141.1,141.7,18850
2012-11-21,147.0,147.0,140.0,140.9,10850
2012-11-22,141.6,144.9,141.5,142.5,6350
2012-11-26,141.2,142.9,140.5,141.5,8000
2012-11-27,145.0,145.0,140.0,140.8,6850
2012-11-28,143.9,143.9,136.3,137.6,11500
2012-11-29,142.4,149.4,140.3,147.5,25000
2012-12-02,152.0,152.9,142.0,142.5,16350
2012-12-03,144.0,144.0,140.1,140.9,5950
2012-12-04,141.5,142.7,140.0,141.1,8300
2012-12-05,142.0,143.4,141.2,142.1,7500
2012-12-06,136.0,143.7,136.0,141.8,6800
2012-12-09,140.2,140.2,139.2,139.7,5650
2012-12-10,138.0,139.3,136.0,136.7,6150
2012-12-11,135.3,140.0,135.3,137.8,9850
2012-12-12,139.0,140.0,136.0,136.5,4750
2012-12-13,136.1,138.0,135.7,137.1,5200
2012-12-17,139.0,140.5,137.1,138.0,8850
2012-12-18,137.6,139.0,137.6,138.6,11300
2012-12-19,139.2,140.0,138.1,139.1,10200
2012-12-20,137.7,146.1,137.7,142.3,15500
2012-12-23,140.0,143.8,140.0,143.3,12800
2012-12-24,145.8,154.9,144.6,151.6,38150
2012-12-26,150.0,150.5,145.5,146.0,18400
2012-12-27,147.9,147.9,145.5,146.5,4800
2012-12-30,146.5,146.5,142.8,143.3,12100
2013-01-01,143.1,144.9,140.5,141.2,10600
2013-01-02,140.7,141.3,140.0,140.2,8500
2013-01-03,140.1,141.7,139.7,140.9,5700
2013-01-06,147.0,147.2,141.0,141.8,4350
2013-01-07,141.1,141.5,139.9,140.1,7450
2013-01-08,143.0,143.0,140.0,140.1,3100
2013-01-09,141.0,141.0,139.5,139.8,4850
2013-01-10,139.1,141.9,139.0,140.4,4800
2013-01-13,140.5,141.7,139.7,140.2,5450
2013-01-14,140.8,141.0,139.9,140.1,2900
2013-01-15,140.1,141.0,139.3,139.7,3100
2013-01-16,139.5,141.0,139.4,140.3,4700
2013-01-17,144.0,144.0,140.4,141.4,2700
2013-01-20,140.4,141.9,139.5,140.2,6300
2013-01-21,139.5,140.1,138.2,139.2,3950
2013-01-22,138.2,142.1,138.2,140.4,5050
2013-01-23,141.0,141.0,139.4,139.7,3100
2013-01-24,140.5,141.5,140.0,140.3,8750
2013-01-27,141.5,142.4,140.1,140.3,8950
2013-01-28,140.3,140.7,139.4,140.0,8500
2013-01-29,141.5,145.0,140.2,144.4,25300
2013-01-30,145.0,146.0,140.5,141.2,17700
2013-01-31,141.0,141.0,136.0,139.6,23600
2013-02-03,140.0,141.0,136.5,137.6,27250
2013-02-04,136.5,138.0,135.9,136.1,23400
2013-02-05,141.9,141.9,136.3,138.2,8350
2013-02-06,137.0,138.7,137.0,137.8,7750
2013-02-07,138.0,138.5,136.2,136.7,16150
2013-02-10,139.5,139.5,136.5,137.7,18400
2013-02-11,138.0,139.9,137.5,139.2,14050
2013-02-12,140.4,140.5,136.8,137.1,12900
2013-02-13,139.2,139.2,136.4,136.5,12100
2013-02-14,138.0,138.4,136.4,137.3,21050
2013-02-17,139.6,140.0,137.2,137.4,16600
2013-02-18,139.0,139.4,137.1,137.3,13950
2013-02-19,139.0,139.2,135.1,136.0,12750
2013-02-20,138.9,139.0,134.7,134.8,10850
2013-02-24,135.0,136.0,130.6,131.6,11950
2013-02-25,132.1,134.5,127.5,128.4,9550
2013-02-26,132.0,132.0,128.5,130.4,11100
2013-02-27,129.4,132.8,121.8,122.5,23550
2013-02-28,125.0,125.0,120.5,121.5,20850
2013-03-03,118.1,118.1,112.2,114.6,6950
2013-03-04,121.5,124.0,119.1,123.3,8200
2013-03-05,125.0,125.9,119.3,119.8,10650
2013-03-06,117.1,120.9,117.0,118.1,5400
2013-03-07,113.0,117.1,113.0,115.9,8300
2013-03-10,117.1,117.5,113.2,113.8,5350
2013-03-11,114.0,114.0,109.0,113.7,8450
2013-03-12,112.9,113.6,111.6,112.8,4500
2013-03-13,113.0,117.0,113.0,116.0,11800
2013-03-14,115.9,115.9,114.3,114.9,5950
2013-03-18,115.5,118.9,115.0,117.5,9600
2013-03-19,119.0,123.0,119.0,121.6,12850
2013-03-20,120.5,121.8,117.0,117.8,10050
2013-03-24,115.1,116.0,110.0,112.0,13200
2013-03-25,114.8,114.9,111.0,111.9,4200
2013-03-27,109.2,112.2,109.0,110.1,5450
2013-03-28,111.5,112.0,108.0,109.5,9850
2013-03-31,111.0,112.0,108.1,108.8,7700
2013-04-01,105.5,105.9,101.0,102.2,10650
2013-04-02,106.9,106.9,99.5,101.7,11050
2013-04-03,104.9,105.0,100.2,100.4,11150
2013-04-04,99.0,100.4,98.2,99.3,13500
2013-04-07,103.6,103.6,99.7,99.9,14000
2013-04-08,99.9,101.9,99.0,100.1,12650
2013-04-09,102.0,109.0,101.9,108.1,44900
2013-04-10,109.9,112.0,105.0,105.7,30650
2013-04-11,106.0,116.2,103.1,116.2,67650
2013-04-15,119.5,127.8,119.1,126.8,74900
2013-04-16,126.0,127.1,116.5,117.3,39150
2013-04-17,118.0,126.0,114.7,123.9,68850
2013-04-18,126.8,136.2,126.8,135.9,160200
2013-04-21,136.0,144.9,135.1,137.7,94450
2013-04-22,131.1,135.0,129.2,130.4,62550
2013-04-23,132.0,137.0,130.6,132.6,53500
2013-04-24,137.0,141.5,133.9,135.0,46800
2013-04-25,137.6,144.0,133.0,138.4,105450
2013-04-28,139.0,139.0,133.5,134.9,45050
2013-04-29,137.0,148.3,137.0,148.3,170350
2013-04-30,148.0,153.0,137.5,138.7,121350
2013-05-02,135.6,138.9,125.0,128.3,159450
2013-05-05,131.0,140.0,129.5,134.5,87100
2013-05-06,143.0,143.0,134.1,137.0,58000
2013-05-07,137.1,145.0,137.1,139.3,139850
2013-05-08,144.0,144.0,133.0,133.6,111050
2013-05-09,135.9,137.0,133.0,135.8,49800
2013-05-12,139.0,139.0,134.5,134.9,88600
2013-05-13,135.0,136.3,133.0,133.3,68150
2013-05-14,134.8,134.9,130.2,132.1,96250
2013-05-15,132.2,138.0,132.0,134.1,63100
2013-05-16,135.8,138.5,135.8,137.3,66650
2013-05-19,137.9,138.9,135.0,135.3,68950
2013-05-20,137.0,137.0,133.5,134.2,47950
