Date,Open,High,Low,Close,Volume
2012-10-01,8.2,8.9,7.5,8.7,6921000
2012-10-02,9.0,9.5,9.0,9.5,10450000
2012-10-03,10.4,10.4,8.9,9.2,11768500
2012-10-04,9.0,9.8,8.4,9.2,5261500
2012-10-07,9.5,9.6,8.3,8.3,3292000
2012-10-08,7.7,8.5,7.5,7.8,3528000
2012-10-09,8.3,8.5,8.0,8.5,2094000
2012-10-10,8.9,9.0,7.9,8.0,1719500
2012-10-11,8.2,8.2,7.7,7.7,1486500
2012-10-14,8.0,8.2,7.5,7.5,1730000
2012-10-15,7.7,8.2,7.2,8.2,1846000
2012-10-16,8.7,8.7,7.9,8.0,2319000
2012-10-17,8.0,8.3,7.8,8.0,1282500
2012-10-18,8.3,8.3,8.0,8.0,1740000
2012-10-21,8.2,8.2,7.7,7.7,1244000
2012-10-22,7.8,8.1,7.7,7.8,1175000
2012-10-23,8.0,8.1,7.8,7.9,1156000
2012-10-30,7.9,8.0,7.8,7.8,511500
2012-10-31,7.8,8.3,7.8,8.0,1576500
2012-11-01,8.1,8.1,7.8,7.8,894500
2012-11-04,7.9,8.0,7.7,7.7,734500
2012-11-05,7.8,7.9,7.6,7.7,827500
2012-11-06,7.8,8.1,7.7,8.0,3381000
2012-11-07,8.1,8.3,7.8,7.9,2164500
2012-11-08,7.9,8.0,7.7,7.7,1225000
2012-11-11,7.7,7.8,7.2,7.2,2134500
2012-11-12,7.3,7.5,6.9,7.0,2529000
2012-11-13,7.0,7.4,6.8,7.2,1991000
2012-11-14,7.1,7.3,7.0,7.0,1289500
2012-11-15,7.0,7.7,7.0,7.5,1934500
2012-11-18,7.9,8.0,7.5,7.6,2263000
2012-11-19,7.5,7.6,7.2,7.2,1794000
2012-11-20,7.3,7.4,7.1,7.2,1674500
2012-11-21,7.2,7.5,7.1,7.3,1770000
2012-11-22,7.5,7.5,7.3,7.3,1543500
2012-11-26,7.3,7.4,7.1,7.1,1129500
2012-11-27,7.1,7.2,7.0,7.0,1633000
2012-11-28,7.2,7.2,7.0,7.0,1635000
2012-11-29,7.3,7.5,7.2,7.4,1378500
2012-12-02,7.6,7.7,7.1,7.1,1609500
2012-12-03,7.3,7.3,7.0,7.0,1367000
2012-12-04,7.1,7.2,7.0,7.0,620500
2012-12-05,7.1,7.2,6.9,6.9,1256500
2012-12-06,7.0,7.0,6.8,6.8,664500
2012-12-09,6.9,6.9,6.5,6.6,879000
2012-12-10,6.6,6.7,6.5,6.6,864500
2012-12-11,6.6,7.2,6.5,7.0,1397500
2012-12-12,7.1,7.3,6.9,6.9,1110000
2012-12-13,6.7,7.0,6.4,6.8,391500
2012-12-17,6.9,7.1,6.9,6.9,567500
2012-12-18,7.0,7.0,6.8,6.8,914000
2012-12-19,6.8,7.0,6.8,6.8,526000
2012-12-20,6.8,6.9,6.7,6.7,698000
2012-12-23,6.8,6.9,6.7,6.7,304500
2012-12-24,6.8,7.0,6.6,6.8,790000
2012-12-26,6.9,6.9,6.7,6.7,479500
2012-12-27,6.9,6.9,6.7,6.8,555500
2012-12-30,6.9,7.0,6.7,6.7,701000
2013-01-01,6.9,6.9,6.7,6.7,480000
2013-01-02,6.7,6.8,6.7,6.7,263500
2013-01-03,7.0,7.3,7.0,7.3,3966000
2013-01-06,7.3,7.8,7.3,7.4,2556500
2013-01-07,7.3,7.4,7.1,7.2,1483500
2013-01-08,7.3,7.4,7.1,7.1,1312500
2013-01-09,7.8,7.8,7.2,7.2,3825000
2013-01-10,7.3,7.3,7.0,7.0,1811000
2013-01-13,7.0,7.1,6.9,6.9,1134000
2013-01-14,7.0,7.0,6.7,6.8,2062000
2013-01-15,6.8,6.9,6.7,6.8,528500
2013-01-16,6.8,6.9,6.8,6.8,670000
2013-01-17,6.8,7.0,6.8,6.8,901000
2013-01-20,6.9,6.9,6.8,6.8,492500
2013-01-21,6.9,6.9,6.8,6.8,841000
2013-01-22,6.8,6.8,6.6,6.6,2636500
2013-01-23,6.6,6.7,6.5,6.5,2049500
2013-01-24,6.5,6.7,6.5,6.5,980500
2013-01-27,6.6,6.6,6.4,6.4,1345000
2013-01-28,6.5,6.5,6.3,6.4,1581500
2013-01-29,6.4,6.7,6.4,6.5,929500
2013-01-30,6.7,6.7,6.4,6.4,932500
2013-01-31,6.5,6.6,6.4,6.4,768000
2013-02-03,6.4,6.5,6.4,6.4,664000
2013-02-04,6.5,6.5,6.3,6.3,792500
2013-02-05,6.4,6.5,6.3,6.4,1049000
2013-02-06,6.4,6.6,6.4,6.4,1085500
2013-02-07,6.5,6.6,6.5,6.5,1428000
2013-02-10,6.6,6.7,6.5,6.5,1336500
2013-02-11,6.6,6.7,6.5,6.5,858000
2013-02-12,6.7,6.7,6.4,6.4,1156000
2013-02-13,6.5,6.6,6.4,6.4,820000
2013-02-14,6.4,6.5,6.4,6.4,1610500
2013-02-17,6.4,6.5,6.3,6.3,1211000
2013-02-18,6.3,6.4,6.2,6.2,1138500
2013-02-19,6.2,6.3,6.0,6.1,1249000
2013-02-20,6.2,6.2,6.0,6.0,542000
2013-02-24,6.0,6.1,5.8,5.8,654000
2013-02-25,5.9,6.0,5.7,5.7,455500
2013-02-26,5.7,5.9,5.7,5.8,541500
2013-02-27,5.8,5.8,5.5,5.6,403000
2013-02-28,5.6,5.7,5.5,5.6,365500
2013-03-03,5.5,5.5,5.1,5.2,731500
2013-03-04,5.2,5.5,5.2,5.4,413000
2013-03-05,5.5,5.6,5.2,5.3,390500
2013-03-06,5.4,5.4,5.2,5.2,689500
2013-03-07,5.2,5.4,5.1,5.2,690000
2013-03-10,5.3,5.3,5.1,5.1,630000
2013-03-11,5.1,5.3,5.0,5.2,801500
2013-03-12,5.1,5.4,5.1,5.3,748000
2013-03-13,5.3,5.4,5.3,5.3,284000
2013-03-14,5.3,5.4,5.2,5.3,336500
2013-03-18,5.3,5.4,5.2,5.2,408500
2013-03-19,5.3,5.4,5.2,5.3,276000
2013-03-20,5.3,5.4,5.2,5.2,306000
2013-03-24,5.2,5.2,5.1,5.1,336000
2013-03-25,5.1,5.2,5.0,5.0,517000
2013-03-27,5.0,5.0,4.9,4.9,375000
2013-03-28,4.9,5.1,4.9,4.9,547500
2013-03-31,5.0,5.0,4.9,4.9,432500
2013-04-01,4.9,4.9,4.8,4.8,698000
2013-04-02,4.8,4.9,4.8,4.8,141500
2013-04-03,4.9,5.0,4.9,4.9,141500
2013-04-04,4.9,4.9,4.8,4.8,433000
2013-04-07,4.9,5.2,4.8,5.1,857000
2013-04-08,5.1,5.6,5.1,5.6,2156000
2013-04-09,5.7,6.0,5.5,5.6,1335000
2013-04-10,5.7,6.0,5.5,5.8,1740500
2013-04-11,5.8,6.0,5.7,5.7,963000
2013-04-15,5.9,5.9,5.7,5.7,918000
2013-04-16,5.7,5.7,5.2,5.2,1242500
2013-04-17,5.4,5.7,5.2,5.6,1668000
2013-04-18,5.8,6.0,5.8,5.8,2300000
2013-04-21,5.8,5.9,5.5,5.6,1205000
2013-04-22,5.6,5.8,5.4,5.6,1045500
2013-04-23,5.7,5.8,5.6,5.6,637000
2013-04-24,5.8,5.8,5.5,5.5,543500
2013-04-25,5.7,5.8,5.5,5.5,753500
2013-04-28,5.6,5.6,5.4,5.4,513000
2013-04-29,5.4,5.5,5.4,5.4,549500
2013-04-30,5.5,5.5,5.4,5.4,351500
2013-05-02,5.5,5.6,5.4,5.4,810000
2013-05-05,5.5,5.6,5.4,5.4,398000
2013-05-06,5.4,5.5,5.3,5.3,342500
2013-05-07,5.4,5.6,5.4,5.4,750000
2013-05-08,5.6,5.8,5.5,5.5,1334000
2013-05-09,5.6,5.8,5.5,5.7,976000
2013-05-12,5.8,6.0,5.7,5.9,1651000
2013-05-13,6.0,6.1,5.8,6.0,2221000
2013-05-14,6.1,6.6,6.1,6.5,2557500
2013-05-15,6.5,6.5,6.1,6.2,2039000
2013-05-16,6.2,6.6,6.2,6.5,2606000
2013-05-19,6.6,6.8,6.5,6.6,2702500
2013-05-20,6.7,6.7,6.4,6.4,2159000
2013-05-21,6.5,6.6,6.3,6.3,1923000
2013-05-22,6.3,6.5,6.2,6.2,1946000
2013-05-26,6.3,6.4,5.9,5.9,1091500
2013-05-27,6.0,6.3,6.0,6.1,941500
2013-05-28,6.3,6.5,6.2,6.4,3245000
2013-05-29,6.5,6.7,6.4,6.6,2882500
2013-05-30,6.7,6.8,6.6,6.7,2288000
2013-06-02,6.8,7.2,6.8,7.1,4206000
2013-06-03,7.1,7.3,6.9,7.0,3002000
2013-06-04,7.1,7.2,6.8,6.8,2261500
2013-06-05,6.9,7.1,6.8,6.9,2853000
2013-06-06,7.2,7.2,6.9,7.0,2902000
2013-06-09,7.3,7.5,6.9,6.9,2991500
2013-06-10,7.0,7.5,6.9,7.4,4172500
2013-06-11,7.6,7.6,7.2,7.2,2072500
2013-06-12,7.2,7.3,7.0,7.0,2113000
2013-06-13,7.0,7.2,6.9,7.1,1708500
2013-06-16,7.2,7.3,7.0,7.0,2623500
2013-06-17,7.1,7.4,7.0,7.2,3728000
2013-06-18,7.2,7.9,7.2,7.7,8510000
2013-06-19,7.6,8.0,7.5,7.5,4703000
2013-06-20,7.5,7.7,7.3,7.4,1926500
2013-06-23,7.3,7.5,7.1,7.1,1451500
2013-06-24,7.0,7.2,6.9,7.0,1447500
2013-06-26,7.1,7.3,7.1,7.1,1537500
2013-06-27,7.1,7.2,7.0,7.0,1300500
2013-06-30,7.0,7.0,6.7,6.8,809500
2013-07-02,7.0,7.4,7.0,7.3,1324500
2013-07-03,7.3,7.5,7.0,7.1,1528000
2013-07-04,7.2,7.3,7.0,7.1,1199500
2013-07-07,7.3,7.4,7.2,7.2,1453000
2013-07-08,7.4,7.4,7.0,7.1,1916500
2013-07-09,7.2,7.3,6.9,6.9,1634500
2013-07-10,6.9,7.2,6.9,7.0,1203000
2013-07-11,7.1,7.2,6.8,6.9,858500
2013-07-14,7.0,7.0,6.6,6.6,488000
2013-07-15,6.7,6.8,6.5,6.6,626000
2013-07-16,6.8,6.9,6.5,6.6,879000
2013-07-17,6.7,7.2,6.6,7.0,2424500
2013-07-18,7.1,7.1,6.5,6.7,2358000
2013-07-21,6.7,6.8,6.5,6.5,325000
2013-07-22,6.6,6.7,6.5,6.5,621500
2013-07-23,6.7,6.7,6.3,6.3,870000
2013-07-24,6.5,6.9,6.4,6.9,1144500
2013-07-25,7.4,7.5,6.7,6.8,1807500
2013-07-28,6.7,6.8,6.4,6.5,485000
2013-07-29,6.5,6.7,6.5,6.5,323500
2013-07-30,6.5,6.5,6.3,6.3,460500
2013-07-31,6.2,6.4,6.1,6.1,440000
2013-08-01,6.0,6.1,5.9,5.9,442000
2013-08-04,5.9,6.0,5.7,5.9,477500
2013-08-05,5.8,6.1,5.8,6.0,237000
2013-08-12,5.8,6.0,5.8,5.8,272500
2013-08-13,5.9,6.0,5.8,5.8,368500
2013-08-14,5.8,5.8,5.5,5.6,1387000
2013-08-18,5.5,5.7,5.5,5.6,431500
2013-08-19,5.7,5.8,5.6,5.6,472500
2013-08-20,5.7,5.8,5.6,5.6,379000
2013-08-21,5.6,5.7,5.5,5.5,327500
2013-08-22,5.5,5.9,5.5,5.8,1130000
2013-08-25,5.8,6.1,5.7,5.7,834500
2013-08-26,5.7,5.9,5.7,5.7,603000
2013-08-27,5.8,5.9,5.6,5.7,675500
2013-08-29,5.7,5.7,5.6,5.6,166500
2013-09-01,5.7,5.9,5.6,5.8,617000
2013-09-02,5.8,5.8,5.6,5.6,311500
2013-09-03,5.5,5.7,5.5,5.6,327000
2013-09-04,5.7,5.7,5.6,5.6,286000
2013-09-05,5.6,5.6,5.5,5.5,426000
2013-09-08,5.5,5.6,5.4,5.4,340500
2013-09-09,5.5,5.5,5.4,5.4,180000
2013-09-10,5.5,5.6,5.3,5.3,511500
2013-09-11,5.5,5.7,5.4,5.5,564000
2013-09-12,5.5,5.7,5.4,5.4,332000
2013-09-15,5.5,5.5,5.4,5.4,332500
2013-09-16,5.5,5.5,5.4,5.4,358500
2013-09-17,5.4,5.5,5.3,5.3,478500
2013-09-18,5.3,5.5,5.3,5.3,625500
2013-09-19,5.3,5.5,5.3,5.4,664000
2013-09-22,5.5,5.5,5.4,5.4,444000
2013-09-23,5.4,5.5,5.3,5.4,223500
2013-09-24,5.4,5.5,5.3,5.3,893000
2013-09-25,5.3,5.4,5.2,5.2,257500
2013-09-26,5.2,5.5,5.2,5.4,627500
2013-09-29,5.5,5.7,5.4,5.6,1799000
2013-09-30,5.6,5.6,5.4,5.4,419500
2013-10-01,5.5,5.6,5.3,5.4,510000
2013-10-02,5.5,5.7,5.5,5.6,896000
2013-10-03,5.6,5.7,5.5,5.6,570000
2013-10-06,5.6,5.6,5.4,5.4,349500
2013-10-07,5.4,5.5,5.2,5.2,677000
2013-10-08,5.4,5.4,5.2,5.2,659000
2013-10-09,5.2,5.3,5.1,5.2,330000
2013-10-10,5.2,5.3,5.2,5.2,342000
2013-10-20,5.3,5.3,5.1,5.1,382500
2013-10-21,5.1,5.2,5.0,5.1,520500
2013-10-22,5.1,5.3,5.1,5.1,151000
2013-10-23,5.2,5.2,5.0,5.1,505500
2013-10-24,5.1,5.1,5.0,5.0,904500
2013-10-27,5.1,5.2,5.1,5.1,226500
2013-10-28,5.2,5.3,5.1,5.1,539000
2013-10-29,5.2,5.3,5.1,5.2,438500
2013-10-30,5.3,5.4,5.2,5.2,735000
2013-10-31,5.3,5.4,5.2,5.2,1055500
2013-11-03,5.2,5.4,5.2,5.3,663500
2013-11-04,5.3,5.4,5.2,5.3,546500
2013-11-05,5.3,5.5,5.3,5.4,1013500
2013-11-06,5.4,5.5,5.4,5.4,647500
2013-11-07,5.5,5.9,5.4,5.8,2871000
2013-11-10,5.9,6.1,5.8,5.9,3845500
2013-11-11,6.1,6.4,6.1,6.2,3615500
2013-11-12,6.4,6.4,6.0,6.0,1735500
2013-11-13,6.1,6.2,6.0,6.0,1295000
2013-11-14,6.2,6.2,6.0,6.0,1039000
2013-11-17,6.1,6.1,5.8,5.9,1030500
2013-11-18,5.9,6.0,5.8,5.8,1126000
2013-11-19,5.9,6.1,5.8,6.0,1618000
2013-11-20,6.0,6.2,6.0,6.0,1859000
2013-11-21,6.1,6.1,5.9,6.0,1460500
2013-11-24,6.1,6.1,5.8,5.8,1035500
2013-11-25,5.9,6.0,5.8,5.8,1260000
2013-11-26,5.9,5.9,5.7,5.7,875500
2013-11-27,5.7,5.9,5.6,5.6,497500
2013-11-28,5.7,5.8,5.6,5.6,533000
2013-12-01,5.6,5.7,5.5,5.5,290000
2013-12-02,5.6,5.7,5.5,5.5,484500
2013-12-03,5.5,5.7,5.5,5.6,422500
2013-12-04,5.7,5.8,5.6,5.6,450000
2013-12-05,5.6,5.7,5.6,5.6,242500
2013-12-08,5.6,5.7,5.5,5.5,779500
2013-12-09,5.6,5.7,5.5,5.5,687500
2013-12-10,5.7,5.9,5.6,5.8,1233000
2013-12-11,5.8,5.9,5.7,5.7,744500
2013-12-12,5.8,5.8,5.6,5.7,566000
2013-12-15,5.7,5.8,5.6,5.6,329000
2013-12-17,5.7,5.9,5.7,5.7,741000
2013-12-18,5.8,5.8,5.6,5.6,414500
2013-12-19,5.6,5.7,5.5,5.6,502000
2013-12-22,5.5,5.8,5.5,5.6,535000
2013-12-23,5.6,5.7,5.5,5.5,903000
2013-12-24,5.6,5.6,5.5,5.5,370000
2013-12-26,5.7,5.7,5.5,5.5,203500
2013-12-29,5.7,5.7,5.4,5.4,373500
2013-12-30,5.7,5.7,5.5,5.5,293500
2014-01-01,5.7,5.7,5.5,5.5,221000
2014-01-02,5.7,5.7,5.5,5.5,260000
2014-01-06,5.7,5.7,5.4,5.4,460500
2014-01-07,5.7,5.7,5.4,5.5,473500
2014-01-08,5.6,5.7,5.5,5.5,803000
2014-01-09,5.5,5.7,5.5,5.5,392500
2014-01-12,5.6,5.7,5.6,5.6,606500
2014-01-13,5.6,5.7,5.6,5.6,327500
2014-01-15,5.7,5.8,5.6,5.7,571000
2014-01-16,5.7,5.8,5.7,5.7,202000
2014-01-19,5.8,5.9,5.7,5.8,1313500
2014-01-20,5.8,6.0,5.8,5.8,1204000
2014-01-21,5.9,6.0,5.8,5.9,727500
2014-01-22,6.0,6.2,5.9,6.1,2052000
2014-01-23,6.2,6.6,6.1,6.5,3196000
2014-01-26,6.6,6.8,6.5,6.5,2426500
2014-01-27,6.6,6.7,6.4,6.5,2227000
2014-01-28,6.5,6.6,6.4,6.4,2669500
2014-01-29,6.4,6.6,6.4,6.5,1150000
2014-01-30,6.5,6.6,6.4,6.4,1137000
2014-02-02,6.4,6.5,6.3,6.3,1058000
2014-02-03,6.4,6.5,6.2,6.4,1156000
2014-02-04,6.4,6.7,6.4,6.6,1732000
2014-02-05,6.6,6.7,6.5,6.5,733000
2014-02-06,6.6,6.6,6.5,6.5,606500
2014-02-09,6.5,6.6,6.4,6.5,1271500
2014-02-10,6.4,6.5,6.3,6.3,1209000
2014-02-11,6.3,6.5,6.3,6.3,405000
2014-02-12,6.3,6.4,6.3,6.3,409500
2014-02-13,6.5,6.5,6.2,6.2,722000
2014-02-16,6.3,6.4,6.2,6.3,375000
2014-02-17,6.4,6.4,6.3,6.3,597500
2014-02-18,6.3,6.4,6.3,6.3,342000
2014-02-19,6.3,6.6,6.3,6.5,2004500
2014-02-20,6.5,6.7,6.4,6.5,1122000
2014-02-23,6.4,6.6,6.4,6.4,731500
2014-02-24,6.4,6.5,6.4,6.4,458000
2014-02-25,6.4,6.5,6.4,6.4,575500
2014-02-26,6.4,6.5,6.4,6.4,273000
2014-02-27,6.4,6.5,6.4,6.4,305000
2014-03-02,6.5,6.5,6.3,6.3,559500
2014-03-03,6.4,6.5,6.3,6.4,384000
2014-03-04,6.4,6.5,6.4,6.4,1274000
2014-03-05,6.4,6.5,6.3,6.3,1057500
2014-03-06,6.3,6.4,6.3,6.3,161000
2014-03-09,6.4,6.4,6.3,6.3,106000
2014-03-10,6.3,6.4,6.3,6.3,437000
2014-03-11,6.3,6.3,6.1,6.2,209000
2014-03-12,6.2,6.3,6.2,6.2,303500
2014-03-13,6.2,6.3,6.1,6.2,408000
2014-03-16,6.1,6.3,6.1,6.1,272000
2014-03-18,6.1,6.2,6.1,6.1,144000
2014-03-19,6.0,6.1,5.9,6.0,619000
2014-03-20,5.8,6.1,5.8,6.0,140500
2014-03-23,6.0,6.1,6.0,6.0,135000
2014-03-24,6.0,6.1,5.9,5.9,218000
2014-03-25,5.9,6.0,5.9,5.9,111500
2014-03-27,5.9,6.0,5.8,5.9,297000
2014-03-30,5.8,6.0,5.8,5.8,191000
2014-03-31,5.8,5.9,5.8,5.8,133000
2014-04-01,5.8,6.0,5.8,5.9,144000
2014-04-02,5.8,6.1,5.8,6.0,172500
2014-04-03,6.0,6.1,5.9,5.9,189500
2014-04-06,5.9,6.0,5.9,5.9,304500
2014-04-07,5.9,6.0,5.8,5.8,499000
2014-04-08,5.8,6.1,5.8,5.8,408000
2014-04-09,5.8,6.0,5.8,5.9,134500
2014-04-10,5.9,6.0,5.9,5.9,428500
2014-04-13,5.9,6.0,5.9,5.9,246500
2014-04-15,5.9,6.0,5.9,5.9,475000
2014-04-16,5.9,6.0,5.8,5.8,412500
2014-04-17,5.9,5.9,5.8,5.8,226500
2014-04-20,5.9,6.0,5.9,5.9,141500
2014-04-21,5.9,6.1,5.9,6.0,282500
2014-04-22,6.1,6.3,6.0,6.2,574500
2014-04-23,6.4,6.7,6.2,6.3,1154500
2014-04-24,6.4,6.5,6.3,6.4,816500
2014-04-27,6.4,6.4,6.3,6.3,455000
2014-04-28,6.2,6.5,6.2,6.3,486500
2014-04-29,6.3,6.4,6.2,6.2,468500
2014-04-30,6.3,6.4,6.2,6.2,235000
2014-05-04,6.2,6.3,6.0,6.0,853500
2014-05-05,6.0,6.1,6.0,6.0,135500
2014-05-06,6.1,6.1,6.0,6.0,115000
2014-05-07,6.0,6.2,6.0,6.1,177000
2014-05-08,6.1,6.2,6.1,6.1,495000
2014-05-11,6.1,6.2,6.0,6.1,472000
2014-05-12,6.1,6.2,6.0,6.1,179500
2014-05-14,6.0,6.1,6.0,6.0,148500
2014-05-15,6.0,6.1,5.9,5.9,388000
2014-05-18,5.9,6.0,5.8,5.8,490000
2014-05-19,5.9,6.0,5.9,5.9,730000
2014-05-20,5.9,6.0,5.8,5.9,245000
2014-05-21,6.0,6.0,5.9,5.9,141000
2014-05-22,6.0,6.0,5.8,5.8,506000
2014-05-25,5.8,5.9,5.8,5.8,100000
2014-05-26,5.7,5.9,5.7,5.8,76000
2014-05-27,5.8,5.9,5.8,5.9,419000
2014-05-28,5.8,5.8,5.8,5.8,166500
2014-05-29,5.8,5.9,5.8,5.8,33000
2014-06-01,5.7,5.8,5.7,5.7,276000
2014-06-02,5.7,5.8,5.6,5.6,365000
2014-06-03,5.6,5.7,5.6,5.6,133500
2014-06-04,5.6,5.6,5.5,5.5,359000
2014-06-05,5.6,5.6,5.4,5.5,336500
2014-06-08,5.5,5.6,5.4,5.5,364000
2014-06-09,5.5,5.6,5.5,5.6,289000
2014-06-10,5.6,5.7,5.6,5.6,210000
2014-06-11,5.6,5.7,5.6,5.6,252000
2014-06-12,5.6,5.8,5.6,5.7,568000
2014-06-15,5.7,5.8,5.7,5.7,90000
2014-06-16,5.7,5.7,5.6,5.6,160000
2014-06-17,5.5,5.6,5.4,5.5,169500
2014-06-18,5.5,5.6,5.5,5.5,66000
2014-06-19,5.5,5.6,5.5,5.5,81000
2014-06-22,5.5,5.7,5.5,5.6,345500
2014-06-23,5.5,5.7,5.5,5.5,170000
2014-06-24,5.5,5.6,5.5,5.5,186000
2014-06-25,5.5,5.7,5.5,5.6,314000
2014-06-26,5.6,5.7,5.6,5.6,112000
2014-06-29,5.6,5.8,5.6,5.7,200500
2014-06-30,5.7,5.8,5.7,5.7,164500
2014-07-02,5.7,5.7,5.6,5.6,176500
2014-07-03,5.6,5.7,5.5,5.6,327000
2014-07-06,5.7,5.7,5.5,5.5,68500
2014-07-07,5.5,5.6,5.5,5.5,183500
2014-07-08,5.5,5.6,5.4,5.4,308000
2014-07-09,5.5,5.6,5.5,5.5,64000
2014-07-10,5.5,5.5,5.5,5.5,55500
2014-07-13,5.5,5.6,5.5,5.5,78000
2014-07-14,5.5,5.6,5.5,5.5,38000
2014-07-15,5.5,5.6,5.4,5.4,117000
2014-07-16,5.4,5.5,5.4,5.4,40000
2014-07-17,5.4,5.5,5.4,5.4,215000
2014-07-20,5.5,5.6,5.5,5.5,27500
2014-07-21,5.5,5.6,5.5,5.5,89500
2014-07-22,5.5,5.6,5.5,5.5,76000
2014-07-23,5.5,5.6,5.3,5.4,254000
2014-07-24,5.4,5.5,5.4,5.4,45000
2014-08-03,5.4,5.5,5.3,5.4,377000
2014-08-04,5.3,5.5,5.3,5.3,230500
2014-08-05,5.4,5.5,5.3,5.3,279500
2014-08-06,5.3,5.5,5.3,5.3,142000
2014-08-07,5.4,5.4,5.3,5.3,93500
2014-08-10,5.4,5.5,5.3,5.3,329000
2014-08-11,5.4,5.4,5.2,5.3,444500
2014-08-12,5.3,5.5,5.3,5.4,339000
2014-08-13,5.5,5.5,5.4,5.4,236500
2014-08-14,5.4,5.5,5.3,5.3,212000
2014-08-18,5.8,5.8,5.4,5.5,1755500
2014-08-19,5.5,5.7,5.5,5.5,1059500
2014-08-20,5.5,5.6,5.4,5.4,470000
2014-08-21,5.5,5.5,5.3,5.3,696500
2014-08-24,5.3,5.5,5.3,5.3,448500
2014-08-25,5.3,5.4,5.2,5.3,520000
2014-08-26,5.3,5.4,5.3,5.3,906000
2014-08-27,5.5,5.5,5.3,5.3,285000
2014-08-28,5.4,5.4,5.2,5.2,487500
2014-08-31,5.4,5.4,5.2,5.2,437000
2014-09-02,4.7,4.9,4.6,4.8,814500
2014-09-03,4.7,4.9,4.7,4.8,871500
2014-09-04,4.9,5.0,4.8,4.8,423500
2014-09-07,5.0,5.0,4.8,4.8,365000
2014-09-08,4.9,4.9,4.8,4.8,783000
2014-09-09,4.8,4.9,4.7,4.7,344500
2014-09-10,4.8,4.8,4.7,4.7,62500
2014-09-11,4.7,4.8,4.7,4.7,670000
2014-09-14,4.7,4.8,4.5,4.6,598500
2014-09-15,4.8,4.8,4.5,4.5,594500
2014-09-16,4.6,4.7,4.5,4.5,530000
2014-09-17,4.6,4.7,4.5,4.5,485000
2014-09-18,4.6,4.8,4.6,4.7,430500
2014-09-21,4.7,4.8,4.7,4.7,841000
2014-09-22,4.8,4.9,4.7,4.8,403500
2014-09-23,4.8,5.0,4.8,4.9,783000
2014-09-24,5.0,5.1,5.0,5.0,626000
2014-09-25,5.0,5.1,4.8,4.8,496000
2014-09-28,4.8,4.9,4.7,4.8,544000
2014-09-29,4.8,4.8,4.7,4.7,161500
2014-09-30,4.7,4.9,4.7,4.7,289500
2014-10-01,4.8,4.9,4.8,4.8,155500
2014-10-02,4.8,5.1,4.8,4.9,579500
2014-10-12,5.0,5.3,5.0,5.3,1964000
2014-10-13,5.4,5.7,5.2,5.5,1091000
2014-10-14,5.7,5.7,5.3,5.3,760500
2014-10-15,5.4,5.7,5.4,5.4,1345000
2014-10-16,5.4,5.5,5.3,5.3,664000
2014-10-19,5.2,5.4,5.1,5.1,214500
2014-10-20,5.1,5.3,5.0,5.1,509500
2014-10-21,5.1,5.3,5.1,5.1,322000
2014-10-22,5.1,5.2,5.0,5.0,407500
2014-10-23,5.1,5.1,4.9,4.9,984000
2014-10-26,4.9,5.0,4.8,4.9,582500
2014-10-27,4.9,5.0,4.9,4.9,398500
2014-10-28,4.9,5.0,4.9,5.0,499000
2014-10-29,4.9,5.1,4.9,5.0,300000
2014-10-30,5.0,5.1,4.9,4.9,1094000
2014-11-02,4.9,5.1,4.9,4.9,807500
2014-11-03,5.0,5.0,4.9,4.9,104000
2014-11-05,4.9,5.0,4.9,4.9,266000
2014-11-06,5.0,5.0,4.8,4.8,477000
2014-11-09,4.8,4.9,4.8,4.8,191500
2014-11-10,4.8,4.9,4.8,4.8,98000
2014-11-11,4.8,4.9,4.8,4.8,185500
2014-11-12,4.8,4.9,4.8,4.8,476000
2014-11-13,4.8,4.9,4.8,4.8,61000
2014-11-16,4.8,4.9,4.8,4.8,281500
2014-11-17,4.8,4.8,4.7,4.7,324500
2014-11-18,4.7,4.8,4.7,4.7,230500
