Date,Open,High,Low,Close,Volume
2012-10-01,8.0,8.6,7.5,8.4,3702000
2012-10-02,8.6,9.2,8.5,9.1,10774000
2012-10-03,10.0,10.0,8.6,8.8,7983000
2012-10-04,9.0,9.3,8.2,9.0,4050500
2012-10-07,9.0,9.3,8.1,8.1,3198500
2012-10-08,7.7,8.4,7.3,7.5,3039000
2012-10-09,8.0,8.2,7.8,8.2,1919500
2012-10-10,8.5,8.8,7.8,7.9,1331000
2012-10-11,8.0,8.1,7.6,7.7,1098000
2012-10-14,8.0,8.0,7.6,7.6,1408000
2012-10-15,7.7,8.3,7.4,8.2,2314000
2012-10-16,8.4,8.6,7.9,8.0,1573500
2012-10-17,8.0,8.3,7.9,8.0,898000
2012-10-18,8.1,8.3,8.0,8.0,997000
2012-10-21,8.1,8.1,7.8,7.8,727500
2012-10-22,7.8,8.0,7.7,7.8,583500
2012-10-23,7.8,8.2,7.8,7.9,980500
2012-10-30,8.1,8.1,7.8,7.9,436500
2012-10-31,7.8,8.2,7.8,7.9,1028500
2012-11-01,8.0,8.1,7.8,7.8,472500
2012-11-04,7.6,7.9,7.6,7.6,524500
2012-11-05,7.7,7.9,7.5,7.7,763500
2012-11-06,7.8,8.2,7.8,8.0,2185500
2012-11-07,8.2,8.4,8.0,8.0,1139000
2012-11-08,7.9,8.0,7.8,7.8,850000
2012-11-11,7.9,7.9,7.3,7.5,1553500
2012-11-12,7.6,7.7,7.1,7.2,900500
2012-11-13,7.4,7.5,7.1,7.3,829500
2012-11-14,7.5,7.5,7.2,7.2,971000
2012-11-15,7.3,7.9,7.1,7.7,1421000
2012-11-18,8.0,8.2,7.5,7.6,919000
2012-11-19,7.5,7.7,7.3,7.3,630000
2012-11-20,7.3,7.6,7.3,7.3,690500
2012-11-21,7.3,7.7,7.3,7.3,493000
2012-11-22,7.5,7.5,7.3,7.3,1185500
2012-11-26,7.4,7.4,7.1,7.2,885000
2012-11-27,7.2,7.4,7.1,7.2,536500
2012-11-28,7.3,7.4,7.0,7.0,597500
2012-11-29,7.4,7.7,7.2,7.6,1554000
2012-12-02,7.8,7.9,7.4,7.4,1222000
2012-12-03,7.5,7.5,7.2,7.2,959500
2012-12-04,7.2,7.3,7.1,7.2,546000
2012-12-05,7.4,7.4,7.0,7.1,1039000
2012-12-06,7.1,7.2,7.0,7.0,443500
2012-12-09,6.9,7.0,6.9,6.9,343500
2012-12-10,6.9,6.9,6.8,6.8,347000
2012-12-11,6.8,7.3,6.7,7.1,680500
2012-12-12,7.1,7.3,7.0,7.0,961500
2012-12-13,7.0,7.1,6.9,7.0,689500
2012-12-17,7.1,7.3,7.1,7.2,471000
2012-12-18,7.3,7.3,7.0,7.0,481000
2012-12-19,7.0,7.1,7.0,7.0,347000
2012-12-20,7.2,7.2,7.0,7.0,404000
2012-12-23,7.1,7.1,6.8,6.9,1051500
2012-12-24,6.8,7.3,6.8,7.1,1106500
2012-12-26,7.2,7.3,7.0,7.1,513000
2012-12-27,6.9,7.2,6.9,7.1,647500
2012-12-30,7.1,7.3,7.1,7.2,1044500
2013-01-01,7.2,7.3,7.1,7.1,1049500
2013-01-02,7.1,7.2,7.0,7.1,918000
2013-01-03,7.3,7.8,7.3,7.8,6301500
2013-01-06,8.0,8.2,7.6,7.6,2007000
2013-01-07,7.6,7.6,7.3,7.5,1227500
2013-01-08,7.6,7.7,7.3,7.4,1230500
2013-01-09,8.0,8.0,7.4,7.4,4068500
2013-01-10,7.4,7.4,7.1,7.1,1548500
2013-01-13,7.0,7.1,6.9,6.9,2594500
2013-01-14,7.0,7.1,6.9,7.0,781000
2013-01-15,7.1,7.1,6.9,7.0,1227000
2013-01-16,7.0,7.1,7.0,7.0,479500
2013-01-17,7.1,7.1,7.0,7.0,913000
2013-01-20,7.1,7.1,6.9,6.9,713500
2013-01-21,7.0,7.0,6.9,6.9,531500
2013-01-22,6.9,7.0,6.7,6.7,2791000
2013-01-23,6.8,6.9,6.7,6.7,694500
2013-01-24,6.8,6.8,6.7,6.7,1620500
2013-01-27,6.7,6.8,6.6,6.6,657000
2013-01-28,6.8,6.8,6.6,6.7,937500
2013-01-29,6.7,6.9,6.7,6.8,1408000
