Date,Open,High,Low,Close,Volume
2012-10-01,153.1,153.1,151.0,152.2,6500
2012-10-02,150.2,157.0,150.0,152.6,13500
2012-10-03,157.7,159.0,151.0,154.8,11500
2012-10-04,151.6,156.0,150.0,151.7,7500
2012-10-07,149.1,149.1,145.0,146.8,8500
2012-10-08,145.0,146.9,143.1,144.2,11000
2012-10-09,150.0,151.8,147.0,150.4,8000
2012-10-10,143.5,143.6,143.5,143.5,2500
2012-10-11,147.0,147.0,141.5,144.1,8500
2012-10-14,143.0,149.0,142.5,144.3,4500
2012-10-15,141.5,143.0,141.5,141.7,5000
2012-10-16,143.0,143.0,142.0,142.6,9000
2012-10-17,143.1,146.0,140.5,143.2,5500
2012-10-21,142.0,143.2,141.5,142.6,4000
2012-10-22,142.0,142.0,142.0,142.0,3500
2012-10-23,147.0,147.0,142.2,144.3,4000
2012-10-30,147.0,147.0,142.5,143.2,11500
2012-10-31,143.0,143.0,143.0,143.0,6000
2012-11-01,144.0,144.0,142.9,143.1,3500
2012-11-04,142.1,146.7,140.3,143.1,2500
2012-11-05,141.0,142.0,140.0,140.9,7000
2012-11-06,140.5,143.0,140.2,140.3,10000
2012-11-07,139.8,139.8,138.6,139.2,4000
2012-11-08,138.0,138.0,138.0,138.0,1000
2012-11-11,137.1,141.6,137.1,138.8,9000
2012-11-12,140.1,141.6,139.2,140.0,11500
2012-11-13,137.1,144.0,137.1,142.5,3000
2012-11-14,140.2,145.3,140.2,141.8,11500
2012-11-15,149.9,150.0,143.0,148.8,10000
2012-11-18,150.0,153.0,148.8,149.9,35500
2012-11-19,147.0,149.0,147.0,147.6,9500
2012-11-20,145.0,149.5,145.0,146.3,7500
2012-11-21,145.5,150.6,145.3,146.6,12000
2012-11-22,150.0,156.9,150.0,151.6,7000
2012-11-26,150.0,152.8,150.0,151.8,3500
2012-11-27,150.0,153.0,150.0,150.4,7000
2012-11-28,153.1,153.1,150.0,152.1,11500
2012-11-29,153.8,156.0,152.0,154.5,23000
2012-12-02,155.0,155.0,151.7,152.5,10000
2012-12-03,154.0,154.0,154.0,154.0,1000
2012-12-04,151.9,154.0,147.1,150.2,6500
2012-12-05,150.0,151.0,147.5,149.7,11000
2012-12-06,148.2,148.9,145.0,148.0,14500
2012-12-09,142.5,144.9,142.5,143.2,2500
2012-12-10,144.0,144.0,141.0,143.4,16500
2012-12-11,145.0,145.0,145.0,145.0,1000
2012-12-12,143.5,144.1,143.5,143.9,2000
2012-12-13,144.2,153.0,144.2,145.3,54000
2012-12-17,150.0,154.6,150.0,152.7,8000
2012-12-18,151.4,155.0,151.4,153.8,6000
2012-12-19,156.8,159.0,155.0,158.1,11500
2012-12-20,159.0,160.0,155.2,157.9,14000
2012-12-23,162.5,163.0,158.0,161.3,4000
2012-12-24,161.4,165.5,160.0,163.1,8000
2012-12-26,160.0,160.0,156.0,157.2,12500
2012-12-27,158.1,158.2,155.0,156.6,16000
2012-12-30,160.0,160.0,156.0,158.1,8500
2013-01-01,155.8,156.1,155.8,156.0,1500
2013-01-02,156.0,156.0,156.0,156.0,10000
2013-01-03,156.0,156.9,156.0,156.1,12000
2013-01-06,155.9,159.9,155.9,156.5,8000
2013-01-07,157.0,157.0,155.0,156.8,11000
2013-01-08,158.0,158.8,158.0,158.1,13000
2013-01-09,160.0,160.0,156.0,159.2,12000
2013-01-10,156.5,156.5,156.3,156.4,6000
2013-01-13,159.0,159.0,159.0,159.0,1000
2013-01-14,158.0,158.0,158.0,158.0,500
2013-01-15,159.1,159.9,159.1,159.5,1000
2013-01-16,160.0,160.7,159.0,159.3,4000
2013-01-17,158.1,158.6,156.9,158.2,13500
2013-01-20,159.0,159.0,156.6,157.1,12500
2013-01-21,158.0,159.9,158.0,158.4,10000
2013-01-22,157.0,165.9,157.0,163.4,10500
2013-01-23,170.0,170.0,163.8,169.5,7000
2013-01-24,173.0,173.0,166.0,169.1,5500
