Date,Open,High,Low,Close,Volume
2012-10-01,67.0,69.7,66.2,66.9,100500
2012-10-02,68.3,71.2,68.2,68.7,249500
2012-10-03,71.0,72.0,69.3,70.4,195500
2012-10-04,70.0,75.0,70.0,74.2,1032000
2012-10-07,74.9,75.0,71.1,72.7,523500
2012-10-08,72.7,72.9,69.5,69.9,134500
2012-10-09,70.0,74.4,69.0,73.7,305500
2012-10-10,73.6,74.0,71.0,71.4,272000
2012-10-11,70.2,71.4,69.1,69.5,96500
2012-10-14,70.0,71.8,70.0,71.0,48500
2012-10-15,72.0,73.0,70.2,71.1,116500
2012-10-16,72.0,72.0,68.0,70.4,193000
2012-10-17,72.1,74.7,69.4,70.0,266500
2012-10-18,69.2,71.4,69.2,70.1,48500
2012-10-21,71.0,71.0,68.5,70.3,25500
2012-10-22,69.1,70.5,68.7,69.5,133000
2012-10-23,72.3,72.3,68.0,68.7,126500
2012-10-30,68.2,70.5,68.2,69.0,11500
2012-10-31,70.0,71.0,69.0,69.3,98000
2012-11-01,69.5,71.0,66.5,68.8,202500
2012-11-04,67.4,70.0,67.4,68.7,36000
2012-11-05,68.2,70.9,67.9,70.0,32500
2012-11-06,70.0,70.0,67.5,67.8,94000
2012-11-07,69.4,69.5,67.0,67.1,92000
2012-11-08,68.0,68.5,67.0,67.5,104500
2012-11-11,68.7,68.8,64.5,65.6,127500
2012-11-12,67.9,67.9,64.0,64.9,113000
2012-11-13,69.9,70.9,65.0,66.8,181000
2012-11-14,67.0,68.0,66.9,67.0,95500
2012-11-15,68.9,69.9,67.4,67.9,110000
2012-11-18,67.1,69.7,67.1,68.8,76000
2012-11-19,66.4,69.0,66.4,68.5,74000
2012-11-20,68.5,68.6,65.0,66.1,52500
2012-11-22,59.0,60.0,56.0,56.2,93000
2012-11-26,56.3,56.4,53.1,54.1,58000
2012-11-27,54.2,54.7,53.5,53.9,21000
2012-11-28,54.0,54.1,52.4,52.9,34500
2012-11-29,55.6,58.0,54.4,57.4,131000
2012-12-02,56.3,58.0,55.2,57.8,90500
2012-12-03,56.1,56.1,55.3,55.6,14500
2012-12-04,54.5,55.9,54.4,55.3,16000
2012-12-05,57.9,57.9,54.0,54.8,56500
2012-12-06,56.9,56.9,53.8,54.8,89000
2012-12-09,55.6,55.7,51.1,52.5,151500
2012-12-10,53.0,54.0,52.4,52.7,55500
2012-12-11,51.0,53.5,51.0,53.1,145500
2012-12-12,53.5,54.5,52.0,52.7,114500
2012-12-13,54.0,54.0,52.8,52.9,13500
2012-12-17,54.8,54.8,53.9,54.2,7500
