Date,Open,High,Low,Close,Volume
2012-10-01,75.0,75.0,71.0,72.0,7500
2012-10-02,73.0,73.9,71.1,71.9,19500
2012-10-03,73.9,74.0,71.6,72.0,24100
2012-10-04,72.0,72.0,71.5,71.5,18400
2012-10-07,70.4,70.5,70.1,70.3,4100
2012-10-08,70.1,70.8,69.9,70.3,16500
2012-10-09,75.1,75.1,66.1,69.7,23500
2012-10-10,76.0,76.0,69.5,70.0,9900
2012-10-11,74.0,74.0,67.7,68.7,15000
2012-10-14,68.5,68.5,68.5,68.5,5000
2012-10-15,70.5,70.5,67.5,67.7,2700
2012-10-16,68.0,70.0,67.6,68.1,8000
2012-10-17,68.3,68.3,68.0,68.0,14600
2012-10-18,72.0,72.0,68.0,68.1,8400
2012-10-21,66.1,69.0,66.1,66.5,1000
2012-10-22,70.0,70.0,68.0,69.4,8100
2012-10-23,73.5,73.5,69.4,69.9,3000
2012-10-30,69.0,70.5,68.6,68.8,10100
2012-10-31,69.0,69.0,67.4,68.0,2500
2012-11-01,68.2,68.2,66.5,68.0,10300
2012-11-04,67.5,67.5,67.0,67.0,9400
2012-11-05,69.8,69.8,66.3,67.6,1900
2012-11-06,69.4,69.4,67.0,67.0,3900
2012-11-07,67.0,67.0,67.0,67.0,100
2012-11-08,65.0,65.0,63.0,63.3,1900
2012-11-11,63.9,63.9,62.6,62.7,3200
2012-11-12,62.5,62.8,62.5,62.6,200
2012-11-13,61.0,63.0,60.5,61.3,1500
2012-11-14,61.1,61.5,61.0,61.1,7100
2012-11-19,62.0,62.0,60.5,60.9,1300
2012-11-20,60.1,60.1,60.0,60.0,500
2012-11-21,60.0,60.0,59.0,59.5,1400
2012-11-22,60.0,60.0,57.0,57.6,21500
2012-11-26,55.5,57.0,55.3,56.0,1200
2012-11-27,57.0,57.0,55.4,56.2,1000
2012-11-28,54.5,56.1,54.0,54.4,1800
2012-11-29,56.5,58.0,56.5,57.8,3400
2012-12-02,56.6,56.6,55.0,55.7,2400
2012-12-03,55.1,55.1,53.3,54.2,900
2012-12-04,54.0,55.9,54.0,55.1,1600
2012-12-05,55.0,55.1,54.0,54.4,1300
2012-12-06,54.9,54.9,54.9,54.9,800
2012-12-09,53.0,53.0,52.3,52.6,900
2012-12-10,50.6,51.9,50.5,50.9,4200
2012-12-11,50.2,50.2,50.2,50.2,200
2012-12-13,52.0,52.0,52.0,52.0,500
2012-12-17,55.6,55.8,55.0,55.4,2700
2012-12-18,53.5,53.5,53.5,53.5,100
2012-12-19,54.0,54.5,53.0,53.3,15300
2012-12-23,52.7,52.7,52.7,52.7,300
2012-12-24,52.8,52.8,52.8,52.8,400
2012-12-26,53.1,55.0,53.1,54.2,1600
2012-12-27,53.2,58.5,53.2,57.1,5300
2012-12-30,59.5,62.8,58.5,62.4,25100
2013-01-01,58.1,59.2,58.1,58.8,500
2013-01-02,57.0,60.0,57.0,58.8,2200
