Date,Open,High,Low,Close,Volume
2012-10-01,8.0,9.2,7.9,8.9,481500
2012-10-02,9.4,9.7,9.3,9.7,1349000
2012-10-03,10.6,10.6,9.3,9.6,1637500
2012-10-04,9.6,10.1,9.0,9.9,982000
2012-10-07,9.7,10.3,9.0,9.0,307500
2012-10-08,8.5,8.9,8.1,8.1,619000
2012-10-09,8.4,8.9,8.3,8.7,513500
2012-10-10,8.9,9.0,8.0,8.0,396000
2012-10-11,7.9,8.2,7.2,7.8,410500
2012-10-14,8.4,8.4,7.2,7.4,351500
2012-10-15,7.2,8.1,7.1,8.0,227500
2012-10-16,8.2,8.7,8.0,8.1,295000
2012-10-17,7.9,8.2,7.8,7.9,126000
2012-10-18,7.9,8.4,7.9,8.2,123500
2012-10-21,8.6,8.6,8.0,8.0,53500
2012-10-22,8.0,8.1,7.9,7.9,28000
2012-10-23,8.0,8.2,7.9,8.0,69000
2012-10-30,7.9,8.0,7.8,7.8,9000
2012-10-31,8.1,8.1,7.9,7.9,45000
2012-11-01,8.0,8.0,7.7,7.7,85000
2012-11-04,7.5,8.0,7.5,7.6,74500
2012-11-05,7.4,7.7,7.3,7.6,79000
2012-11-06,7.7,7.8,7.5,7.6,107500
2012-11-07,7.7,8.0,7.1,7.5,208000
2012-11-08,7.5,7.7,7.4,7.4,127500
2012-11-11,7.2,7.3,7.0,7.0,82000
2012-11-12,7.2,7.2,6.8,6.9,113500
2012-11-13,6.9,7.0,6.8,6.8,128000
2012-11-14,7.0,7.0,6.8,6.9,25500
2012-11-15,6.9,7.4,6.8,7.3,175000
2012-11-18,7.6,7.8,7.3,7.4,107500
2012-11-19,7.5,7.5,7.0,7.2,122500
2012-11-20,7.1,7.3,7.0,7.0,124000
2012-11-21,7.1,7.3,7.0,7.0,36500
2012-11-22,7.1,7.2,6.9,7.0,73000
2012-11-26,6.8,7.1,6.7,6.8,50500
2012-11-27,6.8,7.0,6.7,6.8,71500
2012-11-28,6.9,6.9,6.8,6.8,30500
2012-11-29,7.1,7.3,7.0,7.2,114000
2012-12-02,7.3,7.3,7.0,7.1,123500
2012-12-03,7.2,7.2,6.7,6.7,182500
2012-12-04,6.9,7.2,6.8,7.0,259000
2012-12-05,7.0,7.2,6.9,7.0,121000
2012-12-06,6.9,7.0,6.8,6.8,104000
2012-12-09,6.8,6.8,6.7,6.7,42500
2012-12-10,6.7,6.7,6.6,6.6,45500
2012-12-11,6.7,7.2,6.6,7.1,184000
2012-12-12,7.2,7.3,6.9,7.1,208500
2012-12-13,6.9,7.3,6.9,7.1,118500
2012-12-17,7.1,7.1,7.0,7.0,69000
2012-12-18,7.0,7.1,6.9,7.0,63000
2012-12-19,6.9,7.0,6.9,6.9,33500
2012-12-20,6.9,7.0,6.7,6.7,161000
2012-12-23,6.8,6.9,6.6,6.7,23500
2012-12-24,6.5,7.1,6.5,7.0,32000
2012-12-26,6.9,7.1,6.8,6.9,86500
2012-12-27,6.9,7.1,6.8,7.0,51000
2012-12-30,7.1,7.1,6.9,7.0,15500
2013-01-01,6.9,6.9,6.8,6.8,45000
2013-01-02,6.7,6.8,6.7,6.7,20000
2013-01-03,7.2,7.2,7.0,7.1,237000
2013-01-06,7.3,7.3,6.9,7.0,168000
2013-01-07,7.0,7.0,6.9,6.9,16000
2013-01-08,7.0,7.0,6.7,6.7,137000
2013-01-09,7.3,7.3,6.8,6.9,433000
2013-01-10,6.9,6.9,6.8,6.8,39000
2013-01-13,6.8,6.9,6.7,6.7,44500
2013-01-14,6.7,6.8,6.7,6.7,20500
2013-01-15,6.7,6.8,6.7,6.7,39500
2013-01-16,6.7,6.9,6.7,6.7,44500
2013-01-17,6.7,6.9,6.7,6.7,32000
2013-01-20,6.7,6.7,6.6,6.6,13500
2013-01-21,6.6,6.7,6.6,6.6,26500
2013-01-22,6.6,6.6,6.2,6.3,110000
2013-01-23,6.5,6.5,6.4,6.4,51000
2013-01-24,6.4,6.5,6.4,6.4,20500
2013-01-27,6.4,6.4,6.3,6.3,41000
2013-01-28,6.3,6.4,6.3,6.3,19500
2013-01-29,6.3,6.4,6.2,6.2,124500
2013-01-30,6.4,6.4,6.3,6.3,76000
2013-01-31,6.3,6.4,6.2,6.3,26500
2013-02-03,6.2,6.4,6.2,6.2,32000
2013-02-04,6.4,6.5,6.2,6.2,63500
2013-02-05,6.1,6.4,6.1,6.2,121500
2013-02-06,6.3,6.4,6.3,6.3,23000
2013-02-07,6.4,6.4,6.3,6.3,35000
2013-02-10,6.4,6.5,6.3,6.4,143000
2013-02-11,6.4,6.6,6.4,6.4,142500
2013-02-12,6.5,6.5,6.3,6.3,105500
2013-02-13,6.3,6.4,6.3,6.3,20500
2013-02-14,6.2,6.4,6.2,6.3,70500
2013-02-17,6.5,6.8,6.1,6.1,356000
2013-02-18,6.2,6.2,6.1,6.1,36000
2013-02-19,6.2,6.3,6.1,6.1,32500
2013-02-20,6.2,6.2,5.7,5.9,106500
2013-02-24,5.9,5.9,5.6,5.8,73500
2013-02-25,5.6,5.9,5.6,5.7,35000
2013-02-26,5.6,5.9,5.6,5.7,65000
2013-02-27,5.8,5.8,5.4,5.6,120000
2013-02-28,5.6,5.8,5.6,5.7,13000
2013-03-03,5.6,5.6,5.3,5.4,92000
2013-03-04,5.4,5.5,5.4,5.4,20500
2013-03-05,5.4,5.5,5.4,5.4,44500
2013-03-06,5.4,5.5,5.2,5.3,138500
2013-03-07,5.2,5.5,5.2,5.2,127500
2013-03-10,5.3,5.4,5.2,5.2,20000
2013-03-11,5.2,5.3,4.9,5.2,181500
2013-03-12,5.0,5.4,5.0,5.3,205000
2013-03-13,5.2,5.4,5.2,5.3,21000
2013-03-14,5.3,5.4,5.2,5.3,20500
2013-03-18,5.4,5.4,5.2,5.2,10500
2013-03-19,5.3,5.4,5.2,5.3,18500
2013-03-20,5.3,5.4,5.3,5.3,101500
2013-03-24,5.2,5.3,5.2,5.2,19500
2013-03-25,5.1,5.3,5.1,5.2,52500
2013-03-27,5.2,5.2,5.2,5.2,40500
2013-03-28,5.2,5.3,5.2,5.2,82000
2013-03-31,5.2,5.3,5.1,5.2,73500
2013-04-01,5.1,5.1,5.1,5.1,43000
2013-04-02,5.1,5.1,5.1,5.1,12500
2013-04-03,5.1,5.2,5.1,5.1,14500
2013-04-04,5.1,5.2,5.0,5.0,15000
2013-04-07,5.1,5.4,5.1,5.3,42000
2013-04-08,5.5,5.8,5.5,5.6,139000
2013-04-09,5.9,6.1,5.6,5.6,175500
2013-04-10,5.6,5.9,5.6,5.7,50000
2013-04-11,5.6,5.9,5.6,5.8,67000
2013-04-15,6.0,6.0,5.7,5.7,36500
2013-04-16,5.7,5.7,5.3,5.4,44000
2013-04-17,5.5,5.7,5.4,5.6,26000
2013-04-18,5.9,6.0,5.8,5.8,90000
2013-04-21,5.7,5.7,5.6,5.6,113000
2013-04-22,5.5,5.7,5.5,5.5,28000
2013-04-23,5.7,5.7,5.5,5.5,45000
2013-04-24,5.5,5.6,5.5,5.5,41500
2013-04-25,5.5,5.6,5.5,5.5,13000
2013-04-28,5.4,5.4,5.3,5.3,11000
2013-04-29,5.3,5.4,5.3,5.3,16500
2013-04-30,5.3,5.4,5.2,5.2,13500
2013-05-02,5.1,5.4,5.1,5.2,96000
2013-05-05,5.2,5.3,5.1,5.1,109000
2013-05-06,5.1,5.1,5.0,5.0,77000
2013-05-07,5.1,5.3,5.0,5.0,245000
2013-05-08,5.4,5.5,5.3,5.3,200000
2013-05-09,5.4,5.4,5.2,5.2,129000
2013-05-12,5.3,5.7,5.3,5.7,368500
2013-05-13,5.6,6.2,5.6,6.1,852000
2013-05-14,6.4,6.7,6.4,6.7,551000
2013-05-15,6.5,7.3,6.4,7.1,590500
2013-05-16,6.7,7.4,6.7,7.3,1437500
2013-05-19,7.2,7.4,6.9,7.1,559000
2013-05-20,7.3,7.3,7.0,7.1,303000
2013-05-21,7.1,7.3,6.9,6.9,809000
2013-05-22,7.0,7.5,6.9,7.2,807000
2013-05-26,7.4,7.5,7.0,7.1,490500
2013-05-27,7.1,7.4,7.0,7.3,1148500
2013-05-28,7.4,7.7,7.2,7.5,1519000
2013-05-29,7.6,7.6,7.3,7.4,347500
2013-05-30,7.5,7.5,7.3,7.3,905500
2013-06-02,7.5,7.7,7.3,7.4,1512500
2013-06-03,7.7,7.8,7.2,7.4,548000
2013-06-04,7.6,7.6,7.3,7.3,720000
2013-06-05,7.3,7.4,7.1,7.2,970500
2013-06-06,7.4,7.6,7.2,7.4,504500
