Date,Open,High,Low,Close,Volume
2012-10-01,49.9,49.9,44.5,45.1,30500
2012-10-02,49.0,49.5,46.8,46.8,60500
2012-10-03,49.7,49.7,45.6,46.5,30250
2012-10-04,48.3,48.5,45.6,46.1,32750
2012-10-07,47.5,47.5,45.6,45.9,36500
2012-10-08,45.5,46.1,45.3,45.6,16500
2012-10-09,47.0,48.0,45.3,46.3,12500
2012-10-10,46.0,46.0,44.4,45.0,32750
2012-10-11,44.8,44.8,43.5,43.7,13750
2012-10-14,43.2,43.3,43.0,43.1,3250
2012-10-15,43.0,46.3,43.0,45.5,19750
2012-10-16,44.1,45.4,44.1,44.8,5500
2012-10-17,44.0,46.0,44.0,45.7,8000
2012-10-18,44.7,46.0,44.7,44.7,13500
2012-10-21,44.6,44.6,43.2,43.9,18250
2012-10-22,44.5,44.5,44.5,44.5,6750
2012-10-23,42.5,46.0,42.5,44.5,21750
2012-10-30,46.3,46.3,46.3,46.3,250
2012-10-31,46.0,48.0,44.1,46.8,11000
2012-11-01,46.9,46.9,44.9,45.3,14500
2012-11-04,44.1,44.7,44.1,44.2,5750
2012-11-05,44.0,44.0,43.7,43.9,4250
2012-11-06,43.1,43.5,42.0,42.8,9000
2012-11-07,42.5,43.0,40.0,42.0,5500
2012-11-08,40.6,40.6,40.6,40.6,250
2012-11-11,42.0,42.0,40.0,40.6,1500
2012-11-12,38.1,40.5,38.1,40.0,21750
2012-11-13,43.0,43.0,41.1,42.7,2500
2012-11-14,40.1,43.5,40.1,42.1,5500
2012-11-15,42.9,43.0,42.8,42.9,1000
2012-11-18,44.7,44.7,43.0,43.6,2500
2012-11-19,40.9,41.1,40.8,40.8,12500
2012-11-20,39.3,39.5,39.2,39.3,5000
2012-11-21,40.0,40.0,39.5,39.8,7500
2012-11-22,40.8,40.8,39.4,39.6,8500
2012-11-26,39.0,39.0,38.5,38.7,3500
2012-11-27,39.5,39.5,37.5,38.5,1000
2012-11-28,39.0,39.0,36.5,37.3,4000
2012-11-29,40.0,40.0,37.8,38.6,15250
2012-12-02,39.0,39.0,38.5,38.7,10750
2012-12-04,38.0,39.0,37.2,37.7,6750
2012-12-05,37.0,37.6,36.1,36.7,29500
2012-12-06,36.2,36.2,35.6,36.0,16250
2012-12-09,36.2,36.3,36.2,36.2,3000
2012-12-10,35.2,35.2,35.2,35.2,750
2012-12-11,37.0,37.0,37.0,37.0,5000
2012-12-12,36.5,37.5,35.3,37.0,10000
2012-12-13,37.0,37.0,37.0,37.0,1250
2012-12-17,37.0,38.4,36.9,37.5,4250
2012-12-18,37.0,37.1,37.0,37.0,2500
2012-12-19,37.1,37.9,37.0,37.4,5500
2012-12-20,38.2,38.2,37.2,37.7,5500
2012-12-24,38.0,38.0,38.0,38.0,1250
2012-12-26,37.0,38.0,37.0,37.1,1500
