Date,Open,High,Low,Close,Volume
2012-10-01,120.0,123.1,117.0,123.0,7500
2012-10-02,124.9,124.9,118.0,120.5,22650
2012-10-03,125.0,126.0,121.6,121.9,7900
2012-10-04,120.0,122.8,120.0,121.9,5400
2012-10-07,120.0,121.0,117.5,118.9,7600
2012-10-08,116.1,116.2,110.6,115.7,5350
2012-10-09,117.1,117.1,112.0,114.2,2450
2012-10-10,114.1,119.4,110.0,112.2,7550
2012-10-11,116.0,116.0,112.7,113.3,5200
2012-10-14,114.0,116.0,109.6,111.3,2550
2012-10-15,110.0,113.4,109.3,110.5,9250
2012-10-16,107.5,114.5,107.5,111.5,10950
2012-10-17,110.0,111.9,109.1,110.3,5550
2012-10-18,110.0,113.9,110.0,112.8,6350
2012-10-21,110.0,111.8,110.0,110.9,2000
2012-10-22,107.5,112.7,105.2,108.1,2650
2012-10-23,109.0,118.1,108.0,114.5,3900
2012-10-31,110.5,113.5,109.0,110.5,350
2012-11-01,111.1,113.8,111.1,112.3,10350
2012-11-04,109.5,110.3,109.5,110.2,1050
2012-11-05,110.0,110.3,109.1,110.0,5650
2012-11-06,110.0,110.5,109.2,109.7,1050
2012-11-07,108.0,108.0,107.0,107.2,500
2012-11-08,107.2,107.2,107.2,107.2,50
2012-11-11,104.5,104.5,104.5,104.5,50
2012-11-12,102.3,105.0,102.3,103.5,3350
2012-11-13,106.0,109.9,104.0,109.4,10300
2012-11-14,113.9,113.9,107.6,109.6,3000
2012-11-15,110.1,113.0,110.0,112.6,3000
2012-11-18,113.5,113.5,109.0,109.1,10100
2012-11-19,110.4,110.4,104.0,105.9,6250
2012-11-20,104.2,106.6,102.6,105.5,3050
2012-11-21,103.2,103.6,102.2,103.0,1150
2012-11-22,105.5,106.5,103.5,104.5,3550
2012-11-26,100.6,100.6,100.6,100.6,200
2012-11-27,100.3,100.6,98.5,99.6,3900
2012-11-28,95.0,96.0,91.3,94.1,2450
2012-11-29,101.0,103.5,100.0,103.3,5200
2012-12-02,105.0,106.0,98.3,101.0,3150
2012-12-03,99.0,102.0,97.9,99.0,1550
2012-12-04,98.0,101.0,98.0,100.0,2150
2012-12-05,97.1,102.8,97.0,97.7,2750
2012-12-06,98.0,98.9,96.1,96.6,2500
2012-12-09,96.5,96.7,95.1,96.0,250
2012-12-10,94.0,94.5,93.8,94.0,4050
2012-12-11,95.0,95.0,93.1,93.7,2450
2012-12-12,95.0,95.7,95.0,95.3,3050
2012-12-13,95.8,100.0,95.8,97.5,2800
2012-12-17,103.0,103.0,100.1,100.7,2600
2012-12-18,99.1,101.0,98.3,100.4,7850
2012-12-19,100.0,101.0,99.0,100.1,3550
2012-12-20,98.6,100.0,98.6,99.1,350
2012-12-23,100.0,100.0,96.3,97.2,4550
2012-12-24,98.0,103.0,97.0,102.4,6100
2012-12-26,100.9,109.8,98.0,106.0,11600
2012-12-27,113.0,113.0,103.0,110.3,13950
2012-12-30,119.0,119.0,110.5,116.0,24800
2013-01-01,114.9,114.9,107.0,109.3,2600
2013-01-02,108.4,108.4,104.8,105.1,2650
2013-01-03,105.0,105.7,104.8,105.0,1050
2013-01-06,105.0,105.0,104.8,104.8,850
2013-01-07,104.9,106.0,104.9,105.2,150
2013-01-08,103.0,103.3,103.0,103.1,1150
2013-01-09,105.0,106.5,103.2,104.8,3100
2013-01-10,104.8,106.6,104.8,106.4,4950
2013-01-13,104.0,104.0,104.0,104.0,1000
2013-01-14,102.4,106.0,102.4,105.7,8600
2013-01-15,103.2,103.3,103.2,103.2,1300
2013-01-16,104.1,106.9,104.1,105.4,2300
2013-01-17,105.0,105.6,105.0,105.2,5000
2013-01-20,105.0,106.9,105.0,106.5,3300
2013-01-21,106.0,107.0,105.2,106.4,3200
2013-01-22,110.0,112.0,106.0,110.2,58100
2013-01-23,111.3,112.9,110.9,111.4,8150
2013-01-24,113.9,114.4,112.1,113.2,11900
2013-01-27,113.5,116.5,112.1,113.0,19900
2013-01-28,113.0,114.9,113.0,114.3,21150
2013-01-29,116.3,119.0,114.0,114.8,7050
2013-01-30,114.8,115.0,111.0,112.3,5700
2013-01-31,108.1,110.8,108.0,108.8,6750
2013-02-03,107.6,110.0,107.6,109.2,16450
2013-02-04,112.2,112.2,108.5,108.7,4750
2013-02-05,106.4,109.1,106.4,108.3,2050
2013-02-06,106.4,113.0,106.0,109.4,26700
2013-02-07,111.1,112.2,109.1,109.5,18100
2013-02-10,110.2,116.0,109.8,114.8,17100
2013-02-11,114.9,114.9,111.1,112.4,17750
2013-02-12,111.2,114.8,110.7,110.7,10550
2013-02-13,110.1,111.0,110.0,110.1,6400
2013-02-14,110.3,111.0,109.9,109.9,22800
2013-02-17,110.0,110.0,109.3,109.6,8750
2013-02-18,113.8,113.9,108.1,109.0,6900
2013-02-19,109.5,109.5,107.2,107.8,7200
2013-02-20,111.2,111.2,107.6,107.7,5150
2013-02-24,102.1,107.0,102.1,103.8,1300
2013-02-25,101.0,103.1,101.0,102.4,550
2013-02-26,102.1,104.8,102.1,104.1,8000
2013-02-27,103.6,104.0,101.1,101.9,24900
2013-02-28,102.0,110.0,98.0,108.9,53700
2013-03-03,114.4,114.4,99.8,100.3,10550
2013-03-04,104.6,104.7,101.0,102.7,950
2013-03-05,108.6,108.6,100.3,104.2,12500
2013-03-06,101.1,104.3,98.7,103.0,3450
2013-03-07,98.1,100.0,98.1,98.6,4550
2013-03-10,96.0,98.0,94.4,94.7,6300
2013-03-11,93.2,95.0,91.1,92.2,2700
2013-03-12,96.9,101.3,93.1,99.2,4600
2013-03-13,96.5,99.3,96.5,97.5,650
2013-03-14,96.1,101.5,96.1,97.6,2800
2013-03-18,99.0,99.9,96.7,99.4,2950
2013-03-19,99.9,100.0,99.0,99.5,2400
2013-03-20,96.8,98.7,96.5,96.9,1300
2013-03-24,103.0,104.0,98.0,98.7,7250
2013-03-25,99.0,102.5,96.8,101.0,3900
2013-03-27,101.0,109.0,97.4,105.7,10800
2013-03-28,97.5,114.0,97.5,109.9,22150
2013-03-31,110.0,118.0,104.5,115.3,21200
2013-04-01,111.0,111.0,104.4,106.1,1150
2013-04-02,106.5,107.0,106.5,106.8,550
2013-04-03,105.1,105.1,103.2,103.4,4000
2013-04-04,103.5,103.5,103.0,103.3,250
2013-04-07,103.1,103.1,103.1,103.1,50
2013-04-08,102.0,102.0,99.4,101.1,4650
2013-04-09,103.0,103.2,102.7,103.0,1700
2013-04-10,106.0,106.0,104.0,104.6,2900
2013-04-11,103.9,104.5,101.3,104.0,10600
2013-04-15,103.0,104.0,101.8,101.9,18150
2013-04-16,102.0,103.0,102.0,102.7,1050
2013-04-17,100.3,103.8,100.3,101.5,1500
2013-04-18,100.3,100.3,100.3,100.3,50
2013-04-21,101.1,101.2,100.1,100.4,1550
2013-04-22,100.0,100.0,99.1,99.7,3200
2013-04-23,97.3,101.9,97.3,98.2,2100
2013-04-24,101.0,101.5,98.0,98.9,2050
2013-04-25,97.0,97.3,97.0,97.2,200
2013-04-28,94.2,98.9,94.1,94.9,3400
2013-04-29,95.6,101.0,95.1,97.4,1950
2013-04-30,100.0,101.0,97.5,98.5,3300
2013-05-02,99.0,99.9,97.1,98.3,8300
2013-05-05,98.6,98.6,98.0,98.1,1000
2013-05-06,96.0,98.0,96.0,96.9,2450
2013-05-07,98.9,100.4,98.1,99.7,1950
2013-05-08,101.7,102.0,97.3,97.8,6950
2013-05-09,98.2,98.9,98.0,98.3,1750
2013-05-12,98.6,103.0,98.6,101.4,9800
2013-05-13,102.1,102.5,100.9,101.6,4900
2013-05-14,104.0,106.7,103.0,106.2,26550
2013-05-15,106.3,107.8,104.3,104.5,22750
2013-05-16,106.5,106.9,106.0,106.1,7250
2013-05-19,105.0,110.0,105.0,109.7,72200
2013-05-20,112.8,112.8,106.4,107.0,80000
2013-05-21,109.0,109.0,103.7,104.7,14300
2013-05-22,104.8,107.0,102.0,102.3,10750
2013-05-26,102.1,102.1,98.6,99.1,21450
2013-05-27,104.0,104.0,100.6,102.5,12650
2013-05-28,106.4,106.4,100.5,100.6,20550
2013-05-29,103.5,108.0,103.3,106.9,35700
2013-05-30,110.0,110.0,103.1,103.8,12200
2013-06-02,104.0,106.3,103.0,103.8,10500
2013-06-03,104.0,104.0,100.4,101.7,27200
2013-06-04,101.0,102.9,100.0,102.0,13450
2013-06-05,103.9,103.9,101.5,102.2,10950
2013-06-06,102.1,103.0,100.6,100.8,29750
2013-06-09,100.0,100.0,97.5,97.6,15750
2013-06-10,101.5,102.0,100.1,101.1,8350
2013-06-11,101.6,101.6,99.0,99.6,16150
2013-06-12,101.0,101.0,98.3,98.9,16150
2013-06-13,99.3,102.7,99.2,99.9,13050
2013-06-16,101.0,105.5,101.0,104.8,20100
2013-06-17,104.6,105.5,100.0,100.8,33050
2013-06-18,102.0,102.7,100.1,101.1,13850
2013-06-19,102.5,104.9,101.0,101.6,31100
2013-06-20,103.0,105.0,102.0,103.1,29550
2013-06-23,103.2,107.7,102.7,104.0,53700
2013-06-24,105.9,105.9,101.5,101.6,5850
2013-06-26,102.3,103.7,100.0,101.3,18850
2013-06-27,100.8,106.8,99.0,103.7,47150
2013-06-30,104.0,109.0,103.9,105.3,92050
2013-07-02,103.0,114.0,103.0,112.9,61300
2013-07-03,115.5,115.5,110.0,111.8,55250
2013-07-04,115.7,115.7,111.0,112.6,66400
2013-07-07,117.5,117.5,110.3,111.6,78900
2013-07-08,114.8,121.8,111.3,118.2,154800
2013-07-09,119.0,121.0,115.0,116.7,75350
2013-07-10,115.0,118.5,115.0,115.5,87950
2013-07-14,97.0,97.5,93.7,96.0,33200
2013-07-15,95.0,102.9,93.6,98.1,56600
2013-07-16,103.5,105.0,101.0,103.4,44450
2013-07-17,102.0,108.0,98.4,105.6,51850
2013-07-18,100.0,106.9,100.0,104.6,40650
2013-07-21,104.0,104.0,100.5,101.6,12100
2013-07-22,96.1,103.0,96.1,101.5,13450
2013-07-23,100.8,100.8,98.1,98.9,11300
2013-07-24,91.0,101.8,91.0,100.4,6500
2013-07-25,96.2,100.0,92.0,96.6,22150
2013-07-28,98.0,98.0,91.4,91.7,10900
2013-07-29,96.9,98.0,93.1,96.1,12850
2013-07-30,96.4,97.0,93.5,93.7,16150
2013-07-31,92.5,94.0,90.0,92.9,12900
2013-08-01,90.4,90.7,90.4,90.5,1800
2013-08-04,90.5,94.9,90.5,91.4,1200
2013-08-05,90.5,94.4,90.5,94.0,7350
2013-08-12,90.8,91.3,90.8,91.1,500
2013-08-13,91.5,93.9,91.5,91.8,1850
2013-08-14,91.7,92.5,91.7,92.3,1600
2013-08-18,92.0,93.1,91.1,91.6,4600
2013-08-19,91.6,94.5,90.4,94.0,5900
2013-08-20,94.0,98.0,92.8,93.6,8600
2013-08-21,95.9,96.0,91.0,92.9,8150
2013-08-22,93.2,94.0,92.1,92.4,25450
2013-08-25,93.0,100.4,93.0,99.6,23800
2013-08-26,103.0,109.5,102.0,109.3,120350
2013-08-27,106.2,110.8,105.0,106.2,26150
2013-08-29,105.9,105.9,98.0,99.7,24200
2013-09-01,98.1,104.0,98.1,99.9,34400
