Date,Open,High,Low,Close,Volume
2012-10-01,27.5,31.2,27.5,31.0,238000
2012-10-02,32.0,32.2,29.0,30.3,284500
2012-10-03,29.1,30.3,29.1,29.2,119000
2012-10-04,30.4,30.4,28.2,28.4,144500
2012-10-07,28.3,28.6,26.5,26.8,97000
2012-10-08,27.8,27.9,25.5,26.4,98500
2012-10-09,28.2,29.0,27.5,28.9,165500
2012-10-10,29.0,29.4,27.6,27.7,116000
2012-10-11,27.4,28.0,27.0,27.1,99500
2012-10-14,27.7,28.5,26.9,27.1,111000
2012-10-15,28.1,28.1,26.3,26.4,93500
2012-10-16,27.0,27.3,26.4,26.5,73000
2012-10-17,26.5,26.9,26.5,26.6,70500
2012-10-18,26.5,26.9,26.2,26.5,65500
2012-10-21,27.4,27.5,26.2,26.2,40000
2012-10-22,26.1,26.8,26.0,26.4,31500
2012-10-23,27.7,27.7,26.7,27.0,67500
2012-10-30,27.0,27.2,26.4,26.8,20500
2012-10-31,26.1,27.2,26.0,26.3,148500
2012-11-01,27.0,28.9,27.0,28.0,221000
2012-11-04,28.3,28.3,27.4,27.6,85000
2012-11-05,28.0,28.0,26.5,27.4,108000
2012-11-06,27.0,27.7,27.0,27.4,85000
2012-11-07,27.0,27.1,26.6,26.6,59000
2012-11-08,26.5,26.9,26.0,26.4,146000
2012-11-12,24.2,24.3,23.8,23.8,93000
2012-11-13,22.1,23.6,21.6,23.1,107000
2012-11-14,22.3,23.8,22.1,22.4,123000
2012-11-15,22.4,23.2,22.3,22.8,123500
2012-11-18,23.5,24.4,22.9,23.8,126500
2012-11-19,22.9,23.4,22.5,22.6,73000
2012-11-20,22.5,23.2,22.1,22.2,93500
2012-11-21,22.9,23.0,22.2,22.6,45000
2012-11-22,23.0,24.0,23.0,23.5,151000
2012-11-26,22.6,23.3,22.4,22.6,41000
2012-11-27,22.3,23.0,22.0,22.2,90000
2012-11-28,23.0,23.0,22.2,22.5,82500
2012-11-29,23.5,24.0,23.0,23.7,105000
2012-12-02,23.5,23.8,22.7,22.9,82000
2012-12-03,22.7,22.7,22.2,22.3,31000
2012-12-04,24.0,24.0,22.1,22.6,28000
2012-12-05,22.4,23.0,22.4,22.7,25000
2012-12-06,22.5,23.0,22.1,22.3,42500
2012-12-09,22.0,22.3,22.0,22.0,24500
2012-12-10,21.4,22.1,21.0,21.3,40000
2012-12-11,21.2,21.7,21.0,21.4,40000
2012-12-12,21.7,21.7,21.0,21.3,35000
2012-12-13,21.0,21.2,20.8,20.9,12500
2012-12-17,21.2,21.3,20.7,21.0,63500
2012-12-18,21.2,21.3,20.8,20.9,31000
2012-12-19,21.3,21.8,21.0,21.6,56500
2012-12-20,21.8,22.0,21.2,21.3,40500
2012-12-23,21.7,21.7,20.9,21.0,25000
2012-12-24,21.0,21.0,20.7,20.7,29000
2012-12-26,20.6,21.2,20.6,20.7,29500
2012-12-27,21.1,21.1,20.7,20.9,20500
2012-12-30,21.0,21.2,20.9,20.9,19500
2013-01-01,20.9,21.2,20.8,20.9,21500
2013-01-02,20.6,20.6,20.3,20.4,29000
2013-01-03,20.2,20.7,20.0,20.2,39000
2013-01-06,20.3,20.4,20.3,20.3,17500
2013-01-07,20.3,20.3,20.0,20.1,13500
2013-01-08,20.1,20.3,19.9,20.0,36500
2013-01-09,20.2,20.6,20.0,20.1,86500
2013-01-10,20.2,20.5,20.2,20.3,77000
2013-01-13,20.5,20.5,20.0,20.1,13000
2013-01-14,20.3,20.3,20.0,20.1,21500
2013-01-15,19.9,20.2,19.9,20.0,10000
2013-01-16,20.1,20.3,20.0,20.1,31500
2013-01-17,20.2,20.3,20.1,20.1,13500
2013-01-20,20.1,20.2,20.0,20.0,19000
2013-01-21,20.0,20.0,19.7,19.8,19500
2013-01-22,19.9,20.0,19.8,19.8,18500
2013-01-23,20.3,20.5,20.2,20.4,58000
2013-01-24,20.5,21.0,20.5,20.9,68500
2013-01-27,20.6,20.8,20.4,20.6,16500
2013-01-28,20.3,20.9,20.2,20.6,78000
2013-01-29,20.4,21.9,20.4,21.5,58500
2013-01-30,21.2,21.5,20.8,21.0,40500
2013-01-31,22.9,23.1,21.8,23.0,388000
2013-02-03,23.0,23.7,22.8,23.4,126500
2013-02-04,23.7,23.9,22.8,23.1,113500
2013-02-05,22.9,23.6,22.7,23.3,153000
2013-02-06,23.8,23.8,22.5,22.7,48000
2013-02-07,22.6,23.0,22.5,22.6,41000
2013-02-10,22.9,23.0,22.5,22.8,98000
2013-02-11,23.3,23.3,22.7,22.8,180500
2013-02-12,22.9,23.3,22.5,22.6,129000
2013-02-13,22.8,23.0,22.5,22.9,72500
2013-02-14,23.1,24.7,22.7,24.3,357000
2013-02-17,24.2,24.3,23.6,23.6,102500
2013-02-18,23.6,24.4,23.6,23.8,162000
2013-02-19,24.1,24.5,23.7,23.7,215500
2013-02-20,23.7,23.7,22.5,22.8,96500
2013-02-24,22.5,22.5,22.0,22.0,43500
2013-02-25,22.0,22.3,21.6,21.7,40000
2013-02-26,21.9,22.5,21.5,22.3,44500
2013-02-27,22.4,22.4,21.3,21.4,56000
2013-02-28,21.3,21.7,21.3,21.4,30000
2013-03-03,20.4,20.4,19.3,19.4,38500
2013-03-04,20.0,21.2,20.0,20.8,59000
2013-03-05,20.4,20.7,20.1,20.2,18000
2013-03-06,20.4,20.4,19.8,19.9,31000
2013-03-07,19.3,20.1,19.3,19.6,14000
2013-03-10,19.7,19.7,19.6,19.6,38000
2013-03-11,19.3,19.8,19.2,19.4,11500
2013-03-12,19.8,20.0,19.7,19.8,15500
2013-03-13,20.0,20.5,20.0,20.2,16500
2013-03-14,19.9,20.0,19.7,19.9,11500
2013-03-18,19.8,19.8,19.6,19.6,5500
2013-03-19,20.2,20.3,19.9,20.0,8500
2013-03-20,20.0,20.0,19.5,19.6,11000
2013-03-24,19.7,19.7,19.0,19.0,57500
2013-03-25,19.0,19.0,18.4,18.5,23000
2013-03-27,18.0,18.0,17.4,17.8,21000
2013-03-28,18.1,19.0,18.1,18.7,17500
2013-03-31,18.3,19.0,18.2,18.5,15500
2013-04-01,17.5,17.5,17.2,17.3,16500
2013-04-02,17.1,17.6,17.0,17.2,14000
2013-04-03,17.6,17.7,17.2,17.4,39000
2013-04-04,17.6,17.7,17.4,17.5,9000
2013-04-07,17.5,17.6,17.2,17.4,13500
2013-04-08,16.8,18.3,16.8,18.1,60000
2013-04-09,18.4,19.3,18.4,19.1,42000
2013-04-10,19.9,19.9,18.4,19.0,56000
2013-04-11,18.5,19.1,18.3,18.5,42500
2013-04-15,19.0,19.9,19.0,19.8,110500
2013-04-16,19.4,19.4,18.7,18.7,51500
2013-04-17,18.5,18.9,18.3,18.6,35500
2013-04-18,18.7,19.5,18.6,19.0,80500
2013-04-21,19.0,19.0,18.3,18.5,77500
2013-04-22,18.4,18.9,18.4,18.6,19500
2013-04-23,18.5,18.7,18.3,18.5,20500
2013-04-24,18.8,20.1,18.8,19.8,277000
2013-04-25,20.0,21.1,19.9,20.5,246000
2013-04-28,19.5,20.4,19.5,20.2,115500
2013-04-29,20.0,20.5,19.6,20.3,136000
2013-04-30,19.7,20.4,19.7,20.3,115000
2013-05-02,21.0,21.6,20.4,21.3,192000
2013-05-05,21.0,21.7,21.0,21.4,152500
2013-05-06,21.0,22.0,20.9,21.7,97500
2013-05-07,22.0,22.6,22.0,22.1,122000
2013-05-08,22.5,22.5,21.2,21.3,73500
2013-05-09,21.8,21.8,21.0,21.4,60500
2013-05-12,22.4,22.4,21.6,21.9,195000
2013-05-13,21.9,22.3,21.7,22.1,102000
2013-05-14,22.2,22.9,22.2,22.8,157000
2013-05-15,22.7,23.1,22.2,22.2,160500
2013-05-16,22.9,23.8,22.5,23.4,200000
2013-05-19,23.9,24.0,23.3,23.5,212000
2013-05-20,23.5,23.7,22.5,22.6,142000
2013-05-21,22.8,22.8,22.2,22.2,49500
2013-05-22,22.2,22.4,21.6,21.7,81000
2013-05-26,21.6,21.7,20.7,20.8,36500
2013-05-27,21.3,22.0,21.3,21.7,22000
2013-05-28,21.7,21.7,21.3,21.5,40000
2013-05-29,22.1,22.4,21.6,21.9,63000
2013-05-30,22.2,22.6,22.0,22.3,118000
2013-06-02,22.7,22.9,22.7,22.8,204500
2013-06-03,23.1,23.2,22.5,23.0,147500
2013-06-04,23.0,23.5,22.6,22.7,173500
2013-06-05,22.9,23.3,22.5,22.7,181000
2013-06-06,22.6,23.0,22.4,22.5,85500
2013-06-09,22.1,22.7,21.1,21.5,148500
2013-06-10,21.4,22.5,21.3,22.3,82000
2013-06-11,22.5,22.6,22.0,22.1,131500
2013-06-12,22.0,24.0,22.0,23.0,250000
2013-06-13,23.1,23.4,22.6,22.7,107000
2013-06-16,23.1,23.3,22.7,23.1,70000
2013-06-17,23.4,23.6,22.6,22.6,162000
2013-06-18,22.5,22.8,22.1,22.3,123000
2013-06-19,22.9,22.9,22.0,22.1,188500
2013-06-20,22.1,22.6,21.8,21.9,132500
2013-06-23,22.6,22.6,21.1,21.1,55500
2013-06-24,21.0,21.2,20.4,20.5,76500
2013-06-26,20.5,21.5,20.5,20.8,74000
2013-06-27,21.0,21.0,20.1,20.1,99500
2013-06-30,20.5,20.5,19.4,20.0,41000
2013-07-02,20.2,21.7,20.2,21.3,74500
2013-07-03,21.2,21.2,20.4,20.8,132500
2013-07-04,21.0,22.7,20.7,22.1,211500
2013-07-07,23.5,23.5,22.5,22.7,205000
2013-07-08,22.8,22.8,22.0,22.2,116500
2013-07-09,22.7,23.7,22.6,23.4,575000
2013-07-10,24.1,24.5,23.2,23.6,404500
2013-07-11,23.1,23.6,22.6,22.7,111500
2013-07-14,22.8,22.8,22.2,22.4,47500
2013-07-15,22.4,23.4,21.1,22.9,98000
2013-07-16,23.0,24.0,22.3,22.7,114500
2013-07-17,23.0,23.3,22.2,22.5,166500
2013-07-18,22.0,23.5,22.0,22.6,151500
2013-07-21,23.5,23.6,22.3,22.4,65000
2013-07-22,22.3,22.5,22.0,22.1,34500
2013-07-23,22.2,22.2,21.1,21.4,53000
2013-07-24,21.0,22.7,21.0,21.8,95000
2013-07-25,20.6,21.7,20.6,20.9,62000
2013-07-28,20.8,21.3,20.7,21.2,37000
2013-07-29,21.9,21.9,21.5,21.5,76500
2013-07-30,21.5,21.6,20.9,21.0,58500
2013-07-31,21.0,22.1,21.0,21.8,93500
2013-08-01,21.6,22.0,21.6,21.9,113000
2013-08-04,22.1,22.1,21.7,21.9,77000
2013-08-05,22.0,22.5,22.0,22.2,53500
2013-08-12,22.8,23.6,22.7,23.4,108000
2013-08-13,23.8,25.2,23.6,24.6,491500
2013-08-14,24.4,25.8,24.4,25.6,662500
2013-08-18,25.7,26.2,25.5,25.8,316500
2013-08-19,25.2,25.8,25.1,25.6,466000
2013-08-20,25.9,25.9,24.9,25.2,468500
2013-08-21,25.4,26.1,25.3,25.4,380000
2013-08-22,25.8,27.0,25.8,26.5,1172500
2013-08-25,28.3,28.4,25.5,25.8,374000
2013-08-26,26.2,26.5,24.9,25.5,193000
2013-08-27,26.1,27.7,26.0,26.6,884000
2013-08-29,26.8,26.8,25.6,26.2,418000
2013-09-01,26.1,26.6,25.6,25.7,263500
2013-09-02,25.5,25.9,24.9,25.0,232000
2013-09-03,25.4,25.4,24.6,24.8,238500
2013-09-04,25.2,25.2,24.6,24.7,189000
2013-09-05,25.0,25.3,24.4,24.5,227500
2013-09-08,24.8,24.9,23.6,23.8,132000
2013-09-09,24.2,25.5,24.2,24.4,272500
2013-09-10,25.4,26.7,25.4,26.4,786500
2013-09-11,27.0,27.0,25.3,25.5,315500
2013-09-12,25.5,25.8,25.0,25.4,136500
2013-09-15,26.0,26.8,25.6,25.7,374500
2013-09-16,26.3,26.6,25.3,25.5,243000
2013-09-17,25.3,27.8,25.3,27.4,876500
2013-09-18,28.2,29.5,26.2,26.8,759500
2013-09-19,26.5,27.5,26.0,27.1,249500
2013-09-22,27.8,29.8,27.8,29.8,1918500
2013-09-23,31.5,32.7,31.0,32.7,1443500
2013-09-24,33.9,34.2,30.8,31.0,755500
2013-09-25,30.0,31.5,28.3,29.4,547500
2013-09-26,29.4,31.9,28.6,31.5,430500
2013-09-29,32.1,32.9,28.6,28.9,751000
2013-09-30,29.5,29.8,27.6,28.0,193500
2013-10-01,28.2,29.0,27.1,27.3,181500
2013-10-02,27.5,29.5,27.5,28.5,297500
2013-10-03,28.8,29.5,28.1,28.4,237000
2013-10-06,28.4,28.4,27.0,27.1,190000
2013-10-07,28.8,28.8,26.7,27.0,130000
2013-10-08,28.4,28.4,26.7,26.8,247500
2013-10-09,26.6,27.3,26.3,26.6,173000
2013-10-10,27.8,27.8,25.3,25.5,226500
2013-10-20,24.2,24.3,23.3,23.9,102500
2013-10-21,23.3,25.0,22.2,24.5,153500
2013-10-22,25.0,26.8,25.0,26.3,183000
2013-10-23,26.5,27.2,25.6,25.9,92500
2013-10-24,25.0,26.4,24.8,24.9,160000
2013-10-27,25.4,26.7,24.8,26.3,109000
2013-10-28,26.9,27.0,25.2,25.3,249000
2013-10-29,25.0,25.2,24.0,24.1,226500
2013-10-30,24.6,26.5,24.3,26.4,278000
2013-10-31,26.1,26.7,24.8,26.1,143500
2013-11-03,25.7,26.1,25.6,25.7,142000
2013-11-04,26.2,26.2,25.2,25.6,443500
2013-11-05,26.0,26.0,24.6,24.8,269000
2013-11-06,25.4,25.4,24.1,24.5,401000
2013-11-07,24.8,24.9,24.4,24.6,168500
2013-11-10,24.9,25.0,24.1,24.1,323000
2013-11-11,24.4,24.5,23.8,24.1,319500
2013-11-13,24.0,24.8,23.5,24.5,431500
2013-11-14,24.8,24.8,24.1,24.1,220000
2013-11-17,24.4,24.7,24.1,24.5,170500
2013-11-18,24.7,25.5,24.7,25.1,418500
2013-11-19,25.1,25.7,25.1,25.2,475500
2013-11-20,25.3,25.9,25.3,25.7,390500
2013-11-21,26.0,26.7,25.4,26.5,526500
2013-11-24,25.9,26.9,25.2,25.4,219000
2013-11-25,25.5,26.0,25.1,25.2,241500
2013-11-26,25.7,26.7,25.0,25.6,600500
2013-11-27,26.1,26.5,25.5,25.6,175500
2013-11-28,26.1,26.2,25.0,25.0,139000
2013-12-01,24.4,25.0,24.2,24.3,70000
2013-12-02,24.6,25.2,24.3,24.8,117500
2013-12-03,25.2,25.5,24.8,25.0,131500
2013-12-04,25.4,25.7,24.9,24.9,122500
2013-12-05,24.7,25.3,24.7,25.1,166500
2013-12-08,25.3,27.3,25.3,26.9,666000
2013-12-09,27.4,27.5,26.0,26.3,440000
