Date,Open,High,Low,Close,Volume
2012-10-01,54.9,57.4,52.6,56.7,432000
2012-10-02,58.9,58.9,54.2,54.8,414000
2012-10-03,55.3,56.0,53.1,53.2,247500
2012-10-04,55.8,55.9,52.3,52.7,220000
2012-10-07,52.5,52.9,49.0,49.3,241000
2012-10-08,50.5,52.0,47.1,48.3,209500
2012-10-09,51.4,53.1,50.1,53.0,348000
2012-10-10,55.9,56.2,52.6,53.7,285500
2012-10-11,54.0,54.5,51.4,51.6,261000
2012-10-14,51.0,53.2,48.6,49.8,267500
2012-10-15,50.7,50.7,48.2,48.6,123500
2012-10-16,49.8,51.9,48.1,48.4,144000
2012-10-17,49.8,49.8,46.9,47.1,144000
2012-10-18,49.0,50.5,47.5,48.0,259000
2012-10-21,49.8,49.8,47.0,47.2,102000
2012-10-22,47.1,47.6,46.4,46.9,79000
2012-10-23,46.5,47.5,46.5,46.9,130500
2012-10-30,46.5,47.4,46.2,47.0,28000
2012-10-31,47.2,47.2,45.5,45.6,138500
2012-11-01,46.5,47.0,45.4,45.7,128500
2012-11-04,46.1,46.2,44.8,45.0,69000
2012-11-05,45.5,46.0,44.3,44.7,82000
2012-11-06,44.5,46.0,44.5,44.9,118000
2012-11-07,45.0,45.3,44.3,44.4,84500
2012-11-08,42.9,45.8,42.9,44.0,121500
2012-11-11,44.6,44.6,41.6,41.9,84000
2012-11-12,41.9,42.3,39.3,39.6,159500
2012-11-14,38.0,38.3,36.9,37.0,150000
2012-11-15,36.9,38.0,36.8,37.3,103000
2012-11-18,37.1,38.2,36.5,36.9,136000
2012-11-19,35.8,36.5,34.8,35.0,106500
2012-11-20,34.6,35.9,34.2,34.3,71000
2012-11-21,35.3,36.3,34.0,34.6,102500
2012-11-22,35.8,36.5,35.5,36.0,165000
2012-11-26,35.5,36.0,35.0,35.2,105000
2012-11-27,34.5,35.6,34.5,34.6,84000
2012-11-28,35.3,35.3,34.2,34.6,48500
2012-11-29,37.2,37.2,35.4,36.9,129500
2012-12-02,37.5,37.5,35.3,35.7,99500
2012-12-03,35.1,35.3,34.3,34.6,63000
2012-12-04,34.9,35.2,34.5,34.9,42000
2012-12-05,35.0,35.6,34.8,35.4,99000
2012-12-06,35.8,35.8,34.8,35.0,120500
2012-12-09,34.5,34.5,34.1,34.4,35500
2012-12-10,35.3,35.3,33.8,33.8,51500
2012-12-11,34.5,34.5,33.7,34.0,25000
2012-12-12,34.5,34.8,33.9,33.9,66500
2012-12-13,34.0,34.6,33.7,34.1,40500
2012-12-17,34.8,36.0,34.8,35.7,119500
2012-12-18,35.8,36.2,35.3,35.4,88500
2012-12-19,35.9,37.4,35.9,36.9,119000
2012-12-20,37.4,38.5,37.4,37.8,206000
2012-12-23,37.0,37.8,36.5,36.9,88500
2012-12-24,36.6,36.8,36.1,36.2,40500
2012-12-26,36.0,37.2,36.0,36.6,59500
2012-12-27,37.3,40.1,36.9,39.2,294500
2012-12-30,41.5,41.5,38.6,40.7,417500
2013-01-01,40.7,40.7,38.3,38.5,87500
2013-01-02,38.5,38.6,37.5,37.8,32000
2013-01-03,38.0,38.5,37.5,37.8,48500
2013-01-06,38.0,38.3,37.7,37.8,50500
2013-01-07,37.4,37.6,36.9,37.0,45500
2013-01-08,37.5,37.5,36.8,36.9,39000
2013-01-09,36.6,37.0,36.2,36.5,37000
2013-01-10,36.5,36.9,36.5,36.8,26500
2013-01-13,36.7,37.2,36.7,36.9,11000
2013-01-14,36.6,36.6,36.5,36.5,8500
2013-01-15,36.1,37.2,36.1,36.5,29000
2013-01-16,36.5,37.1,36.5,36.7,20000
2013-01-17,37.0,37.1,36.6,36.8,32500
2013-01-20,36.4,37.0,36.4,36.9,30500
