Date,Open,High,Low,Close,Volume
2012-10-01,156.0,157.0,152.0,153.0,2850
2012-10-02,154.0,154.0,150.0,151.2,950
2012-10-03,142.3,145.0,142.0,143.0,1150
2012-10-04,146.0,146.0,145.1,145.4,300
2012-10-07,145.2,146.2,145.0,145.8,950
2012-10-09,142.0,142.0,142.0,142.0,50
2012-10-10,136.0,136.0,131.0,132.0,1550
2012-10-11,131.0,131.0,130.0,130.5,300
2012-10-14,135.0,140.0,135.0,137.5,100
2012-10-15,131.0,131.0,130.0,130.3,300
2012-10-16,135.0,146.4,135.0,136.8,5150
2012-10-17,140.9,141.0,137.5,140.2,650
2012-10-18,142.8,142.8,132.0,135.4,1050
2012-10-21,138.0,138.0,135.0,137.0,1000
2012-10-22,136.0,139.0,136.0,137.8,1150
2012-10-23,136.0,139.7,136.0,137.6,1000
2012-10-30,145.0,145.0,133.0,136.1,850
2012-10-31,132.2,134.0,132.2,132.8,1250
2012-11-01,137.0,145.9,137.0,140.0,1650
2012-11-04,140.2,143.9,133.2,138.3,2050
2012-11-05,141.8,144.7,140.0,142.0,1300
2012-11-06,140.6,142.5,139.2,140.7,1450
2012-11-07,139.5,149.0,139.5,144.2,5200
2012-11-11,135.2,144.1,135.2,143.2,3600
2012-11-12,131.0,133.5,131.0,133.1,700
2012-11-13,125.5,128.0,125.5,127.1,150
2012-11-15,130.0,130.1,128.6,129.1,850
2012-11-19,119.9,119.9,119.3,119.5,300
2012-11-20,125.0,125.0,125.0,125.0,50
2012-11-21,121.0,129.0,121.0,125.6,300
2012-11-22,128.0,128.0,128.0,128.0,100
2012-11-26,122.0,122.0,122.0,122.0,100
2012-11-28,122.0,122.0,122.0,122.0,50
2012-11-29,126.0,130.0,126.0,128.8,250
2012-12-03,123.5,123.5,122.5,123.1,250
2012-12-05,130.0,130.0,129.0,129.5,100
2012-12-06,125.0,125.0,124.0,124.5,100
2012-12-17,120.0,120.0,119.9,119.9,100
2012-12-18,115.3,115.3,115.3,115.3,250
2012-12-19,117.0,126.0,117.0,121.5,100
2013-01-06,111.0,111.0,111.0,111.0,200
2013-01-07,110.0,112.6,110.0,112.1,300
2013-01-08,120.0,120.0,120.0,120.0,600
2013-01-16,115.2,117.4,115.2,116.2,450
2013-01-17,116.0,116.0,114.5,115.5,150
2013-01-22,116.0,116.0,116.0,116.0,150
2013-01-23,115.0,125.0,115.0,123.1,950
2013-01-24,120.0,121.7,117.0,119.5,650
2013-01-27,124.0,129.0,124.0,128.7,2400
2013-01-28,125.0,125.5,125.0,125.0,500
2013-01-29,135.0,135.0,135.0,135.0,50
2013-01-30,123.1,123.1,123.1,123.1,100
2013-02-03,121.2,121.4,121.0,121.1,1050
2013-02-05,120.0,120.0,117.5,119.0,250
2013-02-06,119.0,119.0,118.0,118.6,300
2013-02-07,118.0,119.0,117.7,118.1,800
2013-02-10,114.4,117.1,114.4,116.6,1550
2013-02-11,114.0,116.2,114.0,115.2,4100
2013-02-12,117.1,118.0,117.1,117.3,750
2013-02-14,118.0,118.0,116.0,116.9,1750
2013-02-17,124.5,124.5,115.7,116.3,850
