Date,Open,High,Low,Close,Volume
2012-10-01,70.0,70.0,68.3,69.6,19000
2012-10-02,73.0,73.0,67.0,67.7,27000
2012-10-03,69.9,69.9,66.5,67.1,14000
2012-10-04,69.8,69.8,65.1,66.1,21000
2012-10-07,64.4,68.9,64.4,65.5,33000
2012-10-08,65.0,66.0,64.5,65.2,37000
2012-10-09,67.0,68.8,65.1,65.4,23000
2012-10-10,65.0,65.0,63.8,64.0,21500
2012-10-11,63.4,63.4,63.2,63.3,2500
2012-10-14,62.9,65.0,62.9,64.4,2000
2012-10-15,63.1,65.0,63.1,64.3,4000
2012-10-16,64.0,65.0,64.0,64.3,4500
2012-10-17,66.4,66.4,63.9,65.1,4000
2012-10-18,65.0,65.0,64.0,64.5,7000
2012-10-22,63.6,65.2,63.5,64.2,5000
2012-10-23,64.2,64.2,64.1,64.1,3000
2012-10-30,64.8,64.8,64.8,64.8,500
2012-10-31,64.0,64.0,63.7,63.8,3000
2012-11-01,63.6,63.7,63.6,63.6,4000
2012-11-04,63.0,63.0,63.0,63.0,500
2012-11-06,63.1,65.6,63.1,64.6,18500
2012-11-07,64.6,70.5,64.6,69.8,39500
2012-11-08,70.1,76.0,70.1,73.1,105000
2012-11-11,70.6,70.7,68.4,69.8,9000
2012-11-12,70.0,70.0,66.6,69.5,30000
2012-11-13,66.9,70.5,66.1,69.7,42000
2012-11-14,69.8,70.0,67.2,69.6,33000
2012-11-15,70.5,71.0,69.7,69.9,25000
2012-11-18,70.0,70.0,68.7,69.9,14500
2012-11-19,67.3,67.5,64.6,65.7,23000
2012-11-20,65.0,65.8,65.0,65.1,4500
2012-11-21,65.1,65.1,65.1,65.1,1500
2012-11-22,64.5,66.0,64.5,65.1,6500
2012-11-26,64.2,64.5,64.1,64.2,3000
2012-11-27,64.0,64.0,63.0,63.1,4000
2012-11-28,63.1,65.0,62.0,62.9,8500
2012-11-29,64.5,65.9,64.2,64.9,3000
2012-12-02,64.5,64.5,63.7,63.9,3500
2012-12-03,63.1,63.1,62.5,62.8,5000
2012-12-04,62.0,62.9,61.2,62.1,13000
2012-12-05,63.0,63.0,61.4,61.7,16000
2012-12-06,61.1,63.0,61.1,62.0,11000
2012-12-09,60.9,62.1,60.6,61.8,10000
2012-12-10,61.6,62.7,61.6,61.8,18500
2012-12-11,61.9,61.9,61.9,61.9,3000
2012-12-12,62.0,62.0,62.0,62.0,3000
2012-12-13,62.1,62.1,62.1,62.1,3500
2012-12-17,62.2,62.5,62.2,62.3,2000
2012-12-18,62.1,63.0,62.0,62.1,4500
2012-12-19,61.5,62.9,61.5,61.8,7500
2012-12-23,61.8,62.0,61.0,61.3,6000
2012-12-24,59.8,60.4,59.8,60.1,2500
2012-12-26,61.0,62.0,61.0,61.7,8500
2012-12-27,58.0,62.5,58.0,61.4,2500
2012-12-30,62.2,62.2,62.2,62.2,1000
2013-01-01,61.3,61.3,61.3,61.3,1000
2013-01-02,61.9,61.9,61.1,61.4,2500
2013-01-03,62.0,62.0,61.5,61.7,7500
2013-01-06,61.7,61.7,61.7,61.7,2500
2013-01-08,61.6,61.6,61.5,61.5,1000
2013-01-09,61.5,61.6,61.5,61.5,1000
2013-01-13,61.0,61.0,60.3,60.5,3000
2013-01-14,61.0,61.0,61.0,61.0,500
2013-01-15,62.6,62.6,60.7,61.6,1000
2013-01-17,60.2,61.9,60.2,61.7,10000
2013-01-20,60.6,62.1,60.6,61.7,2500
2013-01-21,62.0,62.0,61.8,61.9,1000
2013-01-22,62.5,62.5,62.0,62.3,1500
2013-01-24,61.3,62.0,61.3,61.5,4500
2013-01-27,62.5,62.5,62.3,62.4,3500
2013-01-29,62.6,63.8,62.6,63.1,7500
2013-01-30,65.6,65.7,62.5,63.4,8000
2013-01-31,63.0,63.0,63.0,63.0,2000
2013-02-03,63.9,64.0,63.9,63.9,4000
2013-02-04,63.5,63.6,63.5,63.5,1500
2013-02-05,63.1,63.2,63.1,63.1,1000
2013-02-06,63.2,63.3,63.2,63.2,3000
2013-02-07,62.7,63.9,62.7,62.8,4000
2013-02-10,61.8,63.1,61.8,62.6,1500
2013-02-11,63.5,63.9,63.3,63.5,6000
2013-02-12,63.5,63.6,63.5,63.5,2500
2013-02-13,63.8,65.0,63.8,64.2,3500
2013-02-14,64.7,65.1,64.5,64.7,5000
2013-02-17,64.6,65.2,64.6,65.0,3500
2013-02-18,64.5,66.3,64.5,65.1,2500
2013-02-19,65.6,65.6,65.2,65.2,6500
2013-02-20,65.0,65.0,63.7,64.4,7500
2013-02-24,63.5,63.5,62.0,62.5,3500
2013-02-25,62.1,64.3,62.1,62.5,2500
2013-02-27,62.0,62.0,61.6,61.8,1500
2013-02-28,61.0,62.0,61.0,61.6,1500
2013-03-03,60.0,60.1,57.5,58.6,7000
2013-03-04,60.0,60.0,58.7,59.3,2000
2013-03-05,58.0,59.1,58.0,58.7,1500
2013-03-06,55.0,60.0,55.0,58.3,4500
2013-03-07,56.8,56.8,56.7,56.7,1500
2013-03-10,56.8,56.8,56.8,56.8,2500
2013-03-11,58.0,58.0,57.0,57.5,1000
2013-03-12,57.5,58.0,56.6,57.4,3000
2013-03-13,57.8,57.8,57.8,57.8,500
2013-03-14,55.7,56.0,55.7,55.8,1500
2013-03-18,60.5,60.5,60.5,60.5,1500
2013-03-19,60.5,61.9,58.8,61.0,7000
2013-03-20,58.5,60.0,58.5,59.5,2000
2013-03-24,56.8,56.8,56.8,56.8,500
2013-03-25,56.0,56.0,55.0,55.2,4500
2013-03-31,57.0,57.0,55.1,56.0,1000
2013-04-01,55.0,56.0,55.0,55.2,7500
2013-04-02,56.0,56.0,55.6,55.8,1000
2013-04-03,55.9,55.9,55.9,55.9,2500
2013-04-04,56.0,56.2,56.0,56.0,7500
2013-04-09,56.5,56.6,56.5,56.5,1500
2013-04-11,57.0,58.0,57.0,57.5,3500
2013-04-15,63.0,63.0,58.4,59.3,2500
2013-04-16,58.0,58.8,57.4,57.7,5500
2013-04-17,58.0,58.0,57.8,57.9,2000
2013-04-18,56.9,58.2,56.7,57.2,5500
2013-04-21,58.8,59.0,56.7,57.8,5000
2013-04-22,57.6,57.6,57.5,57.5,1500
2013-04-24,57.1,57.1,57.1,57.1,1000
2013-04-25,56.2,56.2,56.0,56.1,1500
2013-04-28,56.0,56.0,55.1,55.3,2000
2013-04-29,56.0,56.0,55.6,55.8,9000
2013-04-30,57.6,63.0,55.6,58.4,6000
2013-05-02,57.9,58.0,56.6,57.6,2000
2013-05-05,58.6,59.3,58.0,58.7,20500
2013-05-06,59.0,59.0,59.0,59.0,3500
2013-05-07,58.0,59.7,58.0,58.9,2500
2013-05-08,58.0,59.3,58.0,59.0,6500
2013-05-09,59.9,62.0,59.8,60.4,4000
2013-05-12,58.6,61.7,58.6,60.2,8000
2013-05-13,60.2,62.5,60.2,61.1,2500
2013-05-14,61.1,64.0,61.0,63.1,16000
2013-05-15,64.0,64.9,63.3,63.6,24500
2013-05-19,63.5,65.0,63.0,63.8,26000
2013-05-20,64.2,64.3,62.2,63.2,14000
2013-05-21,62.0,62.0,61.6,61.8,3500
2013-05-22,60.1,60.1,60.1,60.1,1000
2013-05-27,59.0,59.0,59.0,59.0,500
2013-05-28,57.9,59.1,57.9,58.8,3500
2013-05-29,60.1,60.1,60.1,60.1,500
2013-05-30,59.1,59.1,59.1,59.1,1500
2013-06-02,60.0,60.0,59.3,59.7,1500
2013-06-03,59.3,61.0,59.3,59.9,6000
2013-06-04,60.0,61.5,60.0,60.7,4000
2013-06-05,62.9,62.9,61.7,62.1,9000
2013-06-06,61.9,62.3,61.0,61.5,29000
2013-06-09,61.9,61.9,59.0,60.4,4000
2013-06-10,61.4,61.5,61.4,61.4,2500
2013-06-11,61.1,61.2,61.0,61.1,3000
2013-06-12,61.0,62.9,57.2,61.7,14000
2013-06-13,61.1,62.0,61.1,61.8,3000
2013-06-16,61.6,64.0,61.6,63.2,12500
2013-06-17,65.0,65.0,63.1,64.0,3500
2013-06-18,62.7,62.8,62.0,62.2,6500
2013-06-19,62.1,63.5,62.0,63.1,29500
2013-06-20,63.2,63.2,61.7,62.3,6500
2013-06-23,63.0,63.0,61.0,62.5,9000
2013-06-24,62.5,62.5,60.1,62.0,9500
2013-06-26,62.0,62.5,62.0,62.3,12500
2013-06-27,59.0,59.0,59.0,59.0,500
2013-06-30,59.0,62.0,59.0,60.8,11000
2013-07-02,61.9,62.5,60.1,61.8,23500
2013-07-03,61.9,62.5,61.8,61.9,18500
2013-07-04,61.6,63.0,61.6,61.9,4500
2013-07-07,62.5,63.5,62.1,62.6,5000
2013-07-08,64.9,67.5,64.5,67.4,52500
2013-07-09,72.4,72.4,66.2,68.4,8000
2013-07-10,65.3,65.5,63.5,64.8,9000
2013-07-11,62.0,62.3,61.6,62.0,7000
2013-07-14,62.1,62.3,62.1,62.1,7000
2013-07-15,63.0,63.0,63.0,63.0,1000
2013-07-16,64.0,65.0,63.2,64.6,20500
2013-07-17,63.5,64.7,61.6,62.6,10000
2013-07-18,63.9,65.5,63.2,64.6,7500
2013-07-21,64.4,64.4,63.1,63.7,12000
2013-07-22,64.0,64.8,63.0,63.3,13000
2013-07-23,62.1,66.4,62.1,64.5,14000
2013-07-24,62.3,62.3,60.6,61.6,3000
2013-07-25,62.0,62.1,62.0,62.0,7500
2013-07-28,62.3,62.4,61.1,62.0,12500
2013-07-29,62.3,63.4,62.1,62.7,9500
2013-07-30,63.0,63.0,62.5,62.9,5000
2013-07-31,62.5,63.9,61.9,62.9,5500
2013-08-01,62.0,62.5,61.0,62.0,20000
2013-08-04,61.5,61.5,61.5,61.5,1000
2013-08-05,63.0,63.4,61.6,62.9,63500
2013-08-13,61.7,63.3,61.7,63.0,58000
2013-08-14,63.8,64.0,62.6,63.2,7500
2013-08-18,63.0,67.4,63.0,66.1,7000
2013-08-19,66.0,66.4,64.6,65.0,7000
2013-08-20,65.0,71.5,65.0,70.9,78500
2013-08-21,76.0,77.9,76.0,77.9,115500
2013-08-22,85.0,85.6,85.0,85.6,63500
2013-08-25,87.0,94.1,87.0,94.1,78000
2013-08-26,102.0,103.5,89.6,92.8,208000
2013-08-27,98.0,98.0,89.4,92.1,59000
