Date,Open,High,Low,Close,Volume
2012-10-01,83.1,85.0,82.1,84.0,6000
2012-10-02,89.0,90.5,85.6,88.8,29000
2012-10-03,85.0,85.5,84.1,84.9,19500
2012-10-04,85.5,88.0,85.2,87.4,27000
2012-10-07,89.0,89.0,81.0,83.8,15000
2012-10-08,87.0,87.0,81.0,82.8,9000
2012-10-09,86.8,86.8,82.5,83.0,20000
2012-10-10,85.0,88.0,80.0,82.6,13000
2012-10-11,80.2,80.2,79.1,79.9,7000
2012-10-14,86.9,86.9,79.5,81.9,2500
2012-10-16,82.9,83.5,82.9,83.3,3000
2012-10-17,82.5,82.5,82.5,82.5,1000
2012-10-18,81.8,82.0,81.8,81.8,2500
2012-10-22,81.7,81.9,80.1,81.3,3000
2012-10-23,81.5,83.8,81.5,82.0,4000
2012-10-30,80.1,80.1,79.1,80.0,9000
2012-10-31,80.0,80.0,80.0,80.0,1000
2012-11-01,80.0,80.0,78.0,79.3,3000
2012-11-04,75.1,75.1,75.1,75.1,500
2012-11-05,75.5,75.5,75.2,75.3,1000
2012-11-07,74.0,74.0,73.7,73.7,3000
2012-11-11,74.1,74.1,74.0,74.0,5000
2012-11-12,75.3,75.3,74.0,74.7,2500
2012-11-13,75.0,75.0,75.0,75.0,2500
2012-11-18,78.0,79.9,76.9,77.6,11500
2012-11-19,76.0,76.0,76.0,76.0,1000
2012-11-20,75.0,75.0,73.1,74.3,1500
2012-11-21,73.0,73.0,72.0,72.7,6000
2012-11-22,76.7,76.7,73.0,74.7,4500
2012-11-26,71.2,73.0,71.1,72.0,3500
2012-11-27,76.6,76.6,75.8,76.4,2000
2012-11-28,75.8,78.0,72.0,75.7,15500
2012-11-29,77.9,80.0,77.2,78.8,6000
2012-12-03,77.2,77.2,73.0,74.5,3500
2012-12-04,72.1,76.4,72.1,74.2,1000
2012-12-05,74.0,74.0,74.0,74.0,1500
2012-12-06,76.0,77.3,74.0,75.5,8500
2012-12-09,75.5,75.5,72.2,74.2,1500
2012-12-10,73.0,73.0,72.6,72.7,4000
2012-12-11,76.0,76.0,71.1,73.1,12000
2012-12-12,71.7,71.8,71.5,71.6,3000
2012-12-13,74.0,74.0,71.2,71.9,4000
2012-12-17,74.2,74.2,73.5,74.0,3000
2012-12-18,75.9,75.9,75.9,75.9,500
2012-12-19,72.8,72.8,72.8,72.8,500
2012-12-20,73.5,74.5,72.6,73.7,5500
2012-12-23,74.9,78.8,74.0,75.5,5500
2012-12-24,76.9,81.9,76.9,78.2,10500
2012-12-26,80.9,85.0,79.5,82.0,16500
2012-12-27,79.0,89.9,77.3,86.6,37500
2012-12-30,86.0,95.2,86.0,94.8,105500
2013-01-01,93.0,93.0,90.0,91.3,8500
2013-01-02,85.9,85.9,84.6,85.2,5500
2013-01-03,85.0,85.0,83.1,83.6,9000
2013-01-06,82.0,82.0,81.0,81.4,15500
2013-01-07,80.5,83.0,80.5,81.4,2500
2013-01-08,83.5,83.5,83.5,83.5,8000
2013-01-09,82.0,82.0,82.0,82.0,1000
2013-01-10,83.5,83.5,83.5,83.5,500
2013-01-13,83.0,85.0,83.0,84.0,1000
2013-01-15,84.0,84.0,84.0,84.0,1000
2013-01-17,84.4,84.4,84.4,84.4,500
2013-01-20,83.0,83.0,83.0,83.0,4000
2013-01-21,83.0,83.0,81.5,81.8,4500
2013-01-23,83.9,83.9,83.9,83.9,500
2013-01-24,83.1,83.6,82.3,82.8,7500
2013-01-27,83.1,83.1,83.1,83.1,4000
2013-01-29,86.0,91.3,86.0,89.7,6500
2013-01-30,86.0,88.9,85.6,87.3,2000
2013-01-31,85.5,88.0,85.5,87.5,2500
2013-02-03,90.0,90.0,87.0,88.4,5000
2013-02-04,94.9,94.9,86.2,89.1,1500
2013-02-06,83.5,85.0,83.5,84.2,1000
2013-02-07,83.5,83.5,81.4,81.9,22500
2013-02-11,87.8,87.8,87.8,87.8,500
2013-02-12,82.2,84.5,82.2,83.7,1500
2013-02-13,84.9,86.8,84.5,85.0,26500
2013-02-14,85.9,87.7,85.8,86.7,8000
2013-02-17,90.0,90.0,87.3,89.1,1500
2013-02-18,86.8,86.8,86.7,86.7,1500
2013-02-19,85.4,85.4,82.1,83.1,12500
2013-02-20,83.0,83.0,81.8,82.3,1500
2013-02-24,81.3,81.3,81.1,81.2,4500
2013-02-25,81.2,81.2,80.4,81.0,2000
2013-02-26,81.0,81.2,81.0,81.0,3500
2013-02-27,81.0,81.0,78.0,79.7,4500
2013-02-28,79.0,79.0,79.0,79.0,1000
2013-03-03,76.0,76.0,72.5,73.6,7500
2013-03-04,74.2,74.2,74.2,74.2,4500
2013-03-05,74.2,74.2,74.2,74.2,500
2013-03-06,73.0,73.0,73.0,73.0,1500
2013-03-07,78.0,78.9,78.0,78.4,1000
2013-03-10,81.8,81.8,81.8,81.8,500
2013-03-11,75.2,75.2,75.0,75.1,1500
2013-03-12,75.0,75.0,74.0,74.2,2500
2013-03-13,74.0,74.0,74.0,74.0,500
2013-03-14,74.0,78.9,74.0,77.5,4000
2013-03-19,75.6,75.6,75.5,75.5,2000
2013-03-24,73.0,73.0,71.5,72.0,8000
2013-03-25,70.6,70.6,70.5,70.5,3000
2013-03-27,65.3,65.3,65.3,65.3,500
2013-03-28,68.0,68.0,68.0,68.0,1000
2013-03-31,68.1,70.0,67.0,68.3,1500
2013-04-02,70.6,70.6,70.6,70.6,1000
2013-04-04,60.1,60.1,60.1,60.1,500
2013-04-09,58.5,60.0,58.0,59.5,6000
2013-04-10,61.2,61.2,61.2,61.2,2500
2013-04-16,60.0,60.0,58.0,58.5,2000
2013-04-17,60.0,60.0,59.0,59.6,1500
2013-04-18,61.9,61.9,61.9,61.9,2500
2013-04-21,60.7,61.0,60.7,60.8,7000
2013-04-22,60.5,60.5,60.5,60.5,500
2013-04-23,60.0,60.0,60.0,60.0,2000
2013-04-25,58.0,58.0,58.0,58.0,1000
2013-04-28,58.0,58.0,58.0,58.0,2000
2013-04-29,57.3,57.3,57.3,57.3,500
2013-04-30,58.1,58.1,58.0,58.0,3500
2013-05-05,59.5,59.5,58.8,59.1,2000
2013-05-06,57.1,57.1,57.0,57.0,1500
2013-05-07,57.3,57.3,57.0,57.1,5000
2013-05-08,56.2,56.3,56.2,56.2,2500
2013-05-09,58.0,58.0,57.0,57.6,1500
2013-05-12,59.1,61.3,59.1,60.0,5500
2013-05-13,61.9,62.0,60.5,61.6,6000
2013-05-14,64.9,67.7,63.2,66.7,20500
2013-05-15,65.0,68.8,65.0,68.3,22000
2013-05-16,68.8,69.0,68.0,68.7,12500
2013-05-19,67.2,71.9,67.2,71.4,17000
2013-05-20,70.5,70.5,70.0,70.1,29000
2013-05-21,70.5,70.5,67.2,69.5,11000
2013-05-22,69.5,72.0,68.0,70.3,9000
2013-05-26,70.0,70.0,67.0,68.5,1000
2013-05-27,67.0,68.0,67.0,67.5,1500
2013-05-28,66.0,70.0,66.0,68.7,3500
2013-05-29,69.0,69.0,69.0,69.0,500
2013-05-30,66.8,68.0,66.8,67.4,1000
2013-06-02,67.1,67.1,65.4,66.2,12500
2013-06-03,68.9,69.0,68.9,68.9,2500
2013-06-04,71.2,71.2,70.3,70.6,1500
2013-06-05,70.0,70.0,68.0,68.0,12000
2013-06-06,67.6,67.7,67.3,67.5,15500
2013-06-09,65.3,65.3,65.0,65.1,2000
2013-06-10,65.1,65.6,65.0,65.2,11500
2013-06-11,65.6,68.0,65.3,65.3,43000
2013-06-12,66.4,66.5,66.3,66.3,6000
2013-06-13,69.9,70.0,68.7,69.5,14500
2013-06-16,70.1,71.4,70.0,70.2,38000
