Date,Open,High,Low,Close,Volume
2012-10-01,842.0,850.0,841.0,843.1,900
2012-10-02,846.0,853.0,843.0,844.6,3300
2012-10-03,845.0,859.0,840.0,841.4,2750
2012-10-04,845.2,849.9,842.1,845.8,2000
2012-10-07,879.0,880.0,843.0,847.3,4000
2012-10-08,850.0,850.0,835.0,840.1,1850
2012-10-09,843.0,850.0,840.0,842.5,3350
2012-10-10,842.9,845.0,840.0,841.1,2000
2012-10-11,844.4,844.4,837.0,839.8,1750
2012-10-14,840.0,848.9,825.0,834.9,2500
2012-10-15,832.0,834.0,820.0,826.1,3900
2012-10-16,825.0,837.0,825.0,833.2,700
2012-10-17,830.0,835.0,830.0,831.5,500
2012-10-18,832.0,835.0,830.0,831.1,700
2012-10-21,832.0,832.0,824.0,828.5,700
2012-10-22,830.0,839.9,830.0,831.0,950
2012-10-23,840.0,840.0,831.0,834.2,200
2012-10-30,835.0,835.0,832.0,833.1,3850
2012-10-31,825.0,835.0,825.0,830.0,100
2012-11-01,833.0,835.0,832.0,832.6,1500
2012-11-04,826.0,826.0,825.0,825.2,550
2012-11-05,831.0,831.0,821.5,825.5,1100
2012-11-06,824.1,824.4,823.0,823.6,1200
2012-11-07,822.0,830.0,821.0,825.4,750
2012-11-08,830.0,850.0,821.0,827.9,5700
2012-11-11,821.0,840.0,820.6,822.1,10300
2012-11-12,830.0,830.0,822.0,824.8,2750
2012-11-13,820.1,832.5,820.1,825.6,2300
2012-11-14,827.5,837.0,825.5,832.3,1450
2012-11-15,839.3,874.9,830.7,844.7,41350
2012-11-18,854.9,854.9,830.0,830.3,10950
2012-11-19,828.0,830.0,827.5,829.7,4250
2012-11-20,822.1,833.0,822.1,824.9,4000
2012-11-21,824.2,825.0,806.0,808.3,4900
2012-11-22,809.0,809.0,795.0,796.3,8700
2012-11-26,789.0,789.0,775.0,777.2,1900
2012-11-27,785.0,785.0,765.1,774.7,1600
2012-11-28,763.0,770.0,731.0,737.0,3600
2012-11-29,745.0,770.0,745.0,764.5,4450
2012-12-02,768.0,768.0,740.3,746.6,2900
2012-12-03,740.0,740.0,725.0,730.4,2200
2012-12-04,725.0,742.0,725.0,739.8,9850
2012-12-05,740.0,744.0,730.5,738.9,3950
2012-12-06,730.0,740.0,730.0,734.7,1350
2012-12-09,721.5,730.0,721.5,726.8,1000
2012-12-10,750.0,750.0,708.0,710.7,5850
2012-12-11,715.0,715.0,707.0,711.2,1550
2012-12-12,711.0,719.0,711.0,713.7,3250
2012-12-13,709.5,715.0,709.5,714.0,3050
2012-12-17,716.0,722.0,712.0,714.4,3450
2012-12-18,725.0,725.0,711.0,714.8,3650
2012-12-19,713.1,720.0,713.1,717.0,2950
2012-12-20,721.0,750.0,720.0,741.0,16850
2012-12-23,740.0,749.0,735.5,739.1,6000
2012-12-24,749.0,749.0,735.3,741.3,5200
2012-12-26,743.0,743.0,738.0,740.6,4000
2012-12-27,749.0,749.0,738.2,741.0,4250
2012-12-30,758.0,758.0,736.2,739.5,4200
2013-01-01,741.5,741.5,730.0,736.3,950
2013-01-02,736.3,736.3,731.1,733.1,1200
2013-01-03,734.0,734.0,729.0,732.3,150
2013-01-06,727.0,729.0,715.0,716.1,3400
2013-01-07,725.9,725.9,725.5,725.7,100
2013-01-08,725.6,730.0,720.2,724.9,900
2013-01-09,727.0,727.0,725.0,725.5,900
2013-01-10,725.0,727.9,724.1,726.4,1350
2013-01-13,728.1,728.1,721.0,724.3,700
2013-01-14,725.0,725.0,720.0,720.9,1200
2013-01-15,722.0,722.0,720.2,721.5,200
2013-01-16,721.5,724.8,720.0,721.7,1550
2013-01-17,722.0,737.8,722.0,731.8,1750
2013-01-20,735.0,740.0,728.5,736.0,1150
2013-01-21,728.0,728.0,727.0,727.6,200
2013-01-22,729.9,730.0,726.1,729.1,1400
2013-01-23,733.0,736.9,732.0,734.2,700
2013-01-24,737.0,737.0,728.2,729.3,4500
2013-01-27,731.0,733.0,724.0,726.6,3250
2013-01-28,727.0,737.9,727.0,734.4,1950
2013-01-29,735.0,745.0,735.0,740.0,2500
2013-01-30,740.1,740.1,730.1,734.8,4450
2013-01-31,739.0,739.0,734.8,735.8,800
2013-02-03,735.0,740.3,735.0,737.1,1700
2013-02-04,740.0,742.0,738.5,739.9,1950
2013-02-05,740.0,746.0,740.0,742.4,1050
2013-02-06,742.4,748.0,742.4,746.9,1700
2013-02-07,750.0,777.0,750.0,770.8,4050
2013-02-10,790.0,790.0,780.5,787.5,3700
2013-02-11,790.0,796.9,789.0,795.6,3550
2013-02-12,798.0,798.0,788.2,789.3,4350
2013-02-13,779.0,779.0,773.0,774.7,4700
2013-02-14,777.3,784.0,775.1,779.4,1700
2013-02-17,779.0,780.0,777.0,777.6,950
2013-02-18,775.2,775.2,771.0,773.5,950
2013-02-19,761.0,770.5,761.0,764.5,650
2013-02-20,758.1,765.0,758.1,761.1,1750
2013-02-24,760.0,763.5,755.1,760.9,6250
2013-02-25,760.0,765.0,750.0,758.3,1500
2013-02-26,755.0,759.7,751.0,755.5,550
2013-02-27,745.0,745.0,743.0,744.3,150
2013-02-28,742.0,744.0,721.0,735.8,650
2013-03-03,710.5,749.0,710.1,718.0,1400
2013-03-04,726.0,771.0,726.0,759.2,2550
2013-03-05,789.0,789.0,736.6,741.8,1250
2013-03-06,743.0,743.0,725.1,733.0,950
2013-03-07,729.0,732.0,729.0,729.9,1400
2013-03-10,726.0,730.0,725.0,726.5,200
2013-03-11,722.2,722.2,712.0,718.5,2600
2013-03-12,716.1,722.0,715.0,721.4,2750
2013-03-13,725.0,725.0,720.0,722.9,10850
2013-03-14,724.9,724.9,720.0,721.4,5050
2013-03-18,726.8,726.8,718.0,720.4,5500
2013-03-19,723.9,723.9,717.0,719.9,3800
2013-03-20,719.9,720.8,717.0,719.0,2150
2013-03-24,716.0,719.0,714.0,715.5,1950
2013-03-25,715.0,719.0,711.0,713.0,1100
2013-03-27,710.0,712.0,701.0,709.6,750
2013-03-28,713.0,715.0,702.1,705.2,3700
2013-03-31,700.0,708.9,700.0,706.2,2650
2013-04-01,681.5,686.0,680.0,683.4,1150
2013-04-02,690.0,693.0,690.0,690.5,1200
2013-04-03,700.0,700.0,699.0,699.7,800
2013-04-04,715.0,730.0,695.0,726.3,14150
2013-04-07,740.0,750.0,736.3,741.5,6550
2013-04-08,731.0,736.9,725.0,731.0,1150
2013-04-09,739.5,740.0,724.0,730.7,1550
2013-04-10,735.5,735.5,726.0,729.7,2500
2013-04-11,730.5,730.5,711.9,712.5,4250
2013-04-15,723.0,724.0,711.4,714.9,2650
2013-04-16,715.1,715.1,711.1,713.2,1400
2013-04-17,713.2,713.3,700.0,700.3,7650
2013-04-18,701.0,704.9,699.6,699.9,11500
