Date,Open,High,Low,Close,Volume
2012-10-01,95.0,104.0,92.0,103.1,12850
2012-10-02,107.9,108.0,96.0,100.2,14700
2012-10-03,101.0,101.0,91.1,94.9,11400
2012-10-04,95.9,98.9,90.2,91.2,10950
2012-10-07,93.0,93.5,86.3,90.1,7850
2012-10-08,88.3,92.0,84.0,85.6,5150
2012-10-09,91.8,94.1,91.8,94.1,10000
2012-10-10,102.0,102.0,92.0,93.1,11600
2012-10-11,92.1,94.0,91.1,92.2,6100
2012-10-14,92.5,92.5,87.5,88.2,3550
2012-10-15,93.0,93.0,86.5,87.0,8400
2012-10-16,92.9,92.9,88.5,90.8,1700
2012-10-17,91.2,91.2,88.0,89.8,4850
2012-10-18,93.7,95.0,91.7,91.7,9050
2012-10-21,92.7,93.9,92.3,93.0,8500
2012-10-22,92.5,93.6,91.5,91.8,2750
2012-10-23,91.0,92.9,90.5,91.4,4400
2012-10-30,95.0,99.5,93.0,93.7,10150
2012-10-31,89.7,91.0,87.9,89.4,20050
2012-11-01,96.0,96.0,87.7,88.2,6400
2012-11-04,89.2,91.5,88.0,89.4,5650
2012-11-05,90.0,98.2,90.0,97.2,26800
2012-11-06,97.3,100.0,94.0,95.1,6000
2012-11-07,94.0,97.5,93.7,96.1,11900
2012-11-08,97.6,103.9,97.6,103.1,46500
2012-11-11,105.9,105.9,97.6,100.4,20300
2012-11-12,102.9,102.9,98.0,99.3,8350
2012-11-13,98.0,102.0,98.0,98.9,6950
2012-11-14,103.0,103.0,96.1,99.4,7500
2012-11-15,102.0,102.0,97.0,99.6,22200
2012-11-18,96.8,98.3,96.5,96.9,5500
2012-11-19,99.7,99.7,92.1,93.4,2000
2012-11-20,98.0,98.0,90.0,90.7,5650
2012-11-22,94.3,94.3,85.3,86.0,17150
2012-11-26,88.9,88.9,83.0,86.3,300
2012-11-27,87.9,87.9,82.2,83.3,2400
2012-11-28,86.8,87.8,83.0,84.7,3050
2012-11-29,87.9,90.0,85.6,88.9,3300
2012-12-02,91.9,91.9,85.1,86.8,950
2012-12-03,86.0,86.0,84.2,84.6,2600
2012-12-04,87.8,88.0,83.1,87.1,1650
2012-12-05,89.0,89.0,84.1,85.6,650
2012-12-06,87.3,87.3,83.7,84.3,2400
2012-12-09,81.0,81.5,80.0,80.7,1000
2012-12-10,80.5,80.5,78.0,79.3,2350
2012-12-11,80.0,80.0,80.0,80.0,400
2012-12-12,85.6,85.6,81.1,83.3,100
2012-12-13,78.6,84.9,78.6,80.9,850
2012-12-17,84.5,84.5,84.5,84.5,50
2012-12-18,84.9,84.9,79.7,83.1,150
2012-12-19,80.0,85.8,80.0,81.1,500
2012-12-20,85.5,87.7,83.4,84.5,3250
2012-12-23,76.9,85.8,76.9,81.4,900
2012-12-24,84.5,84.5,80.0,81.1,2100
2012-12-26,83.0,83.0,81.8,82.1,800
2012-12-27,80.4,80.5,79.6,80.1,2950
2012-12-30,80.2,82.4,80.0,80.7,3500
2013-01-01,85.0,85.0,78.9,79.6,8800
2013-01-02,82.6,82.6,82.6,82.6,50
2013-01-03,78.5,79.0,78.4,78.6,700
2013-01-07,75.0,75.0,75.0,75.0,200
2013-01-08,80.8,80.8,80.8,80.8,450
2013-01-09,83.7,83.7,79.0,79.7,1700
2013-01-10,81.2,81.2,80.9,81.0,1000
2013-01-13,81.9,81.9,79.6,80.6,850
2013-01-14,82.8,82.8,79.5,79.5,2150
2013-01-15,78.2,80.5,78.2,80.3,1700
2013-01-16,81.0,83.7,80.6,82.7,13750
2013-01-17,83.9,84.0,81.1,82.0,4100
2013-01-20,87.0,87.0,80.3,81.1,3550
2013-01-21,82.0,82.0,79.9,80.1,2200
2013-01-22,82.4,84.9,81.9,83.5,21550
2013-01-23,84.2,84.5,82.6,83.4,3800
2013-01-24,80.9,84.2,80.9,81.3,3500
2013-01-27,84.3,84.3,80.0,80.9,1750
2013-01-28,83.6,83.6,80.0,81.1,6550
2013-01-29,83.8,89.1,82.8,86.1,22800
2013-01-30,85.0,86.3,83.0,83.5,3800
2013-01-31,85.4,85.4,82.0,83.2,6200
2013-02-03,84.4,84.4,81.5,81.6,3600
2013-02-04,81.3,81.4,80.0,80.7,11100
2013-02-05,80.6,81.7,80.4,81.1,3900
2013-02-06,83.8,83.9,81.0,81.6,2250
2013-02-07,81.5,82.9,80.0,80.6,11350
2013-02-10,80.8,80.8,79.9,80.0,24250
2013-02-11,80.1,82.2,79.7,80.0,8800
2013-02-12,81.2,81.2,78.0,78.1,15100
2013-02-13,80.0,80.9,79.0,79.1,3300
2013-02-14,80.9,81.1,79.7,79.9,5950
2013-02-17,79.5,79.5,78.1,78.2,6950
2013-02-18,78.3,79.8,78.0,78.2,5500
2013-02-19,78.5,78.5,77.4,77.5,6300
2013-02-20,77.5,78.0,76.5,76.9,1600
2013-02-24,75.8,75.8,74.8,75.5,1750
2013-02-25,74.6,75.0,73.6,73.7,4300
2013-02-26,74.0,75.5,74.0,74.7,4000
2013-02-27,73.7,73.9,73.3,73.3,4950
2013-02-28,70.0,72.2,70.0,71.4,2900
2013-03-03,69.1,69.2,68.0,68.0,2150
2013-03-04,69.0,72.0,69.0,71.8,1500
2013-03-05,71.5,71.5,70.0,70.5,800
2013-03-07,71.7,71.8,71.0,71.3,650
2013-03-10,71.4,71.4,68.2,69.3,1250
2013-03-11,68.2,68.2,68.1,68.1,200
2013-03-12,67.0,68.0,66.4,67.3,1050
2013-03-13,70.9,73.0,70.9,71.9,800
2013-03-14,68.4,68.6,68.4,68.5,2150
2013-03-18,66.5,66.7,66.4,66.5,300
2013-03-19,68.6,68.9,68.5,68.6,1150
2013-03-20,68.1,68.6,68.1,68.1,2050
2013-03-24,68.0,68.0,66.5,67.0,2500
2013-03-25,67.9,67.9,67.9,67.9,200
2013-03-27,66.1,67.0,66.1,66.4,950
2013-03-28,67.0,68.0,67.0,67.7,2750
2013-03-31,67.0,67.0,66.1,66.3,2400
2013-04-01,65.1,67.2,62.8,65.5,1950
2013-04-02,68.0,68.0,66.9,67.5,3450
2013-04-03,67.5,67.5,67.3,67.4,700
2013-04-04,68.5,68.5,67.6,67.9,2750
2013-04-07,68.4,68.6,68.0,68.4,1550
2013-04-08,69.7,69.7,69.6,69.6,350
2013-04-09,73.0,73.0,69.3,71.3,400
2013-04-10,73.8,73.8,70.0,71.0,2950
2013-04-11,73.7,78.1,73.7,77.5,18350
2013-04-15,79.4,81.7,78.0,81.1,9150
2013-04-16,77.1,78.0,76.5,77.0,1200
2013-04-17,75.5,79.1,75.5,75.8,5500
2013-04-18,79.6,82.9,79.6,81.0,23500
2013-04-21,81.1,85.8,81.1,81.8,8400
2013-04-22,80.0,83.4,80.0,83.0,9800
2013-04-23,82.0,85.9,82.0,83.1,28450
2013-04-24,86.5,86.5,81.2,83.2,15350
2013-04-25,86.3,86.5,81.6,82.7,2000
2013-04-28,78.0,82.6,78.0,79.6,3450
2013-04-29,80.0,82.8,80.0,82.5,8150
2013-04-30,81.0,83.8,80.0,81.5,1750
2013-05-02,82.0,83.4,81.7,82.6,3450
2013-05-05,85.0,88.5,84.5,86.8,19400
2013-05-06,87.1,93.9,85.5,91.9,30150
2013-05-07,94.9,101.0,94.9,100.9,55300
2013-05-08,108.0,108.0,95.0,96.5,28750
2013-05-09,94.2,101.0,94.0,95.5,30350
2013-05-12,99.0,99.0,91.5,93.0,22750
2013-05-13,98.5,98.5,93.0,93.0,16250
2013-05-14,92.2,96.0,90.5,91.0,21150
2013-05-15,88.0,95.4,88.0,92.3,17000
2013-05-16,91.1,95.0,91.0,91.9,15550
2013-05-19,91.2,94.2,91.2,92.1,18300
2013-05-20,93.0,93.0,88.6,89.7,19950
2013-05-21,90.0,92.9,87.5,88.5,6350
2013-05-22,86.6,87.3,85.1,85.6,6850
2013-05-26,85.5,88.9,85.1,86.3,4150
2013-05-27,88.8,90.0,88.0,88.6,5900
2013-05-28,88.1,95.6,88.0,94.5,18550
2013-05-29,96.0,98.5,94.0,96.7,22650
2013-05-30,95.0,98.0,94.1,94.9,6700
2013-06-02,95.5,96.7,93.1,93.8,13500
2013-06-03,95.1,97.8,94.2,96.6,13750
2013-06-04,99.0,106.0,98.0,105.2,56700
2013-06-05,105.6,112.0,102.0,104.7,29150
2013-06-06,102.5,105.0,96.2,99.4,8100
