Date,Open,High,Low,Close,Volume
2020-12-24,15.0,15.0,15.0,15.0,117162
2020-12-27,22.5,22.5,22.5,22.5,4937851
2020-12-28,24.7,24.7,24.7,24.7,2042167
2020-12-29,27.1,27.1,27.1,27.1,452877
2020-12-30,29.8,29.8,29.8,29.8,1529504
2021-01-03,32.7,32.7,32.7,32.7,510394
2021-01-04,35.9,35.9,35.9,35.9,788413
2021-01-05,39.4,39.4,37.1,39.4,65498764
2021-01-06,43.3,43.3,42.7,43.3,20521924
2021-01-07,47.6,47.6,47.6,47.6,12995020
2021-01-10,52.3,52.3,52.3,52.3,3626489
2021-01-11,57.5,57.5,57.5,57.5,3422936
2021-01-12,63.2,63.2,63.2,63.2,1308729
2021-01-13,69.5,69.5,60.0,63.8,66258795
2021-01-14,70.1,70.1,69.0,70.1,13904636
2021-01-17,77.1,77.1,63.1,64.5,39994623
2021-01-18,64.8,64.8,58.1,58.5,37909877
2021-01-19,57.0,58.9,53.0,57.4,26366172
2021-01-20,59.9,63.1,58.0,63.1,21489496
2021-01-21,64.6,65.8,61.1,61.7,24289349
2021-01-24,60.9,60.9,56.7,57.6,18630136
2021-01-25,57.6,57.6,53.5,54.7,16276123
2021-01-26,54.5,54.5,49.5,50.4,19860551
2021-01-27,50.5,53.1,50.1,51.1,12755015
2021-01-28,53.0,54.6,52.5,53.1,12125755
2021-01-31,54.0,54.4,52.2,52.4,10310683
2021-02-01,53.0,53.8,51.2,51.5,7686194
2021-02-02,52.2,52.2,50.6,50.7,8720774
2021-02-03,51.0,51.3,46.0,46.8,15003023
2021-02-04,46.2,47.0,44.1,44.9,13002930
2021-02-07,44.5,45.0,41.1,41.5,11275158
2021-02-08,41.7,42.6,39.1,39.9,12505082
2021-02-09,40.5,43.8,39.8,43.8,9621816
2021-02-10,45.0,48.0,44.6,46.5,15493183
2021-02-11,46.5,46.8,44.3,44.8,11612050
2021-02-14,44.9,44.9,41.7,42.0,8292128
2021-02-15,41.9,46.2,40.7,46.0,10417398
2021-02-16,40.5,42.9,39.0,41.8,20481282
2021-02-17,42.1,42.8,41.0,41.2,9167803
2021-02-18,41.3,41.4,39.1,39.3,11008917
2021-02-22,39.0,39.1,36.1,36.8,9508788
2021-02-23,37.4,39.2,36.9,38.2,7130641
2021-02-24,39.2,42.0,39.0,42.0,11757499
2021-02-25,43.1,45.3,42.4,43.7,13350205
2021-02-28,43.8,46.3,43.6,43.9,12789030
2021-03-01,44.1,45.5,43.6,45.3,9206187
2021-03-02,46.1,47.3,45.8,46.8,11712206
2021-03-03,47.2,49.9,47.2,49.2,14494554
2021-03-04,49.8,50.9,47.6,48.0,10992215
2021-03-07,47.9,50.3,47.3,50.0,12551810
2021-03-09,52.1,53.5,51.0,52.4,24585723
2021-03-10,52.7,53.1,50.2,50.4,11412125
2021-03-11,50.5,51.0,48.2,48.5,12975314
2021-03-14,48.5,48.7,46.4,46.6,7650035
2021-03-15,46.6,49.3,46.4,49.0,6831621
2021-03-16,50.0,50.8,48.0,48.2,7659778
2021-03-18,48.0,48.2,45.9,46.6,7759855
2021-03-21,46.7,46.8,44.8,45.1,7845676
2021-03-22,45.7,47.1,44.4,46.8,8048642
2021-03-23,47.3,48.0,46.3,46.5,6486523
2021-03-24,46.3,46.3,43.9,44.2,6686137
2021-03-25,44.0,45.4,43.4,44.3,6106597
2021-03-28,44.0,44.7,43.7,44.5,2784281
2021-03-29,44.8,46.9,44.6,46.0,6709757
2021-03-31,45.7,45.8,44.1,44.3,6733748
2021-04-01,44.0,45.2,43.1,44.7,4714615
2021-04-04,43.2,43.2,40.3,40.5,7398957
2021-04-05,40.7,43.3,40.7,43.0,4224281
2021-04-06,43.6,47.3,43.5,47.1,8299365
2021-04-07,48.0,49.7,47.2,47.7,7633066
2021-04-08,47.4,47.4,45.6,46.1,6491765
2021-04-11,46.0,46.0,43.2,43.8,5373484
2021-04-12,43.3,44.7,42.8,43.2,4987571
2021-04-13,42.2,45.0,42.0,44.8,5158945
2021-04-15,45.2,46.2,45.0,45.9,4954649
2021-04-18,46.2,46.5,44.7,45.4,5198764
2021-04-19,45.4,46.0,44.6,44.8,5395111
2021-04-20,45.0,46.5,44.2,46.1,8240474
2021-04-21,46.7,47.6,45.6,46.1,6716473
2021-04-22,46.0,46.2,45.4,45.6,5930713
2021-04-25,46.0,46.3,45.6,45.9,5637135
2021-04-26,46.2,46.4,45.5,45.5,3773719
2021-04-27,45.6,45.6,44.7,44.9,4910398
2021-04-28,45.2,45.4,44.6,45.1,4006972
2021-04-29,45.3,45.9,45.1,45.3,4713044
2021-05-03,45.7,47.3,45.5,46.2,11636561
2021-05-04,46.6,46.9,45.7,46.0,5556481
2021-05-05,46.0,46.4,45.5,45.6,7445655
2021-05-06,45.6,46.6,45.3,45.9,5963353
2021-05-09,46.5,48.2,46.2,48.1,12461189
2021-05-11,48.8,49.5,48.1,48.2,8742239
2021-05-12,48.3,48.4,47.3,47.6,6713828
2021-05-16,48.0,48.2,47.5,47.7,6659736
2021-05-17,48.0,49.4,47.8,49.2,13037977
2021-05-18,49.5,49.8,48.0,48.3,6581215
2021-05-19,48.5,48.6,47.4,47.6,8379265
2021-05-20,47.8,48.0,47.3,47.4,4705678
2021-05-23,47.5,47.8,46.4,46.6,4646610
2021-05-24,46.7,47.7,46.5,47.0,4398149
2021-05-25,47.5,48.2,47.0,47.1,5282957
2021-05-27,47.3,47.5,46.9,47.0,7035204
2021-05-30,47.3,47.4,47.0,47.1,5802374
2021-05-31,47.4,48.4,47.2,47.7,5024334
2021-06-01,47.9,48.4,47.2,47.4,4586233
2021-06-02,47.6,47.7,46.7,46.8,4938664
2021-06-03,47.0,47.4,46.4,46.6,4678488
2021-06-06,46.0,46.0,44.5,44.7,9559619
2021-06-07,45.0,45.6,44.6,44.9,4545292
2021-06-08,45.1,45.2,44.2,44.4,4100431
2021-06-09,44.5,44.7,43.6,43.8,8093031
2021-06-10,44.0,45.4,44.0,44.9,5332456
2021-06-13,45.3,45.3,44.1,44.2,3691638
2021-06-14,44.2,44.5,43.8,44.0,3154466
2021-06-15,43.9,44.3,43.7,43.8,3735639
2021-06-16,44.1,45.3,43.8,44.1,5479889
2021-06-17,44.1,44.4,43.9,44.0,2712522
2021-06-20,43.9,44.3,43.7,43.8,3072615
2021-06-21,44.0,44.5,43.8,44.1,2966320
2021-06-22,44.5,45.3,44.1,45.0,4743456
2021-06-23,45.3,45.5,44.3,44.5,3386324
2021-06-24,44.5,44.8,44.0,44.1,2700039
2021-06-27,43.8,44.2,43.0,43.2,2988043
2021-06-28,43.2,43.6,43.1,43.3,1904456
2021-06-29,43.3,43.5,43.0,43.1,2967627
2021-06-30,43.2,44.2,43.2,44.0,2359618
2021-07-05,44.3,44.5,43.4,43.6,2472061
2021-07-06,44.0,44.0,43.4,43.5,2549906
2021-07-07,43.5,44.3,43.5,43.6,2634402
2021-07-08,43.7,43.9,43.5,43.6,1710584
2021-07-12,43.7,44.0,43.4,43.5,1924870
2021-07-13,43.5,43.8,43.4,43.5,2272338
2021-07-14,43.8,43.8,43.3,43.4,1893593
2021-07-15,43.5,43.7,43.4,43.6,1839760
2021-07-18,43.6,45.5,43.6,45.3,4835979
2021-07-19,45.5,45.9,44.7,44.9,3775937
2021-07-25,44.9,45.0,44.1,44.2,2230937
2021-07-26,44.6,44.7,44.2,44.6,1694645
2021-07-27,44.6,44.9,44.2,44.3,1978329
2021-07-28,43.2,43.5,42.6,43.4,4097082
2021-07-29,43.3,43.4,42.9,43.0,2818144
2021-08-02,43.0,43.2,42.7,42.9,3499439
2021-08-03,43.1,43.3,42.9,43.1,4199961
2021-08-05,43.0,43.4,43.0,43.1,3422677
2021-08-09,43.2,43.2,42.7,42.8,4916376
2021-08-10,42.9,43.0,42.7,42.8,3906451
2021-08-11,42.8,42.9,42.2,42.4,4453286
2021-08-12,42.7,42.7,42.1,42.3,3300934
2021-08-16,42.3,42.3,41.5,41.6,4460225
2021-08-17,41.7,43.1,41.6,42.6,3245416
2021-08-18,42.7,42.9,41.8,42.0,3015529
2021-08-19,42.1,42.5,41.5,41.7,2551317
2021-08-22,42.0,42.4,41.7,41.9,2561056
2021-08-23,42.0,42.2,41.7,42.0,3137247
2021-08-24,42.2,43.8,41.9,43.3,5095451
2021-08-25,44.0,45.4,44.0,44.7,10041072
2021-08-26,44.6,44.7,43.1,43.5,3701316
2021-08-29,43.3,43.5,42.3,42.5,2889983
2021-08-31,42.6,43.3,42.3,42.7,2636295
2021-09-01,42.7,43.2,42.3,42.4,2323297
2021-09-02,42.5,42.8,42.3,42.4,3048122
2021-09-05,42.7,42.7,42.3,42.3,3355912
2021-09-06,42.6,42.9,42.3,42.5,2697379
2021-09-07,42.6,43.7,42.3,43.2,5779030
2021-09-08,43.5,43.5,42.9,43.0,2527010
2021-09-09,42.9,43.0,42.5,42.6,2601526
2021-09-12,42.6,42.8,42.2,42.3,3175941
2021-09-13,42.3,42.5,42.2,42.2,2325999
2021-09-14,42.4,42.5,42.0,42.1,2363056
2021-09-15,42.1,42.4,41.8,41.9,2392065
