Date,Open,High,Low,Close,Volume
2012-10-01,56.2,57.7,53.6,57.0,239200
2012-10-02,59.0,60.0,58.1,59.5,377800
2012-10-03,60.9,62.0,58.0,58.6,842400
2012-10-04,59.9,60.7,57.6,58.8,223800
2012-10-07,58.6,58.8,55.5,56.1,217300
2012-10-08,57.4,58.0,53.4,54.9,221300
2012-10-09,56.4,58.0,56.2,56.5,183000
2012-10-10,56.9,57.5,54.6,55.0,134200
2012-10-11,54.5,55.9,53.1,54.0,317700
2012-10-14,54.3,55.5,54.0,54.3,336600
2012-10-15,55.1,57.5,55.1,56.3,237400
2012-10-16,56.9,58.0,56.3,57.1,339600
2012-10-17,58.2,61.1,58.0,59.2,1203100
2012-10-18,59.2,60.5,58.0,58.3,292100
2012-10-21,60.3,60.3,56.2,56.7,120100
2012-10-22,56.0,57.9,55.9,56.7,272400
2012-10-23,56.8,57.7,56.5,56.8,184400
2012-10-30,56.5,56.9,55.8,56.0,126500
2012-10-31,55.5,56.2,54.4,54.7,272100
2012-11-01,56.4,56.4,54.6,54.9,74500
2012-11-04,57.8,57.8,52.2,53.7,86400
2012-11-05,56.7,56.7,52.1,53.0,105100
2012-11-06,53.2,53.4,51.1,51.6,203100
2012-11-07,52.0,52.0,49.9,50.2,92500
2012-11-08,51.5,51.5,49.4,49.5,73700
2012-11-11,49.0,51.4,47.6,47.8,98700
2012-11-12,48.0,49.5,47.5,48.0,87000
2012-11-13,48.4,50.0,47.7,49.5,89200
2012-11-14,49.9,49.9,48.4,49.3,28400
2012-11-15,48.7,51.2,48.5,50.4,79800
2012-11-18,50.8,52.0,50.5,51.0,146900
2012-11-19,49.1,50.4,48.2,48.6,90700
2012-11-20,49.0,49.1,47.3,47.4,88200
2012-11-21,48.0,48.9,46.2,46.8,94100
2012-11-22,48.1,48.6,46.0,46.5,74600
2012-11-26,46.8,47.3,44.4,44.8,66900
2012-11-27,43.0,44.6,43.0,43.6,31900
2012-11-28,45.4,45.9,43.2,43.3,47500
2012-11-29,45.3,47.6,45.0,47.2,126000
2012-12-02,46.1,48.3,45.0,45.6,55300
2012-12-03,45.4,45.4,44.2,44.3,31700
2012-12-04,44.0,44.8,43.3,44.1,23200
2012-12-05,45.0,45.0,43.9,44.1,83600
2012-12-06,43.8,45.0,43.6,44.1,39600
2012-12-09,44.0,44.1,43.4,43.7,33800
2012-12-10,43.5,43.7,42.1,42.3,38000
2012-12-11,42.5,43.8,42.0,43.1,36700
2012-12-12,43.8,44.0,42.8,43.2,22400
2012-12-13,43.2,44.0,42.5,43.5,36700
