Date,Open,High,Low,Close,Volume
2012-10-01,130.0,133.0,127.0,128.8,31000
2012-10-02,127.1,134.8,126.7,131.4,46500
2012-10-03,135.5,135.5,129.0,130.1,28000
2012-10-04,130.2,131.5,128.0,129.8,35000
2012-10-07,129.0,130.0,128.1,128.9,32000
2012-10-08,128.8,130.0,119.0,124.6,22500
2012-10-09,123.0,128.9,121.0,124.2,43000
2012-10-10,124.7,125.0,121.6,123.1,25000
2012-10-11,127.1,127.1,120.6,121.3,23000
2012-10-14,121.6,122.0,118.1,120.6,10000
2012-10-15,120.0,122.0,118.0,118.8,29000
2012-10-16,115.1,120.4,115.1,117.3,21000
2012-10-17,118.5,118.5,117.7,118.1,4000
2012-10-18,116.0,123.0,115.0,118.8,13000
2012-10-21,118.1,121.7,118.1,119.8,11000
2012-10-22,117.5,120.1,116.0,119.5,13000
2012-10-23,115.3,125.0,115.3,123.6,11500
2012-10-30,118.3,123.1,118.2,119.9,4000
2012-10-31,121.1,123.9,121.1,122.6,4500
2012-11-01,121.1,128.7,121.0,126.3,36500
2012-11-04,126.2,126.2,122.0,124.0,10000
2012-11-05,122.2,122.2,122.2,122.2,500
2012-11-06,122.1,125.0,121.5,122.2,18500
2012-11-07,121.5,121.5,121.4,121.4,1500
2012-11-08,122.0,123.7,117.7,121.3,2000
2012-11-11,115.5,115.5,115.5,115.5,2000
2012-11-12,115.6,115.7,114.0,115.3,2500
2012-11-13,118.0,119.9,116.8,118.4,7000
2012-11-14,118.1,118.1,115.7,116.9,7500
2012-11-15,117.2,119.9,115.6,117.4,33000
2012-11-18,117.1,122.0,117.0,119.9,8000
2012-11-19,117.0,117.9,116.1,116.7,7500
2012-11-20,115.5,116.7,115.0,115.9,14000
2012-11-21,115.0,116.5,114.9,115.9,14000
2012-11-22,116.0,116.9,113.0,116.0,8000
2012-11-26,115.0,116.5,113.2,115.2,4500
2012-11-27,116.0,116.5,113.3,114.7,3500
2012-11-28,115.7,116.0,113.0,114.8,10000
2012-11-29,119.7,119.7,116.5,117.1,4500
2012-12-02,116.1,116.1,113.5,115.3,4500
2012-12-03,118.7,118.7,114.1,117.3,8500
2012-12-04,113.9,117.0,113.9,115.4,1000
2012-12-06,112.1,115.5,112.1,114.6,5000
2012-12-09,114.0,115.8,110.6,113.8,4000
2012-12-10,114.0,114.0,110.6,112.3,10000
2012-12-11,115.0,115.0,114.1,114.6,7500
2012-12-12,115.0,115.0,112.6,114.3,12500
2012-12-13,115.0,115.0,112.1,113.1,4500
2012-12-17,115.4,115.4,114.5,114.7,7000
2012-12-18,114.8,115.3,114.8,115.0,11000
2012-12-19,120.0,120.0,115.8,119.1,3500
2012-12-20,118.0,118.0,116.0,117.2,4500
2012-12-23,118.0,118.0,115.8,117.1,14500
2012-12-24,118.0,120.0,118.0,119.5,6500
2012-12-26,120.0,123.0,119.8,120.7,5500
2012-12-27,120.2,120.5,120.0,120.0,16500
2012-12-30,121.0,122.8,121.0,122.3,8000
2013-01-01,118.3,119.4,118.3,119.0,4000
2013-01-02,120.0,120.0,118.1,119.0,13500
2013-01-03,119.8,119.8,118.5,119.1,2000
2013-01-06,118.5,118.5,118.0,118.2,2000
2013-01-07,118.8,120.0,118.6,119.0,2000
2013-01-08,116.2,121.5,116.2,119.2,7500
2013-01-09,119.2,119.2,118.0,118.7,2000
2013-01-13,118.9,118.9,118.0,118.5,3000
2013-01-14,117.0,122.7,116.2,117.8,9000
2013-01-15,120.0,120.0,118.1,119.2,4000
2013-01-16,118.8,119.0,116.6,117.7,3000
2013-01-17,117.6,118.0,117.6,117.6,3500
2013-01-21,117.1,117.1,117.1,117.1,500
2013-01-22,120.5,121.5,119.2,120.6,7000
2013-01-23,126.0,126.0,122.7,124.0,6000
2013-01-24,124.0,129.0,124.0,127.0,18000
2013-01-27,129.3,135.0,129.3,133.7,69000
2013-01-28,133.0,137.5,132.0,135.8,54500
2013-01-29,135.0,135.4,132.0,133.2,14000
2013-01-30,131.0,131.9,128.8,130.2,4000
2013-01-31,130.0,130.0,128.0,128.5,13000
2013-02-03,128.0,133.5,128.0,132.7,9500
2013-02-04,132.0,132.0,128.5,130.5,6500
2013-02-05,131.8,131.8,129.6,130.0,3000
2013-02-06,134.8,134.9,130.3,133.1,15500
2013-02-07,133.1,133.4,131.5,132.3,9000
2013-02-10,132.4,142.0,132.4,140.5,26000
2013-02-11,140.9,141.9,140.9,141.1,7500
2013-02-12,142.8,142.9,135.2,139.0,11500
2013-02-13,135.0,135.0,134.5,134.7,1000
2013-02-14,138.8,138.9,135.0,135.4,19000
2013-02-17,135.1,137.0,133.1,135.1,20500
2013-02-18,139.5,139.5,134.0,136.5,16000
2013-02-19,132.3,134.0,131.1,132.3,9500
2013-02-20,130.4,130.4,128.5,129.9,5000
2013-02-25,125.0,125.0,125.0,125.0,500
2013-02-26,128.5,129.1,128.4,128.7,3500
2013-02-27,126.0,126.0,125.0,125.3,7000
2013-03-03,116.1,120.0,116.1,118.0,3000
2013-03-04,120.0,120.0,119.9,119.9,1500
2013-03-05,120.0,121.0,120.0,120.0,5500
2013-03-06,117.3,117.3,117.0,117.1,3000
2013-03-07,120.0,120.0,120.0,120.0,500
2013-03-10,120.0,120.0,114.5,117.0,9000
2013-03-11,112.0,115.9,112.0,114.7,3000
2013-03-12,115.2,115.2,114.7,115.0,5000
2013-03-13,116.0,118.0,115.0,116.0,8000
2013-03-14,115.1,117.5,115.0,115.4,4000
2013-03-18,118.0,118.0,117.9,117.9,7500
2013-03-19,119.0,121.4,119.0,120.5,6500
2013-03-20,116.0,117.8,116.0,117.5,4500
2013-03-24,115.2,115.5,115.2,115.4,2500
2013-03-25,115.7,115.7,115.7,115.7,500
2013-03-28,115.0,115.0,114.2,114.5,1500
2013-03-31,111.9,111.9,110.0,110.5,18000
2013-04-01,108.2,108.2,108.1,108.1,9000
2013-04-02,108.1,110.0,105.1,109.1,9500
2013-04-03,109.1,112.0,109.0,110.1,15500
2013-04-04,108.2,109.6,107.2,107.6,14500
2013-04-07,107.0,107.0,107.0,107.0,1500
2013-04-08,109.8,109.9,106.6,109.1,8000
2013-04-09,117.8,117.8,109.1,109.9,9000
2013-04-10,110.9,110.9,110.9,110.9,3000
2013-04-11,111.0,116.0,108.2,110.6,11500
2013-04-15,118.2,118.2,110.5,110.8,17500
2013-04-16,109.0,109.0,107.8,108.4,2000
2013-04-17,108.0,108.0,108.0,108.0,1000
2013-04-18,106.8,106.8,105.5,106.1,7500
2013-04-21,107.6,107.6,106.9,107.4,10500
2013-04-22,107.5,108.5,107.0,108.0,10500
2013-04-23,107.9,110.0,107.1,108.5,18500
2013-04-24,107.2,107.2,107.2,107.2,6000
2013-04-25,108.4,109.9,106.0,108.5,12500
2013-04-28,109.5,111.9,108.0,110.4,10000
2013-04-29,110.5,115.5,110.5,114.6,14500
2013-04-30,115.0,115.7,111.1,113.7,23000
2013-05-02,114.6,115.0,112.1,114.2,7000
2013-05-05,113.0,120.0,113.0,116.2,56500
2013-05-06,114.6,116.2,114.6,115.3,9500
2013-05-07,120.0,120.4,116.3,119.3,27500
2013-05-08,119.0,119.0,115.8,116.3,12000
2013-05-09,115.0,118.9,115.0,117.4,10000
2013-05-12,117.4,121.9,117.4,120.8,25000
2013-05-13,127.0,127.0,119.0,120.5,55500
2013-05-14,125.0,131.8,123.6,125.4,13500
2013-05-15,134.9,134.9,120.4,124.0,17000
2013-05-16,124.6,129.1,124.6,126.0,19500
2013-05-19,129.8,131.4,128.8,130.1,28500
2013-05-20,132.0,133.7,127.0,129.4,24000
2013-05-21,128.5,130.0,124.0,126.4,23000
2013-05-22,125.0,125.4,121.8,123.2,59000
2013-05-26,123.2,123.2,116.0,119.0,7000
2013-05-27,124.4,124.8,120.0,122.8,21500
2013-05-28,121.0,122.9,119.0,120.7,7500
2013-05-29,121.2,125.0,121.0,123.2,10500
2013-05-30,124.0,124.0,121.1,122.0,9500
2013-06-02,121.8,121.8,118.6,119.1,45500
2013-06-03,117.0,119.6,117.0,118.4,31500
2013-06-04,118.0,119.0,115.1,115.8,22500
2013-06-05,120.0,120.0,116.2,116.8,6500
2013-06-06,115.0,116.9,114.1,115.1,3500
2013-06-09,111.6,113.4,111.6,112.2,11000
2013-06-10,115.1,117.7,114.1,115.9,10000
2013-06-11,114.5,115.0,114.3,114.4,12000
2013-06-12,114.0,123.3,113.1,120.2,77500
2013-06-13,116.5,128.3,116.2,126.9,45000
2013-06-16,127.3,132.0,122.7,125.4,34000
2013-06-17,126.3,126.3,122.4,122.5,41000
2013-06-18,128.7,128.7,120.0,122.8,49500
2013-06-19,122.0,126.1,122.0,124.4,17500
2013-06-20,126.5,126.5,120.3,122.5,8000
2013-06-23,122.5,125.5,117.0,121.8,34500
2013-06-24,120.9,120.9,120.9,120.9,500
2013-06-26,124.9,124.9,117.2,119.3,19500
2013-06-27,116.0,116.4,111.0,115.1,17000
2013-06-30,113.2,114.9,111.3,113.0,23000
2013-07-02,113.7,124.0,113.7,119.5,18500
2013-07-03,116.1,116.5,116.0,116.1,3500
2013-07-04,115.0,118.0,113.0,113.9,60000
2013-07-07,115.0,115.0,111.0,112.0,20000
2013-07-08,112.0,112.5,108.0,108.5,28500
2013-07-09,114.0,118.4,110.7,111.7,28000
2013-07-10,116.5,116.5,107.3,109.9,28500
2013-07-11,107.0,110.0,106.3,107.3,23500
2013-07-14,103.0,108.5,103.0,105.7,5500
2013-07-15,105.0,109.6,105.0,106.7,32500
2013-07-17,99.0,101.6,94.3,99.1,35000
2013-07-18,97.0,98.0,93.0,94.2,40500
2013-07-21,94.1,94.1,90.1,91.1,11500
2013-07-22,90.0,94.0,88.9,90.7,9000
2013-07-23,87.2,87.2,85.3,86.1,3500
2013-07-24,87.7,87.7,87.0,87.2,4000
2013-07-25,87.6,87.6,84.0,86.0,6000
2013-07-28,89.9,90.0,89.9,89.9,1000
2013-07-29,88.0,90.6,88.0,89.4,3000
2013-07-30,88.0,88.0,85.1,86.4,4000
2013-07-31,87.0,87.0,87.0,87.0,3000
2013-08-01,85.1,92.3,85.1,90.5,27000
2013-08-04,90.3,90.8,90.0,90.3,6000
2013-08-05,92.5,92.5,87.1,89.8,1000
2013-08-12,88.1,88.1,87.2,87.6,1500
2013-08-13,86.9,86.9,86.7,86.8,1500
2013-08-14,86.8,88.0,84.7,85.0,19000
2013-08-18,81.2,85.3,81.1,82.3,23000
2013-08-19,80.5,85.0,80.5,82.9,31500
2013-08-20,82.9,84.6,82.9,84.0,9500
2013-08-21,85.0,85.4,83.3,84.7,12500
2013-08-22,83.0,84.0,82.6,82.7,31500
2013-08-25,85.0,90.8,85.0,90.8,74000
2013-08-26,95.0,99.8,94.9,99.8,53000
2013-08-27,103.0,105.0,99.0,100.8,44000
2013-08-29,100.8,100.8,93.0,94.4,23000
2013-09-01,94.5,103.8,94.5,103.4,111000
2013-09-02,103.0,104.5,97.6,99.3,64500
2013-09-03,97.1,98.7,96.0,97.3,35500
2013-09-04,97.2,97.2,95.0,95.8,17000
2013-09-05,93.3,93.3,91.4,91.8,18500
2013-09-08,93.1,93.1,90.0,90.8,13000
2013-09-09,91.0,93.8,87.0,89.6,19000
2013-09-10,94.0,96.0,91.5,93.6,24000
2013-09-11,94.0,95.6,88.8,89.9,34500
2013-09-12,92.9,96.8,90.2,94.8,42500
2013-09-15,99.9,104.0,99.9,102.7,109500
2013-09-16,106.5,107.0,99.2,105.4,97500
2013-09-17,103.0,104.0,98.2,100.2,40000
2013-09-18,97.6,100.9,97.0,97.5,25500
2013-09-19,96.2,100.0,96.0,98.5,26500
2013-09-22,98.9,98.9,97.2,97.8,15000
2013-09-23,96.0,98.5,94.0,95.4,14000
2013-09-24,97.2,104.9,97.2,102.5,68500
2013-09-25,104.9,105.0,101.2,102.8,40500
2013-09-26,102.0,105.0,97.0,99.3,44500
2013-09-29,102.0,103.1,96.5,96.9,33000
2013-09-30,95.1,96.1,94.0,95.6,15500
2013-10-01,100.0,100.0,95.2,96.5,20000
2013-10-02,97.0,100.0,94.0,96.0,67000
2013-10-03,100.0,103.5,96.0,99.7,50000
2013-10-06,100.3,104.0,98.2,98.2,64500
2013-10-07,102.0,107.0,100.0,103.2,150500
2013-10-08,103.1,103.1,98.1,99.1,45500
2013-10-09,99.9,101.5,99.2,100.1,29000
2013-10-10,98.5,98.6,97.1,98.1,28000
2013-10-20,95.5,95.5,91.0,93.1,93000
2013-10-21,90.1,92.5,89.0,91.5,38000
2013-10-22,92.5,93.0,91.7,92.6,24500
2013-10-23,93.0,94.7,92.9,93.7,56500
2013-10-24,92.0,93.0,90.1,90.4,30500
2013-10-27,90.5,92.0,90.3,90.5,43000
2013-10-28,87.5,92.0,87.5,91.1,29500
2013-10-29,94.0,97.0,92.3,93.8,81000
2013-10-30,95.7,95.7,92.0,93.5,45500
2013-10-31,95.7,99.7,93.0,97.7,45000
2013-11-03,94.8,95.8,94.0,94.5,32500
2013-11-04,97.5,97.8,95.2,95.7,52000
2013-11-05,98.7,103.0,95.6,95.9,48000
2013-11-06,96.3,100.0,95.0,97.8,45500
2013-11-07,102.0,103.5,99.0,100.0,158000
2013-11-10,102.9,103.9,99.3,101.3,132000
2013-11-11,103.0,103.9,97.0,98.4,153500
2013-11-12,97.3,100.0,97.1,97.6,53000
2013-11-13,98.0,99.0,96.1,96.6,94500
2013-11-14,98.5,102.5,96.2,96.9,102500
2013-11-17,98.8,98.8,96.0,96.4,43500
2013-11-18,97.9,97.9,95.5,96.0,67500
2013-11-19,96.7,99.1,96.5,98.2,64500
2013-11-20,99.9,108.0,99.1,108.0,335500
2013-11-21,112.7,117.9,110.0,113.8,257500
2013-11-24,114.0,118.8,111.0,111.8,121000
2013-11-25,112.0,112.6,106.5,110.3,141500
2013-11-26,109.0,109.0,103.0,105.3,113500
2013-11-27,107.0,107.0,101.1,101.8,60000
2013-11-28,103.1,103.5,101.8,102.5,47500
2013-12-01,112.0,112.0,103.6,105.2,55000
2013-12-02,105.0,115.5,105.0,113.3,204500
2013-12-03,115.0,123.0,113.1,114.8,237500
2013-12-04,115.7,115.7,111.7,113.9,75000
2013-12-05,110.0,116.0,110.0,113.8,74500
2013-12-08,117.6,125.1,117.0,124.9,314500
2013-12-09,129.0,130.9,119.1,120.3,274000
2013-12-10,120.3,125.0,118.0,121.2,142500
2013-12-11,122.0,129.0,119.3,127.1,259000
2013-12-12,129.0,138.0,127.0,132.6,559000
2013-12-15,134.0,138.0,126.0,128.5,320500
2013-12-17,132.0,132.0,124.9,125.4,72000
2013-12-18,123.7,124.0,117.8,118.2,313000
2013-12-19,125.0,125.9,118.3,120.2,357500
2013-12-22,124.0,124.5,115.6,116.2,108500
2013-12-23,116.3,118.0,114.1,114.5,114500
2013-12-24,114.5,115.4,109.0,111.8,83000
2013-12-26,112.9,113.0,109.0,109.2,56500
2013-12-29,110.0,111.7,107.2,110.2,28500
2013-12-30,112.0,114.5,110.0,111.3,106500
2014-01-01,116.5,116.5,112.6,113.5,53500
2014-01-02,114.0,115.9,113.5,115.4,45000
2014-01-06,117.5,118.8,115.6,117.2,74000
2014-01-07,119.5,122.0,118.7,121.6,146000
2014-01-08,123.9,124.0,116.6,118.5,184500
2014-01-09,120.0,120.0,115.4,116.5,183500
2014-01-12,117.0,122.7,117.0,121.7,307000
2014-01-13,124.3,131.7,122.9,129.8,498500
2014-01-15,134.9,135.0,131.0,134.4,515500
2014-01-19,90.4,90.4,90.4,90.4,15500
2014-01-20,99.4,99.4,91.7,94.1,718500
2014-01-21,95.2,96.5,94.1,95.7,148000
2014-01-22,96.0,105.0,96.0,99.7,592500
2014-01-23,101.0,101.0,97.0,98.3,237000
2014-01-26,98.4,101.0,98.4,99.8,217000
2014-01-27,100.0,100.7,96.5,97.1,129500
2014-01-28,104.0,105.7,98.7,102.5,260000
2014-01-29,103.7,105.5,101.0,104.8,118000
2014-01-30,106.0,106.4,102.1,102.4,86500
2014-02-02,102.0,106.4,100.5,104.9,105000
2014-02-03,105.9,108.2,103.7,105.7,113500
2014-02-04,108.8,108.8,103.3,103.9,85000
2014-02-05,103.0,104.0,102.0,103.2,79000
2014-02-06,104.0,105.5,100.0,100.7,128500
2014-02-09,100.2,102.9,100.0,100.1,105500
2014-02-10,100.1,103.0,98.0,99.0,97000
2014-02-11,99.2,101.9,98.6,100.1,68000
2014-02-12,102.9,104.9,100.1,103.5,105000
2014-02-13,104.1,110.0,102.0,107.8,230000
2014-02-16,110.0,110.2,106.0,106.4,122500
2014-02-17,107.5,108.0,103.5,104.2,35000
2014-02-18,104.0,106.6,102.0,102.4,27500
2014-02-19,102.5,103.5,102.5,102.9,18000
2014-02-20,107.9,107.9,103.3,105.3,29500
2014-02-23,105.6,105.6,101.6,101.8,29000
2014-02-24,102.0,103.0,101.0,102.5,29500
2014-02-25,103.9,104.0,101.0,101.8,19500
2014-02-26,105.9,106.0,100.2,100.4,39500
2014-02-27,103.3,103.3,100.0,100.8,43500
2014-03-02,100.7,109.0,100.7,102.9,110000
2014-03-03,105.0,112.9,104.9,111.6,450000
2014-03-04,113.8,114.8,107.5,109.5,192000
2014-03-05,111.4,113.9,110.0,113.3,424500
2014-03-06,114.6,124.6,114.6,124.0,431000
2014-03-09,124.2,130.8,122.0,122.8,343000
2014-03-10,123.0,123.0,118.2,119.7,162500
2014-03-11,120.1,124.6,119.7,123.1,192500
2014-03-12,127.8,127.8,119.6,120.8,267000
2014-03-13,121.0,123.0,120.0,121.7,79000
2014-03-16,119.1,120.0,118.0,119.3,59500
2014-03-18,123.9,123.9,114.0,118.0,74500
2014-03-19,120.0,122.0,115.0,117.1,44000
2014-03-20,118.7,118.7,113.0,117.0,130000
2014-03-23,117.0,118.5,115.6,118.0,59500
2014-03-24,117.2,123.3,117.2,120.8,152500
2014-03-25,123.3,125.0,118.6,123.1,170000
2014-03-27,125.0,126.8,121.4,124.6,93500
