Date,Open,High,Low,Close,Volume
2012-10-01,38.9,42.1,37.4,41.6,3202500
2012-10-02,43.0,43.4,40.2,40.7,2316500
2012-10-03,41.2,41.3,37.0,37.7,2060250
2012-10-04,38.7,40.4,36.5,37.0,1453500
2012-10-07,38.0,39.2,35.9,36.2,1278750
2012-10-08,36.8,37.7,34.7,36.0,1714000
2012-10-09,37.0,39.6,37.0,39.6,1890500
2012-10-10,41.5,41.5,37.5,37.8,1947000
2012-10-11,38.0,39.7,37.0,37.9,2218750
2012-10-14,39.0,40.4,39.0,39.6,2466750
2012-10-15,39.8,40.6,37.2,37.5,1217750
2012-10-16,38.0,38.6,35.8,36.4,1664250
2012-10-17,36.1,37.4,36.0,36.2,825750
2012-10-18,36.5,37.0,35.2,35.6,776250
2012-10-21,36.0,36.3,33.1,33.6,1341750
2012-10-22,34.5,35.2,33.5,34.7,912250
2012-10-23,35.5,36.0,34.9,35.0,952750
2012-10-30,35.0,35.1,33.7,33.8,517250
2012-10-31,34.3,34.4,33.3,33.4,518500
2012-11-01,33.5,34.9,33.5,34.2,1127500
2012-11-04,34.2,34.9,32.8,33.0,934750
2012-11-05,33.6,33.7,32.0,32.9,834250
2012-11-06,33.1,33.7,31.8,32.3,667500
2012-11-07,32.0,32.5,30.5,31.0,1057250
2012-11-08,30.9,31.4,29.1,29.4,701250
2012-11-11,28.8,29.5,26.7,27.3,935250
2012-11-12,27.5,28.3,26.3,26.5,530000
2012-11-13,26.9,29.1,25.9,29.0,765750
2012-11-14,30.0,30.0,28.3,28.7,675500
2012-11-15,29.1,30.5,28.4,29.7,615000
2012-11-18,29.8,32.6,29.8,32.5,2215000
2012-11-19,32.0,32.2,30.7,31.0,1162500
2012-11-20,30.9,34.0,30.5,32.8,1669250
2012-11-21,33.0,34.3,32.4,33.2,1300000
2012-11-22,33.6,34.7,33.0,33.8,1266250
2012-11-26,33.9,33.9,31.5,31.7,1007500
2012-11-27,31.6,32.3,30.8,31.4,816000
2012-11-28,31.9,32.2,30.4,30.7,1180500
2012-11-29,32.4,33.7,31.8,33.7,1724750
2012-12-02,35.5,35.6,33.6,33.8,2135500
2012-12-03,33.6,34.0,32.7,32.9,1184000
2012-12-04,32.7,33.7,32.4,33.1,776500
2012-12-05,33.2,34.2,32.4,33.3,1755500
2012-12-06,32.6,36.0,32.6,34.4,3382500
2012-12-09,34.0,34.3,33.1,33.3,862250
2012-12-10,33.2,33.6,32.5,32.6,1102750
2012-12-11,31.9,32.6,31.5,31.9,900500
2012-12-12,32.6,32.9,31.3,31.5,921750
2012-12-13,30.9,31.8,30.8,31.2,638500
2012-12-17,31.6,31.9,30.9,31.2,789000
2012-12-18,30.0,32.2,30.0,30.9,1016500
2012-12-19,31.2,31.6,30.9,31.1,805250
2012-12-20,31.5,31.9,30.5,30.6,1422750
2012-12-23,30.3,30.4,29.2,29.3,1869250
2012-12-24,29.7,29.7,28.8,28.9,1145750
2012-12-26,29.3,29.4,28.6,28.7,1027750
2012-12-27,29.0,29.1,28.4,28.5,828750
