Date,Open,High,Low,Close,Volume
2012-10-01,44.0,47.0,41.4,45.4,1713000
2012-10-02,46.7,47.4,44.1,44.4,1420900
2012-10-03,45.0,46.0,41.8,42.0,1303600
2012-10-04,42.5,44.2,41.4,42.1,686800
2012-10-07,43.5,43.5,39.5,39.8,606400
2012-10-08,40.0,42.0,37.6,39.8,713600
2012-10-09,42.0,43.7,41.6,43.6,1195400
2012-10-10,45.0,45.5,41.5,42.1,1370100
2012-10-11,42.4,43.0,41.2,42.8,1311000
2012-10-14,43.8,46.0,43.8,44.5,1979400
2012-10-15,44.4,45.0,40.1,40.1,2032900
2012-10-16,40.5,41.6,38.8,40.0,1464600
2012-10-17,39.0,43.4,39.0,42.4,2656400
2012-10-18,42.6,43.1,40.1,40.4,1977700
2012-10-21,39.5,39.5,36.4,37.2,5308600
2012-10-22,37.2,39.0,36.8,38.0,2222400
2012-10-23,39.0,40.7,38.5,39.4,1541100
2012-10-30,39.3,39.3,37.8,38.0,1159000
2012-10-31,38.0,38.4,37.6,38.1,989100
2012-11-01,38.3,40.4,38.1,39.3,1846100
2012-11-04,39.2,40.4,38.4,39.0,2118500
2012-11-05,39.4,39.5,37.3,38.9,1168800
2012-11-06,39.3,39.3,38.1,38.3,1062400
2012-11-07,38.8,39.3,37.6,38.0,1706300
2012-11-11,36.7,36.7,34.2,34.2,1515400
2012-11-12,32.3,33.7,30.8,30.8,1801600
2012-11-13,30.7,33.4,29.7,33.2,1508700
2012-11-14,33.1,34.1,31.5,32.1,1128500
2012-11-15,32.4,34.1,31.7,33.5,1913400
2012-11-18,34.0,36.4,34.0,35.5,2861400
2012-11-19,35.2,35.5,33.7,33.9,1547200
2012-11-20,34.0,35.3,33.5,33.9,1974800
2012-11-21,34.1,35.5,34.1,34.4,1357300
2012-11-22,34.5,36.5,34.5,35.9,1885700
2012-11-26,36.4,36.4,34.0,34.1,1171200
2012-11-27,34.4,34.6,33.5,33.7,996400
2012-11-28,33.5,34.7,32.9,33.2,989400
2012-11-29,34.9,36.1,34.3,35.8,1533500
2012-12-02,36.1,36.4,33.1,33.9,1549300
2012-12-03,34.0,34.3,32.5,32.6,812700
2012-12-04,33.2,33.8,32.2,33.2,494500
2012-12-05,33.5,33.9,32.7,33.1,965300
2012-12-06,33.0,34.9,32.5,33.5,1678100
2012-12-09,33.5,33.5,31.7,31.9,1109900
2012-12-10,32.1,32.2,30.0,30.5,702300
2012-12-11,30.4,31.0,30.0,30.5,508300
2012-12-12,31.0,31.7,30.1,30.3,573700
2012-12-13,30.9,31.0,29.6,30.1,437600
