Date,Open,High,Low,Close,Volume
2012-10-01,54.7,56.4,54.0,56.0,584500
2012-10-02,58.3,58.3,55.7,56.2,554500
2012-10-03,55.7,57.0,54.8,55.1,467500
2012-10-04,55.8,56.8,53.5,54.1,427500
2012-10-07,54.6,55.1,52.0,53.0,437500
2012-10-08,53.1,54.0,51.2,51.7,316500
2012-10-09,53.8,54.7,52.8,54.1,333500
2012-10-10,55.0,55.0,52.7,53.0,384000
2012-10-11,53.0,53.2,51.3,51.6,249500
2012-10-14,52.0,53.9,51.8,52.8,434500
2012-10-15,54.0,55.2,53.2,54.1,442500
2012-10-16,55.0,55.1,53.2,53.6,225500
2012-10-17,53.5,53.9,51.8,52.1,173500
2012-10-18,52.0,53.0,51.5,51.7,232500
2012-10-21,51.8,52.0,51.4,51.7,112500
2012-10-22,51.9,52.6,51.0,51.8,146500
2012-10-23,52.5,53.0,52.1,52.4,140000
2012-10-30,52.0,53.5,52.0,52.6,187000
2012-10-31,52.5,53.6,52.5,53.2,156000
2012-11-01,53.2,54.0,52.7,53.6,184500
2012-11-04,53.7,56.3,53.7,54.9,640000
2012-11-05,54.4,55.3,54.1,54.3,222500
2012-11-06,54.3,54.6,53.2,53.4,155000
2012-11-07,53.5,54.5,52.3,52.5,161000
2012-11-08,52.6,53.0,50.8,51.2,193000
2012-11-11,51.5,51.8,49.9,50.1,201000
2012-11-12,51.5,51.5,48.1,48.6,347500
2012-11-13,49.1,51.8,48.4,51.5,267500
2012-11-14,51.5,52.5,51.0,51.4,265500
2012-11-15,51.7,52.0,50.6,51.9,187000
2012-11-18,51.9,52.5,51.1,51.4,342000
2012-11-19,51.0,51.0,48.5,48.6,159000
2012-11-20,48.9,50.0,48.0,48.2,144000
2012-11-21,50.0,50.0,47.8,48.3,93000
2012-11-22,49.4,50.0,48.2,48.5,177000
2012-11-26,48.5,49.7,47.6,47.7,141500
2012-11-27,47.3,48.4,46.7,46.8,116500
2012-11-28,47.4,48.4,46.5,46.9,122500
2012-11-29,48.0,51.1,48.0,50.3,331500
2012-12-02,51.6,51.7,49.1,49.4,254500
2012-12-03,48.9,49.1,47.9,47.9,129500
2012-12-04,48.0,48.6,47.2,48.3,119000
2012-12-05,47.8,50.5,47.8,49.8,266500
2012-12-06,48.3,49.3,47.6,47.8,205500
2012-12-09,47.2,47.5,46.2,46.3,102500
2012-12-10,46.1,47.2,45.5,45.5,127500
2012-12-11,45.1,46.3,44.9,45.7,74500
2012-12-12,47.0,48.0,46.1,46.4,108000
2012-12-13,46.8,47.5,46.4,47.1,57500
2012-12-17,47.0,48.1,46.9,47.8,85000
2012-12-18,48.2,48.2,46.1,46.4,72500
2012-12-19,47.0,48.8,46.8,48.3,136000
2012-12-20,48.7,49.5,47.8,48.5,152000
2012-12-23,48.0,48.7,47.6,47.6,96500
2012-12-24,47.5,47.9,47.2,47.2,93500
2012-12-26,47.1,48.0,47.1,47.3,60500
2012-12-27,48.0,48.3,47.3,48.0,131000
2012-12-30,48.7,49.7,48.1,49.1,275000
2013-01-01,49.2,49.4,48.3,48.6,67500
2013-01-02,48.0,48.1,47.7,47.9,81500
2013-01-03,47.6,49.2,47.6,48.9,71000
2013-01-06,49.0,49.9,48.8,49.0,189000
2013-01-07,49.0,49.0,48.1,48.4,102500
2013-01-08,48.5,48.5,47.5,47.5,105500
2013-01-09,47.7,48.6,47.3,47.5,72500
2013-01-10,48.0,48.4,47.6,47.8,64000
2013-01-13,48.0,48.0,47.3,47.4,40500
2013-01-14,47.2,47.5,47.1,47.2,93000
2013-01-15,47.3,47.5,47.0,47.3,67000
2013-01-16,47.3,47.8,47.2,47.3,83000
2013-01-17,47.8,48.5,47.8,48.3,147000
2013-01-20,48.5,48.6,47.6,47.7,113500
2013-01-21,47.9,47.9,47.0,47.0,118000
2013-01-22,47.4,50.2,47.4,49.8,650500
2013-01-23,50.5,51.4,49.3,50.4,386000
2013-01-24,50.2,51.0,50.2,50.7,364000
2013-01-27,50.7,51.2,50.0,50.3,376500
2013-01-28,50.1,51.2,49.9,50.8,349000
2013-01-29,51.1,52.7,51.0,51.7,412500
2013-01-30,51.3,52.1,50.6,50.8,279000
2013-01-31,50.0,51.1,50.0,50.5,177000
2013-02-03,50.3,51.7,50.2,51.0,322000
2013-02-04,51.5,51.6,50.2,50.3,293000
2013-02-05,51.2,51.2,50.4,50.7,158000
2013-02-06,51.0,51.7,50.8,51.2,297500
2013-02-07,51.2,51.4,50.6,50.7,178500
2013-02-10,51.0,52.2,50.7,51.7,385500
2013-02-11,52.0,52.2,51.6,51.6,490500
2013-02-12,51.9,52.7,51.6,51.9,514500
2013-02-13,51.9,53.8,51.5,53.6,704500
2013-02-14,54.2,54.4,53.6,53.8,531000
2013-02-17,53.7,54.0,52.2,52.4,387500
2013-02-18,53.0,53.0,51.7,51.8,530000
2013-02-19,52.0,52.1,50.5,50.8,380000
2013-02-20,51.2,51.9,49.0,49.8,546000
2013-02-24,49.0,49.6,46.5,46.9,260500
2013-02-25,48.0,48.3,46.2,46.8,204500
2013-02-26,45.0,46.9,44.8,45.6,1017500
2013-02-27,45.2,46.0,44.1,44.5,281500
2013-02-28,44.8,44.8,43.0,43.9,171000
2013-03-03,42.0,42.2,41.0,41.4,311000
2013-03-04,42.8,43.8,42.2,43.2,176000
2013-03-05,42.9,43.1,41.5,41.7,212500
2013-03-06,41.4,42.7,41.1,41.8,353500
2013-03-10,40.3,40.9,38.4,38.6,278000
2013-03-11,37.5,38.9,37.0,38.2,101500
2013-03-12,37.9,38.3,37.3,37.8,201500
2013-03-13,38.8,39.5,38.2,38.5,218500
2013-03-14,38.7,40.4,38.5,39.9,450500
2013-03-18,39.2,40.0,39.2,39.9,137000
2013-03-19,39.3,40.3,39.2,39.4,194000
2013-03-20,39.8,39.8,39.1,39.4,85500
2013-03-24,39.0,39.0,37.4,37.5,136500
2013-03-25,38.8,38.8,36.6,36.7,81000
2013-03-27,36.4,36.8,34.2,35.7,107000
2013-03-28,36.1,37.0,35.8,36.4,54500
2013-03-31,35.5,37.0,35.3,36.1,168500
2013-04-01,35.0,35.5,34.0,34.2,186000
2013-04-02,34.5,35.9,34.3,35.5,37500
2013-04-03,35.6,36.0,35.6,35.6,172500
2013-04-04,35.7,36.1,35.7,35.8,190000
2013-04-07,35.9,36.0,35.9,35.9,80500
2013-04-08,36.0,36.5,35.5,36.3,82000
2013-04-09,36.6,37.7,36.6,37.2,106000
2013-04-10,38.1,38.2,36.5,36.7,126000
2013-04-11,36.3,36.8,35.6,36.6,74000
2013-04-15,37.0,37.5,36.5,37.1,107000
2013-04-16,37.2,37.2,35.5,35.8,108500
2013-04-17,36.0,37.0,35.8,36.0,92000
2013-04-18,36.0,36.2,35.8,35.9,66500
2013-04-21,36.0,36.0,35.0,35.0,95500
2013-04-22,35.2,35.3,34.7,35.0,104500
2013-04-23,34.8,35.2,34.6,34.9,87500
2013-04-24,34.6,35.2,34.6,35.0,48500
2013-04-25,35.0,35.6,35.0,35.5,58500
2013-04-28,34.7,35.7,34.7,35.5,124000
2013-04-29,35.2,35.8,35.0,35.5,143000
2013-04-30,38.0,38.0,35.3,35.6,75000
2013-05-02,35.6,36.4,35.5,36.3,132500
2013-05-05,36.0,37.0,36.0,36.4,34000
2013-05-06,36.1,36.3,35.3,35.4,30500
