Date,Open,High,Low,Close,Volume
2012-10-02,14.7,14.7,14.4,14.5,2000
2012-10-03,15.4,15.4,15.3,15.3,2500
2012-10-04,15.3,15.4,15.3,15.3,5500
2012-10-07,15.7,15.7,14.5,15.1,15000
2012-10-08,15.0,15.1,15.0,15.0,2000
2012-10-09,15.9,15.9,14.5,15.3,11000
2012-10-10,16.5,16.5,15.0,15.5,2500
2012-10-11,15.5,15.5,15.0,15.1,2500
2012-10-14,15.5,15.7,14.8,15.5,19500
2012-10-15,15.0,15.5,15.0,15.4,2500
2012-10-16,15.1,15.8,15.1,15.5,14500
2012-10-17,15.0,15.5,15.0,15.2,3500
2012-10-18,15.0,15.3,14.8,15.2,76500
2012-10-21,16.0,16.0,15.8,15.9,2500
2012-10-22,15.9,16.1,15.7,16.0,32500
2012-10-23,16.2,16.2,15.7,15.9,10500
2012-10-30,15.1,15.1,15.1,15.1,500
2012-10-31,15.2,16.3,15.2,16.0,18000
2012-11-01,15.2,15.6,14.8,15.1,114000
2012-11-04,15.0,15.0,15.0,15.0,8000
2012-11-05,15.9,15.9,15.9,15.9,500
2012-11-06,15.0,15.7,15.0,15.0,34000
2012-11-07,15.0,15.0,15.0,15.0,20500
2012-11-08,14.9,15.1,14.9,15.0,15000
2012-11-11,15.0,15.0,14.7,14.7,2000
2012-11-12,13.7,13.7,13.7,13.7,1000
2012-11-13,14.1,14.8,14.1,14.5,1500
2012-11-14,14.7,15.0,14.7,14.8,3000
2012-11-15,15.1,15.3,14.9,15.1,6000
2012-11-18,14.6,15.4,14.6,15.0,9500
2012-11-19,15.5,15.9,15.5,15.7,45500
2012-11-20,15.6,15.6,14.2,14.6,6000
2012-11-21,14.0,14.0,13.3,13.7,12500
2012-11-22,14.0,14.0,14.0,14.0,500
2012-11-27,14.2,14.2,14.2,14.2,500
2012-11-28,14.0,14.0,13.3,13.7,7000
2012-11-29,14.3,15.0,14.3,14.6,21000
2012-12-02,14.9,14.9,14.6,14.8,4000
2012-12-03,14.7,15.3,14.7,14.9,9500
2012-12-05,15.0,15.0,14.3,14.6,1000
2012-12-06,14.3,15.1,14.3,14.7,3500
2012-12-09,15.0,15.0,14.4,14.9,15000
2012-12-10,14.9,14.9,14.8,14.8,12000
2012-12-11,15.0,15.0,15.0,15.0,16500
2012-12-12,15.0,15.0,15.0,15.0,6500
2012-12-19,15.5,15.5,15.5,15.5,3000
2012-12-20,15.4,15.4,15.3,15.3,5500
2012-12-23,14.8,15.0,14.8,14.9,3000
2012-12-27,15.0,15.0,15.0,15.0,500
2013-01-01,15.1,15.1,15.1,15.1,3500
2013-01-02,15.1,15.5,15.1,15.3,4500
2013-01-03,15.0,15.0,15.0,15.0,6000
2013-01-06,15.0,15.0,15.0,15.0,1500
2013-01-07,15.0,15.5,15.0,15.3,7000
2013-01-08,14.1,15.4,14.1,14.6,4500
2013-01-13,15.3,15.4,15.3,15.3,3000
