Date,Open,High,Low,Close,Volume
2012-10-01,35.4,37.4,35.4,36.7,124300
2012-10-02,38.3,39.0,37.2,37.3,201700
2012-10-03,38.0,38.3,36.6,36.8,205300
2012-10-04,37.6,37.9,36.3,36.5,94600
2012-10-07,36.9,36.9,35.1,35.3,96100
2012-10-08,35.5,36.1,34.4,34.9,109300
2012-10-09,35.9,36.3,35.0,35.2,142900
2012-10-10,35.2,35.6,34.3,34.7,98600
2012-10-11,34.4,35.0,34.1,34.3,71200
2012-10-14,35.0,35.0,33.8,33.9,90000
2012-10-15,33.5,34.8,33.5,34.0,58300
2012-10-16,33.9,35.0,33.9,34.0,69400
2012-10-17,33.7,34.1,33.6,33.7,37400
2012-10-18,34.6,34.6,33.7,33.8,32600
2012-10-21,34.8,34.8,33.5,33.6,45100
2012-10-22,33.8,34.3,33.8,34.1,53900
2012-10-23,34.5,36.0,34.2,35.8,161900
2012-10-30,35.6,36.8,35.3,35.6,36800
2012-10-31,35.9,36.0,35.3,35.4,81200
2012-11-01,35.7,36.6,35.6,36.3,168100
2012-11-04,36.3,36.6,35.4,35.5,47100
2012-11-05,36.0,36.0,35.0,35.0,39200
2012-11-06,34.8,35.5,34.1,34.4,52800
2012-11-07,33.8,34.9,33.6,33.8,31300
2012-11-08,34.9,34.9,33.0,33.6,81200
2012-11-11,33.6,33.6,31.3,31.4,94300
2012-11-12,32.0,32.5,31.7,32.1,85900
2012-11-13,31.6,33.5,31.5,32.5,57700
2012-11-14,32.5,33.2,32.0,32.8,61500
2012-11-15,32.3,33.1,32.0,32.7,56800
2012-11-18,32.7,33.0,32.2,32.3,29600
2012-11-19,32.1,32.4,31.5,31.9,82000
2012-11-20,31.3,32.2,31.0,31.0,81300
2012-11-21,30.9,30.9,29.8,30.0,51400
2012-11-22,30.0,30.1,28.9,28.9,75500
2012-11-26,29.0,29.1,27.7,28.4,30600
2012-11-28,29.6,29.6,27.8,28.0,36900
2012-11-29,28.5,30.6,28.5,30.1,80200
2012-12-02,30.2,31.1,29.5,29.5,50700
2012-12-03,29.5,29.9,28.3,28.6,39400
2012-12-04,28.0,28.7,27.8,28.2,51500
2012-12-05,28.1,29.1,28.1,28.9,34300
2012-12-06,28.5,28.9,28.4,28.5,32400
2012-12-09,28.5,28.5,27.7,27.8,18900
2012-12-10,27.4,27.8,27.3,27.3,20400
2012-12-11,27.8,28.2,27.6,28.0,7300
2012-12-12,28.1,28.4,27.3,27.4,30400
2012-12-13,27.5,28.0,27.4,27.6,4700
2012-12-17,27.5,29.1,27.3,28.5,25600
2012-12-18,28.5,28.5,27.5,27.6,53500
2012-12-19,28.3,30.2,28.3,29.7,136700
2012-12-20,29.7,30.6,29.2,29.5,56300
2012-12-23,29.3,30.3,28.7,29.1,45800
2012-12-24,28.8,29.2,28.4,28.5,37700
2012-12-26,29.5,29.5,28.5,28.8,54800
2012-12-27,29.4,30.0,29.0,29.8,79400
2012-12-30,29.4,30.0,29.3,29.5,59800
2013-01-01,30.0,30.8,29.5,29.5,96800
2013-01-02,29.4,29.5,29.1,29.2,26000
2013-01-03,29.1,30.0,28.8,29.9,103300
2013-01-06,29.1,30.2,29.1,29.8,77200
2013-01-07,30.0,30.0,29.0,29.1,57400
2013-01-08,29.6,29.7,29.1,29.1,38200
2013-01-09,29.0,29.9,28.8,28.8,31700
2013-01-10,28.6,29.0,28.6,28.9,49600
2013-01-13,28.9,29.0,28.5,28.5,38900
2013-01-14,28.3,29.0,28.3,28.8,51500
2013-01-15,28.7,29.0,28.4,28.6,17600
2013-01-16,28.0,28.8,28.0,28.5,20000
2013-01-17,29.2,29.5,28.6,29.3,120100
2013-01-20,29.3,29.4,28.7,28.7,22800
2013-01-21,28.7,28.9,28.6,28.7,8200
2013-01-22,29.0,29.2,28.6,28.8,53800
2013-01-23,29.1,30.5,29.1,30.2,179200
2013-01-24,30.6,30.7,29.5,29.7,166500
2013-01-27,30.0,30.2,29.4,29.4,81600
2013-01-28,29.4,29.6,29.2,29.3,74000
2013-01-29,29.8,32.2,29.8,31.6,282700
2013-01-30,31.4,31.6,30.8,30.9,90100
2013-01-31,31.0,31.2,30.5,30.7,91400
2013-02-03,31.0,31.5,30.7,31.3,160600
2013-02-04,31.7,31.9,30.9,31.2,120400
2013-02-05,31.5,31.5,30.9,31.1,129900
2013-02-06,31.0,31.8,31.0,31.4,149000
2013-02-07,31.7,31.8,31.3,31.4,121000
2013-02-10,31.9,32.7,31.7,32.4,186700
2013-02-11,32.6,35.6,32.4,35.6,660500
2013-02-12,36.6,37.5,35.6,35.9,272900
2013-02-13,36.8,38.2,35.6,37.0,342300
2013-02-14,37.5,40.0,37.5,39.0,656600
2013-02-17,39.9,42.9,39.0,42.9,788200
2013-02-18,43.0,47.1,43.0,47.1,1057400
2013-02-19,48.0,48.2,43.7,44.3,882800
2013-02-20,45.0,48.5,43.8,46.6,1030900
2013-02-24,46.6,48.4,45.1,46.5,755200
2013-02-25,46.1,47.9,43.8,44.6,552300
2013-02-26,45.7,47.0,44.5,46.2,828400
2013-02-27,46.2,48.7,45.0,46.0,1060600
2013-02-28,45.9,47.0,44.3,46.0,297300
2013-03-03,44.2,44.5,41.4,41.4,351900
2013-03-04,42.4,44.0,41.6,42.1,432900
2013-03-05,42.9,43.0,38.1,38.5,479300
2013-03-06,38.5,40.5,37.1,38.6,466500
2013-03-07,38.7,39.6,37.2,38.2,273000
2013-03-10,39.5,39.7,36.4,37.1,245200
2013-03-11,36.8,36.9,35.0,36.1,251100
2013-03-12,35.0,36.3,34.5,34.8,240800
2013-03-13,35.6,36.8,35.3,35.4,259800
2013-03-14,35.4,36.3,34.6,34.8,148500
2013-03-18,35.0,35.1,34.4,34.7,119500
2013-03-19,34.8,35.3,34.5,34.5,105200
2013-03-20,33.8,34.6,32.9,33.0,150900
2013-03-24,32.5,32.5,29.7,29.8,420300
2013-03-25,29.3,30.5,28.5,29.0,256600
2013-03-27,27.6,28.9,27.5,28.0,182100
2013-03-28,28.4,28.7,27.9,28.4,147900
2013-03-31,28.0,28.6,27.6,27.8,206800
2013-04-01,27.5,27.5,25.4,26.0,214200
2013-04-02,26.1,26.9,25.7,26.6,150600
2013-04-03,26.9,29.2,26.9,28.9,433500
2013-04-04,28.8,28.8,27.8,28.0,248400
2013-04-07,27.9,28.2,27.3,27.4,96400
2013-04-08,27.3,27.9,26.8,27.5,144100
2013-04-09,28.5,30.0,28.0,29.8,565700
2013-04-10,29.5,31.7,29.5,30.0,475600
2013-04-11,29.3,30.4,29.2,29.3,332700
