Date,Open,High,Low,Close,Volume
2012-10-01,61.8,62.0,61.7,61.8,1350
2012-10-02,58.8,63.0,58.8,61.2,350
2012-10-03,59.5,59.5,58.0,58.6,1600
2012-10-04,58.8,58.8,58.5,58.7,700
2012-10-07,56.1,56.1,56.0,56.0,250
2012-10-08,58.5,59.0,55.0,55.3,2200
2012-10-09,59.7,59.7,57.5,58.8,250
2012-10-10,55.4,55.4,54.3,54.9,500
2012-10-11,55.0,55.0,54.1,54.2,400
2012-10-15,51.4,51.4,51.4,51.4,50
2012-10-16,52.1,52.6,52.1,52.3,400
2012-10-17,56.0,56.0,51.5,52.5,400
2012-10-21,52.5,53.0,52.3,52.4,500
2012-10-22,48.0,48.0,43.0,44.8,3350
2012-10-23,45.0,46.9,45.0,45.9,4850
2012-10-30,46.0,46.0,46.0,46.0,50
2012-10-31,45.4,48.4,45.4,46.0,1250
2012-11-01,45.3,45.3,45.0,45.1,1200
2012-11-04,44.1,44.8,44.1,44.4,350
2012-11-05,45.4,45.4,45.4,45.4,450
2012-11-06,44.0,44.0,44.0,44.0,300
2012-11-07,44.0,44.0,43.0,43.6,350
2012-11-08,45.0,46.9,45.0,45.3,5650
2012-11-11,46.0,46.0,45.0,45.6,650
2012-11-12,45.5,46.2,45.5,45.7,500
2012-11-13,45.0,48.5,45.0,47.2,1950
2012-11-14,47.0,49.9,47.0,49.2,2600
2012-11-15,49.0,51.5,49.0,49.8,800
2012-11-18,46.0,46.0,46.0,46.0,350
2012-11-19,46.3,47.9,46.0,47.0,2000
2012-11-20,46.5,46.5,46.5,46.5,100
2012-11-21,46.1,50.2,46.0,47.4,1150
2012-11-22,49.0,51.0,49.0,49.9,2550
2012-11-26,48.0,48.0,48.0,48.0,300
2012-11-27,47.6,49.0,47.6,47.9,500
2012-11-28,46.0,47.9,45.1,45.5,1700
2012-11-29,49.7,49.7,48.7,48.8,950
2012-12-03,50.8,51.0,49.0,49.9,4150
2012-12-05,50.0,50.0,50.0,50.0,100
2012-12-10,48.0,52.0,48.0,51.7,1850
2012-12-11,46.6,50.0,46.6,47.8,200
2012-12-13,50.5,51.9,50.5,51.1,550
2012-12-17,48.1,48.2,48.1,48.1,350
2012-12-18,48.5,51.0,48.5,50.5,700
2012-12-19,50.0,50.0,50.0,50.0,200
2012-12-20,50.0,50.0,50.0,50.0,50
2012-12-26,53.5,53.5,53.5,53.5,100
2012-12-30,53.0,53.0,50.5,52.6,350
2013-01-03,49.0,49.3,49.0,49.2,300
2013-01-08,47.3,47.3,47.3,47.3,50
2013-01-09,48.0,48.0,48.0,48.0,50
2013-01-10,45.4,45.4,45.3,45.3,500
2013-01-13,46.7,49.8,46.5,47.5,1650
2013-01-15,46.9,47.0,46.9,46.9,700
2013-01-16,47.3,47.3,47.3,47.3,100
2013-01-17,47.2,47.2,47.1,47.1,100
2013-01-21,48.0,48.0,48.0,48.0,50
2013-01-22,48.2,48.2,48.1,48.1,650
2013-01-24,49.0,49.0,49.0,49.0,50
2013-01-30,49.9,49.9,49.8,49.8,100
2013-02-12,53.3,53.3,53.2,53.2,100
2013-02-14,56.0,56.0,55.0,55.5,100
2013-02-17,55.7,55.7,55.7,55.7,300
2013-02-18,55.7,55.7,55.7,55.7,200
2013-02-25,55.8,55.8,55.7,55.7,200
2013-02-26,52.0,54.0,51.8,52.6,400
2013-02-27,51.5,51.5,47.5,49.1,500
2013-02-28,45.6,45.7,45.0,45.5,1600
2013-03-04,42.0,43.0,41.9,42.6,1100
2013-03-05,42.6,42.6,42.6,42.6,200
2013-03-06,42.5,42.5,41.4,41.7,200
2013-03-11,40.0,40.0,40.0,40.0,100
2013-03-12,40.0,40.0,38.1,39.7,350
2013-03-13,40.0,41.8,39.6,41.0,600
2013-03-14,38.2,38.7,37.8,38.2,300
2013-03-18,37.2,37.2,36.2,36.7,500
2013-03-20,38.0,38.0,37.7,37.7,650
2013-03-24,38.0,41.4,38.0,40.8,1000
2013-03-25,38.1,38.1,38.1,38.1,50
2013-04-01,40.0,40.0,36.0,38.2,350
2013-04-02,39.0,39.0,39.0,39.0,100
2013-04-03,39.5,39.5,39.5,39.5,50
2013-04-08,41.7,41.7,41.7,41.7,50
2013-04-09,43.0,43.0,43.0,43.0,100
2013-04-10,42.9,43.0,42.9,42.9,1250
2013-04-11,43.5,44.0,43.5,43.8,150
2013-04-15,43.8,43.8,43.2,43.3,600
2013-04-16,45.0,45.0,44.9,44.9,750
2013-04-17,44.5,44.5,44.5,44.5,200
2013-04-21,44.9,44.9,41.3,42.2,200
2013-04-23,42.5,42.5,42.5,42.5,50
2013-04-29,41.0,41.0,41.0,41.0,50
2013-04-30,41.1,41.1,41.1,41.1,300
2013-05-09,44.0,44.0,44.0,44.0,50
2013-05-12,43.0,43.1,43.0,43.0,200
2013-05-13,44.0,44.0,44.0,44.0,100
2013-05-14,44.1,48.0,44.1,46.8,1050
2013-05-16,48.0,48.0,48.0,48.0,50
2013-05-19,52.0,52.0,52.0,52.0,50
2013-05-20,54.8,54.8,54.8,54.8,50
2013-05-22,58.9,58.9,58.9,58.9,50
2013-05-26,60.9,60.9,55.2,58.0,100
2013-05-28,52.4,53.0,52.2,52.2,6600
2013-05-29,47.8,52.0,47.8,51.2,1450
2013-05-30,48.8,52.0,48.7,49.5,250
2013-06-02,53.5,53.5,53.5,53.5,50
2013-06-03,52.0,52.0,50.0,51.2,250
2013-06-04,54.9,54.9,50.0,51.5,1250
2013-06-05,46.6,50.0,46.6,49.0,1300
2013-06-06,50.0,50.0,49.0,49.7,800
2013-06-10,53.0,53.0,52.8,52.8,250
2013-06-11,56.9,56.9,52.1,54.2,7200
2013-06-12,59.6,59.6,55.0,56.0,4950
2013-06-13,54.0,54.1,53.0,53.2,12200
2013-06-16,53.0,53.1,53.0,53.0,150
2013-06-17,52.2,57.5,52.2,54.9,2400
2013-06-18,60.3,60.3,58.9,59.1,2250
2013-06-19,62.0,62.0,59.0,59.8,900
2013-06-20,57.5,62.0,57.1,59.6,2900
2013-06-23,57.0,57.0,57.0,57.0,100
2013-06-24,59.4,62.7,59.4,62.7,5000
2013-06-27,64.9,68.8,64.7,66.8,4350
2013-06-30,66.4,66.4,66.2,66.2,1250
2013-07-02,72.0,72.7,72.0,72.5,2150
2013-07-03,75.0,75.0,70.0,72.4,3700
2013-07-04,67.0,67.0,67.0,67.0,100
2013-07-07,67.0,67.0,67.0,67.0,150
2013-07-08,67.0,67.0,64.0,65.8,1150
2013-07-10,64.1,64.1,59.3,62.2,1650
2013-07-11,63.0,63.5,58.8,60.3,850
2013-07-15,56.0,56.0,56.0,56.0,150
2013-07-16,52.0,52.5,52.0,52.2,350
2013-07-18,50.6,50.6,50.5,50.5,300
2013-07-21,55.5,55.5,55.2,55.3,350
2013-07-22,58.0,58.0,58.0,58.0,50
2013-07-23,61.0,63.8,61.0,62.8,400
2013-07-24,57.3,57.3,57.3,57.3,50
2013-07-25,57.0,58.0,57.0,57.0,650
2013-07-28,61.5,61.5,61.5,61.5,100
2013-07-29,65.9,65.9,65.9,65.9,50
2013-07-30,62.0,66.9,62.0,62.3,750
2013-07-31,66.9,66.9,66.9,66.9,50
2013-08-01,68.0,68.0,68.0,68.0,50
2013-08-04,68.9,68.9,68.9,68.9,50
2013-08-05,62.1,62.1,62.1,62.1,5000
2013-08-12,56.4,56.5,56.4,56.4,6100
2013-08-13,56.7,56.7,56.7,56.7,4000
2013-08-14,62.3,62.3,57.9,58.9,5550
2013-08-18,56.8,56.8,56.7,56.7,3500
2013-08-19,62.3,62.3,62.3,62.3,4000
2013-08-20,60.0,60.0,60.0,60.0,3000
2013-08-21,57.7,57.7,57.7,57.7,3500
2013-08-22,58.3,59.1,58.3,58.3,2700
2013-08-26,61.9,62.2,61.9,62.1,350
2013-08-27,64.0,68.0,64.0,65.6,1050
2013-09-01,65.6,65.6,59.3,62.4,200
2013-09-03,65.0,68.2,65.0,65.5,950
2013-09-04,65.5,66.0,64.0,65.2,1600
2013-09-05,65.2,65.2,65.1,65.1,600
2013-09-09,66.1,66.1,66.0,66.0,100
2013-09-10,71.0,72.5,70.0,71.7,1700
2013-09-11,75.0,76.8,72.9,75.8,1850
2013-09-12,78.0,78.0,75.0,76.3,10100
2013-09-15,80.0,83.0,80.0,82.4,6950
2013-09-16,90.0,90.5,90.0,90.0,2600
2013-09-17,92.0,99.0,92.0,97.4,3050
2013-09-18,105.0,106.9,100.0,105.2,6100
2013-09-19,105.2,105.2,94.7,94.9,7650
2013-09-22,87.0,87.0,85.5,86.4,1700
2013-09-26,78.0,78.0,78.0,78.0,50
2013-09-29,76.0,80.0,70.3,75.2,1300
2013-09-30,70.0,70.0,70.0,70.0,50
2013-10-01,64.1,64.1,64.0,64.0,100
2013-10-02,61.1,61.5,61.1,61.3,200
2013-10-03,62.1,62.1,62.1,62.1,100
2013-10-06,66.0,66.0,62.1,63.1,650
2013-10-08,60.3,60.3,57.8,59.0,1300
2013-10-09,64.0,64.0,64.0,64.0,50
2013-10-10,64.5,64.5,60.0,62.0,450
2013-10-20,60.0,60.2,60.0,60.0,200
2013-10-22,66.0,66.0,66.0,66.0,100
2013-10-23,66.0,66.0,66.0,66.0,50
2013-10-24,66.0,66.0,66.0,66.0,50
2013-10-27,61.0,61.0,60.0,60.1,900
2013-10-30,56.7,56.7,56.7,56.7,50
2013-10-31,48.4,50.6,48.4,50.1,1150
