Date,Open,High,Low,Close,Volume
2019-03-04,6.1,11.5,4.5,10.5,106720
2019-03-05,10.0,10.3,10.0,10.0,23018
2019-03-06,10.0,10.0,10.0,10.0,23812
2019-03-07,10.0,10.0,10.0,10.0,11416
2019-03-10,10.1,10.2,10.0,10.1,10599
2019-03-11,10.0,10.0,10.0,10.0,3500
2019-03-12,10.0,10.0,10.0,10.0,3500
2019-03-13,10.0,10.3,10.0,10.0,1501
2019-03-14,10.0,10.0,10.0,10.0,9500
2019-03-18,10.0,10.0,10.0,10.0,16000
2019-03-19,10.0,10.0,10.0,10.0,7110
2019-03-20,10.0,10.0,10.0,10.0,1000
2019-03-21,10.0,10.0,10.0,10.0,500
2019-03-24,9.8,10.0,9.8,10.0,16500
2019-03-25,10.2,10.2,10.0,10.1,32099
2019-03-27,10.0,10.0,10.0,10.0,9600
2019-03-28,10.0,10.5,10.0,10.0,30902
2019-03-31,10.1,10.1,10.0,10.0,4001
2019-04-01,10.0,10.0,10.0,10.0,4500
2019-04-02,10.0,10.0,10.0,10.0,2000
2019-04-03,10.0,10.0,10.0,10.0,2750
2019-04-04,10.0,10.0,10.0,10.0,500
2019-04-07,10.0,10.0,10.0,10.0,500
2019-04-08,10.0,10.0,10.0,10.0,9500
2019-04-09,10.0,10.0,10.0,10.0,25590
2019-04-10,10.0,10.0,10.0,10.0,2000
2019-04-11,10.0,10.0,10.0,10.0,25300
2019-04-16,10.0,10.0,10.0,10.0,11000
2019-04-17,10.1,10.3,10.0,10.0,531
2019-04-18,10.0,10.0,10.0,10.0,500
2019-04-23,10.1,10.1,10.0,10.0,1500
2019-04-24,10.2,10.2,10.2,10.2,8
2019-04-28,10.0,10.0,10.0,10.0,500
2019-04-29,10.1,10.1,10.0,10.0,1000
2019-04-30,10.0,10.2,10.0,10.0,1555
2019-05-02,10.1,10.1,10.0,10.0,501
2019-05-06,10.0,10.0,10.0,10.0,1000
2019-05-08,10.0,10.0,10.0,10.0,1000
2019-05-22,10.1,10.1,10.0,10.1,150
2019-05-23,10.1,10.1,10.1,10.1,131
2019-05-26,10.0,10.0,10.0,10.0,500
2019-05-27,10.0,10.1,10.0,10.1,200
2019-05-28,10.0,10.0,10.0,10.0,4600
2019-05-29,10.0,10.1,10.0,10.0,375
2019-05-30,10.0,10.0,10.0,10.0,500
2019-06-09,10.1,11.0,10.1,10.8,628
2019-06-10,10.0,11.8,10.0,11.1,5917
2019-06-11,12.0,12.2,11.5,12.0,11764
2019-06-12,11.8,11.8,11.0,11.8,761
2019-06-16,10.7,10.7,10.7,10.7,6
2019-06-17,10.7,10.7,10.1,10.5,1500
2019-06-18,9.9,9.9,9.8,9.9,500
2019-06-19,9.9,9.9,9.9,9.9,320
2019-06-20,10.0,10.0,10.0,10.0,250
2019-06-24,11.0,11.0,11.0,11.0,816
2019-06-25,11.9,11.9,11.4,11.6,1601
2019-06-26,10.5,10.7,10.5,10.5,600
2019-06-27,10.1,10.7,10.1,10.4,3200
2019-07-02,10.0,10.2,10.0,10.0,501
2019-07-03,10.7,10.7,10.0,10.0,501
2019-07-04,11.0,11.0,10.9,11.0,1109
2019-07-07,12.0,12.1,12.0,12.1,4935
2019-07-08,13.3,13.3,13.3,13.3,6818
2019-07-09,14.6,14.6,14.6,14.6,2255
2019-07-10,16.0,16.0,16.0,16.0,340811
2019-07-11,17.6,17.6,17.6,17.6,4244
2019-07-14,19.3,19.3,19.3,19.3,2003
2019-07-15,21.2,21.2,19.0,21.1,165920
2019-07-16,23.2,23.2,21.1,23.2,51967
2019-07-17,25.5,25.5,24.8,25.3,19685
2019-07-18,27.7,27.8,27.7,27.8,22900
2019-07-21,30.5,30.5,30.5,30.5,3457
2019-07-22,33.5,33.5,33.5,33.5,1005
2019-07-23,36.8,36.8,36.8,36.8,1190
2019-07-24,40.4,40.4,36.9,40.4,107525
2019-07-25,44.4,44.4,44.4,44.4,3623
2019-07-28,48.8,48.8,40.0,40.0,73570
2019-07-29,36.0,44.0,36.0,43.9,196492
2019-07-30,47.9,48.0,39.6,40.0,37634
2019-07-31,37.0,41.0,36.0,36.0,74967
2019-08-01,34.0,39.5,32.4,32.4,99987
2019-08-04,30.5,32.7,29.2,29.3,90873
2019-08-05,29.4,32.2,28.7,31.1,81333
2019-08-06,30.5,30.7,28.0,28.3,59900
2019-08-07,28.3,28.3,21.2,22.6,106068
2019-08-08,21.0,24.8,21.0,24.8,134508
2019-08-18,26.9,27.2,26.1,27.2,324993
2019-08-19,28.5,29.9,24.8,25.3,184268
2019-08-20,25.0,27.0,22.9,26.4,287676
2019-08-21,27.5,27.5,23.9,24.2,294865
2019-08-22,23.3,24.3,21.9,22.6,325640
2019-08-25,22.0,22.0,20.4,20.4,198276
2019-08-26,21.0,21.0,18.4,18.4,510741
2019-08-27,18.0,18.8,16.6,16.6,485024
2019-08-28,16.8,18.2,15.3,17.8,1029470
2019-08-29,18.9,19.5,18.7,19.4,828290
2019-09-01,18.1,19.0,17.5,17.5,393440
2019-09-02,16.0,18.5,15.8,18.1,667316
2019-09-04,18.1,19.5,17.0,18.0,1729075
2019-09-05,18.4,19.6,18.4,18.9,500386
2019-09-08,19.0,19.5,17.5,17.9,858801
2019-09-09,17.9,18.3,16.5,17.1,798157
2019-09-11,17.1,17.6,15.8,16.0,762663
2019-09-12,15.6,17.4,15.3,16.9,1046151
2019-09-15,17.5,18.1,16.6,17.2,701139
2019-09-16,17.3,17.3,15.5,15.6,744881
2019-09-17,15.1,15.9,14.6,14.8,598500
2019-09-18,14.5,15.7,14.5,15.1,626776
2019-09-19,15.0,15.4,14.3,14.6,297763
2019-09-22,14.2,14.4,13.7,13.9,681233
2019-09-23,14.3,14.5,14.0,14.2,443433
2019-09-24,13.2,15.6,13.2,15.6,1489192
