Date,Open,High,Low,Close,Volume
2012-10-01,10.2,10.2,10.2,10.2,1200
2012-10-02,10.5,10.6,10.5,10.5,1500
2012-10-04,9.5,9.5,9.5,9.5,700
2012-10-07,10.0,10.0,9.7,9.8,3700
2012-10-08,10.4,10.4,10.0,10.0,3400
2012-10-11,9.6,10.0,9.5,9.7,2000
2012-10-15,10.5,10.5,10.0,10.4,1200
2012-10-16,10.0,11.0,10.0,10.9,6300
2012-10-17,11.0,11.7,9.9,10.8,2300
2012-10-21,10.0,10.0,10.0,10.0,100
2012-10-22,10.1,10.1,10.0,10.0,500
2012-10-23,9.6,10.3,9.6,9.7,1700
2012-10-30,10.0,10.0,10.0,10.0,100
2012-10-31,10.0,10.0,9.1,9.5,600
2012-11-08,10.0,10.0,9.2,9.7,700
2012-11-19,9.6,9.6,9.5,9.5,2500
2012-11-20,10.4,10.4,9.5,9.9,200
2012-11-27,9.0,9.0,9.0,9.0,500
2012-12-18,8.6,8.6,8.1,8.3,1000
2012-12-19,7.9,8.2,7.9,8.0,1900
2012-12-20,8.1,8.4,8.1,8.1,800
2012-12-24,8.0,8.0,8.0,8.0,300
2012-12-30,8.2,8.2,8.2,8.2,300
2013-01-02,8.1,8.1,8.1,8.1,400
2013-01-06,8.3,8.3,8.3,8.3,200
2013-01-07,8.0,8.0,8.0,8.0,400
2013-01-08,8.0,8.0,8.0,8.0,700
2013-01-21,8.2,8.2,8.2,8.2,100
2013-01-22,7.9,7.9,7.9,7.9,500
2013-01-30,8.0,8.5,8.0,8.2,200
2013-02-11,8.2,8.2,8.2,8.2,100
2013-02-12,8.2,8.2,7.5,7.5,1100
2013-02-14,8.0,8.0,8.0,8.0,100
2013-02-17,8.0,8.0,8.0,8.0,100
2013-02-18,8.2,8.2,8.1,8.1,600
2013-02-19,8.0,8.0,8.0,8.0,600
2013-02-26,8.1,8.1,8.1,8.1,100
2013-02-27,8.0,8.0,7.9,7.9,700
2013-02-28,7.8,7.8,7.4,7.4,6100
2013-03-04,7.4,7.4,7.4,7.4,100
2013-03-05,7.0,7.0,7.0,7.0,300
2013-03-06,7.7,7.7,7.7,7.7,200
2013-03-07,7.5,7.5,7.5,7.5,1600
2013-03-12,7.2,7.2,7.2,7.2,100
2013-03-14,7.4,7.4,7.4,7.4,100
2013-03-20,7.0,7.5,6.9,7.2,1700
2013-03-24,6.9,6.9,6.9,6.9,100
2013-03-27,7.0,7.0,6.9,6.9,200
2013-04-02,6.5,6.5,6.5,6.5,100
2013-04-09,6.2,6.5,6.2,6.4,7100
2013-04-11,7.0,7.0,7.0,7.0,100
2013-04-18,7.4,7.4,7.4,7.4,300
2013-04-24,7.0,7.0,7.0,7.0,400
2013-04-25,6.6,6.6,6.4,6.4,500
2013-04-29,6.4,6.4,6.4,6.4,100
2013-05-02,6.7,6.7,6.7,6.7,500
2013-05-06,6.7,6.7,6.7,6.7,500
2013-05-09,6.8,6.8,6.8,6.8,100
2013-05-12,6.2,6.2,6.2,6.2,500
2013-05-21,6.8,6.8,6.8,6.8,500
2013-05-22,6.4,6.4,6.4,6.4,100
2013-05-26,6.5,6.5,6.5,6.5,500
2013-05-28,6.6,6.6,6.5,6.5,500
2013-06-04,6.8,6.8,6.8,6.8,100
2013-06-05,6.7,6.7,6.7,6.7,100
2013-06-06,7.1,7.1,6.9,7.0,1300
2013-06-09,6.6,6.6,6.6,6.6,300
2013-06-10,6.7,6.9,6.7,6.8,200
2013-06-17,7.2,7.2,7.2,7.2,800
2013-06-18,7.9,7.9,7.2,7.5,1400
2013-06-20,7.5,7.5,7.1,7.3,800
2013-06-23,7.1,7.1,7.1,7.1,200
2013-06-24,7.0,7.0,7.0,7.0,100
2013-06-27,7.7,7.7,7.1,7.2,400
2013-06-30,7.9,7.9,7.6,7.6,400
2013-07-03,7.1,7.1,7.1,7.1,200
2013-07-04,7.8,7.8,7.1,7.2,400
2013-07-07,7.9,7.9,7.9,7.9,100
2013-07-08,8.0,8.0,8.0,8.0,2700
2013-07-09,8.1,8.1,8.0,8.0,500
